"aar","bydel_nr","Bydel","enhet","tabellvariabel","tabell_navn","botid_5","vreg_3","fylke_nr","Fylke","kommune_nr","naringsregion_nr"
"2014","030106","NULL","personer","4769","befolkning_botid","alle","alle","NULL","NULL","NULL","NULL"
"2014","030106","NULL","personer","1112","befolkning_botid","0_4","1","NULL","NULL","NULL","NULL"
"2014","030106","NULL","personer","771","befolkning_botid","0_4","2","NULL","NULL","NULL","NULL"
"2014","030106","NULL","personer","1883","befolkning_botid","0_4","alle","NULL","NULL","NULL","NULL"
"2014","030106","NULL","personer","517","befolkning_botid","5_9","1","NULL","NULL","NULL","NULL"
"2014","030106","NULL","personer","325","befolkning_botid","5_9","2","NULL","NULL","NULL","NULL"
"2014","030106","NULL","personer","842","befolkning_botid","5_9","alle","NULL","NULL","NULL","NULL"
"2014","030106","NULL","personer","1167","befolkning_botid","10+","1","NULL","NULL","NULL","NULL"
"2014","030106","NULL","personer","877","befolkning_botid","10+","2","NULL","NULL","NULL","NULL"
"2014","030106","NULL","personer","2044","befolkning_botid","10+","alle","NULL","NULL","NULL","NULL"
"2014","030106","NULL","personer","0","befolkning_botid","uoppgitt","1","NULL","NULL","NULL","NULL"
"2014","030106","NULL","personer","0","befolkning_botid","uoppgitt","2","NULL","NULL","NULL","NULL"
"2014","030106","NULL","personer","0","befolkning_botid","uoppgitt","alle","NULL","NULL","NULL","NULL"
"2014","030107",,"navn","VestreAker","befolkning_botid","NULL","NULL","NULL","NULL","NULL","NULL"
"2014","030107","NULL","personer","4008","befolkning_botid","alle","1","NULL","NULL","NULL","NULL"
"2014","030107","NULL","personer","2728","befolkning_botid","alle","2","NULL","NULL","NULL","NULL"
"2014","030107","NULL","personer","6736","befolkning_botid","alle","alle","NULL","NULL","NULL","NULL"
"2014","030107","NULL","personer","1654","befolkning_botid","0_4","1","NULL","NULL","NULL","NULL"
"2014","030107","NULL","personer","1185","befolkning_botid","0_4","2","NULL","NULL","NULL","NULL"
"2014","030107","NULL","personer","2839","befolkning_botid","0_4","alle","NULL","NULL","NULL","NULL"
"2014","030107","NULL","personer","799","befolkning_botid","5_9","1","NULL","NULL","NULL","NULL"
"2014","030107","NULL","personer","413","befolkning_botid","5_9","2","NULL","NULL","NULL","NULL"
"2014","030107","NULL","personer","1212","befolkning_botid","5_9","alle","NULL","NULL","NULL","NULL"
"2014","030107","NULL","personer","1555","befolkning_botid","10+","1","NULL","NULL","NULL","NULL"
"2014","030107","NULL","personer","1130","befolkning_botid","10+","2","NULL","NULL","NULL","NULL"
"2014","030107","NULL","personer","2685","befolkning_botid","10+","alle","NULL","NULL","NULL","NULL"
"2014","030107","NULL","personer","0","befolkning_botid","uoppgitt","1","NULL","NULL","NULL","NULL"
"2014","030107","NULL","personer","0","befolkning_botid","uoppgitt","2","NULL","NULL","NULL","NULL"
"2014","030107","NULL","personer","0","befolkning_botid","uoppgitt","alle","NULL","NULL","NULL","NULL"
"2014","030108",,"navn","NordreAker","befolkning_botid","NULL","NULL","NULL","NULL","NULL","NULL"
"2014","030108","NULL","personer","3642","befolkning_botid","alle","1","NULL","NULL","NULL","NULL"
"2014","030108","NULL","personer","3511","befolkning_botid","alle","2","NULL","NULL","NULL","NULL"
"2014","030108","NULL","personer","7153","befolkning_botid","alle","alle","NULL","NULL","NULL","NULL"
"2014","030108","NULL","personer","1769","befolkning_botid","0_4","1","NULL","NULL","NULL","NULL"
"2014","030108","NULL","personer","1613","befolkning_botid","0_4","2","NULL","NULL","NULL","NULL"
"2014","030108","NULL","personer","3382","befolkning_botid","0_4","alle","NULL","NULL","NULL","NULL"
