"aar","fylke_nr","tilskudd_til_kommuner","enhet","tabellvariabel","tabell_navn","kommune_nr","naringsregion_nr"
"2011","10","funkhem","kroner","9066990","tilskudd","NULL","NULL"
"2011","10","norsk_samf_tilsk","kroner","0","tilskudd","NULL","NULL"
"2011","10","em_tilsk","kroner","16025357","tilskudd","NULL","NULL"
"2011","10","barnehage_tilsk","kroner","792900","tilskudd","NULL","NULL"
"2011","10","eldre_tilsk","kroner","693500","tilskudd","NULL","NULL"
"2011","10","skole_tilsk","kroner","3598200","tilskudd","NULL","NULL"
"2011","11","totalt","kroner","308213867","tilskudd","NULL","NULL"
"2011","11","inttilsk_1_5","kroner","273148582","tilskudd","NULL","NULL"
"2011","11","inttilsk_1","kroner","74634182","tilskudd","NULL","NULL"
"2011","11","inttilsk_2_5","kroner","198514400","tilskudd","NULL","NULL"
"2011","11","funkhem","kroner","14395400","tilskudd","NULL","NULL"
"2011","11","norsk_samf_tilsk","kroner","0","tilskudd","NULL","NULL"
"2011","11","em_tilsk","kroner","15234585","tilskudd","NULL","NULL"
"2011","11","barnehage_tilsk","kroner","1035000","tilskudd","NULL","NULL"
"2011","11","eldre_tilsk","kroner","412100","tilskudd","NULL","NULL"
"2011","11","skole_tilsk","kroner","3988200","tilskudd","NULL","NULL"
"2011","12","totalt","kroner","369169342","tilskudd","NULL","NULL"
"2011","12","inttilsk_1_5","kroner","340013575","tilskudd","NULL","NULL"
"2011","12","inttilsk_1","kroner","96016700","tilskudd","NULL","NULL"
"2011","12","inttilsk_2_5","kroner","243996875","tilskudd","NULL","NULL"
"2011","12","funkhem","kroner","2310483","tilskudd","NULL","NULL"
"2011","12","norsk_samf_tilsk","kroner","0","tilskudd","NULL","NULL"
"2011","12","em_tilsk","kroner","19398684","tilskudd","NULL","NULL"
"2011","12","barnehage_tilsk","kroner","983700","tilskudd","NULL","NULL"
"2011","12","eldre_tilsk","kroner","820200","tilskudd","NULL","NULL"
"2011","12","skole_tilsk","kroner","5642700","tilskudd","NULL","NULL"
"2011","14","totalt","kroner","105105781","tilskudd","NULL","NULL"
"2011","14","inttilsk_1_5","kroner","96023725","tilskudd","NULL","NULL"
"2011","14","inttilsk_1","kroner","31006500","tilskudd","NULL","NULL"
"2011","14","inttilsk_2_5","kroner","65017225","tilskudd","NULL","NULL"
"2011","14","funkhem","kroner","1033600","tilskudd","NULL","NULL"
"2011","14","norsk_samf_tilsk","kroner","0","tilskudd","NULL","NULL"
"2011","14","em_tilsk","kroner","5844556","tilskudd","NULL","NULL"
"2011","14","barnehage_tilsk","kroner","455400","tilskudd","NULL","NULL"
"2011","14","eldre_tilsk","kroner","408100","tilskudd","NULL","NULL"
"2011","14","skole_tilsk","kroner","1340400","tilskudd","NULL","NULL"
"2011","15","totalt","kroner","198550097","tilskudd","NULL","NULL"
"2011","15","inttilsk_1_5","kroner","172604650","tilskudd","NULL","NULL"
"2011","15","inttilsk_1","kroner","51200000","tilskudd","NULL","NULL"
"2011","15","inttilsk_2_5","kroner","121404650","tilskudd","NULL","NULL"
"2011","15","funkhem","kroner","8261087","tilskudd","NULL","NULL"
"2011","15","norsk_samf_tilsk","kroner","0","tilskudd","NULL","NULL"
"2011","15","em_tilsk","kroner","13810260","tilskudd","NULL","NULL"
"2011","15","barnehage_tilsk","kroner","683100","tilskudd","NULL","NULL"
"2011","15","eldre_tilsk","kroner","277400","tilskudd","NULL","NULL"
"2011","15","skole_tilsk","kroner","2913600","tilskudd","NULL","NULL"
"2011","16","totalt","kroner","257710956","tilskudd","NULL","NULL"
"2011","16","inttilsk_1_5","kroner","209723550","tilskudd","NULL","NULL"
"2011","16","inttilsk_1","kroner","59542500","tilskudd","NULL","NULL"
"2011","16","inttilsk_2_5","kroner","150181050","tilskudd","NULL","NULL"
"2011","16","funkhem","kroner","28314973","tilskudd","NULL","NULL"
"2011","16","norsk_samf_tilsk","kroner","0","tilskudd","NULL","NULL"
"2011","16","em_tilsk","kroner","15194733","tilskudd","NULL","NULL"
"2011","16","barnehage_tilsk","kroner","579600","tilskudd","NULL","NULL"
"2011","16","eldre_tilsk","kroner","828200","tilskudd","NULL","NULL"
"2011","16","skole_tilsk","kroner","3069900","tilskudd","NULL","NULL"
