kommune_nr;innvkat.3.alle_vreg.3.alle_enhet.prosent_aar.2014;innvkat.3.innvandrere_vreg.3.1_enhet.prosent_aar.2014;innvkat.3.innvandrere_vreg.3.2_enhet.prosent_aar.2014;innvkat.3.innvandrere_vreg.3.alle_enhet.prosent_aar.2014;innvkat.3.befolkningen.ellers_vreg.3.alle_enhet.prosent_aar.2014
0829;9,4;36,3;:;31,6;7,8
0830;9,1;27,3;:;24,7;7,9
0831;10,1;29,9;70;38,1;7,6
0833;5,8;14,5;:;14,5;5,3
0834;8,2;30,5;35,6;32,1;6,5
0901;10,8;30,1;50,7;39,3;8,3
0904;9,7;24,5;40,4;31,3;7,5
0906;9,4;23,6;37,4;30,4;7,1
0911;9,2;18,8;55,8;39,0;7,3
0912;12,0;32,7;57,6;45,6;9,8
0914;11,4;32,3;51,6;39,7;8,7
0919;8,5;21,2;31,1;24,9;7,4
0926;6,8;15,8;27,0;21,3;5,6
0928;8,1;16,2;31,7;23,2;6,8
0929;12,9;27,3;41,0;33,0;10,4
0935;8,3;22,1;46,2;30,8;6,1
0937;10,7;31,9;48,6;41,3;7,4
0938;5,6;:;:;5,6;5,6
0940;12,5;:;73,7;58,4;8,7
0941;7,7;16,4;40,8;26,2;4,5
1001;10,2;17,9;34,2;28,6;7,7
1002;9,2;20,9;41,5;31,5;7,2
1003;7,4;21,4;35,9;27,3;6,0
1004;7,0;14,4;31,4;20,8;5,7
1014;7,9;17,3;29,4;23,1;6,7
1017;9,2;21,8;32,5;27,5;6,8
1018;7,9;19,5;37,6;27,6;6,4
1021;8,8;19,1;55,7;34,0;6,9
1026;13,0;45,3;80,0;57,8;8,2
1027;6,6;15,4;:;15,4;6,1
1029;9,9;22,4;34,5;26,6;8,2
1032;8,8;23,9;33,8;29,3;6,8
1034;6,4;6,8;50,0;19,3;5,7
1037;8,4;26,7;38,1;31,6;6,6
1046;7,5;:;:;25,0;5,5
1101;5,9;9,8;26,2;17,2;4,8
1102;5,7;12,4;20,0;16,2;3,9
1103;6,6;12,0;21,7;17,0;4,7
1106;9,3;22,4;30,6;26,3;6,9
1111;5,7;:;:;8,1;5,6
1112;6,5;15,0;29,7;21,7;5,4
1114;3,2;11,0;:;10,4;2,6
1119;6,0;15,6;33,3;20,9;4,2
1120;5,3;14,8;27,0;19,1;3,7
1121;4,7;13,5;29,0;20,9;3,2
1122;4,9;11,0;20,6;13,9;3,9
1124;4,5;11,3;15,7;13,1;3,2
1127;4,7;14,7;23,8;18,3;3,4
1129;3,5;:;:;:;3,3
1130;6,1;15,0;28,6;21,2;4,9
1133;7,1;15,2;32,7;20,5;5,1
1134;6,9;8,8;44,3;22,0;5,6
1135;7,1;25,7;37,2;30,8;5,5
1141;6,0;22,0;:;20,9;4,3
1142;4,5;16,0;37,8;20,8;2,9
1144;3,7;:;:;:;4,0
1145;7,2;:;:;23,0;5,9
1146;5,0;21,3;33,6;27,1;3,6
1149;7,7;23,4;32,1;26,9;6,2
1151;7,4;:;:;:;5,7
1160;7,9;23,9;48,0;29,6;5,7
1201;9,3;19,1;31,4;25,6;7,2
1211;6,1;13,6;40,0;18,1;5,0
1216;7,1;23,4;50,3;33,7;5,0
1219;6,5;17,8;26,7;21,6;5,2
1221;6,4;14,8;31,1;22,4;5,0
1222;6,3;18,3;:;18,0;5,6
1223;7,6;26,3;:;22,5;6,5
1224;7,1;26,2;36,7;30,6;5,6
1227;6,6;37,5;:;30;5,3
1228;6,5;14,4;22,2;17,6;5,6
1231;6,5;10,4;25,5;16,9;5,7
1232;7,6;29,4;:;23,5;6,3
1233;7,0;:;:;:;6,6
1234;8,2;:;:;23,1;7,3
1235;7,7;20,4;42,0;29,7;6,4
1238;6,7;18,6;39,5;27,0;5,1
1241;7,3;:;:;14,7;6,9
1242;6,0;18,4;32,7;23,9;4,8
1243;6,0;18,6;20,0;19,1;4,8
1244;5,1;21,0;23,8;21,5;3,7
1245;6,4;11,7;32,4;20,0;5,2
1246;5,2;19,1;22,7;20,5;4,0
1247;5,0;14,5;25,5;19,2;4,0
1251;8,2;18,6;43,2;28,6;7,0
1252;5,7;:;:;:;5,1
1253;6,8;18,3;13,9;17,4;6,0
1256;5,2;22,3;17,6;20,6;4,0
1259;6,6;13,5;35,6;24,4;5,1
1260;6,6;20,1;17,9;19,6;5,5
1263;5,9;16,0;25,5;19,4;5,0
1264;5,7;11,6;20,9;14,0;4,8
1265;6,0;:;:;:;5,9
1266;5,6;:;:;:;5,2
1401;7,1;14,2;35,1;25,2;5,4
1411;8,6;28,6;:;25,5;7,3
1412;8,6;:;:;:;7,9
1413;6,4;:;:;:;6,5
1416;6,7;24,8;33,6;29,1;5,1
1417;8,0;29,6;44,1;32,5;6,2
1418;9,5;25,2;28,3;26,3;6,8
1419;5,0;15,8;36,8;22,8;4,0
1420;9,1;21,5;44,8;31,8;7,7
1421;7,1;23,2;:;22,7;5,9
1422;4,8;:;:;10,5;4,4
1424;3,8;13,1;15,9;13,9;3,1
1426;6,9;16,6;37,7;21,5;6,1
1428;7,9;25,6;:;22,8;7,2
1429;8,1;27,7;:;24,1;7,2
1430;6,0;23,8;:;21,8;4,9
1431;6,9;5,9;61,4;25,8;5,8
1432;5,8;18,0;26,0;21,8;4,6
1433;6,0;17,4;:;14,6;5,5
1438;8,2;16,7;37,0;23,7;6,3
1439;7,2;21,6;13,4;19,2;6,1
1441;7,9;17,7;:;17,1;7,3
1443;6,9;15,9;46,8;28,7;5,4
1444;8,5;29,2;:;24,1;7,6
1445;8,1;20,8;44,2;31,7;6,7
1449;8,8;19,4;44,3;24,6;6,5
1502;6,3;16,1;31,8;23,4;4,9
1504;7,5;19,8;28,4;23,4;5,9
1505;8,0;23,1;34,5;28,4;6,1
1511;8,3;29,7;:;21,2;7,7
1514;7,3;12,0;:;12,0;6,6
1515;5,4;16,4;20,3;17,7;4,3
1516;5,5;8,9;23,7;14,7;4,3
1517;8,0;17,0;24,7;19,9;6,3
1519;9,8;23,4;53,4;40,2;7,9
1520;6,8;17,4;40,9;27,8;5,6
1523;6,2;22,2;:;19,4;4,4
1524;8,2;:;:;:;8,4
1525;5,9;11,0;:;10,7;5,3
1526;11,4;33,9;:;30,3;8,4
1528;7,1;17,9;29,4;22,6;5,5
1529;5,5;23,0;:;17,8;4,6
1531;5,9;15,8;17,5;16,4;5,0
1532;6,5;24,5;27,3;25,3;4,8
1534;7,3;16,7;23,1;19,2;5,8
1535;7,3;15,9;9,8;14,3;6,7
1539;6,7;17,6;14,4;16,8;6,0
1543;6,8;23,8;:;20,0;6,1
1545;6,4;18,1;19,3;18,5;5,0
1546;6,9;15,7;:;13,1;6,2
1547;6,7;16,2;28,4;20,1;5,4
1548;7,2;32,0;27,5;30,6;5,5
1551;7,8;34,9;24,4;30,9;6,2
1554;6,4;22,3;16,9;20,9;5,4
1557;6,6;10,6;25,5;15,6;6,1
1560;10,1;30,4;32,4;31,1;8,6
1563;8,6;23,5;46,6;39,7;6,6
1566;8,3;30,2;30,1;30,2;7,5
1567;7,0;:;:;:;6,6
1571;12,5;:;:;30;11,8
1573;9,1;26,1;:;24,4;8,0
1576;10,1;21,1;42,7;28,8;8,4
1601;10,1;18,5;34,2;28,0;8,3
1612;7,1;20,5;30,4;26,1;6,3
1613;9,3;:;:;:;9,0
1617;9,6;18,3;20,6;18,8;8,0
1620;8,5;14,7;:;13,7;7,6
1621;8,0;24,5;22,0;23,4;7,4
1622;9,8;50,7;:;38,0;8,0
1624;8,3;22,7;29,6;24,5;7,4
1627;11,1;25,4;23,2;24,7;10,5
1630;7,7;32;:;25,7;7,3
1632;10,3;44,2;:;42,6;8,2
1633;8,6;55;:;50;7,6
1634;8,3;24,1;44,7;32,3;6,7
1635;9,8;20,4;:;20,6;9,5
1636;9,0;33,0;:;27,4;8,2
1638;7,2;20,7;42,1;33,9;5,6
1640;7,3;20,5;35,5;26,3;6,2
1644;7,6;30,2;:;24,7;7,0
1648;8,2;14,9;33,3;18,2;7,1
1653;6,2;19,7;34,2;26,1;5,2
1657;4,9;12,5;32,7;20,6;4,3
1662;5,4;20,0;28,3;22,7;4,4
1663;4,8;21,6;18,2;20,4;3,8
1664;7,0;28,0;:;25,7;6,3
1665;6,7;:;:;:;6,4
1702;9,0;30,3;50,1;41,4;7,4
1703;7,9;10,1;48,2;33,5;6,4
1711;13,1;32,0;54,3;45,0;10,4
1714;7,1;19,8;37,5;31,1;5,7
1717;9,2;42,5;:;40,6;7,2
1718;7,7;:;23,1;19,2;7,1
1719;8,1;20,3;45,1;33,4;6,6
1721;8,6;19,7;51,0;36,8;7,3
1724;11,2;28,0;50,0;35,9;9,7
1725;10,1;40;:;38,5;9,1
1736;8,5;:;:;:;8,3
1738;8,1;:;:;:;7,8
1739;6,6;:;:;:;6,1
1740;7,7;:;:;:;7,1
1742;10,7;21,0;68,5;51,2;7,3
1743;7,1;:;:;:;6,8
1744;6,7;29,0;57,1;37,8;5,5
1748;13,5;51,5;:;43,9;11,2
1749;8,9;46,0;:;45,3;6,4
1750;6,6;22,8;36,0;28,2;5,0
1751;8,4;30,4;39,2;34,0;7,0
1755;10,9;:;:;:;10,2
1756;7,0;22,1;47,4;32,5;6,0
1804;6,1;17,0;31,5;25,2;4,9
1805;6,9;21,9;38,5;30,5;5,0
1811;12,5;:;:;:;12,0
1812;9,4;:;46,0;33,0;8,2
1813;8,6;22,2;44,8;35,5;7,1
1815;11,8;:;:;:;11,8
1816;6,1;:;:;:;5,9
1818;10,5;20,2;48,9;29,5;8,6
1820;7,1;24,1;39,5;33,1;5,3
1822;11,3;:;65,7;53,7;7,9
1824;6,7;17,3;37,3;29,0;5,7
1825;7,0;:;:;:;6,7
1826;9,4;36,6;62,1;47,1;7,4
1827;10,8;50,0;:;35,6;9,7
1828;13,8;17,5;73,8;45,6;10,5
1832;7,9;32,4;31,1;31,9;6,8
1833;6,5;18,4;39,8;29,8;5,4
1834;9,1;:;:;12,9;8,9
1835;12,4;:;:;:;11,6
1836;8,4;:;:;:;7,8
1837;7,5;23,4;26,3;24,8;6,7
1838;8,1;:;43,2;25,9;6,4
1839;6,7;:;:;:;6,1
1840;7,9;24,2;32,7;28,8;6,8
1841;6,8;18,8;48,2;33,9;5,4
1845;8,9;:;:;17,1;8,5
1848;12,2;40,4;59,3;47,3;9,8
1849;10,5;23,9;39,3;30,2;8,5
1850;10,4;33,9;50,0;39,3;9,0
1851;8,6;24,7;43,0;34,7;6,2
1852;7,2;:;:;:;7,1
1853;10,5;:;60,0;39,7;8,8
1854;9,5;26,7;38,1;32,5;8,2
1856;12,1;:;:;:;11,8
1857;12,8;36,4;:;32,7;11,1
1859;8,3;22,0;:;18,4;7,6
1860;9,7;23,0;46,1;35,9;7,9
1865;8,8;24,9;36,0;30,0;6,7
1866;9,9;29,1;38,8;35,7;7,7
1867;14,0;32,9;44,1;38,4;12,5
1868;10,6;32,0;30,5;31,5;9,1
1870;8,7;27,5;39,6;35,0;7,1
1871;9,7;23,3;56,1;40,3;7,6
1874;11,1;30,3;:;33,0;8,5
1902;7,7;20,2;29,6;24,7;6,2
1901;7,3;15,6;43,9;33,7;5,4
1911;9,8;16,4;59,7;45,5;6,7
1913;7,3;11,3;28,6;17,6;6,7
1917;11,0;:;44,4;31,3;9,9
1919;10,4;21,0;46,7;27,9;8,3
1920;8,4;:;:;:;7,9
1922;4,9;21,4;19,6;20,4;4,2
1923;8,5;35,3;48,0;44,0;6,5
1924;5,7;13,1;36,7;23,2;5,0
1925;6,1;15,4;25,8;19,3;5,4
1926;8,6;:;:;:;8,2
1927;9,7;:;50,0;33,3;8,1
1928;11,1;20,0;:;23,2;9,9
1929;11,8;32,7;51,1;41,4;7,8
1931;7,8;16,7;45,8;32,9;6,4
1933;7,9;20,2;:;16,7;7,5
1936;7,6;22,0;:;18,9;6,5
1938;8,5;24,5;:;21,2;8,1
1939;7,7;:;52,0;23,6;6,8
1940;8,6;:;21,7;20,8;8,1
1941;7,0;19,8;:;16,9;6,2
1942;8,1;15,7;47,0;33,8;6,9
1943;12,1;:;:;:;11,6
2002;10,6;35,0;28,6;32,8;8,2
2003;8,6;13,5;47,1;39,6;4,2
2004;6,0;11,4;29,1;20,7;3,9
2011;16,1;15,2;:;13,4;16,2
2012;5,3;11,1;22,4;17,1;4,5
2014;8,5;:;:;19,0;7,8
2015;9,4;27,3;:;24,2;6,4
2017;7,4;:;:;:;7,5
2018;9,2;17,5;:;15,9;8,3
2019;10,8;23,1;34,5;27,9;9,1
2020;7,9;26,4;25,6;26,0;6,7
2021;10,6;:;:;10,8;10,6
2022;9,6;20,8;:;19,6;8,6
2023;12,0;39,6;:;33,6;8,3
2024;8,0;:;:;17,2;7,3
2025;7,0;13,3;:;12,3;6,5
2027;10,1;:;:;:;9,6
2028;8,9;22,4;13,5;19,7;6,5
2030;5,3;16,8;17,3;17,1;4,0
