kommune_nr;spraak.alle_bhgalder.1.5_enhet.personer;spraak.alle_bhgalder.1_enhet.personer;spraak.alle_bhgalder.2_enhet.personer;spraak.alle_bhgalder.3_enhet.personer;spraak.alle_bhgalder.4_enhet.personer;spraak.alle_bhgalder.5_enhet.personer;spraak.alle_bhgalder.1.5_enhet.prosent;spraak.alle_bhgalder.1_enhet.prosent;spraak.alle_bhgalder.2_enhet.prosent;spraak.alle_bhgalder.3_enhet.prosent;spraak.alle_bhgalder.4_enhet.prosent;spraak.alle_bhgalder.5_enhet.prosent;spraak.minoritet_bhgalder.1.5_enhet.personer;spraak.minoritet_bhgalder.1_enhet.personer;spraak.minoritet_bhgalder.2_enhet.personer;spraak.minoritet_bhgalder.3_enhet.personer;spraak.minoritet_bhgalder.4_enhet.personer;spraak.minoritet_bhgalder.5_enhet.personer;spraak.minoritet_bhgalder.1.5_enhet.prosent;spraak.minoritet_bhgalder.1_enhet.prosent;spraak.minoritet_bhgalder.2_enhet.prosent;spraak.minoritet_bhgalder.3_enhet.prosent;spraak.minoritet_bhgalder.4_enhet.prosent;spraak.minoritet_bhgalder.5_enhet.prosent;spraak.ikke.minoritet_bhgalder.1.5_enhet.personer;spraak.ikke.minoritet_bhgalder.1_enhet.personer;spraak.ikke.minoritet_bhgalder.2_enhet.personer;spraak.ikke.minoritet_bhgalder.3_enhet.personer;spraak.ikke.minoritet_bhgalder.4_enhet.personer;spraak.ikke.minoritet_bhgalder.5_enhet.personer;spraak.ikke.minoritet_bhgalder.1.5_enhet.prosent;spraak.ikke.minoritet_bhgalder.1_enhet.prosent;spraak.ikke.minoritet_bhgalder.2_enhet.prosent;spraak.ikke.minoritet_bhgalder.3_enhet.prosent;spraak.ikke.minoritet_bhgalder.4_enhet.prosent;spraak.ikke.minoritet_bhgalder.5_enhet.prosent;barnikommune.alle_bhgalder.1.5_enhet.personer;barnikommune.alle_bhgalder.1_enhet.personer;barnikommune.alle_bhgalder.2_enhet.personer;barnikommune.alle_bhgalder.3_enhet.personer;barnikommune.alle_bhgalder.4_enhet.personer;barnikommune.alle_bhgalder.5_enhet.personer;barnikommune.alle_bhgalder.1.5_enhet.prosent;barnikommune.alle_bhgalder.1_enhet.prosent;barnikommune.alle_bhgalder.2_enhet.prosent;barnikommune.alle_bhgalder.3_enhet.prosent;barnikommune.alle_bhgalder.4_enhet.prosent;barnikommune.alle_bhgalder.5_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.1.5_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.1_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.2_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.3_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.4_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.5_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.1.5_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.1_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.2_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.3_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.4_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.5_enhet.prosent;barnikommune.barn.ellers_bhgalder.1.5_enhet.personer;barnikommune.barn.ellers_bhgalder.1_enhet.personer;barnikommune.barn.ellers_bhgalder.2_enhet.personer;barnikommune.barn.ellers_bhgalder.3_enhet.personer;barnikommune.barn.ellers_bhgalder.4_enhet.personer;barnikommune.barn.ellers_bhgalder.5_enhet.personer;barnikommune.barn.ellers_bhgalder.1.5_enhet.prosent;barnikommune.barn.ellers_bhgalder.1_enhet.prosent;barnikommune.barn.ellers_bhgalder.2_enhet.prosent;barnikommune.barn.ellers_bhgalder.3_enhet.prosent;barnikommune.barn.ellers_bhgalder.4_enhet.prosent;barnikommune.barn.ellers_bhgalder.5_enhet.prosent
1145;38;.;6;8;10;13;86,36363636;.;100;88,88888889;100;92,85714286;.;.;.;.;.;.;.;.;.;.;.;.;38;.;6;8;10;13;.;.;.;.;.;.;44;5;6;9;10;14;100;100;100;100;100;100;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1146;724;93;160;131;157;183;87,54534462;68,38235294;88,88888889;89,7260274;89,20454545;96,82539683;45;5;9;12;7;12;62,5;35,71428571;56,25;85,71428571;58,33333333;75;679;88;151;119;150;171;89,93377483;72,13114754;92,07317073;90,15151515;91,46341463;98,84393064;827;136;180;146;176;189;100;100;100;100;100;100;72;14;16;14;12;16;8,706166868;10,29411765;8,888888889;9,589041096;6,818181818;8,465608466;755;122;164;132;164;173;91,29383313;89,70588235;91,11111111;90,4109589;93,18181818;91,53439153
1149;2597;341;501;562;604;589;90,33043478;61,6636528;91,42335766;98,08027923;100;98,6599665;203;21;38;52;56;36;77,77777778;46,66666667;73,07692308;85,24590164;90,32258065;87,80487805;2394;320;463;510;548;553;91,58377965;62,99212598;93,34677419;99,609375;101,1070111;99,46043165;2875;553;548;573;604;597;100;100;100;100;100;100;261;45;52;61;62;41;9,07826087;8,137432188;9,489051095;10,64572426;10,26490066;6,867671692;2614;508;496;512;542;556;90,92173913;91,86256781;90,51094891;89,35427574;89,73509934;93,13232831
1151;12;.;4;.;5;.;75;.;100;.;100;.;.;.;.;.;.;.;.;.;.;.;.;.;12;.;4;.;5;.;.;.;.;.;.;.;16;4;4;.;5;.;100;100;100;.;100;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1160;493;51;109;114;111;108;84,41780822;49,51456311;89,3442623;91,2;93,27731092;93,91304348;60;.;14;16;15;12;66,66666667;.;63,63636364;76,19047619;83,33333333;80;433;48;95;98;96;96;87,65182186;53,93258427;95;94,23076923;95,04950495;96;584;103;122;125;119;115;100;100;100;100;100;100;90;14;22;21;18;15;15,4109589;13,59223301;18,03278689;16,8;15,12605042;13,04347826;494;89;100;104;101;100;84,5890411;86,40776699;81,96721311;83,2;84,87394958;86,95652174
1201;15086;2419;3082;3137;3253;3195;91,5246011;72,57725773;93,36564677;96,79111385;97,22056186;97,94604537;2133;272;444;476;478;463;75,26464361;43,10618067;75,3820034;83,21678322;89,51310861;91,14173228;12953;2147;2638;2661;2775;2732;94,90072533;79,45965951;97,27138643;99,70026227;98,68421053;99,20116195;16483;3333;3301;3241;3346;3262;100;100;100;100;100;100;2834;631;589;572;534;508;17,19347206;18,93189319;17,84307786;17,6488738;15,95935445;15,57326793;13649;2702;2712;2669;2812;2754;82,80652794;81,06810681;82,15692214;82,3511262;84,04064555;84,42673207
1211;272;36;58;75;46;57;93,79310345;69,23076923;98,30508475;100;102,2222222;96,61016949;23;.;.;10;.;9;104,5454545;.;.;100;.;128,5714286;249;36;55;65;45;48;92,91044776;.;100;100;.;92,30769231;290;52;59;75;45;59;100;100;100;100;100;100;22;.;4;10;.;7;7,586206897;.;6,779661017;13,33333333;.;11,86440678;268;.;55;65;.;52;92,4137931;.;93,22033898;86,66666667;.;88,13559322
1216;420;58;82;102;85;93;93,95973154;68,23529412;101,2345679;97,14285714;102,4096386;100;34;.;7;9;8;8;77,27272727;.;87,5;90;80;80;386;56;75;93;77;85;95,78163772;70,88607595;102,739726;97,89473684;105,4794521;102,4096386;447;85;81;105;83;93;100;100;100;100;100;100;44;6;8;10;10;10;9,843400447;7,058823529;9,87654321;9,523809524;12,04819277;10,75268817;403;79;73;95;73;83;90,15659955;92,94117647;90,12345679;90,47619048;87,95180723;89,24731183
1219;750;111;138;145;166;190;94,45843829;78,16901408;93,87755102;99,31506849;100;98,44559585;72;9;19;15;15;14;79,12087912;50;79,16666667;93,75;93,75;82,35294118;678;102;119;130;151;176;96,44381223;82,25806452;96,74796748;100;100,6666667;100;794;142;147;146;166;193;100;100;100;100;100;100;91;18;24;16;16;17;11,46095718;12,67605634;16,32653061;10,95890411;9,638554217;8,808290155;703;124;123;130;150;176;88,53904282;87,32394366;83,67346939;89,04109589;90,36144578;91,19170984
1221;1174;140;235;238;274;287;91,3618677;66,03773585;92,15686275;97,14285714;98,2078853;97,61904762;132;12;20;36;29;35;81,48148148;41,37931034;80;94,73684211;96,66666667;87,5;1042;128;215;202;245;252;92,7871772;69,94535519;93,47826087;97,58454106;98,3935743;99,21259843;1285;212;255;245;279;294;100;100;100;100;100;100;162;29;25;38;30;40;12,60700389;13,67924528;9,803921569;15,51020408;10,75268817;13,60544218;1123;183;230;207;249;254;87,39299611;86,32075472;90,19607843;84,48979592;89,24731183;86,39455782
