kommune_nr;spraaknivaa.alle_provetype.alle_enhet.personer;spraaknivaa.alle_provetype.muntlig_enhet.personer;spraaknivaa.alle_provetype.lytting_enhet.personer;spraaknivaa.alle_provetype.lese_enhet.personer;spraaknivaa.alle_provetype.skriftlig_enhet.personer;spraaknivaa.alle_provetype.alle_enhet.prosent;spraaknivaa.alle_provetype.muntlig_enhet.prosent;spraaknivaa.alle_provetype.lytting_enhet.prosent;spraaknivaa.alle_provetype.lese_enhet.prosent;spraaknivaa.alle_provetype.skriftlig_enhet.prosent;spraaknivaa.b1_provetype.alle_enhet.prosent;spraaknivaa.b1_provetype.muntlig_enhet.prosent;spraaknivaa.b1_provetype.lytting_enhet.prosent;spraaknivaa.b1_provetype.lese_enhet.prosent;spraaknivaa.b1_provetype.skriftlig_enhet.prosent;spraaknivaa.b1_provetype.alle_enhet.personer;spraaknivaa.b1_provetype.muntlig_enhet.personer;spraaknivaa.b1_provetype.lytting_enhet.personer;spraaknivaa.b1_provetype.lese_enhet.personer;spraaknivaa.b1_provetype.skriftlig_enhet.personer;spraaknivaa.a2_provetype.alle_enhet.prosent;spraaknivaa.a2_provetype.muntlig_enhet.prosent;spraaknivaa.a2_provetype.lytting_enhet.prosent;spraaknivaa.a2_provetype.lese_enhet.prosent;spraaknivaa.a2_provetype.skriftlig_enhet.prosent;spraaknivaa.a2_provetype.alle_enhet.personer;spraaknivaa.a2_provetype.muntlig_enhet.personer;spraaknivaa.a2_provetype.lytting_enhet.personer;spraaknivaa.a2_provetype.lese_enhet.personer;spraaknivaa.a2_provetype.skriftlig_enhet.personer;spraaknivaa.a1_provetype.alle_enhet.prosent;spraaknivaa.a1_provetype.muntlig_enhet.prosent;spraaknivaa.a1_provetype.lytting_enhet.prosent;spraaknivaa.a1_provetype.lese_enhet.prosent;spraaknivaa.a1_provetype.skriftlig_enhet.prosent;spraaknivaa.a1_provetype.alle_enhet.personer;spraaknivaa.a1_provetype.muntlig_enhet.personer;spraaknivaa.a1_provetype.lytting_enhet.personer;spraaknivaa.a1_provetype.lese_enhet.personer;spraaknivaa.a1_provetype.skriftlig_enhet.personer;spraaknivaa.under.a1_provetype.alle_enhet.prosent;spraaknivaa.under.a1_provetype.muntlig_enhet.prosent;spraaknivaa.under.a1_provetype.lytting_enhet.prosent;spraaknivaa.under.a1_provetype.lese_enhet.prosent;spraaknivaa.under.a1_provetype.skriftlig_enhet.prosent;spraaknivaa.under.a1_provetype.alle_enhet.personer;spraaknivaa.under.a1_provetype.muntlig_enhet.personer;spraaknivaa.under.a1_provetype.lytting_enhet.personer;spraaknivaa.under.a1_provetype.lese_enhet.personer;spraaknivaa.under.a1_provetype.skriftlig_enhet.personer;spraaknivaa.ikke.vurdert_provetype.alle_enhet.prosent;spraaknivaa.ikke.vurdert_provetype.muntlig_enhet.prosent;spraaknivaa.ikke.vurdert_provetype.lytting_enhet.prosent;spraaknivaa.ikke.vurdert_provetype.lese_enhet.prosent;spraaknivaa.ikke.vurdert_provetype.skriftlig_enhet.prosent;spraaknivaa.ikke.vurdert_provetype.alle_enhet.personer;spraaknivaa.ikke.vurdert_provetype.muntlig_enhet.personer;spraaknivaa.ikke.vurdert_provetype.lytting_enhet.personer;spraaknivaa.ikke.vurdert_provetype.lese_enhet.personer;spraaknivaa.ikke.vurdert_provetype.skriftlig_enhet.personer
1121;100;100;100;100;100;196;46;50;50;50;45,91836735;39;58;62;24;90;18;29;31;12;40,30612245;46;40;28;48;79;21;20;14;24;13,26530612;15;2;8;28;26;7;1;4;14;0,510204082;0;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
1122;100;100;100;100;100;25;1;8;8;8;.;:;:;:;:;.;.;.;.;.;.;:;:;:;:;.;.;.;.;.;.;:;:;:;:;.;.;.;.;.;.;:;:;:;:;.;.;.;.;.;.;:;:;:;:;.;.;.;.;.
1124;100;.;100;100;100;42;0;14;14;14;.;:;50;57;7;.;.;7;8;1;.;:;36;29;57;.;.;5;4;8;.;:;14;14;36;.;.;2;2;5;.;:;0;0;0;.;.;0;0;0;.;:;0;0;0;.;.;0;0;0
1127;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1129;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1130;100;100;100;100;100;110;29;27;27;27;41,81818182;28;52;70;19;46;8;14;19;5;42,72727273;38;48;19;67;47;11;13;5;18;15,45454545;34;0;11;15;17;10;0;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1133;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1134;100;100;100;100;100;8;2;2;2;2;.;:;:;:;:;.;.;.;.;.;.;:;:;:;:;.;.;.;.;.;.;:;:;:;:;.;.;.;.;.;.;:;:;:;:;.;.;.;.;.;.;:;:;:;:;.;.;.;.;.
1135;100;100;100;100;100;54;12;14;14;14;33,33333333;67;21;50;0;18;8;3;7;0;48,14814815;33;64;36;57;26;4;9;5;8;16,66666667;0;14;14;36;9;0;2;2;5;1,851851852;0;0;0;7;1;0;0;0;1;1,851851852;0;0;0;7;1;0;0;0;1
1141;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1142;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1144;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1145;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1146;100;100;100;100;100;35;5;10;10;10;.;:;20;20;0;.;.;2;2;0;.;:;80;70;70;.;.;8;7;7;.;:;0;10;30;.;.;0;1;3;.;:;0;0;0;.;.;0;0;0;.;:;0;0;0;.;.;0;0;0
1149;100;100;100;100;100;200;44;52;52;52;56;55;67;75;27;112;24;35;39;14;39;39;31;21;65;78;17;16;11;34;5;7;2;4;8;10;3;1;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1151;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1160;100;100;100;100;100;45;9;12;12;12;.;:;33;42;17;.;.;4;5;2;.;:;58;50;50;.;.;7;6;6;.;:;8;8;33;.;.;1;1;4;.;:;0;0;0;.;.;0;0;0;.;:;0;0;0;.;.;0;0;0
1201;100;100;100;100;100;1644;366;424;426;428;40,75425791;26;53;64;18;670;95;225;273;77;46,71532847;63;41;28;57;768;231;174;119;244;11,31386861;10;5;7;23;186;37;21;30;98;0,486618005;0;0;1;1;8;0;0;4;4;0,243309002;0;0;0;1;4;0;0;0;4
1211;100;100;100;100;100;46;10;12;12;12;47,82608696;40;42;83;25;22;4;5;10;3;45,65217391;60;58;17;50;21;6;7;2;6;6,52173913;0;0;0;25;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1216;100;100;100;100;100;36;9;9;9;9;.;:;:;:;:;.;.;.;.;.;.;:;:;:;:;.;.;.;.;.;.;:;:;:;:;.;.;.;.;.;.;:;:;:;:;.;.;.;.;.;.;:;:;:;:;.;.;.;.;.
1219;100;100;100;100;100;71;14;19;19;19;35,21126761;21;53;63;0;25;3;10;12;0;46,47887324;64;42;16;68;33;9;8;3;13;18,30985915;14;5;21;32;13;2;1;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1221;100;100;100;100;100;181;43;46;46;46;30,38674033;19;41;54;7;55;8;19;25;3;51,93370166;72;52;28;57;94;31;24;13;26;17,67955801;9;7;17;37;32;4;3;8;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1222;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1223;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1224;100;100;100;100;100;92;23;23;23;23;29,34782609;9;43;57;9;27;2;10;13;2;50;78;39;30;52;46;18;9;7;12;20,65217391;13;17;13;39;19;3;4;3;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1227;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
1228;100;100;100;100;100;31;7;8;8;8;.;:;:;:;:;.;.;.;.;.;.;:;:;:;:;.;.;.;.;.;.;:;:;:;:;.;.;.;.;.;.;:;:;:;:;.;.;.;.;.;.;:;:;:;:;.;.;.;.;.
1231;100;100;100;100;100;75;18;19;19;19;20;0;26;37;16;15;0;5;7;3;33,33333333;56;42;11;26;25;10;8;2;5;36;33;26;37;47;27;6;5;7;9;6,666666667;6;5;16;0;5;1;1;3;0;1,333333333;6;0;0;0;1;1;0;0;0
1232;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
