kommune_nr;innvkat.3.alle_vreg.3.alle_enhet.prosent_aar.2012;innvkat.3.innvandrere_vreg.3.1_enhet.prosent_aar.2012;innvkat.3.innvandrere_vreg.3.2_enhet.prosent_aar.2012;innvkat.3.innvandrere_vreg.3.alle_enhet.prosent_aar.2012;innvkat.3.befolkningen.ellers_vreg.3.alle_enhet.prosent_aar.2012
1120;5,0;16,3;25,8;20,0;3,6
1121;4,2;11,5;22,9;17,2;3,2
1122;3,8;8,1;16,3;11,0;3,1
1124;4,7;12,3;19,2;15,2;3,4
1127;3,8;15,0;16,4;15,5;3,0
1129;4,0;21,0;:;18,4;3,0
1130;5,2;17,3;19,7;18,4;4,3
1133;6,6;16,8;24,5;19,4;4,8
1134;6,8;9,6;38,6;19,0;6,0
1135;6,5;21,2;26,7;23,6;5,6
1141;6,2;20,2;:;19,8;4,8
1142;4,0;15,2;20,3;16,2;3,1
1144;5,7;:;:;:;4,8
1145;8,1;41,7;:;33,3;6,5
1146;4,0;13,6;30,3;21,8;3,1
1149;6,8;18,6;29,6;23,3;5,7
1151;5,3;:;:;:;4,6
1160;6,3;19,4;32,2;22,9;5,1
1201;8,0;18,1;29,6;24,6;6,2
1211;6,4;22,3;42,9;25,3;5,1
1216;6,4;18,8;27,4;22,3;5,4
1219;5,9;13,4;27,3;19,4;5,0
1221;5,3;13,6;28,4;21,0;4,2
1222;5,2;:;:;11,9;4,9
1223;7,7;25,0;:;20,7;7,0
1224;6,4;23,3;30,0;26,4;5,3
1227;7,3;:;:;:;6,6
1228;5,8;12,7;15,6;13,9;5,2
1231;6,2;12,7;28,2;19,1;5,3
1232;7,2;26,7;:;26,2;5,6
1233;5,9;:;:;:;5,9
1234;7,7;26,2;:;26,9;6,4
1235;6,9;26,3;37,0;31,6;5,8
1238;6,8;25,0;32,4;28,0;5,3
1241;6,5;18,5;:;15,0;6,1
1242;5,6;:;25,0;16,9;5,0
1243;5,9;20,2;19,3;19,9;4,9
1244;4,7;20,2;:;19,3;3,6
1245;6,3;16,0;29,0;21,8;4,9
1246;4,4;15,4;21,2;18,0;3,6
1247;4,9;14,8;25,2;19,2;4,1
1251;7,2;18,6;38,2;25,8;6,3
1252;6,8;:;:;:;6,9
1253;6,3;17,8;:;16,6;5,7
1256;4,5;16,9;18,5;17,6;3,8
1259;5,5;11,1;14,4;12,6;5,1
1260;6,9;17,8;21,3;18,6;6,0
1263;5,4;18,4;22,2;19,7;4,6
1264;5,1;10,8;:;11,8;4,4
1265;5,9;:;:;:;6,0
1266;6,0;:;:;:;5,7
1401;6,0;14,8;29,1;22,5;4,6
1411;6,9;:;:;12,8;6,6
1412;8,0;:;:;:;7,3
1413;7,2;:;:;10,1;6,9
1416;6,6;21,1;29,6;25,3;5,4
1417;8,4;25,0;:;26,2;7,3
1418;8,2;14,3;33,3;20,6;6,6
1419;4,8;:;:;22,0;4,0
1420;6,7;20,5;31,6;25,3;5,8
1421;7,4;23,8;:;20,3;6,7
1422;5,0;:;:;:;4,8
1424;3,5;14,2;14,7;14,4;2,6
1426;7,1;16,9;35,0;21,0;6,5
1428;6,9;28,6;:;23,2;6,3
1429;8,3;39,3;:;30,6;7,0
1430;7,6;20,8;:;19,5;7,0
1431;6,3;15,4;47,7;28,4;5,4
1432;5,1;12,5;24,3;18,1;4,4
1433;5,4;20,7;:;18,3;5,0
1438;6,6;14,3;13,6;14,1;6,0
1439;6,9;24,1;11,7;19,8;5,8
1441;7,0;:;:;11,1;6,8
1443;6,2;16,0;33,3;22,9;5,3
1444;7,5;:;:;:;7,3
1445;7,1;18,8;46,1;30,9;6,0
1449;7,3;12,5;38,3;18,4;6,0
1502;5,1;17,2;28,8;22,6;4,0
1504;6,6;20,3;25,7;22,7;5,3
1505;7,6;22,0;35,6;29,0;6,0
1511;7,3;33,8;:;25,0;6,7
