fylke_nr;spraak.alle_bhgalder.1.5_enhet.personer;spraak.alle_bhgalder.1_enhet.personer;spraak.alle_bhgalder.2_enhet.personer;spraak.alle_bhgalder.3_enhet.personer;spraak.alle_bhgalder.4_enhet.personer;spraak.alle_bhgalder.5_enhet.personer;spraak.alle_bhgalder.1.5_enhet.prosent;spraak.alle_bhgalder.1_enhet.prosent;spraak.alle_bhgalder.2_enhet.prosent;spraak.alle_bhgalder.3_enhet.prosent;spraak.alle_bhgalder.4_enhet.prosent;spraak.alle_bhgalder.5_enhet.prosent;spraak.minoritet_bhgalder.1.5_enhet.personer;spraak.minoritet_bhgalder.1_enhet.personer;spraak.minoritet_bhgalder.2_enhet.personer;spraak.minoritet_bhgalder.3_enhet.personer;spraak.minoritet_bhgalder.4_enhet.personer;spraak.minoritet_bhgalder.5_enhet.personer;spraak.minoritet_bhgalder.1.5_enhet.prosent;spraak.minoritet_bhgalder.1_enhet.prosent;spraak.minoritet_bhgalder.2_enhet.prosent;spraak.minoritet_bhgalder.3_enhet.prosent;spraak.minoritet_bhgalder.4_enhet.prosent;spraak.minoritet_bhgalder.5_enhet.prosent;spraak.ikke.minoritet_bhgalder.1.5_enhet.personer;spraak.ikke.minoritet_bhgalder.1_enhet.personer;spraak.ikke.minoritet_bhgalder.2_enhet.personer;spraak.ikke.minoritet_bhgalder.3_enhet.personer;spraak.ikke.minoritet_bhgalder.4_enhet.personer;spraak.ikke.minoritet_bhgalder.5_enhet.personer;spraak.ikke.minoritet_bhgalder.1.5_enhet.prosent;spraak.ikke.minoritet_bhgalder.1_enhet.prosent;spraak.ikke.minoritet_bhgalder.2_enhet.prosent;spraak.ikke.minoritet_bhgalder.3_enhet.prosent;spraak.ikke.minoritet_bhgalder.4_enhet.prosent;spraak.ikke.minoritet_bhgalder.5_enhet.prosent;barnikommune.alle_bhgalder.1.5_enhet.personer;barnikommune.alle_bhgalder.1_enhet.personer;barnikommune.alle_bhgalder.2_enhet.personer;barnikommune.alle_bhgalder.3_enhet.personer;barnikommune.alle_bhgalder.4_enhet.personer;barnikommune.alle_bhgalder.5_enhet.personer;barnikommune.alle_bhgalder.1.5_enhet.prosent;barnikommune.alle_bhgalder.1_enhet.prosent;barnikommune.alle_bhgalder.2_enhet.prosent;barnikommune.alle_bhgalder.3_enhet.prosent;barnikommune.alle_bhgalder.4_enhet.prosent;barnikommune.alle_bhgalder.5_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.1.5_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.1_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.2_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.3_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.4_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.5_enhet.personer;barnikommune.innvandrerbakgr_bhgalder.1.5_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.1_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.2_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.3_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.4_enhet.prosent;barnikommune.innvandrerbakgr_bhgalder.5_enhet.prosent;barnikommune.barn.ellers_bhgalder.1.5_enhet.personer;barnikommune.barn.ellers_bhgalder.1_enhet.personer;barnikommune.barn.ellers_bhgalder.2_enhet.personer;barnikommune.barn.ellers_bhgalder.3_enhet.personer;barnikommune.barn.ellers_bhgalder.4_enhet.personer;barnikommune.barn.ellers_bhgalder.5_enhet.personer;barnikommune.barn.ellers_bhgalder.1.5_enhet.prosent;barnikommune.barn.ellers_bhgalder.1_enhet.prosent;barnikommune.barn.ellers_bhgalder.2_enhet.prosent;barnikommune.barn.ellers_bhgalder.3_enhet.prosent;barnikommune.barn.ellers_bhgalder.4_enhet.prosent;barnikommune.barn.ellers_bhgalder.5_enhet.prosent
10;10483;1365;2082;2217;2313;2506;88,49400642;61,01922217;88,48278793;94,74358974;97,43049705;98,58379229;1240;106;230;266;300;338;73,15634218;32,31707317;63,71191136;85,25641026;91,74311927;92,09809264;9243;1259;1852;1951;2013;2168;91,05506847;65,95075956;92,97188755;96,20315582;98,33903273;99,67816092;11846;2237;2353;2340;2374;2542;100;100;100;100;100;100;1695;328;361;312;327;367;14,30862738;14,66249441;15,34211645;13,33333333;13,77422072;14,43745083;10151;1909;1992;2028;2047;2175;85,69137262;85,33750559;84,65788355;86,66666667;86,22577928;85,56254917
11;29194;3981;5894;6283;6574;6462;88,50153091;62,65344665;89,92981385;95,58801156;96,25183016;96,79448772;4217;484;891;989;986;867;76,47805586;42,19703575;76,87661777;88,69955157;87,17948718;90,12474012;24977;3497;5003;5294;5588;5595;90,91471627;67,15959286;92,73401297;96,99523635;98,05228988;97,91739587;32987;6354;6554;6573;6830;6676;100;100;100;100;100;100;5514;1147;1159;1115;1131;962;16,71567587;18,05162103;17,68385719;16,96333485;16,55929722;14,40982624;27473;5207;5395;5458;5699;5714;83,28432413;81,94837897;82,31614281;83,03666515;83,44070278;85,59017376
12;29610;4448;6015;6181;6419;6547;91,0712638;70,61438324;92,95317571;96,00807704;97,24284199;97,65811456;3331;397;678;759;722;775;74,00577649;40,6345957;72,98170075;82,76990185;86,98795181;91,39150943;26279;4051;5337;5422;5697;5772;93,8133657;76,11800075;96,30097438;98,20684659;98,71772656;98,56557377;32513;6299;6471;6438;6601;6704;100;100;100;100;100;100;4501;977;929;917;830;848;13,84369329;15,51039848;14,35635914;14,2435539;12,57385245;12,64916468;28012;5322;5542;5521;5771;5856;86,15630671;84,48960152;85,64364086;85,7564461;87,42614755;87,35083532
14;5856;790;1172;1286;1303;1305;92,84921516;70,1598579;95,67346939;97,64616553;98,41389728;99,23954373;669;76;155;144;135;159;87,56544503;50,33112583;88,06818182;103,5971223;96,42857143;100,6329114;5187;714;1017;1142;1168;1146;93,57748512;73,23076923;96,94947569;96,94397284;98,64864865;99,04926534;6307;1126;1225;1317;1324;1315;100;100;100;100;100;100;764;151;176;139;140;158;12,11352466;13,41030195;14,36734694;10,55429005;10,57401813;12,01520913;5543;975;1049;1178;1184;1157;87,88647534;86,58969805;85,63265306;89,44570995;89,42598187;87,98479087
15;14316;2057;2850;3044;3062;3303;92,48659474;71,29982669;94,46470003;97,53284204;98,77419355;98,42073897;1536;194;307;348;350;337;79,75077882;48,5;79,53367876;90,38961039;93,08510638;88,9182058;12780;1863;2543;2696;2712;2966;94,29646573;74,96981891;96,65526416;98,5380117;99,55947137;99,6305005;15479;2885;3017;3121;3100;3356;100;100;100;100;100;100;1926;400;386;385;376;379;12,44266425;13,86481802;12,79416639;12,33578981;12,12903226;11,2932062;13553;2485;2631;2736;2724;2977;87,55733575;86,13518198;87,20583361;87,66421019;87,87096774;88,7067938
16;17640;2830;3526;3692;3811;3781;93,96473659;76,58998647;96,44420131;98,84872825;98,3483871;99,18677859;1764;209;357;441;381;376;83,76068376;49,17647059;86,23188406;97,13656388;91,36690647;94,94949495;15876;2621;3169;3251;3430;3405;95,25409492;80,1529052;97,74830352;99,08564462;99,1902834;99,67798595;18773;3695;3656;3735;3875;3812;100;100;100;100;100;100;2106;425;414;454;417;396;11,21823896;11,50202977;11,3238512;12,15528782;10,76129032;10,38824764;16667;3270;3242;3281;3458;3416;88,78176104;88,49797023;88,6761488;87,84471218;89,23870968;89,61175236
17;7459;1125;1457;1564;1628;1685;93,30748061;72,58064516;95,35340314;98,36477987;99,51100244;99,70414201;559;72;103;137;133;114;80,43165468;48,32214765;76,2962963;89,54248366;98,51851852;92,68292683;6900;1053;1354;1427;1495;1571;94,53349774;75,16059957;97,20028715;99,30410578;99,60026649;100,2552648;7994;1550;1528;1590;1636;1690;100;100;100;100;100;100;695;149;135;153;135;123;8,694020515;9,612903226;8,835078534;9,622641509;8,251833741;7,278106509;7299;1401;1393;1437;1501;1567;91,30597948;90,38709677;91,16492147;90,37735849;91,74816626;92,72189349
18;12195;1856;2435;2539;2629;2736;91,68483573;72,92730845;93,50998464;95,77517918;97,84145888;97,22814499;1075;155;245;213;260;202;83,85335413;60,546875;88,1294964;88,75;97,01492537;84,16666667;11120;1701;2190;2326;2369;2534;92,52017639;74,31192661;94,15305245;96,47449191;97,93303018;98,44599845;13301;2545;2604;2651;2687;2814;100;100;100;100;100;100;1282;256;278;240;268;240;9,638373055;10,0589391;10,67588326;9,053187476;9,973948642;8,528784648;12019;2289;2326;2411;2419;2574;90,36162695;89,9410609;89,32411674;90,94681252;90,02605136;91,47121535
19;8647;1351;1679;1767;1943;1907;93,4406743;75,47486034;95,1814059;97,89473684;98,47947288;99,21956296;774;110;144;165;204;151;83,94793926;53,39805825;76,59574468;98,21428571;97,14285714;100,6666667;7873;1241;1535;1602;1739;1756;94,49111858;78,3459596;97,39847716;97,86194258;98,63868406;99,09706546;9254;1790;1764;1805;1973;1922;100;100;100;100;100;100;922;206;188;168;210;150;9,963259131;11,50837989;10,65759637;9,307479224;10,64368981;7,804370447;8332;1584;1576;1637;1763;1772;90,03674087;88,49162011;89,34240363;90,69252078;89,35631019;92,19562955
20;3770;589;734;778;806;863;90,0621118;71,82926829;91,75;94,53219927;96,875;94,73106476;431;69;82;98;98;84;83,04431599;54,33070866;76,63551402;102,0833333;96,07843137;96,55172414;3339;520;652;680;708;779;91,0553586;75,03607504;94,08369408;93,53507565;96,98630137;94,53883495;4186;820;800;823;832;911;100;100;100;100;100;100;519;127;107;96;102;87;12,39847109;15,48780488;13,375;11,66464156;12,25961538;9,549945115;3667;693;693;727;730;824;87,60152891;84,51219512;86,625;88,33535844;87,74038462;90,45005488
