kom;komnr;navn;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10
1231 Ullensvang;1231;Ullensvang;7056420;6500500;1661000;4839500;0;0;380520;65400;0;110000
1232 Eidfjord;1232;Eidfjord;160000;160000;0;160000;0;0;0;0;0;0
1233 Ulvik;1233;Ulvik;0;0;0;0;0;0;0;0;0;0
1234 Granvin;1234;Granvin;126840;0;0;0;0;0;126840;0;0;0
1235 Voss;1235;Voss;8670040;7843000;0;7843000;0;0;761040;0;0;66000
1238 Kvam;1238;Kvam;9724440;8678000;291500;8386500;776800;0;126840;21800;0;121000
1241 Fusa;1241;Fusa;0;0;0;0;0;0;0;0;0;0
1242 Samnanger;1242;Samnanger;4968295;2311500;135000;2176500;2590795;0;0;0;0;66000
1243 Os (Hord.);1243;Os (Hord.);6740980;6222500;1711000;4511500;155400;0;253680;65400;0;44000
1244 Austevoll;1244;Austevoll;215000;215000;0;215000;0;0;0;0;0;0
1245 Sund;1245;Sund;3858140;3632500;718000;2914500;0;0;126840;21800;0;77000
1246 Fjell;1246;Fjell;12781600;12485000;2422000;10063000;0;0;0;43600;0;253000
1247 Askøy;1247;Askøy;19150823;15655000;4208500;11446500;1258097;0;1426026;87200;428000;296500
1251 Vaksdal;1251;Vaksdal;7672800;7554000;2331500;5222500;0;0;0;64300;0;54500
1252 Modalen;1252;Modalen;126840;0;0;0;0;0;126840;0;0;0
1253 Osterøy;1253;Osterøy;0;0;0;0;0;0;0;0;0;0
1256 Meland;1256;Meland;6380680;6050000;1205000;4845000;0;0;253680;0;0;77000
1259 Øygarden;1259;Øygarden;7181400;6974000;3881000;3093000;0;0;0;65400;0;142000
1260 Radøy;1260;Radøy;2698375;2643375;1138000;1505375;0;0;0;0;0;55000
1263 Lindås;1263;Lindås;6037900;5273000;1930500;3342500;0;0;634200;0;0;130700
1264 Austrheim;1264;Austrheim;205000;205000;0;205000;0;0;0;0;0;0
1265 Fedje;1265;Fedje;0;0;0;0;0;0;0;0;0;0
1266 Masfjorden;1266;Masfjorden;0;0;0;0;0;0;0;0;0;0
1401 Flora;1401;Flora;29290241;25754500;8544000;17210500;558381;0;2409960;259400;0;308000
1411 Gulen;1411;Gulen;0;0;0;0;0;0;0;0;0;0
1412 Solund;1412;Solund;0;0;0;0;0;0;0;0;0;0
1413 Hyllestad;1413;Hyllestad;0;0;0;0;0;0;0;0;0;0
