kommune_nr;bosatt_2015_personer;anmodning_2015_personer;vedtak_2015_personer;anmodning_2016_personer;vedtak_2016_personer;bosatt_2016_personer;anmodning_2017_personer;vedtak_2017_personer;bosatt_2017_personer;bosatt_2015_prosent;anmodning_2015_prosent;vedtak_2015_prosent;anmodning_2016_prosent;vedtak_2016_prosent;bosatt_2016_prosent;anmodning_2017_prosent;vedtak_2017_prosent;bosatt_2017_prosent
1822;;20;25;35;27;;40;.;;;100;125;100;77,14285714;;100;.;
1824;;30;38;50;40;;60;.;;;100;126,6666667;100;80;;100;.;
1825;;15;20;25;.;;30;.;;;100;133,3333333;100;.;;100;.;
1826;;15;.;20;.;;25;.;;;100;.;100;.;;100;.;
1827;;10;17;20;15;;25;10;;;100;170;100;75;;100;40;
1828;;20;20;40;20;;45;20;;;100;100;100;50;;100;44,44444444;
1832;;10;10;20;15;;25;15;;;100;100;100;75;;100;60;
1833;;50;50;80;50;;100;50;;;100;100;100;62,5;;100;50;
1834;;15;.;20;.;;25;.;;;100;.;100;.;;100;.;
1835;;10;.;15;10;;20;.;;;100;.;100;66,66666667;;100;.;
1836;;15;0;20;.;;25;.;;;100;0;100;.;;100;.;
1837;;15;19;30;30;;35;.;;;100;126,6666667;100;100;;100;.;
1838;;15;15;30;.;;35;.;;;100;100;100;.;;100;.;
1839;;10;10;20;10;;25;10;;;100;100;100;50;;100;40;
1840;;20;20;40;30;;45;30;;;100;100;100;75;;100;66,66666667;
1841;;30;48;50;40;;55;.;;;100;160;100;80;;100;.;
1845;;10;.;20;5;;25;5;;;100;.;100;25;;100;20;
1848;;10;10;20;20;;25;15;;;100;100;100;100;;100;60;
1849;;20;22;30;20;;35;30;;;100;110;100;66,66666667;;100;85,71428571;
1850;;15;.;15;.;;20;.;;;100;.;100;.;;100;.;
1851;;15;10;20;10;;25;.;;;100;66,66666667;100;50;;100;.;
1852;;15;.;20;.;;25;.;;;100;.;100;.;;100;.;
1853;;15;25;40;25;;40;.;;;100;166,6666667;100;62,5;;100;.;
1854;;15;20;30;20;;30;.;;;100;133,3333333;100;66,66666667;;100;.;
1856;;10;.;15;.;;20;.;;;100;.;100;.;;100;.;
1857;;10;.;15;.;;20;.;;;100;.;100;.;;100;.;
1859;;15;.;20;15;;25;15;;;100;.;100;75;;100;60;
1860;;40;40;55;45;;55;.;;;100;100;100;81,81818182;;100;.;
1865;;40;63;65;50;;65;50;;;100;157,5;100;76,92307692;;100;76,92307692;
1866;;25;15;55;.;;60;.;;;100;60;100;.;;100;.;
1867;;15;25;20;25;;25;15;;;100;166,6666667;100;125;;100;60;
1868;;15;24;21;21;;25;.;;;100;160;100;100;;100;.;
1870;;35;35;55;.;;60;.;;;100;100;100;.;;100;.;
1871;;30;48;50;40;;55;50;;;100;160;100;80;;100;90,90909091;
1874;;15;0;20;.;;25;.;;;100;0;100;.;;100;.;
1902;;195;195;195;195;;195;195;;;100;100;100;100;;100;100;
1903;;70;83;90;90;;100;.;;;100;118,5714286;100;100;;100;.;
1911;;20;15;20;20;;25;20;;;100;75;100;100;;100;80;
1913;;15;15;15;15;;20;20;;;100;100;100;100;;100;100;
1917;;15;5;20;10;;20;20;;;100;33,33333333;100;50;;100;100;
1919;;10;10;15;20;;20;10;;;100;100;100;133,3333333;;100;50;
1920;;15;20;20;20;;20;.;;;100;133,3333333;100;100;;100;.;
1922;;15;19;21;21;;20;.;;;100;126,6666667;100;100;;100;.;
1923;;20;25;30;27;;35;25;;;100;125;100;90;;100;71,42857143;
1924;;20;10;20;15;;20;15;;;100;50;100;75;;100;75;
1925;;20;17;25;25;;30;25;;;100;85;100;100;;100;83,33333333;
1926;;15;.;15;10;;20;12;;;100;.;100;66,66666667;;100;60;
1927;;15;15;15;15;;20;15;;;100;100;100;100;;100;75;
1928;;10;14;15;10;;20;.;;;100;140;100;66,66666667;;100;.;
1929;;10;10;15;10;;20;.;;;100;100;100;66,66666667;;100;.;
1931;;45;55;65;65;;70;.;;;100;122,2222222;100;100;;100;.;
1933;;20;20;20;20;;20;.;;;100;100;100;100;;100;.;
1936;;10;7;15;10;;20;10;;;100;70;100;66,66666667;;100;50;
1938;;15;0;15;.;;20;.;;;100;0;100;.;;100;.;
1939;;10;5;15;5;;20;5;;;100;50;100;33,33333333;;100;25;
1940;;10;10;15;10;;20;.;;;100;100;100;66,66666667;;100;.;
1941;;10;20;20;20;;20;10;;;100;200;100;100;;100;50;
1942;;20;25;30;25;;35;25;;;100;125;100;83,33333333;;100;71,42857143;
1943;;15;.;15;.;;20;.;;;100;.;100;.;;100;.;
2002;;20;.;25;25;;30;25;;;100;.;100;100;;100;83,33333333;
2003;;90;70;90;70;;90;60;;;100;77,77777778;100;77,77777778;;100;66,66666667;
2004;;30;48;60;40;;75;34;;;100;160;100;66,66666667;;100;45,33333333;
2011;;20;0;20;.;;25;.;;;100;0;100;.;;100;.;
2012;;40;50;92;50;;104;.;;;100;125;100;54,34782609;;100;.;
2014;;15;.;15;12;;20;.;;;100;.;100;80;;100;.;
2015;;15;0;20;20;;25;.;;;100;0;100;100;;100;.;
2017;;10;12;20;10;;25;.;;;100;120;100;50;;100;.;
2018;;15;0;15;.;;20;.;;;100;0;100;.;;100;.;
2019;;10;10;25;10;;30;.;;;100;100;100;40;;100;.;
2020;;20;15;25;25;;30;25;;;100;75;100;100;;100;83,33333333;
2021;;20;10;20;10;;25;.;;;100;50;100;50;;100;.;
2022;;15;.;15;8;;20;8;;;100;.;100;53,33333333;;100;40;
2023;;15;.;15;15;;20;.;;;100;.;100;100;;100;.;
2024;;15;0;15;0;;20;.;;;100;0;100;0;;100;.;
2025;;15;15;20;15;;25;.;;;100;100;100;75;;100;.;
2027;;10;10;15;10;;20;.;;;100;100;100;66,66666667;;100;.;
2028;;10;14;25;17;;25;.;;;100;140;100;68;;100;.;
2030;;40;80;80;80;;85;.;;;100;200;100;100;;100;.;
