kommune_nr;bosatt_2015_personer;anmodning_2015_personer;vedtak_2015_personer;anmodning_2016_personer;vedtak_2016_personer;bosatt_2016_personer;anmodning_2017_personer;vedtak_2017_personer;bosatt_2017_personer;bosatt_2015_prosent;anmodning_2015_prosent;vedtak_2015_prosent;anmodning_2016_prosent;vedtak_2016_prosent;bosatt_2016_prosent;anmodning_2017_prosent;vedtak_2017_prosent;bosatt_2017_prosent
0513;;10;5;15;15;;15;.;;;100;50;100;100;;100;.;
0514;;10;17;15;14;;15;.;;;100;170;100;93,33333333;;100;.;
0515;;12;12;18;12;;18;.;;;100;100;100;66,66666667;;100;.;
0516;;20;32;27;15;;27;15;;;100;160;100;55,55555556;;100;55,55555556;
0517;;15;24;25;21;;25;15;;;100;160;100;84;;100;60;
0519;;10;8;15;14;;15;.;;;100;80;100;93,33333333;;100;.;
0520;;10;15;15;15;;15;15;;;100;150;100;100;;100;100;
0521;;15;24;25;21;;25;.;;;100;160;100;84;;100;.;
0522;;15;9;25;.;;30;.;;;100;60;100;.;;100;.;
0528;;25;20;55;20;;65;.;;;100;80;100;36,36363636;;100;.;
0529;;25;25;50;27;;60;.;;;100;100;100;54;;100;.;
0532;;15;15;25;20;;30;20;;;100;100;100;80;;100;66,66666667;
0533;;35;34;40;40;;45;45;;;100;97,14285714;100;100;;100;100;
0534;;35;40;50;50;;60;60;;;100;114,2857143;100;100;;100;100;
0536;;10;10;20;20;;25;20;;;100;100;100;100;;100;80;
0538;;15;24;25;21;;30;21;;;100;160;100;84;;100;70;
0540;;10;10;15;11;;15;.;;;100;100;100;73,33333333;;100;.;
0541;;10;10;15;13;;15;17;;;100;100;100;86,66666667;;100;113,3333333;
0542;;15;20;25;.;;30;.;;;100;133,3333333;100;.;;100;.;
0543;;10;5;15;13;;15;13;;;100;50;100;86,66666667;;100;86,66666667;
0544;;10;17;15;15;;15;9;;;100;170;100;100;;100;60;
0545;;10;11;15;3;;15;3;;;100;110;100;20;;100;20;
0602;;130;170;230;170;;300;.;;;100;130,7692308;100;73,91304348;;100;.;
0604;;50;48;95;27;;120;.;;;100;96;100;28,42105263;;100;.;
0605;;45;71;100;100;;130;130;;;100;157,7777778;100;100;;100;100;
0612;;15;10;25;20;;30;20;;;100;66,66666667;100;80;;100;66,66666667;
0615;;10;10;15;15;;15;15;;;100;100;100;100;;100;100;
0616;;10;4;15;13;;15;.;;;100;40;100;86,66666667;;100;.;
0617;;10;15;15;20;;20;20;;;100;150;100;133,3333333;;100;100;
0618;;10;8;15;5;;15;.;;;100;80;100;33,33333333;;100;.;
0619;;10;15;20;25;;20;.;;;100;150;100;125;;100;.;
0620;;10;10;20;10;;20;10;;;100;100;100;50;;100;50;
0621;;10;17;17;17;;17;5;;;100;170;100;100;;100;29,41176471;
0622;;10;14;15;.;;15;.;;;100;140;100;.;;100;.;
0623;;25;40;50;33;;60;.;;;100;160;100;66;;100;.;
0624;;35;30;70;50;;80;.;;;100;85,71428571;100;71,42857143;;100;.;
0625;;45;45;85;55;;100;.;;;100;100;100;64,70588235;;100;.;
0626;;45;40;90;56;;110;56;;;100;88,88888889;100;62,22222222;;100;50,90909091;
0627;;40;33;80;37;;90;.;;;100;82,5;100;46,25;;100;.;
0628;;20;32;35;32;;40;32;;;100;160;100;91,42857143;;100;80;
0631;;14;14;15;14;;15;.;;;100;100;100;93,33333333;;100;.;
0632;;10;10;15;15;;15;15;;;100;100;100;100;;100;100;
0633;;10;12;15;15;;15;.;;;100;120;100;100;;100;.;
0701;;40;60;70;70;;85;.;;;100;150;100;100;;100;.;
0702;;18;16;40;29;;50;.;;;100;88,88888889;100;72,5;;100;.;
0704;;55;86;110;110;;125;.;;;100;156,3636364;100;100;;100;.;
0706;;55;86;110;110;;125;.;;;100;156,3636364;100;100;;100;.;
0709;;55;86;110;110;;125;.;;;100;156,3636364;100;100;;100;.;
0711;;15;15;25;20;;30;.;;;100;100;100;80;;100;.;
0713;;15;24;35;29;;45;.;;;100;160;100;82,85714286;;100;.;
0714;;15;5;25;15;;30;.;;;100;33,33333333;100;60;;100;.;
0716;;25;40;40;30;;45;.;;;100;160;100;75;;100;.;
0719;;15;24;25;21;;30;.;;;100;160;100;84;;100;.;
0720;;25;40;40;33;;50;.;;;100;160;100;82,5;;100;.;
0722;;30;48;60;60;;75;.;;;100;160;100;100;;100;.;
0723;;15;15;25;25;;30;.;;;100;100;100;100;;100;.;
0728;;15;8;25;10;;30;.;;;100;53,33333333;100;40;;100;.;
0805;;90;50;110;110;;140;.;;;100;55,55555556;100;100;;100;.;
0806;;120;78;150;200;;210;200;;;100;65;100;133,3333333;;100;95,23809524;
0807;;45;60;65;64;;80;.;;;100;133,3333333;100;98,46153846;;100;.;
0811;;10;10;25;20;;25;.;;;100;100;100;80;;100;.;
0814;;50;50;60;50;;80;50;;;100;100;100;83,33333333;;100;62,5;
0815;;50;55;60;40;;75;40;;;100;110;100;66,66666667;;100;53,33333333;
0817;;15;24;30;21;;30;.;;;100;160;100;70;;100;.;
0819;;25;25;35;35;;45;45;;;100;100;100;100;;100;100;
0821;;25;26;35;35;;45;.;;;100;104;100;100;;100;.;
0822;;27;27;30;30;;45;45;;;100;100;100;100;;100;100;
0826;;20;15;35;.;;45;.;;;100;75;100;.;;100;.;
0827;;10;17;15;14;;20;.;;;100;170;100;93,33333333;;100;.;
0828;;15;12;20;8;;20;.;;;100;80;100;40;;100;.;
0829;;10;.;20;10;;20;10;;;100;.;100;50;;100;50;
0830;;10;15;15;15;;20;10;;;100;150;100;100;;100;50;
0831;;10;10;15;10;;15;10;;;100;100;100;66,66666667;;100;66,66666667;
0833;;10;14;15;15;;20;.;;;100;140;100;100;;100;.;
0834;;10;12;20;20;;25;25;;;100;120;100;100;;100;100;
0901;;30;35;40;40;;45;25;;;100;116,6666667;100;100;;100;55,55555556;
0904;;45;71;90;90;;100;100;;;100;157,7777778;100;100;;100;100;
0906;;125;125;150;150;;180;180;;;100;100;100;100;;100;100;
0911;;15;15;30;15;;40;14;;;100;100;100;50;;100;35;
0912;;10;18;25;20;;25;20;;;100;180;100;80;;100;80;
0914;;20;10;35;30;;45;30;;;100;50;100;85,71428571;;100;66,66666667;
0919;;15;5;30;15;;35;20;;;100;33,33333333;100;50;;100;57,14285714;
0926;;40;35;50;40;;65;.;;;100;87,5;100;80;;100;.;
0928;;20;21;30;12;;40;.;;;100;105;100;40;;100;.;
0929;;15;15;15;15;;20;20;;;100;100;100;100;;100;100;
0935;;10;6;15;7;;15;7;;;100;60;100;46,66666667;;100;46,66666667;
0937;;20;15;35;20;;40;.;;;100;75;100;57,14285714;;100;.;
0938;;10;10;10;10;;10;.;;;100;100;100;100;;100;.;
0940;;10;10;10;13;;15;.;;;100;100;100;130;;100;.;
0941;;10;10;15;15;;10;15;;;100;100;100;100;;100;150;
1001;;210;210;260;230;;340;230;;;100;100;100;88,46153846;;100;67,64705882;
1002;;40;63;75;75;;85;.;;;100;157,5;100;100;;100;.;
1003;;45;50;60;50;;65;35;;;100;111,1111111;100;83,33333333;;100;53,84615385;
1004;;40;63;60;50;;65;.;;;100;157,5;100;83,33333333;;100;.;
1014;;45;56;75;60;;85;60;;;100;124,4444444;100;80;;100;70,58823529;
1017;;35;35;40;40;;45;.;;;100;100;100;100;;100;.;
1018;;45;20;65;40;;70;55;;;100;44,44444444;100;61,53846154;;100;78,57142857;
1021;;10;10;25;20;;25;.;;;100;100;100;80;;100;.;
1026;;10;5;10;.;;15;.;;;100;50;100;.;;100;.;
1027;;10;14;20;15;;25;10;;;100;140;100;75;;100;40;
1029;;20;15;35;35;;40;.;;;100;75;100;100;;100;.;
1032;;35;56;60;58;;65;30;;;100;160;100;96,66666667;;100;46,15384615;
1034;;10;5;15;5;;20;.;;;100;50;100;33,33333333;;100;.;
1037;;30;30;40;40;;45;.;;;100;100;100;100;;100;.;
1046;;10;15;15;10;;25;10;;;100;150;100;66,66666667;;100;40;
1101;;35;35;50;35;;58;.;;;100;100;100;70;;100;.;
1102;;70;73;170;170;;196;196;;;100;104,2857143;100;100;;100;100;
1103;;120;120;370;364;;426;150;;;100;100;100;98,37837838;;100;35,21126761;
1106;;60;95;105;95;;121;60;;;100;158,3333333;100;90,47619048;;100;49,58677686;
1111;;10;20;25;20;;29;.;;;100;200;100;80;;100;.;
1112;;20;15;25;15;;35;10;;;100;75;100;60;;100;28,57142857;
1114;;10;10;20;10;;23;10;;;100;100;100;50;;100;43,47826087;
1119;;30;30;55;40;;63;40;;;100;100;100;72,72727273;;100;63,49206349;
1120;;35;37;55;32;;63;.;;;100;105,7142857;100;58,18181818;;100;.;
1121;;35;30;55;40;;63;40;;;100;85,71428571;100;72,72727273;;100;63,49206349;
1122;;30;30;45;45;;52;45;;;100;100;100;100;;100;86,53846154;
1124;;35;35;75;50;;86;50;;;100;100;100;66,66666667;;100;58,13953488;
1127;;30;48;50;40;;58;.;;;100;160;100;80;;100;.;
1129;;6;5;20;15;;23;15;;;100;83,33333333;100;75;;100;65,2173913;
1130;;30;25;45;25;;52;.;;;100;83,33333333;100;55,55555556;;100;.;
1133;;20;15;30;25;;35;15;;;100;75;100;83,33333333;;100;42,85714286;
1134;;20;20;30;25;;35;25;;;100;100;100;83,33333333;;100;71,42857143;
1135;;20;20;30;20;;35;.;;;100;100;100;66,66666667;;100;.;
1141;;10;17;20;14;;23;15;;;100;170;100;70;;100;65,2173913;
1142;;20;20;35;20;;40;.;;;100;100;100;57,14285714;;100;.;
1144;;6;.;12;.;;14;.;;;100;.;100;.;;100;.;
1145;;6;.;12;.;;14;.;;;100;.;100;.;;100;.;
1146;;30;30;45;30;;52;20;;;100;100;100;66,66666667;;100;38,46153846;
1149;;60;45;115;80;;132;.;;;100;75;100;69,56521739;;100;.;
1151;;6;6;12;6;;14;.;;;100;100;100;50;;100;.;
1160;;20;10;35;57;;40;25;;;100;50;100;162,8571429;;100;62,5;
1201;;350;350;720;350;;830;.;;;100;100;100;48,61111111;;100;.;
1211;;10;10;20;20;;23;.;;;100;100;100;100;;100;.;
