"naringsregion_nr","avslutta","kjonn","avslstat4","aar","enhet","tabellvariabel","tabell_navn"
"62","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"63","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"64","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"65","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"66","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"67","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"68","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"69","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"70","ettaar","alle","alle","2013","prosent","0","intro_status_arbutd"
"71","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"72","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"73","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"74","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"75","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"76","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"77","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"78","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"79","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"80","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"81","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"82","ettaar","alle","alle","2013","prosent",":","intro_status_arbutd"
"83","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"99","ettaar","alle","alle","2013","prosent","100","intro_status_arbutd"
"01","ettaar","alle","arbutd","2013","personer",":","intro_status_arbutd"
"02","ettaar","alle","arbutd","2013","personer","18","intro_status_arbutd"
"03","ettaar","alle","arbutd","2013","personer","19","intro_status_arbutd"
"04","ettaar","alle","arbutd","2013","personer","26","intro_status_arbutd"
"05","ettaar","alle","arbutd","2013","personer","35","intro_status_arbutd"
"06","ettaar","alle","arbutd","2013","personer","47","intro_status_arbutd"
"07","ettaar","alle","arbutd","2013","personer","61","intro_status_arbutd"
"08","ettaar","alle","arbutd","2013","personer","24","intro_status_arbutd"
"09","ettaar","alle","arbutd","2013","personer","164","intro_status_arbutd"
"10","ettaar","alle","arbutd","2013","personer",":","intro_status_arbutd"
"11","ettaar","alle","arbutd","2013","personer","18","intro_status_arbutd"
"12","ettaar","alle","arbutd","2013","personer","35","intro_status_arbutd"
"13","ettaar","alle","arbutd","2013","personer","17","intro_status_arbutd"
"14","ettaar","alle","arbutd","2013","personer","39","intro_status_arbutd"
"15","ettaar","alle","arbutd","2013","personer","21","intro_status_arbutd"
"16","ettaar","alle","arbutd","2013","personer","39","intro_status_arbutd"
"17","ettaar","alle","arbutd","2013","personer","4","intro_status_arbutd"
"18","ettaar","alle","arbutd","2013","personer",":","intro_status_arbutd"
"19","ettaar","alle","arbutd","2013","personer","16","intro_status_arbutd"
"20","ettaar","alle","arbutd","2013","personer","71","intro_status_arbutd"
"21","ettaar","alle","arbutd","2013","personer","16","intro_status_arbutd"
"22","ettaar","alle","arbutd","2013","personer","21","intro_status_arbutd"
"23","ettaar","alle","arbutd","2013","personer","10","intro_status_arbutd"
"24","ettaar","alle","arbutd","2013","personer",":","intro_status_arbutd"
"25","ettaar","alle","arbutd","2013","personer","31","intro_status_arbutd"
"26","ettaar","alle","arbutd","2013","personer","25","intro_status_arbutd"
"27","ettaar","alle","arbutd","2013","personer","71","intro_status_arbutd"
"28","ettaar","alle","arbutd","2013","personer","16","intro_status_arbutd"
"29","ettaar","alle","arbutd","2013","personer","13","intro_status_arbutd"
"30","ettaar","alle","arbutd","2013","personer","8","intro_status_arbutd"
"31","ettaar","alle","arbutd","2013","personer","13","intro_status_arbutd"
"32","ettaar","alle","arbutd","2013","personer","43","intro_status_arbutd"
