"tabell_navn","aar","kommune_nr","vreg_9","enhet","tabellvariabel"
"befolkning_verdensregion_9","2015","0128","alle","person","866"
"befolkning_verdensregion_9","2015","0135","norden","person","112"
"befolkning_verdensregion_9","2015","0135","vest_europa","person","58"
"befolkning_verdensregion_9","2015","0135","eu_ost_europa","person","289"
"befolkning_verdensregion_9","2015","0135","ost_europa_ellers","person","56"
"befolkning_verdensregion_9","2015","0135","nord_amerika_oseania","person","7"
"befolkning_verdensregion_9","2015","0135","asia","person","108"
"befolkning_verdensregion_9","2015","0135","afrika","person","55"
"befolkning_verdensregion_9","2015","0135","sor_og_mellom_amerika","person","15"
"befolkning_verdensregion_9","2015","0135","alle","person","700"
"befolkning_verdensregion_9","2015","0136","norden","person","190"
"befolkning_verdensregion_9","2015","0136","vest_europa","person","151"
"befolkning_verdensregion_9","2015","0136","eu_ost_europa","person","510"
"befolkning_verdensregion_9","2015","0136","ost_europa_ellers","person","135"
"befolkning_verdensregion_9","2015","0136","nord_amerika_oseania","person","25"
"befolkning_verdensregion_9","2015","0136","asia","person","441"
"befolkning_verdensregion_9","2015","0136","afrika","person","69"
"befolkning_verdensregion_9","2015","0136","sor_og_mellom_amerika","person","48"
"befolkning_verdensregion_9","2015","0136","alle","person","1569"
"befolkning_verdensregion_9","2015","0137","norden","person","83"
"befolkning_verdensregion_9","2015","0137","vest_europa","person","56"
"befolkning_verdensregion_9","2015","0137","eu_ost_europa","person","262"
"befolkning_verdensregion_9","2015","0137","ost_europa_ellers","person","41"
"befolkning_verdensregion_9","2015","0137","nord_amerika_oseania","person","5"
"befolkning_verdensregion_9","2015","0137","asia","person","60"
"befolkning_verdensregion_9","2015","0137","afrika","person","20"
"befolkning_verdensregion_9","2015","0137","sor_og_mellom_amerika","person","5"
"befolkning_verdensregion_9","2015","0137","alle","person","532"
"befolkning_verdensregion_9","2015","0138","norden","person","103"
"befolkning_verdensregion_9","2015","0138","vest_europa","person","73"
"befolkning_verdensregion_9","2015","0138","eu_ost_europa","person","290"
"befolkning_verdensregion_9","2015","0138","ost_europa_ellers","person","73"
"befolkning_verdensregion_9","2015","0138","nord_amerika_oseania","person","11"
"befolkning_verdensregion_9","2015","0138","asia","person","123"
"befolkning_verdensregion_9","2015","0138","afrika","person","46"
"befolkning_verdensregion_9","2015","0138","sor_og_mellom_amerika","person","10"
"befolkning_verdensregion_9","2015","0138","alle","person","729"
"befolkning_verdensregion_9","2015","0211","norden","person","334"
"befolkning_verdensregion_9","2015","0211","vest_europa","person","239"
"befolkning_verdensregion_9","2015","0211","eu_ost_europa","person","438"
"befolkning_verdensregion_9","2015","0211","ost_europa_ellers","person","169"
"befolkning_verdensregion_9","2015","0211","nord_amerika_oseania","person","41"
"befolkning_verdensregion_9","2015","0211","asia","person","472"
"befolkning_verdensregion_9","2015","0211","afrika","person","223"
"befolkning_verdensregion_9","2015","0211","sor_og_mellom_amerika","person","67"
"befolkning_verdensregion_9","2015","0211","alle","person","1983"
"befolkning_verdensregion_9","2015","0213","norden","person","592"
"befolkning_verdensregion_9","2015","0213","vest_europa","person","359"
"befolkning_verdensregion_9","2015","0213","eu_ost_europa","person","744"
"befolkning_verdensregion_9","2015","0213","ost_europa_ellers","person","450"
"befolkning_verdensregion_9","2015","0213","nord_amerika_oseania","person","62"
"befolkning_verdensregion_9","2015","0213","asia","person","1112"
"befolkning_verdensregion_9","2015","0213","afrika","person","401"
"befolkning_verdensregion_9","2015","0213","sor_og_mellom_amerika","person","105"
"befolkning_verdensregion_9","2015","0213","alle","person","3825"
"befolkning_verdensregion_9","2015","0214","norden","person","392"
"befolkning_verdensregion_9","2015","0214","vest_europa","person","401"
"befolkning_verdensregion_9","2015","0214","eu_ost_europa","person","735"
"befolkning_verdensregion_9","2015","0214","ost_europa_ellers","person","231"
"befolkning_verdensregion_9","2015","0214","nord_amerika_oseania","person","95"
"befolkning_verdensregion_9","2015","0214","asia","person","787"
"befolkning_verdensregion_9","2015","0214","afrika","person","463"
"befolkning_verdensregion_9","2015","0214","sor_og_mellom_amerika","person","114"
"befolkning_verdensregion_9","2015","0214","alle","person","3218"
"befolkning_verdensregion_9","2015","0215","norden","person","328"
"befolkning_verdensregion_9","2015","0215","vest_europa","person","233"
"befolkning_verdensregion_9","2015","0215","eu_ost_europa","person","366"
"befolkning_verdensregion_9","2015","0215","ost_europa_ellers","person","86"
"befolkning_verdensregion_9","2015","0215","nord_amerika_oseania","person","47"
"befolkning_verdensregion_9","2015","0215","asia","person","314"
"befolkning_verdensregion_9","2015","0215","afrika","person","116"
"befolkning_verdensregion_9","2015","0215","sor_og_mellom_amerika","person","33"
"befolkning_verdensregion_9","2015","0215","alle","person","1523"
"befolkning_verdensregion_9","2015","0216","norden","person","442"
"befolkning_verdensregion_9","2015","0216","vest_europa","person","445"
"befolkning_verdensregion_9","2015","0216","eu_ost_europa","person","443"
"befolkning_verdensregion_9","2015","0216","ost_europa_ellers","person","184"
"befolkning_verdensregion_9","2015","0216","nord_amerika_oseania","person","79"
"befolkning_verdensregion_9","2015","0216","asia","person","337"
"befolkning_verdensregion_9","2015","0216","afrika","person","164"
"befolkning_verdensregion_9","2015","0216","sor_og_mellom_amerika","person","86"
"befolkning_verdensregion_9","2015","0216","alle","person","2180"
"befolkning_verdensregion_9","2015","0217","norden","person","527"
"befolkning_verdensregion_9","2015","0217","vest_europa","person","366"
"befolkning_verdensregion_9","2015","0217","eu_ost_europa","person","671"
"befolkning_verdensregion_9","2015","0217","ost_europa_ellers","person","195"
"befolkning_verdensregion_9","2015","0217","nord_amerika_oseania","person","62"
"befolkning_verdensregion_9","2015","0217","asia","person","914"
"befolkning_verdensregion_9","2015","0217","afrika","person","350"
"befolkning_verdensregion_9","2015","0217","sor_og_mellom_amerika","person","84"
"befolkning_verdensregion_9","2015","0217","alle","person","3169"
"befolkning_verdensregion_9","2015","0219","norden","person","2724"
"befolkning_verdensregion_9","2015","0219","vest_europa","person","2312"
"befolkning_verdensregion_9","2015","0219","eu_ost_europa","person","4856"
"befolkning_verdensregion_9","2015","0219","ost_europa_ellers","person","1433"
"befolkning_verdensregion_9","2015","0219","nord_amerika_oseania","person","611"
"befolkning_verdensregion_9","2015","0219","asia","person","5847"
"befolkning_verdensregion_9","2015","0219","afrika","person","1554"
"befolkning_verdensregion_9","2015","0219","sor_og_mellom_amerika","person","556"
"befolkning_verdensregion_9","2015","0219","alle","person","19893"
"befolkning_verdensregion_9","2015","0220","norden","person","1355"
"befolkning_verdensregion_9","2015","0220","vest_europa","person","1165"
"befolkning_verdensregion_9","2015","0220","eu_ost_europa","person","2460"
"befolkning_verdensregion_9","2015","0220","ost_europa_ellers","person","684"
"befolkning_verdensregion_9","2015","0220","nord_amerika_oseania","person","273"
"befolkning_verdensregion_9","2015","0220","asia","person","2446"
