"aar","kommune_nr","enhet","tabell_navn","bosetting","tabellvariabel"
"2015","1252","promille","bosatt_befolkning","bosatt_per_1000","0"
"2015","1253","promille","bosatt_befolkning","bosatt_per_1000","2.167814333"
"2015","1256","promille","bosatt_befolkning","bosatt_per_1000","3.748707342"
"2015","1259","promille","bosatt_befolkning","bosatt_per_1000","2.535389816"
"2015","1260","promille","bosatt_befolkning","bosatt_per_1000","1.994415636"
"2015","1263","promille","bosatt_befolkning","bosatt_per_1000","0.844046228"
"2015","1264","promille","bosatt_befolkning","bosatt_per_1000","2.801120448"
"2015","1265","promille","bosatt_befolkning","bosatt_per_1000","12.43339254"
"2015","1266","promille","bosatt_befolkning","bosatt_per_1000","7.042253521"
"2015","1401","promille","bosatt_befolkning","bosatt_per_1000","4.636654864"
"2015","1411","promille","bosatt_befolkning","bosatt_per_1000","1.713062099"
"2015","1412","promille","bosatt_befolkning","bosatt_per_1000","2.5"
"2015","1413","promille","bosatt_befolkning","bosatt_per_1000","0"
"2015","1416","promille","bosatt_befolkning","bosatt_per_1000","2.878388103"
"2015","1417","promille","bosatt_befolkning","bosatt_per_1000","7.84167289"
"2015","1418","promille","bosatt_befolkning","bosatt_per_1000","10.73619632"
"2015","1419","promille","bosatt_befolkning","bosatt_per_1000","7.908611599"
"2015","1420","promille","bosatt_befolkning","bosatt_per_1000","4.298554123"
"2015","1421","promille","bosatt_befolkning","bosatt_per_1000","0"
"2015","1422","promille","bosatt_befolkning","bosatt_per_1000","4.659832246"
"2015","1424","promille","bosatt_befolkning","bosatt_per_1000","1.657763861"
"2015","1426","promille","bosatt_befolkning","bosatt_per_1000","3.712387651"
"2015","1428","promille","bosatt_befolkning","bosatt_per_1000","3.324468085"
"2015","1429","promille","bosatt_befolkning","bosatt_per_1000","4.959263195"
"2015","1430","promille","bosatt_befolkning","bosatt_per_1000","2.364864865"
"2015","1431","promille","bosatt_befolkning","bosatt_per_1000","4.296100463"
"2015","1432","promille","bosatt_befolkning","bosatt_per_1000","3.280993672"
"2015","1433","promille","bosatt_befolkning","bosatt_per_1000","5.761613252"
"2015","1438","promille","bosatt_befolkning","bosatt_per_1000","2.313624679"
"2015","1439","promille","bosatt_befolkning","bosatt_per_1000","1.973035186"
"2015","1441","promille","bosatt_befolkning","bosatt_per_1000","5.087209302"
"2015","1443","promille","bosatt_befolkning","bosatt_per_1000","5.845999666"
"2015","1444","promille","bosatt_befolkning","bosatt_per_1000","0"
"2015","1445","promille","bosatt_befolkning","bosatt_per_1000","6.95531212"
"2015","1449","promille","bosatt_befolkning","bosatt_per_1000","5.031446541"
"2015","1502","promille","bosatt_befolkning","bosatt_per_1000","2.803879964"
"2015","1504","promille","bosatt_befolkning","bosatt_per_1000","1.986354607"
"2015","1505","promille","bosatt_befolkning","bosatt_per_1000","1.958624067"
"2015","1511","promille","bosatt_befolkning","bosatt_per_1000","4.604051565"
"2015","1514","promille","bosatt_befolkning","bosatt_per_1000","1.897533207"
"2015","1515","promille","bosatt_befolkning","bosatt_per_1000","2.014775017"
"2015","1516","promille","bosatt_befolkning","bosatt_per_1000","3.979739508"
"2015","1517","promille","bosatt_befolkning","bosatt_per_1000","3.15893386"
"2015","1519","promille","bosatt_befolkning","bosatt_per_1000","4.567227359"
"2015","1520","promille","bosatt_befolkning","bosatt_per_1000","2.077627727"
"2015","1523","promille","bosatt_befolkning","bosatt_per_1000","3.487358326"
"2015","1524","promille","bosatt_befolkning","bosatt_per_1000","2.983293556"
"2015","1525","promille","bosatt_befolkning","bosatt_per_1000","0"
"2015","1526","promille","bosatt_befolkning","bosatt_per_1000","0"
"2015","1528","promille","bosatt_befolkning","bosatt_per_1000","2.72479564"
"2015","1529","promille","bosatt_befolkning","bosatt_per_1000","2.911534155"
"2015","1531","promille","bosatt_befolkning","bosatt_per_1000","0.338791643"
