"naringsregion_nr","bosetting","enhet","aar","tabellvariabel","tabell_navn"
"99","vedtak","personer","2015","0","bosatt_anmodede"
"01","bosatt","personer","2015","49","bosatt_anmodede"
"02","bosatt","personer","2015","81","bosatt_anmodede"
"03","bosatt","personer","2015","82","bosatt_anmodede"
"04","bosatt","personer","2015","207","bosatt_anmodede"
"05","bosatt","personer","2015","237","bosatt_anmodede"
"06","bosatt","personer","2015","226","bosatt_anmodede"
"07","bosatt","personer","2015","268","bosatt_anmodede"
"08","bosatt","personer","2015","98","bosatt_anmodede"
"09","bosatt","personer","2015","684","bosatt_anmodede"
"10","bosatt","personer","2015","92","bosatt_anmodede"
"11","bosatt","personer","2015","84","bosatt_anmodede"
"12","bosatt","personer","2015","129","bosatt_anmodede"
"13","bosatt","personer","2015","86","bosatt_anmodede"
"14","bosatt","personer","2015","148","bosatt_anmodede"
"15","bosatt","personer","2015","86","bosatt_anmodede"
"16","bosatt","personer","2015","98","bosatt_anmodede"
"17","bosatt","personer","2015","44","bosatt_anmodede"
"18","bosatt","personer","2015","67","bosatt_anmodede"
"19","bosatt","personer","2015","71","bosatt_anmodede"
"20","bosatt","personer","2015","377","bosatt_anmodede"
"21","bosatt","personer","2015","68","bosatt_anmodede"
"22","bosatt","personer","2015","81","bosatt_anmodede"
"23","bosatt","personer","2015","57","bosatt_anmodede"
"24","bosatt","personer","2015","79","bosatt_anmodede"
"25","bosatt","personer","2015","298","bosatt_anmodede"
"26","bosatt","personer","2015","178","bosatt_anmodede"
"27","bosatt","personer","2015","263","bosatt_anmodede"
"28","bosatt","personer","2015","86","bosatt_anmodede"
"29","bosatt","personer","2015","108","bosatt_anmodede"
"30","bosatt","personer","2015","72","bosatt_anmodede"
"31","bosatt","personer","2015","26","bosatt_anmodede"
"32","bosatt","personer","2015","278","bosatt_anmodede"
"33","bosatt","personer","2015","210","bosatt_anmodede"
"34","bosatt","personer","2015","98","bosatt_anmodede"
"35","bosatt","personer","2015","383","bosatt_anmodede"
"36","bosatt","personer","2015","67","bosatt_anmodede"
"37","bosatt","personer","2015","194","bosatt_anmodede"
"38","bosatt","personer","2015","102","bosatt_anmodede"
"39","bosatt","personer","2015","414","bosatt_anmodede"
"40","bosatt","personer","2015","351","bosatt_anmodede"
"41","bosatt","personer","2015","37","bosatt_anmodede"
"42","bosatt","personer","2015","57","bosatt_anmodede"
"43","bosatt","personer","2015","43","bosatt_anmodede"
"44","bosatt","personer","2015","79","bosatt_anmodede"
"45","bosatt","personer","2015","33","bosatt_anmodede"
"46","bosatt","personer","2015","119","bosatt_anmodede"
"47","bosatt","personer","2015","128","bosatt_anmodede"
"48","bosatt","personer","2015","30","bosatt_anmodede"
"49","bosatt","personer","2015","146","bosatt_anmodede"
"50","bosatt","personer","2015","136","bosatt_anmodede"
"51","bosatt","personer","2015","133","bosatt_anmodede"
"52","bosatt","personer","2015","207","bosatt_anmodede"
"53","bosatt","personer","2015","144","bosatt_anmodede"
"54","bosatt","personer","2015","34","bosatt_anmodede"
"55","bosatt","personer","2015","150","bosatt_anmodede"
"56","bosatt","personer","2015","146","bosatt_anmodede"
"57","bosatt","personer","2015","69","bosatt_anmodede"
"58","bosatt","personer","2015","27","bosatt_anmodede"
"59","bosatt","personer","2015","46","bosatt_anmodede"
"60","bosatt","personer","2015","73","bosatt_anmodede"
"61","bosatt","personer","2015","577","bosatt_anmodede"
"62","bosatt","personer","2015","41","bosatt_anmodede"
"63","bosatt","personer","2015","78","bosatt_anmodede"
"64","bosatt","personer","2015","209","bosatt_anmodede"
"65","bosatt","personer","2015","48","bosatt_anmodede"
"66","bosatt","personer","2015","44","bosatt_anmodede"
"67","bosatt","personer","2015","66","bosatt_anmodede"
"68","bosatt","personer","2015","47","bosatt_anmodede"
"69","bosatt","personer","2015","108","bosatt_anmodede"
"70","bosatt","personer","2015","0","bosatt_anmodede"
"71","bosatt","personer","2015","48","bosatt_anmodede"
"72","bosatt","personer","2015","61","bosatt_anmodede"
"73","bosatt","personer","2015","258","bosatt_anmodede"
"74","bosatt","personer","2015","59","bosatt_anmodede"
"75","bosatt","personer","2015","108","bosatt_anmodede"
"76","bosatt","personer","2015","167","bosatt_anmodede"
"77","bosatt","personer","2015","176","bosatt_anmodede"
"78","bosatt","personer","2015","152","bosatt_anmodede"
"79","bosatt","personer","2015","190","bosatt_anmodede"
"80","bosatt","personer","2015","56","bosatt_anmodede"
"81","bosatt","personer","2015","127","bosatt_anmodede"
"82","bosatt","personer","2015","30","bosatt_anmodede"
"83","bosatt","personer","2015","154","bosatt_anmodede"
"99","bosatt","personer","2015","74","bosatt_anmodede"
"01","anmodning","prosent","2015","100","bosatt_anmodede"
"02","anmodning","prosent","2015","100","bosatt_anmodede"
"03","anmodning","prosent","2015","100","bosatt_anmodede"
"04","anmodning","prosent","2015","100","bosatt_anmodede"
"05","anmodning","prosent","2015","100","bosatt_anmodede"
"06","anmodning","prosent","2015","100","bosatt_anmodede"
"07","anmodning","prosent","2015","100","bosatt_anmodede"
"08","anmodning","prosent","2015","100","bosatt_anmodede"
"09","anmodning","prosent","2015","100","bosatt_anmodede"
"10","anmodning","prosent","2015","100","bosatt_anmodede"
"11","anmodning","prosent","2015","100","bosatt_anmodede"
"12","anmodning","prosent","2015","100","bosatt_anmodede"
"13","anmodning","prosent","2015","100","bosatt_anmodede"
"14","anmodning","prosent","2015","100","bosatt_anmodede"
"15","anmodning","prosent","2015","100","bosatt_anmodede"
"16","anmodning","prosent","2015","100","bosatt_anmodede"
