"tabell_navn","aar","naringsregion_nr","vreg_3","enhet","botid_5","tabellvariabel"
"befolkning_botid","2015","12","1","personer","10+","1215"
"befolkning_botid","2015","12","2","personer","10+","1519"
"befolkning_botid","2015","12","alle","personer","10+","2734"
"befolkning_botid","2015","13","1","personer","10+","546"
"befolkning_botid","2015","13","2","personer","10+","530"
"befolkning_botid","2015","13","alle","personer","10+","1076"
"befolkning_botid","2015","14","1","personer","10+","751"
"befolkning_botid","2015","14","2","personer","10+","1392"
"befolkning_botid","2015","14","alle","personer","10+","2143"
"befolkning_botid","2015","15","1","personer","10+","353"
"befolkning_botid","2015","15","2","personer","10+","393"
"befolkning_botid","2015","15","alle","personer","10+","746"
"befolkning_botid","2015","16","1","personer","10+","584"
"befolkning_botid","2015","16","2","personer","10+","726"
"befolkning_botid","2015","16","alle","personer","10+","1310"
"befolkning_botid","2015","17","1","personer","10+","117"
"befolkning_botid","2015","17","2","personer","10+","98"
"befolkning_botid","2015","17","alle","personer","10+","215"
"befolkning_botid","2015","18","1","personer","10+","126"
"befolkning_botid","2015","18","2","personer","10+","86"
"befolkning_botid","2015","18","alle","personer","10+","212"
"befolkning_botid","2015","19","1","personer","10+","216"
"befolkning_botid","2015","19","2","personer","10+","147"
"befolkning_botid","2015","19","alle","personer","10+","363"
"befolkning_botid","2015","20","1","personer","10+","3895"
"befolkning_botid","2015","20","2","personer","10+","8955"
"befolkning_botid","2015","20","alle","personer","10+","12850"
"befolkning_botid","2015","21","1","personer","10+","430"
"befolkning_botid","2015","21","2","personer","10+","243"
"befolkning_botid","2015","21","alle","personer","10+","673"
"befolkning_botid","2015","22","1","personer","10+","610"
"befolkning_botid","2015","22","2","personer","10+","688"
"befolkning_botid","2015","22","alle","personer","10+","1298"
"befolkning_botid","2015","23","1","personer","10+","238"
"befolkning_botid","2015","23","2","personer","10+","224"
"befolkning_botid","2015","23","alle","personer","10+","462"
"befolkning_botid","2015","24","1","personer","10+","658"
"befolkning_botid","2015","24","2","personer","10+","881"
"befolkning_botid","2015","24","alle","personer","10+","1539"
"befolkning_botid","2015","25","1","personer","10+","2458"
"befolkning_botid","2015","25","2","personer","10+","3320"
"befolkning_botid","2015","25","alle","personer","10+","5778"
"befolkning_botid","2015","26","1","personer","10+","1654"
"befolkning_botid","2015","26","2","personer","10+","2979"
"befolkning_botid","2015","26","alle","personer","10+","4633"
"befolkning_botid","2015","27","1","personer","10+","1906"
"befolkning_botid","2015","27","2","personer","10+","3551"
"befolkning_botid","2015","27","alle","personer","10+","5457"
"befolkning_botid","2015","28","1","personer","10+","220"
"befolkning_botid","2015","28","2","personer","10+","285"
"befolkning_botid","2015","28","alle","personer","10+","505"
"befolkning_botid","2015","29","1","personer","10+","303"
"befolkning_botid","2015","29","2","personer","10+","328"
"befolkning_botid","2015","29","alle","personer","10+","631"
"befolkning_botid","2015","30","1","personer","10+","232"
"befolkning_botid","2015","30","2","personer","10+","114"
"befolkning_botid","2015","30","alle","personer","10+","346"
"befolkning_botid","2015","31","1","personer","10+","112"
"befolkning_botid","2015","31","2","personer","10+","123"
"befolkning_botid","2015","31","alle","personer","10+","235"
"befolkning_botid","2015","32","1","personer","10+","1561"
"befolkning_botid","2015","32","2","personer","10+","1867"
"befolkning_botid","2015","32","alle","personer","10+","3428"
"befolkning_botid","2015","33","1","personer","10+","678"
"befolkning_botid","2015","33","2","personer","10+","539"
"befolkning_botid","2015","33","alle","personer","10+","1217"
"befolkning_botid","2015","34","1","personer","10+","377"
"befolkning_botid","2015","34","2","personer","10+","396"
"befolkning_botid","2015","34","alle","personer","10+","773"
"befolkning_botid","2015","35","1","personer","10+","2347"
"befolkning_botid","2015","35","2","personer","10+","5101"
"befolkning_botid","2015","35","alle","personer","10+","7448"
"befolkning_botid","2015","36","1","personer","10+","324"
"befolkning_botid","2015","36","2","personer","10+","295"
"befolkning_botid","2015","36","alle","personer","10+","619"
"befolkning_botid","2015","37","1","personer","10+","1284"
"befolkning_botid","2015","37","2","personer","10+","1816"
"befolkning_botid","2015","37","alle","personer","10+","3100"
