"tabell_navn","aar","kommune_nr","vreg_3","enhet","botid_5","tabellvariabel"
"befolkning_botid","2015","0437","1","personer","0_4","174"
"befolkning_botid","2015","0437","2","personer","0_4","102"
"befolkning_botid","2015","0437","alle","personer","0_4","276"
"befolkning_botid","2015","0438","1","personer","0_4","16"
"befolkning_botid","2015","0438","2","personer","0_4","40"
"befolkning_botid","2015","0438","alle","personer","0_4","56"
"befolkning_botid","2015","0439","1","personer","0_4","14"
"befolkning_botid","2015","0439","2","personer","0_4","12"
"befolkning_botid","2015","0439","alle","personer","0_4","26"
"befolkning_botid","2015","0441","1","personer","0_4","41"
"befolkning_botid","2015","0441","2","personer","0_4","22"
"befolkning_botid","2015","0441","alle","personer","0_4","63"
"befolkning_botid","2015","0501","1","personer","0_4","446"
"befolkning_botid","2015","0501","2","personer","0_4","442"
"befolkning_botid","2015","0501","alle","personer","0_4","888"
"befolkning_botid","2015","0502","1","personer","0_4","629"
"befolkning_botid","2015","0502","2","personer","0_4","585"
"befolkning_botid","2015","0502","alle","personer","0_4","1214"
"befolkning_botid","2015","0511","1","personer","0_4","62"
"befolkning_botid","2015","0511","2","personer","0_4","92"
"befolkning_botid","2015","0511","alle","personer","0_4","154"
"befolkning_botid","2015","0512","1","personer","0_4","53"
"befolkning_botid","2015","0512","2","personer","0_4","7"
"befolkning_botid","2015","0512","alle","personer","0_4","60"
"befolkning_botid","2015","0513","1","personer","0_4","39"
"befolkning_botid","2015","0513","2","personer","0_4","45"
"befolkning_botid","2015","0513","alle","personer","0_4","84"
"befolkning_botid","2015","0514","1","personer","0_4","15"
"befolkning_botid","2015","0514","2","personer","0_4","46"
"befolkning_botid","2015","0514","alle","personer","0_4","61"
"befolkning_botid","2015","0515","1","personer","0_4","30"
"befolkning_botid","2015","0515","2","personer","0_4","59"
"befolkning_botid","2015","0515","alle","personer","0_4","89"
"befolkning_botid","2015","0516","1","personer","0_4","107"
"befolkning_botid","2015","0516","2","personer","0_4","73"
"befolkning_botid","2015","0516","alle","personer","0_4","180"
"befolkning_botid","2015","0517","1","personer","0_4","71"
