"tabell_navn","aar","kommune_nr","innvkat_3","kjonn","enhet","alder_grupper","tabellvariabel"
"befolkning_alder","2015","0217","alle","alle","personer","0_5","1974"
"befolkning_alder","2015","0217","befolkningen_ellers","0","personer","0_5","950"
"befolkning_alder","2015","0217","befolkningen_ellers","1","personer","0_5","980"
"befolkning_alder","2015","0217","befolkningen_ellers","alle","personer","0_5","1930"
"befolkning_alder","2015","0217","innvandrere","0","personer","0_5","21"
"befolkning_alder","2015","0217","innvandrere","1","personer","0_5","23"
"befolkning_alder","2015","0217","innvandrere","alle","personer","0_5","44"
"befolkning_alder","2015","0219","alle","0","personer","0_5","4615"
"befolkning_alder","2015","0219","alle","1","personer","0_5","4934"
"befolkning_alder","2015","0219","alle","alle","personer","0_5","9549"
"befolkning_alder","2015","0219","befolkningen_ellers","0","personer","0_5","4435"
"befolkning_alder","2015","0219","befolkningen_ellers","1","personer","0_5","4737"
"befolkning_alder","2015","0219","befolkningen_ellers","alle","personer","0_5","9172"
"befolkning_alder","2015","0219","innvandrere","0","personer","0_5","180"
"befolkning_alder","2015","0219","innvandrere","1","personer","0_5","197"
"befolkning_alder","2015","0219","innvandrere","alle","personer","0_5","377"
"befolkning_alder","2015","0220","alle","0","personer","0_5","2217"
"befolkning_alder","2015","0220","alle","1","personer","0_5","2323"
"befolkning_alder","2015","0220","alle","alle","personer","0_5","4540"
"befolkning_alder","2015","0220","befolkningen_ellers","0","personer","0_5","2116"
"befolkning_alder","2015","0220","befolkningen_ellers","1","personer","0_5","2222"
"befolkning_alder","2015","0220","befolkningen_ellers","alle","personer","0_5","4338"
"befolkning_alder","2015","0220","innvandrere","0","personer","0_5","101"
"befolkning_alder","2015","0220","innvandrere","1","personer","0_5","101"
"befolkning_alder","2015","0220","innvandrere","alle","personer","0_5","202"
"befolkning_alder","2015","0221","alle","0","personer","0_5","527"
"befolkning_alder","2015","0221","alle","1","personer","0_5","528"
"befolkning_alder","2015","0221","alle","alle","personer","0_5","1055"
"befolkning_alder","2015","0221","befolkningen_ellers","0","personer","0_5","519"
"befolkning_alder","2015","0221","befolkningen_ellers","1","personer","0_5","511"
"befolkning_alder","2015","0221","befolkningen_ellers","alle","personer","0_5","1030"
"befolkning_alder","2015","0221","innvandrere","0","personer","0_5","8"
"befolkning_alder","2015","0221","innvandrere","1","personer","0_5","17"
"befolkning_alder","2015","0221","innvandrere","alle","personer","0_5","25"
"befolkning_alder","2015","0226","alle","0","personer","0_5","725"
"befolkning_alder","2015","0226","alle","1","personer","0_5","742"
"befolkning_alder","2015","0226","alle","alle","personer","0_5","1467"
"befolkning_alder","2015","0226","befolkningen_ellers","0","personer","0_5","698"
"befolkning_alder","2015","0226","befolkningen_ellers","1","personer","0_5","714"
"befolkning_alder","2015","0226","befolkningen_ellers","alle","personer","0_5","1412"
"befolkning_alder","2015","0226","innvandrere","0","personer","0_5","27"
"befolkning_alder","2015","0226","innvandrere","1","personer","0_5","28"
"befolkning_alder","2015","0226","innvandrere","alle","personer","0_5","55"
"befolkning_alder","2015","0227","alle","0","personer","0_5","398"
"befolkning_alder","2015","0227","alle","1","personer","0_5","462"
"befolkning_alder","2015","0227","alle","alle","personer","0_5","860"
"befolkning_alder","2015","0227","befolkningen_ellers","0","personer","0_5","392"
"befolkning_alder","2015","0227","befolkningen_ellers","1","personer","0_5","455"
"befolkning_alder","2015","0227","befolkningen_ellers","alle","personer","0_5","847"
"befolkning_alder","2015","0227","innvandrere","0","personer","0_5","6"
"befolkning_alder","2015","0227","innvandrere","1","personer","0_5","7"
"befolkning_alder","2015","0227","innvandrere","alle","personer","0_5","13"
"befolkning_alder","2015","0228","alle","0","personer","0_5","711"
"befolkning_alder","2015","0228","alle","1","personer","0_5","750"
"befolkning_alder","2015","0228","alle","alle","personer","0_5","1461"
"befolkning_alder","2015","0228","befolkningen_ellers","0","personer","0_5","696"
"befolkning_alder","2015","0228","befolkningen_ellers","1","personer","0_5","735"
"befolkning_alder","2015","0228","befolkningen_ellers","alle","personer","0_5","1431"
"befolkning_alder","2015","0228","innvandrere","0","personer","0_5","15"
"befolkning_alder","2015","0228","innvandrere","1","personer","0_5","15"
"befolkning_alder","2015","0228","innvandrere","alle","personer","0_5","30"
"befolkning_alder","2015","0229","alle","0","personer","0_5","407"
"befolkning_alder","2015","0229","alle","1","personer","0_5","453"
"befolkning_alder","2015","0229","alle","alle","personer","0_5","860"
"befolkning_alder","2015","0229","befolkningen_ellers","0","personer","0_5","398"
"befolkning_alder","2015","0229","befolkningen_ellers","1","personer","0_5","445"
"befolkning_alder","2015","0229","befolkningen_ellers","alle","personer","0_5","843"
"befolkning_alder","2015","0229","innvandrere","0","personer","0_5","9"
"befolkning_alder","2015","0229","innvandrere","1","personer","0_5","8"
"befolkning_alder","2015","0229","innvandrere","alle","personer","0_5","17"
"befolkning_alder","2015","0230","alle","0","personer","0_5","1179"
"befolkning_alder","2015","0230","alle","1","personer","0_5","1221"
"befolkning_alder","2015","0230","alle","alle","personer","0_5","2400"
"befolkning_alder","2015","0230","befolkningen_ellers","0","personer","0_5","1147"
"befolkning_alder","2015","0230","befolkningen_ellers","1","personer","0_5","1180"
"befolkning_alder","2015","0230","befolkningen_ellers","alle","personer","0_5","2327"
"befolkning_alder","2015","0230","innvandrere","0","personer","0_5","32"
"befolkning_alder","2015","0230","innvandrere","1","personer","0_5","41"
"befolkning_alder","2015","0230","innvandrere","alle","personer","0_5","73"
"befolkning_alder","2015","0231","alle","0","personer","0_5","1786"
"befolkning_alder","2015","0231","alle","1","personer","0_5","1934"
"befolkning_alder","2015","0231","alle","alle","personer","0_5","3720"
"befolkning_alder","2015","0231","befolkningen_ellers","0","personer","0_5","1741"
"befolkning_alder","2015","0231","befolkningen_ellers","1","personer","0_5","1884"
"befolkning_alder","2015","0231","befolkningen_ellers","alle","personer","0_5","3625"
"befolkning_alder","2015","0231","innvandrere","0","personer","0_5","45"
"befolkning_alder","2015","0231","innvandrere","1","personer","0_5","50"
"befolkning_alder","2015","0231","innvandrere","alle","personer","0_5","95"
"befolkning_alder","2015","0233","alle","0","personer","0_5","851"
"befolkning_alder","2015","0233","alle","1","personer","0_5","877"
"befolkning_alder","2015","0233","alle","alle","personer","0_5","1728"
"befolkning_alder","2015","0233","befolkningen_ellers","0","personer","0_5","832"
"befolkning_alder","2015","0233","befolkningen_ellers","1","personer","0_5","863"
"befolkning_alder","2015","0233","befolkningen_ellers","alle","personer","0_5","1695"
"befolkning_alder","2015","0233","innvandrere","0","personer","0_5","19"
"befolkning_alder","2015","0233","innvandrere","1","personer","0_5","14"
"befolkning_alder","2015","0233","innvandrere","alle","personer","0_5","33"
"befolkning_alder","2015","0234","alle","0","personer","0_5","203"
"befolkning_alder","2015","0234","alle","1","personer","0_5","269"
"befolkning_alder","2015","0234","alle","alle","personer","0_5","472"
"befolkning_alder","2015","0234","befolkningen_ellers","0","personer","0_5","198"
"befolkning_alder","2015","0234","befolkningen_ellers","1","personer","0_5","258"
"befolkning_alder","2015","0234","befolkningen_ellers","alle","personer","0_5","456"
"befolkning_alder","2015","0234","innvandrere","0","personer","0_5","5"
"befolkning_alder","2015","0234","innvandrere","1","personer","0_5","11"
"befolkning_alder","2015","0234","innvandrere","alle","personer","0_5","16"
"befolkning_alder","2015","0235","alle","0","personer","0_5","1376"
"befolkning_alder","2015","0235","alle","1","personer","0_5","1399"
"befolkning_alder","2015","0235","alle","alle","personer","0_5","2775"
"befolkning_alder","2015","0235","befolkningen_ellers","0","personer","0_5","1323"
"befolkning_alder","2015","0235","befolkningen_ellers","1","personer","0_5","1347"
"befolkning_alder","2015","0235","befolkningen_ellers","alle","personer","0_5","2670"
"befolkning_alder","2015","0235","innvandrere","0","personer","0_5","53"
"befolkning_alder","2015","0235","innvandrere","1","personer","0_5","52"
"befolkning_alder","2015","0235","innvandrere","alle","personer","0_5","105"
"befolkning_alder","2015","0236","alle","0","personer","0_5","692"
"befolkning_alder","2015","0236","alle","1","personer","0_5","690"
"befolkning_alder","2015","0236","alle","alle","personer","0_5","1382"
"befolkning_alder","2015","0236","befolkningen_ellers","0","personer","0_5","677"
"befolkning_alder","2015","0236","befolkningen_ellers","1","personer","0_5","676"
"befolkning_alder","2015","0236","befolkningen_ellers","alle","personer","0_5","1353"
"befolkning_alder","2015","0236","innvandrere","0","personer","0_5","15"
"befolkning_alder","2015","0236","innvandrere","1","personer","0_5","14"
"befolkning_alder","2015","0236","innvandrere","alle","personer","0_5","29"
"befolkning_alder","2015","0237","alle","0","personer","0_5","863"
"befolkning_alder","2015","0237","alle","1","personer","0_5","929"
"befolkning_alder","2015","0237","alle","alle","personer","0_5","1792"
"befolkning_alder","2015","0237","befolkningen_ellers","0","personer","0_5","846"
"befolkning_alder","2015","0237","befolkningen_ellers","1","personer","0_5","905"
"befolkning_alder","2015","0237","befolkningen_ellers","alle","personer","0_5","1751"
"befolkning_alder","2015","0237","innvandrere","0","personer","0_5","17"
"befolkning_alder","2015","0237","innvandrere","1","personer","0_5","24"
"befolkning_alder","2015","0237","innvandrere","alle","personer","0_5","41"
"befolkning_alder","2015","0238","alle","0","personer","0_5","423"
"befolkning_alder","2015","0238","alle","1","personer","0_5","420"
"befolkning_alder","2015","0238","alle","alle","personer","0_5","843"
"befolkning_alder","2015","0238","befolkningen_ellers","0","personer","0_5","412"
"befolkning_alder","2015","0238","befolkningen_ellers","1","personer","0_5","400"
"befolkning_alder","2015","0238","befolkningen_ellers","alle","personer","0_5","812"
"befolkning_alder","2015","0238","innvandrere","0","personer","0_5","11"
"befolkning_alder","2015","0238","innvandrere","1","personer","0_5","20"
"befolkning_alder","2015","0238","innvandrere","alle","personer","0_5","31"
"befolkning_alder","2015","0239","alle","0","personer","0_5","92"
"befolkning_alder","2015","0239","alle","1","personer","0_5","92"
"befolkning_alder","2015","0239","alle","alle","personer","0_5","184"
"befolkning_alder","2015","0239","befolkningen_ellers","0","personer","0_5","89"
"befolkning_alder","2015","0239","befolkningen_ellers","1","personer","0_5","87"
"befolkning_alder","2015","0239","befolkningen_ellers","alle","personer","0_5","176"
"befolkning_alder","2015","0239","innvandrere","0","personer","0_5","3"
"befolkning_alder","2015","0239","innvandrere","1","personer","0_5","5"
"befolkning_alder","2015","0239","innvandrere","alle","personer","0_5","8"
"befolkning_alder","2015","0301","alle","0","personer","0_5","25585"
"befolkning_alder","2015","0301","alle","1","personer","0_5","26669"
"befolkning_alder","2015","0301","alle","alle","personer","0_5","52254"
"befolkning_alder","2015","0301","befolkningen_ellers","0","personer","0_5","24498"
"befolkning_alder","2015","0301","befolkningen_ellers","1","personer","0_5","25561"
"befolkning_alder","2015","0301","befolkningen_ellers","alle","personer","0_5","50059"
"befolkning_alder","2015","0301","innvandrere","0","personer","0_5","1087"
"befolkning_alder","2015","0301","innvandrere","1","personer","0_5","1108"
"befolkning_alder","2015","0301","innvandrere","alle","personer","0_5","2195"
