"tabell_navn","aar","bydel_nr","vreg_9","enhet","tabellvariabel"
"befolkning_verdensregion_9","2015","030117","vest_europa","person","28"
"befolkning_verdensregion_9","2015","030117","eu_ost_europa","person","47"
"befolkning_verdensregion_9","2015","030117","ost_europa_ellers","person","7"
"befolkning_verdensregion_9","2015","030117","nord_amerika_oseania","person","7"
"befolkning_verdensregion_9","2015","030117","asia","person","23"
"befolkning_verdensregion_9","2015","030117","afrika","person","0"
"befolkning_verdensregion_9","2015","030117","sor_og_mellom_amerika","person","3"
"befolkning_verdensregion_9","2015","030117","alle","person","162"
"befolkning_verdensregion_9","2015","030199","norden","person","294"
"befolkning_verdensregion_9","2015","030199","vest_europa","person","345"
"befolkning_verdensregion_9","2015","030199","eu_ost_europa","person","931"
"befolkning_verdensregion_9","2015","030199","ost_europa_ellers","person","91"
"befolkning_verdensregion_9","2015","030199","nord_amerika_oseania","person","31"
"befolkning_verdensregion_9","2015","030199","asia","person","602"
"befolkning_verdensregion_9","2015","030199","afrika","person","600"
"befolkning_verdensregion_9","2015","030199","sor_og_mellom_amerika","person","86"
"befolkning_verdensregion_9","2015","030199","alle","person","2980"
