"tabell_navn","aar","bydel_nr","vreg_3","enhet","botid_5","tabellvariabel"
"befolkning_botid","2015","030116","1","personer","5_9","64"
"befolkning_botid","2015","030116","2","personer","5_9","32"
"befolkning_botid","2015","030116","alle","personer","5_9","96"
"befolkning_botid","2015","030117","1","personer","5_9","24"
"befolkning_botid","2015","030117","2","personer","5_9","9"
"befolkning_botid","2015","030117","alle","personer","5_9","33"
"befolkning_botid","2015","030199","1","personer","5_9","439"
"befolkning_botid","2015","030199","2","personer","5_9","196"
"befolkning_botid","2015","030199","alle","personer","5_9","635"
"befolkning_botid","2015","030101","1","personer","alle","5146"
"befolkning_botid","2015","030101","2","personer","alle","9779"
"befolkning_botid","2015","030101","alle","personer","alle","14925"
"befolkning_botid","2015","030102","1","personer","alle","7131"
"befolkning_botid","2015","030102","2","personer","alle","8614"
"befolkning_botid","2015","030102","alle","personer","alle","15745"
"befolkning_botid","2015","030103","1","personer","alle","3559"
"befolkning_botid","2015","030103","2","personer","alle","4600"
"befolkning_botid","2015","030103","alle","personer","alle","8159"
"befolkning_botid","2015","030104","1","personer","alle","4852"
"befolkning_botid","2015","030104","2","personer","alle","3743"
"befolkning_botid","2015","030104","alle","personer","alle","8595"
"befolkning_botid","2015","030105","1","personer","alle","8572"
"befolkning_botid","2015","030105","2","personer","alle","5439"
"befolkning_botid","2015","030105","alle","personer","alle","14011"
"befolkning_botid","2015","030106","1","personer","alle","2929"
"befolkning_botid","2015","030106","2","personer","alle","2061"
"befolkning_botid","2015","030106","alle","personer","alle","4990"
"befolkning_botid","2015","030107","1","personer","alle","4167"
"befolkning_botid","2015","030107","2","personer","alle","2822"
"befolkning_botid","2015","030107","alle","personer","alle","6989"
"befolkning_botid","2015","030108","1","personer","alle","3801"
"befolkning_botid","2015","030108","2","personer","alle","3667"
"befolkning_botid","2015","030108","alle","personer","alle","7468"
"befolkning_botid","2015","030109","1","personer","alle","2782"
"befolkning_botid","2015","030109","2","personer","alle","6567"
"befolkning_botid","2015","030109","alle","personer","alle","9349"
"befolkning_botid","2015","030110","1","personer","alle","1755"
"befolkning_botid","2015","030110","2","personer","alle","7218"
"befolkning_botid","2015","030110","alle","personer","alle","8973"
"befolkning_botid","2015","030111","1","personer","alle","1978"
"befolkning_botid","2015","030111","2","personer","alle","8939"
"befolkning_botid","2015","030111","alle","personer","alle","10917"
"befolkning_botid","2015","030112","1","personer","alle","3039"
"befolkning_botid","2015","030112","2","personer","alle","13665"
"befolkning_botid","2015","030112","alle","personer","alle","16704"
"befolkning_botid","2015","030113","1","personer","alle","2852"
"befolkning_botid","2015","030113","2","personer","alle","5774"
"befolkning_botid","2015","030113","alle","personer","alle","8626"
"befolkning_botid","2015","030114","1","personer","alle","3543"
"befolkning_botid","2015","030114","2","personer","alle","3142"
"befolkning_botid","2015","030114","alle","personer","alle","6685"
"befolkning_botid","2015","030115","1","personer","alle","2973"
"befolkning_botid","2015","030115","2","personer","alle","10006"
"befolkning_botid","2015","030115","alle","personer","alle","12979"
"befolkning_botid","2015","030116","1","personer","alle","341"
"befolkning_botid","2015","030116","2","personer","alle","237"
"befolkning_botid","2015","030116","alle","personer","alle","578"
"befolkning_botid","2015","030117","1","personer","alle","129"
"befolkning_botid","2015","030117","2","personer","alle","33"
"befolkning_botid","2015","030117","alle","personer","alle","162"
"befolkning_botid","2015","030199","1","personer","alle","1602"
"befolkning_botid","2015","030199","2","personer","alle","1378"
"befolkning_botid","2015","030199","alle","personer","alle","2980"
