"naringsregion_nr","bosetting","aar","enhet","tabellvariabel","tabell_navn"
"20","vedtak","2015","personer","389","bosatt_anmodede"
"21","vedtak","2015","personer","62","bosatt_anmodede"
"22","vedtak","2015","personer","84","bosatt_anmodede"
"23","vedtak","2015","personer","71","bosatt_anmodede"
"24","vedtak","2015","personer","81","bosatt_anmodede"
"25","vedtak","2015","personer","334","bosatt_anmodede"
"26","vedtak","2015","personer","180","bosatt_anmodede"
"27","vedtak","2015","personer","267","bosatt_anmodede"
"28","vedtak","2015","personer","78","bosatt_anmodede"
"29","vedtak","2015","personer","92","bosatt_anmodede"
"30","vedtak","2015","personer","63","bosatt_anmodede"
"31","vedtak","2015","personer","45","bosatt_anmodede"
"32","vedtak","2015","personer","294","bosatt_anmodede"
"33","vedtak","2015","personer","219","bosatt_anmodede"
"34","vedtak","2015","personer","107","bosatt_anmodede"
"35","vedtak","2015","personer","383","bosatt_anmodede"
"36","vedtak","2015","personer","80","bosatt_anmodede"
"37","vedtak","2015","personer","206","bosatt_anmodede"
"38","vedtak","2015","personer","82","bosatt_anmodede"
"39","vedtak","2015","personer","423","bosatt_anmodede"
"40","vedtak","2015","personer","350","bosatt_anmodede"
"41","vedtak","2015","personer","25","bosatt_anmodede"
"42","vedtak","2015","personer","65","bosatt_anmodede"
"43","vedtak","2015","personer","48","bosatt_anmodede"
"44","vedtak","2015","personer","89","bosatt_anmodede"
"45","vedtak","2015","personer","30","bosatt_anmodede"
"46","vedtak","2015","personer","141","bosatt_anmodede"
"47","vedtak","2015","personer","124","bosatt_anmodede"
"48","vedtak","2015","personer","70","bosatt_anmodede"
"49","vedtak","2015","personer","115","bosatt_anmodede"
"50","vedtak","2015","personer","143","bosatt_anmodede"
"51","vedtak","2015","personer","146","bosatt_anmodede"
"52","vedtak","2015","personer","212","bosatt_anmodede"
"53","vedtak","2015","personer","164","bosatt_anmodede"
"54","vedtak","2015","personer","20","bosatt_anmodede"
"55","vedtak","2015","personer","141","bosatt_anmodede"
"56","vedtak","2015","personer","149","bosatt_anmodede"
"57","vedtak","2015","personer","71","bosatt_anmodede"
"58","vedtak","2015","personer","20","bosatt_anmodede"
"59","vedtak","2015","personer","49","bosatt_anmodede"
"60","vedtak","2015","personer","63","bosatt_anmodede"
"61","vedtak","2015","personer","607","bosatt_anmodede"
"62","vedtak","2015","personer","39","bosatt_anmodede"
"63","vedtak","2015","personer","87","bosatt_anmodede"
"64","vedtak","2015","personer","194","bosatt_anmodede"
"65","vedtak","2015","personer","47","bosatt_anmodede"
"66","vedtak","2015","personer","42","bosatt_anmodede"
"67","vedtak","2015","personer","70","bosatt_anmodede"
"68","vedtak","2015","personer","42","bosatt_anmodede"
"69","vedtak","2015","personer","100","bosatt_anmodede"
"70","vedtak","2015","personer",".","bosatt_anmodede"
"71","vedtak","2015","personer","58","bosatt_anmodede"
"72","vedtak","2015","personer","80","bosatt_anmodede"
"73","vedtak","2015","personer","256","bosatt_anmodede"
"74","vedtak","2015","personer","75","bosatt_anmodede"
"75","vedtak","2015","personer","103","bosatt_anmodede"
"76","vedtak","2015","personer","157","bosatt_anmodede"
"77","vedtak","2015","personer","173","bosatt_anmodede"
