"tabell_navn","aar","bydel_nr","landbakgrunn","enhet","tabellvariabel"
"befolkning_opprinnelsesland","2006","030101","818","personer","."
"befolkning_opprinnelsesland","2006","030101","819","personer","."
"befolkning_opprinnelsesland","2006","030101","820","personer","."
"befolkning_opprinnelsesland","2006","030101","821","personer","."
"befolkning_opprinnelsesland","2006","030101","822","personer","."
"befolkning_opprinnelsesland","2006","030101","826","personer","."
"befolkning_opprinnelsesland","2006","030101","827","personer","."
"befolkning_opprinnelsesland","2006","030101","828","personer","."
"befolkning_opprinnelsesland","2006","030101","829","personer","."
"befolkning_opprinnelsesland","2006","030101","830","personer","."
"befolkning_opprinnelsesland","2006","030101","832","personer","."
"befolkning_opprinnelsesland","2006","030101","833","personer","."
"befolkning_opprinnelsesland","2006","030101","835","personer","."
"befolkning_opprinnelsesland","2006","030101","839","personer","."
"befolkning_opprinnelsesland","2006","030101","840","personer","."
"befolkning_opprinnelsesland","2006","030101","970","personer","66"
"befolkning_opprinnelsesland","2006","030101","980","personer","."
"befolkning_opprinnelsesland","2006","030101","990","personer","."
"befolkning_opprinnelsesland","2007","030101","101","personer","217"
"befolkning_opprinnelsesland","2007","030101","102","personer",":"
"befolkning_opprinnelsesland","2007","030101","103","personer","97"
"befolkning_opprinnelsesland","2007","030101","104","personer",":"
"befolkning_opprinnelsesland","2007","030101","105","personer","42"
"befolkning_opprinnelsesland","2007","030101","106","personer","573"
"befolkning_opprinnelsesland","2007","030101","111","personer",":"
"befolkning_opprinnelsesland","2007","030101","112","personer","5"
"befolkning_opprinnelsesland","2007","030101","113","personer","22"
"befolkning_opprinnelsesland","2007","030101","114","personer","."
"befolkning_opprinnelsesland","2007","030101","115","personer","25"
"befolkning_opprinnelsesland","2007","030101","117","personer","52"
"befolkning_opprinnelsesland","2007","030101","118","personer","."
"befolkning_opprinnelsesland","2007","030101","119","personer","6"
"befolkning_opprinnelsesland","2007","030101","120","personer",":"
"befolkning_opprinnelsesland","2007","030101","121","personer","9"
"befolkning_opprinnelsesland","2007","030101","122","personer","47"
"befolkning_opprinnelsesland","2007","030101","123","personer","40"
"befolkning_opprinnelsesland","2007","030101","124","personer","16"
"befolkning_opprinnelsesland","2007","030101","126","personer","."
"befolkning_opprinnelsesland","2007","030101","127","personer","26"
"befolkning_opprinnelsesland","2007","030101","128","personer","."
"befolkning_opprinnelsesland","2007","030101","129","personer","."
"befolkning_opprinnelsesland","2007","030101","130","personer","."
"befolkning_opprinnelsesland","2007","030101","131","personer","274"
"befolkning_opprinnelsesland","2007","030101","132","personer","12"
"befolkning_opprinnelsesland","2007","030101","133","personer","24"
"befolkning_opprinnelsesland","2007","030101","134","personer","."
"befolkning_opprinnelsesland","2007","030101","136","personer","40"
"befolkning_opprinnelsesland","2007","030101","137","personer","46"
"befolkning_opprinnelsesland","2007","030101","138","personer",":"
"befolkning_opprinnelsesland","2007","030101","139","personer","102"
"befolkning_opprinnelsesland","2007","030101","140","personer","88"
"befolkning_opprinnelsesland","2007","030101","141","personer","13"
"befolkning_opprinnelsesland","2007","030101","143","personer","293"
"befolkning_opprinnelsesland","2007","030101","144","personer","121"
"befolkning_opprinnelsesland","2007","030101","146","personer",":"
"befolkning_opprinnelsesland","2007","030101","148","personer","13"
"befolkning_opprinnelsesland","2007","030101","152","personer","19"
"befolkning_opprinnelsesland","2007","030101","153","personer","12"
"befolkning_opprinnelsesland","2007","030101","154","personer","."
"befolkning_opprinnelsesland","2007","030101","155","personer","163"
"befolkning_opprinnelsesland","2007","030101","156","personer","195"
"befolkning_opprinnelsesland","2007","030101","157","personer","6"
"befolkning_opprinnelsesland","2007","030101","158","personer","25"
"befolkning_opprinnelsesland","2007","030101","159","personer","84"
"befolkning_opprinnelsesland","2007","030101","160","personer",":"
"befolkning_opprinnelsesland","2007","030101","161","personer","."
"befolkning_opprinnelsesland","2007","030101","162","personer","."
"befolkning_opprinnelsesland","2007","030101","163","personer","."
"befolkning_opprinnelsesland","2007","030101","164","personer","."
"befolkning_opprinnelsesland","2007","030101","203","personer","61"
"befolkning_opprinnelsesland","2007","030101","204","personer","4"
"befolkning_opprinnelsesland","2007","030101","205","personer","."
"befolkning_opprinnelsesland","2007","030101","209","personer","."
"befolkning_opprinnelsesland","2007","030101","213","personer","."
"befolkning_opprinnelsesland","2007","030101","216","personer",":"
"befolkning_opprinnelsesland","2007","030101","220","personer","."
"befolkning_opprinnelsesland","2007","030101","229","personer","."
"befolkning_opprinnelsesland","2007","030101","235","personer","."
"befolkning_opprinnelsesland","2007","030101","239","personer",":"
"befolkning_opprinnelsesland","2007","030101","241","personer","82"
"befolkning_opprinnelsesland","2007","030101","246","personer","104"
"befolkning_opprinnelsesland","2007","030101","249","personer","28"
"befolkning_opprinnelsesland","2007","030101","250","personer","."
"befolkning_opprinnelsesland","2007","030101","254","personer","."
"befolkning_opprinnelsesland","2007","030101","256","personer","69"
"befolkning_opprinnelsesland","2007","030101","260","personer","43"
"befolkning_opprinnelsesland","2007","030101","264","personer",":"
"befolkning_opprinnelsesland","2007","030101","266","personer","."
"befolkning_opprinnelsesland","2007","030101","270","personer","6"
"befolkning_opprinnelsesland","2007","030101","273","personer","12"
"befolkning_opprinnelsesland","2007","030101","276","personer","24"
"befolkning_opprinnelsesland","2007","030101","278","personer",":"
"befolkning_opprinnelsesland","2007","030101","279","personer","6"
"befolkning_opprinnelsesland","2007","030101","281","personer","."
"befolkning_opprinnelsesland","2007","030101","283","personer","4"
"befolkning_opprinnelsesland","2007","030101","286","personer","9"
"befolkning_opprinnelsesland","2007","030101","289","personer",":"
"befolkning_opprinnelsesland","2007","030101","296","personer","."
"befolkning_opprinnelsesland","2007","030101","299","personer",":"
"befolkning_opprinnelsesland","2007","030101","303","personer","414"
"befolkning_opprinnelsesland","2007","030101","304","personer","."
"befolkning_opprinnelsesland","2007","030101","306","personer","."
"befolkning_opprinnelsesland","2007","030101","307","personer",":"
"befolkning_opprinnelsesland","2007","030101","308","personer",":"
"befolkning_opprinnelsesland","2007","030101","309","personer",":"
"befolkning_opprinnelsesland","2007","030101","313","personer","21"
"befolkning_opprinnelsesland","2007","030101","319","personer",":"
"befolkning_opprinnelsesland","2007","030101","322","personer","."
"befolkning_opprinnelsesland","2007","030101","323","personer","."
"befolkning_opprinnelsesland","2007","030101","326","personer","6"
"befolkning_opprinnelsesland","2007","030101","329","personer","9"
"befolkning_opprinnelsesland","2007","030101","333","personer","."
"befolkning_opprinnelsesland","2007","030101","336","personer","8"
"befolkning_opprinnelsesland","2007","030101","337","personer","."
"befolkning_opprinnelsesland","2007","030101","338","personer","."
"befolkning_opprinnelsesland","2007","030101","339","personer","7"
"befolkning_opprinnelsesland","2007","030101","346","personer","1088"
"befolkning_opprinnelsesland","2007","030101","355","personer","."
"befolkning_opprinnelsesland","2007","030101","356","personer","33"
"befolkning_opprinnelsesland","2007","030101","357","personer","."
"befolkning_opprinnelsesland","2007","030101","359","personer","10"
"befolkning_opprinnelsesland","2007","030101","369","personer","20"
"befolkning_opprinnelsesland","2007","030101","373","personer",":"
"befolkning_opprinnelsesland","2007","030101","376","personer",":"
"befolkning_opprinnelsesland","2007","030101","379","personer","47"
"befolkning_opprinnelsesland","2007","030101","386","personer","14"
"befolkning_opprinnelsesland","2007","030101","389","personer",":"
"befolkning_opprinnelsesland","2007","030101","393","personer","."
"befolkning_opprinnelsesland","2007","030101","404","personer","112"
"befolkning_opprinnelsesland","2007","030101","406","personer","."
"befolkning_opprinnelsesland","2007","030101","407","personer",":"
"befolkning_opprinnelsesland","2007","030101","409","personer","."
"befolkning_opprinnelsesland","2007","030101","410","personer","21"
"befolkning_opprinnelsesland","2007","030101","412","personer",":"
"befolkning_opprinnelsesland","2007","030101","416","personer","."
"befolkning_opprinnelsesland","2007","030101","420","personer","7"
"befolkning_opprinnelsesland","2007","030101","424","personer","275"
"befolkning_opprinnelsesland","2007","030101","426","personer","5"
"befolkning_opprinnelsesland","2007","030101","428","personer","116"
"befolkning_opprinnelsesland","2007","030101","430","personer",":"
"befolkning_opprinnelsesland","2007","030101","432","personer","4"
"befolkning_opprinnelsesland","2007","030101","436","personer","17"
"befolkning_opprinnelsesland","2007","030101","444","personer","121"
"befolkning_opprinnelsesland","2007","030101","448","personer","15"
"befolkning_opprinnelsesland","2007","030101","452","personer","648"
"befolkning_opprinnelsesland","2007","030101","456","personer","275"
"befolkning_opprinnelsesland","2007","030101","460","personer","16"
