"kommune_nr","barnikommune","bhgalder","enhet","tabellvariabel","aar","tabell_navn"
"0929","alle","1_5","personer","86","2013","barnehagedeltakelse"
"0935","alle","1_5","personer","105","2013","barnehagedeltakelse"
"0937","alle","1_5","personer","238","2013","barnehagedeltakelse"
"0938","alle","1_5","personer","47","2013","barnehagedeltakelse"
"0940","alle","1_5","personer","53","2013","barnehagedeltakelse"
"0941","alle","1_5","personer","58","2013","barnehagedeltakelse"
"1001","alle","1_5","personer","5673","2013","barnehagedeltakelse"
"1002","alle","1_5","personer","948","2013","barnehagedeltakelse"
"1003","alle","1_5","personer","556","2013","barnehagedeltakelse"
"1004","alle","1_5","personer","548","2013","barnehagedeltakelse"
"1014","alle","1_5","personer","1024","2013","barnehagedeltakelse"
"1017","alle","1_5","personer","465","2013","barnehagedeltakelse"
"1018","alle","1_5","personer","730","2013","barnehagedeltakelse"
"1021","alle","1_5","personer","159","2013","barnehagedeltakelse"
"1026","alle","1_5","personer","53","2013","barnehagedeltakelse"
"1027","alle","1_5","personer","127","2013","barnehagedeltakelse"
"1029","alle","1_5","personer","339","2013","barnehagedeltakelse"
"1032","alle","1_5","personer","565","2013","barnehagedeltakelse"
"1034","alle","1_5","personer","107","2013","barnehagedeltakelse"
"1037","alle","1_5","personer","406","2013","barnehagedeltakelse"
"1046","alle","1_5","personer","137","2013","barnehagedeltakelse"
"1101","alle","1_5","personer","990","2013","barnehagedeltakelse"
"1102","alle","1_5","personer","5545","2013","barnehagedeltakelse"
"1103","alle","1_5","personer","8686","2013","barnehagedeltakelse"
"1106","alle","1_5","personer","2220","2013","barnehagedeltakelse"
"1111","alle","1_5","personer","234","2013","barnehagedeltakelse"
"1112","alle","1_5","personer","220","2013","barnehagedeltakelse"
"1114","alle","1_5","personer","206","2013","barnehagedeltakelse"
"1119","alle","1_5","personer","1538","2013","barnehagedeltakelse"
"1120","alle","1_5","personer","1475","2013","barnehagedeltakelse"
"1121","alle","1_5","personer","1464","2013","barnehagedeltakelse"
"1122","alle","1_5","personer","960","2013","barnehagedeltakelse"
"1124","alle","1_5","personer","1986","2013","barnehagedeltakelse"
"1127","alle","1_5","personer","721","2013","barnehagedeltakelse"
