"tabell_navn","aar","bydel_nr","innvkat_3","kjonn","enhet","alder_grupper","tabellvariabel"
"befolkning_alder","2015","030112","alle","alle","personer","16_19","2215"
"befolkning_alder","2015","030112","befolkningen_ellers","0","personer","16_19","823"
"befolkning_alder","2015","030112","befolkningen_ellers","1","personer","16_19","888"
"befolkning_alder","2015","030112","befolkningen_ellers","alle","personer","16_19","1711"
"befolkning_alder","2015","030112","innvandrere","0","personer","16_19","230"
"befolkning_alder","2015","030112","innvandrere","1","personer","16_19","274"
"befolkning_alder","2015","030112","innvandrere","alle","personer","16_19","504"
"befolkning_alder","2015","030113","alle","0","personer","16_19","1019"
"befolkning_alder","2015","030113","alle","1","personer","16_19","1026"
"befolkning_alder","2015","030113","alle","alle","personer","16_19","2045"
"befolkning_alder","2015","030113","befolkningen_ellers","0","personer","16_19","902"
"befolkning_alder","2015","030113","befolkningen_ellers","1","personer","16_19","917"
"befolkning_alder","2015","030113","befolkningen_ellers","alle","personer","16_19","1819"
"befolkning_alder","2015","030113","innvandrere","0","personer","16_19","117"
"befolkning_alder","2015","030113","innvandrere","1","personer","16_19","109"
"befolkning_alder","2015","030113","innvandrere","alle","personer","16_19","226"
"befolkning_alder","2015","030114","alle","0","personer","16_19","1112"
"befolkning_alder","2015","030114","alle","1","personer","16_19","1133"
"befolkning_alder","2015","030114","alle","alle","personer","16_19","2245"
"befolkning_alder","2015","030114","befolkningen_ellers","0","personer","16_19","1029"
"befolkning_alder","2015","030114","befolkningen_ellers","1","personer","16_19","1042"
"befolkning_alder","2015","030114","befolkningen_ellers","alle","personer","16_19","2071"
"befolkning_alder","2015","030114","innvandrere","0","personer","16_19","83"
"befolkning_alder","2015","030114","innvandrere","1","personer","16_19","91"
"befolkning_alder","2015","030114","innvandrere","alle","personer","16_19","174"
"befolkning_alder","2015","030115","alle","0","personer","16_19","1135"
"befolkning_alder","2015","030115","alle","1","personer","16_19","1141"
"befolkning_alder","2015","030115","alle","alle","personer","16_19","2276"
"befolkning_alder","2015","030115","befolkningen_ellers","0","personer","16_19","932"
"befolkning_alder","2015","030115","befolkningen_ellers","1","personer","16_19","941"
"befolkning_alder","2015","030115","befolkningen_ellers","alle","personer","16_19","1873"
"befolkning_alder","2015","030115","innvandrere","0","personer","16_19","203"
"befolkning_alder","2015","030115","innvandrere","1","personer","16_19","200"
"befolkning_alder","2015","030115","innvandrere","alle","personer","16_19","403"
"befolkning_alder","2015","030116","alle","0","personer","16_19","6"
"befolkning_alder","2015","030116","alle","1","personer","16_19","11"
"befolkning_alder","2015","030116","alle","alle","personer","16_19","17"
"befolkning_alder","2015","030116","befolkningen_ellers","0","personer","16_19","3"
"befolkning_alder","2015","030116","befolkningen_ellers","1","personer","16_19","3"
"befolkning_alder","2015","030116","befolkningen_ellers","alle","personer","16_19","6"
"befolkning_alder","2015","030116","innvandrere","0","personer","16_19","3"
"befolkning_alder","2015","030116","innvandrere","1","personer","16_19","8"
"befolkning_alder","2015","030116","innvandrere","alle","personer","16_19","11"
"befolkning_alder","2015","030117","alle","0","personer","16_19","52"
"befolkning_alder","2015","030117","alle","1","personer","16_19","32"
"befolkning_alder","2015","030117","alle","alle","personer","16_19","84"
"befolkning_alder","2015","030117","befolkningen_ellers","0","personer","16_19","49"
"befolkning_alder","2015","030117","befolkningen_ellers","1","personer","16_19","29"
"befolkning_alder","2015","030117","befolkningen_ellers","alle","personer","16_19","79"
"befolkning_alder","2015","030117","innvandrere","0","personer","16_19","3"
"befolkning_alder","2015","030117","innvandrere","1","personer","16_19","3"
"befolkning_alder","2015","030117","innvandrere","alle","personer","16_19","5"
"befolkning_alder","2015","030199","alle","0","personer","16_19","53"
"befolkning_alder","2015","030199","alle","1","personer","16_19","54"
"befolkning_alder","2015","030199","alle","alle","personer","16_19","107"
"befolkning_alder","2015","030199","befolkningen_ellers","0","personer","16_19","28"
"befolkning_alder","2015","030199","befolkningen_ellers","1","personer","16_19","28"
"befolkning_alder","2015","030199","befolkningen_ellers","alle","personer","16_19","56"
"befolkning_alder","2015","030199","innvandrere","0","personer","16_19","25"
"befolkning_alder","2015","030199","innvandrere","1","personer","16_19","26"
"befolkning_alder","2015","030199","innvandrere","alle","personer","16_19","51"
"befolkning_alder","2015","030101","alle","0","personer","20_29","5644"
"befolkning_alder","2015","030101","alle","1","personer","20_29","5300"
"befolkning_alder","2015","030101","alle","alle","personer","20_29","10944"
"befolkning_alder","2015","030101","befolkningen_ellers","0","personer","20_29","3797"
"befolkning_alder","2015","030101","befolkningen_ellers","1","personer","20_29","3548"
"befolkning_alder","2015","030101","befolkningen_ellers","alle","personer","20_29","7345"
"befolkning_alder","2015","030101","innvandrere","0","personer","20_29","1847"
"befolkning_alder","2015","030101","innvandrere","1","personer","20_29","1752"
"befolkning_alder","2015","030101","innvandrere","alle","personer","20_29","3599"
"befolkning_alder","2015","030102","alle","0","personer","20_29","8117"
"befolkning_alder","2015","030102","alle","1","personer","20_29","7366"
"befolkning_alder","2015","030102","alle","alle","personer","20_29","15483"
"befolkning_alder","2015","030102","befolkningen_ellers","0","personer","20_29","5905"
"befolkning_alder","2015","030102","befolkningen_ellers","1","personer","20_29","5169"
"befolkning_alder","2015","030102","befolkningen_ellers","alle","personer","20_29","11074"
"befolkning_alder","2015","030102","innvandrere","0","personer","20_29","2212"
"befolkning_alder","2015","030102","innvandrere","1","personer","20_29","2197"
"befolkning_alder","2015","030102","innvandrere","alle","personer","20_29","4409"
"befolkning_alder","2015","030103","alle","0","personer","20_29","5996"
"befolkning_alder","2015","030103","alle","1","personer","20_29","4800"
"befolkning_alder","2015","030103","alle","alle","personer","20_29","10796"
"befolkning_alder","2015","030103","befolkningen_ellers","0","personer","20_29","4868"
"befolkning_alder","2015","030103","befolkningen_ellers","1","personer","20_29","3845"
"befolkning_alder","2015","030103","befolkningen_ellers","alle","personer","20_29","8713"
"befolkning_alder","2015","030103","innvandrere","0","personer","20_29","1128"
"befolkning_alder","2015","030103","innvandrere","1","personer","20_29","955"
"befolkning_alder","2015","030103","innvandrere","alle","personer","20_29","2083"
"befolkning_alder","2015","030104","alle","0","personer","20_29","5983"
"befolkning_alder","2015","030104","alle","1","personer","20_29","5153"
"befolkning_alder","2015","030104","alle","alle","personer","20_29","11136"
"befolkning_alder","2015","030104","befolkningen_ellers","0","personer","20_29","4692"
"befolkning_alder","2015","030104","befolkningen_ellers","1","personer","20_29","3925"
"befolkning_alder","2015","030104","befolkningen_ellers","alle","personer","20_29","8617"
"befolkning_alder","2015","030104","innvandrere","0","personer","20_29","1291"
"befolkning_alder","2015","030104","innvandrere","1","personer","20_29","1228"
"befolkning_alder","2015","030104","innvandrere","alle","personer","20_29","2519"
"befolkning_alder","2015","030105","alle","0","personer","20_29","7629"
"befolkning_alder","2015","030105","alle","1","personer","20_29","6636"
"befolkning_alder","2015","030105","alle","alle","personer","20_29","14265"
"befolkning_alder","2015","030105","befolkningen_ellers","0","personer","20_29","5665"
"befolkning_alder","2015","030105","befolkningen_ellers","1","personer","20_29","4892"
"befolkning_alder","2015","030105","befolkningen_ellers","alle","personer","20_29","10557"
"befolkning_alder","2015","030105","innvandrere","0","personer","20_29","1964"
"befolkning_alder","2015","030105","innvandrere","1","personer","20_29","1744"
"befolkning_alder","2015","030105","innvandrere","alle","personer","20_29","3708"
"befolkning_alder","2015","030106","alle","0","personer","20_29","1846"
"befolkning_alder","2015","030106","alle","1","personer","20_29","1679"
"befolkning_alder","2015","030106","alle","alle","personer","20_29","3525"
"befolkning_alder","2015","030106","befolkningen_ellers","0","personer","20_29","1329"
"befolkning_alder","2015","030106","befolkningen_ellers","1","personer","20_29","1341"
"befolkning_alder","2015","030106","befolkningen_ellers","alle","personer","20_29","2670"
"befolkning_alder","2015","030106","innvandrere","0","personer","20_29","517"
"befolkning_alder","2015","030106","innvandrere","1","personer","20_29","338"
"befolkning_alder","2015","030106","innvandrere","alle","personer","20_29","855"
"befolkning_alder","2015","030107","alle","0","personer","20_29","3014"
"befolkning_alder","2015","030107","alle","1","personer","20_29","2482"
"befolkning_alder","2015","030107","alle","alle","personer","20_29","5496"
"befolkning_alder","2015","030107","befolkningen_ellers","0","personer","20_29","2096"
"befolkning_alder","2015","030107","befolkningen_ellers","1","personer","20_29","2007"
"befolkning_alder","2015","030107","befolkningen_ellers","alle","personer","20_29","4103"
"befolkning_alder","2015","030107","innvandrere","0","personer","20_29","918"
"befolkning_alder","2015","030107","innvandrere","1","personer","20_29","475"
"befolkning_alder","2015","030107","innvandrere","alle","personer","20_29","1393"
"befolkning_alder","2015","030108","alle","0","personer","20_29","3951"
"befolkning_alder","2015","030108","alle","1","personer","20_29","3882"
"befolkning_alder","2015","030108","alle","alle","personer","20_29","7833"
"befolkning_alder","2015","030108","befolkningen_ellers","0","personer","20_29","2706"
"befolkning_alder","2015","030108","befolkningen_ellers","1","personer","20_29","2804"
"befolkning_alder","2015","030108","befolkningen_ellers","alle","personer","20_29","5510"
"befolkning_alder","2015","030108","innvandrere","0","personer","20_29","1245"
"befolkning_alder","2015","030108","innvandrere","1","personer","20_29","1078"
"befolkning_alder","2015","030108","innvandrere","alle","personer","20_29","2323"
"befolkning_alder","2015","030109","alle","0","personer","20_29","2194"
"befolkning_alder","2015","030109","alle","1","personer","20_29","2152"
"befolkning_alder","2015","030109","alle","alle","personer","20_29","4346"
"befolkning_alder","2015","030109","befolkningen_ellers","0","personer","20_29","1332"
"befolkning_alder","2015","030109","befolkningen_ellers","1","personer","20_29","1304"
"befolkning_alder","2015","030109","befolkningen_ellers","alle","personer","20_29","2636"
"befolkning_alder","2015","030109","innvandrere","0","personer","20_29","862"
"befolkning_alder","2015","030109","innvandrere","1","personer","20_29","848"
"befolkning_alder","2015","030109","innvandrere","alle","personer","20_29","1710"
