"bydel_nr","avslutta","kjonn","avslstat4","aar","enhet","tabellvariabel","tabell_navn"
"030109","treaar","1","arbutd","2013","prosent",":","intro_status_arbutd"
"030110","treaar","1","arbutd","2013","prosent",":","intro_status_arbutd"
"030111","treaar","1","arbutd","2013","prosent",":","intro_status_arbutd"
"030112","treaar","1","arbutd","2013","prosent",":","intro_status_arbutd"
"030113","treaar","1","arbutd","2013","prosent",":","intro_status_arbutd"
"030114","treaar","1","arbutd","2013","prosent","100","intro_status_arbutd"
"030115","treaar","1","arbutd","2013","prosent",":","intro_status_arbutd"
"030116","treaar","1","arbutd","2013","prosent","0","intro_status_arbutd"
"030117","treaar","1","arbutd","2013","prosent","0","intro_status_arbutd"
"030199","treaar","1","arbutd","2013","prosent",":","intro_status_arbutd"
"0301","treaar","1","ledig_tiltak","2013","prosent","9","intro_status_arbutd"
"030101","treaar","1","ledig_tiltak","2013","prosent","0","intro_status_arbutd"
"030102","treaar","1","ledig_tiltak","2013","prosent",":","intro_status_arbutd"
"030103","treaar","1","ledig_tiltak","2013","prosent",":","intro_status_arbutd"
"030104","treaar","1","ledig_tiltak","2013","prosent",":","intro_status_arbutd"
"030105","treaar","1","ledig_tiltak","2013","prosent","0","intro_status_arbutd"
"030106","treaar","1","ledig_tiltak","2013","prosent","0","intro_status_arbutd"
"030107","treaar","1","ledig_tiltak","2013","prosent","0","intro_status_arbutd"
"030108","treaar","1","ledig_tiltak","2013","prosent","0","intro_status_arbutd"
"030109","treaar","1","ledig_tiltak","2013","prosent",":","intro_status_arbutd"
"030110","treaar","1","ledig_tiltak","2013","prosent","0","intro_status_arbutd"
"030111","treaar","1","ledig_tiltak","2013","prosent","0","intro_status_arbutd"
"030112","treaar","1","ledig_tiltak","2013","prosent",":","intro_status_arbutd"
"030113","treaar","1","ledig_tiltak","2013","prosent","0","intro_status_arbutd"
"030114","treaar","1","ledig_tiltak","2013","prosent","0","intro_status_arbutd"
"030115","treaar","1","ledig_tiltak","2013","prosent","0","intro_status_arbutd"
"030116","treaar","1","ledig_tiltak","2013","prosent","0","intro_status_arbutd"
"030117","treaar","1","ledig_tiltak","2013","prosent","0","intro_status_arbutd"
"030199","treaar","1","ledig_tiltak","2013","prosent","0","intro_status_arbutd"
"0301","treaar","1","annet","2013","prosent","30","intro_status_arbutd"
"030101","treaar","1","annet","2013","prosent",":","intro_status_arbutd"
