"naringsregion_nr","innvkat_3","vreg_3","enhet","aar","tabellvariabel","tabell_navn"
"02","innvandrere","2","kroner","2014","239400","gjennomsnittsinntekt"
"03","innvandrere","2","kroner","2014","238100","gjennomsnittsinntekt"
"04","innvandrere","2","kroner","2014","225000","gjennomsnittsinntekt"
"05","innvandrere","2","kroner","2014","271600","gjennomsnittsinntekt"
"06","innvandrere","2","kroner","2014","261100","gjennomsnittsinntekt"
"07","innvandrere","2","kroner","2014","281200","gjennomsnittsinntekt"
"08","innvandrere","2","kroner","2014","267600","gjennomsnittsinntekt"
"09","innvandrere","2","kroner","2014","246600","gjennomsnittsinntekt"
"10","innvandrere","2","kroner","2014","196100","gjennomsnittsinntekt"
"11","innvandrere","2","kroner","2014","212500","gjennomsnittsinntekt"
"12","innvandrere","2","kroner","2014","221900","gjennomsnittsinntekt"
"13","innvandrere","2","kroner","2014","196300","gjennomsnittsinntekt"
"14","innvandrere","2","kroner","2014","213900","gjennomsnittsinntekt"
"15","innvandrere","2","kroner","2014","210800","gjennomsnittsinntekt"
"16","innvandrere","2","kroner","2014","220700","gjennomsnittsinntekt"
"17","innvandrere","2","kroner","2014","184500","gjennomsnittsinntekt"
"18","innvandrere","2","kroner","2014","174000","gjennomsnittsinntekt"
"19","innvandrere","2","kroner","2014","182700","gjennomsnittsinntekt"
"20","innvandrere","2","kroner","2014","245500","gjennomsnittsinntekt"
"21","innvandrere","2","kroner","2014","210700","gjennomsnittsinntekt"
"22","innvandrere","2","kroner","2014","254100","gjennomsnittsinntekt"
"23","innvandrere","2","kroner","2014","230200","gjennomsnittsinntekt"
"24","innvandrere","2","kroner","2014","245600","gjennomsnittsinntekt"
"25","innvandrere","2","kroner","2014","235000","gjennomsnittsinntekt"
"26","innvandrere","2","kroner","2014","234900","gjennomsnittsinntekt"
"27","innvandrere","2","kroner","2014","216800","gjennomsnittsinntekt"
"28","innvandrere","2","kroner","2014","195400","gjennomsnittsinntekt"
"29","innvandrere","2","kroner","2014","193700","gjennomsnittsinntekt"
"30","innvandrere","2","kroner","2014","217400","gjennomsnittsinntekt"
"31","innvandrere","2","kroner","2014","206200","gjennomsnittsinntekt"
"32","innvandrere","2","kroner","2014","221200","gjennomsnittsinntekt"
"33","innvandrere","2","kroner","2014","222200","gjennomsnittsinntekt"
"34","innvandrere","2","kroner","2014","202500","gjennomsnittsinntekt"
"35","innvandrere","2","kroner","2014","236400","gjennomsnittsinntekt"
"36","innvandrere","2","kroner","2014","260000","gjennomsnittsinntekt"
"37","innvandrere","2","kroner","2014","244400","gjennomsnittsinntekt"
"38","innvandrere","2","kroner","2014","246000","gjennomsnittsinntekt"
"39","innvandrere","2","kroner","2014","290800","gjennomsnittsinntekt"
"40","innvandrere","2","kroner","2014","253600","gjennomsnittsinntekt"
"41","innvandrere","2","kroner","2014","286200","gjennomsnittsinntekt"
"42","innvandrere","2","kroner","2014","227000","gjennomsnittsinntekt"
"43","innvandrere","2","kroner","2014","204300","gjennomsnittsinntekt"
"44","innvandrere","2","kroner","2014","265100","gjennomsnittsinntekt"
"45","innvandrere","2","kroner","2014","245100","gjennomsnittsinntekt"
"46","innvandrere","2","kroner","2014","249700","gjennomsnittsinntekt"
"47","innvandrere","2","kroner","2014","259300","gjennomsnittsinntekt"
"48","innvandrere","2","kroner","2014","216500","gjennomsnittsinntekt"
"49","innvandrere","2","kroner","2014","225300","gjennomsnittsinntekt"
"50","innvandrere","2","kroner","2014","218500","gjennomsnittsinntekt"
"51","innvandrere","2","kroner","2014","228500","gjennomsnittsinntekt"
"52","innvandrere","2","kroner","2014","227600","gjennomsnittsinntekt"
"53","innvandrere","2","kroner","2014","258000","gjennomsnittsinntekt"
"54","innvandrere","2","kroner","2014","265700","gjennomsnittsinntekt"
"55","innvandrere","2","kroner","2014","241100","gjennomsnittsinntekt"
"56","innvandrere","2","kroner","2014","267200","gjennomsnittsinntekt"
"57","innvandrere","2","kroner","2014","253500","gjennomsnittsinntekt"
"58","innvandrere","2","kroner","2014","288300","gjennomsnittsinntekt"
"59","innvandrere","2","kroner","2014","214900","gjennomsnittsinntekt"
"60","innvandrere","2","kroner","2014","226300","gjennomsnittsinntekt"
"61","innvandrere","2","kroner","2014","243600","gjennomsnittsinntekt"
"62","innvandrere","2","kroner","2014","257300","gjennomsnittsinntekt"
"63","innvandrere","2","kroner","2014","221000","gjennomsnittsinntekt"
"64","innvandrere","2","kroner","2014","203600","gjennomsnittsinntekt"
"65","innvandrere","2","kroner","2014","152700","gjennomsnittsinntekt"
"66","innvandrere","2","kroner","2014","213000","gjennomsnittsinntekt"
"67","innvandrere","2","kroner","2014","193600","gjennomsnittsinntekt"
"68","innvandrere","2","kroner","2014","213600","gjennomsnittsinntekt"
"69","innvandrere","2","kroner","2014","186200","gjennomsnittsinntekt"
"70","innvandrere","2","kroner","2014","303100","gjennomsnittsinntekt"
"71","innvandrere","2","kroner","2014","194000","gjennomsnittsinntekt"
"72","innvandrere","2","kroner","2014","219500","gjennomsnittsinntekt"
"73","innvandrere","2","kroner","2014","228800","gjennomsnittsinntekt"
"74","innvandrere","2","kroner","2014","202300","gjennomsnittsinntekt"
"75","innvandrere","2","kroner","2014","206000","gjennomsnittsinntekt"
"76","innvandrere","2","kroner","2014","210200","gjennomsnittsinntekt"
"77","innvandrere","2","kroner","2014","208300","gjennomsnittsinntekt"
"78","innvandrere","2","kroner","2014","192600","gjennomsnittsinntekt"
"79","innvandrere","2","kroner","2014","254100","gjennomsnittsinntekt"
"80","innvandrere","2","kroner","2014","230100","gjennomsnittsinntekt"
"81","innvandrere","2","kroner","2014","261400","gjennomsnittsinntekt"
"82","innvandrere","2","kroner","2014","287900","gjennomsnittsinntekt"
"83","innvandrere","2","kroner","2014","254900","gjennomsnittsinntekt"
"01","befolkningen_ellers","alle","kroner","2014","329800","gjennomsnittsinntekt"
"02","befolkningen_ellers","alle","kroner","2014","334900","gjennomsnittsinntekt"
"03","befolkningen_ellers","alle","kroner","2014","349100","gjennomsnittsinntekt"
"04","befolkningen_ellers","alle","kroner","2014","334700","gjennomsnittsinntekt"
"05","befolkningen_ellers","alle","kroner","2014","442300","gjennomsnittsinntekt"
"06","befolkningen_ellers","alle","kroner","2014","387600","gjennomsnittsinntekt"
"07","befolkningen_ellers","alle","kroner","2014","378700","gjennomsnittsinntekt"
"08","befolkningen_ellers","alle","kroner","2014","359300","gjennomsnittsinntekt"
"09","befolkningen_ellers","alle","kroner","2014","382400","gjennomsnittsinntekt"
"10","befolkningen_ellers","alle","kroner","2014","328500","gjennomsnittsinntekt"
"11","befolkningen_ellers","alle","kroner","2014","318900","gjennomsnittsinntekt"
"12","befolkningen_ellers","alle","kroner","2014","338000","gjennomsnittsinntekt"
"13","befolkningen_ellers","alle","kroner","2014","327500","gjennomsnittsinntekt"
"14","befolkningen_ellers","alle","kroner","2014","330600","gjennomsnittsinntekt"
"15","befolkningen_ellers","alle","kroner","2014","347400","gjennomsnittsinntekt"
"16","befolkningen_ellers","alle","kroner","2014","348000","gjennomsnittsinntekt"
"17","befolkningen_ellers","alle","kroner","2014","329400","gjennomsnittsinntekt"
"18","befolkningen_ellers","alle","kroner","2014","321200","gjennomsnittsinntekt"
"19","befolkningen_ellers","alle","kroner","2014","323000","gjennomsnittsinntekt"
"20","befolkningen_ellers","alle","kroner","2014","361000","gjennomsnittsinntekt"
"21","befolkningen_ellers","alle","kroner","2014","345000","gjennomsnittsinntekt"
"22","befolkningen_ellers","alle","kroner","2014","375300","gjennomsnittsinntekt"
"23","befolkningen_ellers","alle","kroner","2014","333600","gjennomsnittsinntekt"
"24","befolkningen_ellers","alle","kroner","2014","345600","gjennomsnittsinntekt"
"25","befolkningen_ellers","alle","kroner","2014","351000","gjennomsnittsinntekt"
"26","befolkningen_ellers","alle","kroner","2014","339300","gjennomsnittsinntekt"
"27","befolkningen_ellers","alle","kroner","2014","341900","gjennomsnittsinntekt"
"28","befolkningen_ellers","alle","kroner","2014","331000","gjennomsnittsinntekt"
"29","befolkningen_ellers","alle","kroner","2014","331100","gjennomsnittsinntekt"
"30","befolkningen_ellers","alle","kroner","2014","333400","gjennomsnittsinntekt"
"31","befolkningen_ellers","alle","kroner","2014","339700","gjennomsnittsinntekt"
"32","befolkningen_ellers","alle","kroner","2014","337400","gjennomsnittsinntekt"
"33","befolkningen_ellers","alle","kroner","2014","343600","gjennomsnittsinntekt"
"34","befolkningen_ellers","alle","kroner","2014","336000","gjennomsnittsinntekt"
"35","befolkningen_ellers","alle","kroner","2014","346100","gjennomsnittsinntekt"
"36","befolkningen_ellers","alle","kroner","2014","356500","gjennomsnittsinntekt"
"37","befolkningen_ellers","alle","kroner","2014","358400","gjennomsnittsinntekt"
