"tabell_navn","aar","naringsregion_nr","innvkat_3","kjonn","enhet","alder_grupper","tabellvariabel"
"befolkning_alder","2015","13","befolkningen_ellers","1","personer","0_5","1052"
"befolkning_alder","2015","13","befolkningen_ellers","alle","personer","0_5","2069"
"befolkning_alder","2015","13","innvandrere","0","personer","0_5","31"
"befolkning_alder","2015","13","innvandrere","1","personer","0_5","35"
"befolkning_alder","2015","13","innvandrere","alle","personer","0_5","66"
"befolkning_alder","2015","14","alle","0","personer","0_5","2102"
"befolkning_alder","2015","14","alle","1","personer","0_5","2199"
"befolkning_alder","2015","14","alle","alle","personer","0_5","4301"
"befolkning_alder","2015","14","befolkningen_ellers","0","personer","0_5","2045"
"befolkning_alder","2015","14","befolkningen_ellers","1","personer","0_5","2143"
"befolkning_alder","2015","14","befolkningen_ellers","alle","personer","0_5","4188"
"befolkning_alder","2015","14","innvandrere","0","personer","0_5","57"
"befolkning_alder","2015","14","innvandrere","1","personer","0_5","56"
"befolkning_alder","2015","14","innvandrere","alle","personer","0_5","113"
"befolkning_alder","2015","15","alle","0","personer","0_5","929"
"befolkning_alder","2015","15","alle","1","personer","0_5","953"
"befolkning_alder","2015","15","alle","alle","personer","0_5","1882"
"befolkning_alder","2015","15","befolkningen_ellers","0","personer","0_5","904"
"befolkning_alder","2015","15","befolkningen_ellers","1","personer","0_5","934"
"befolkning_alder","2015","15","befolkningen_ellers","alle","personer","0_5","1838"
"befolkning_alder","2015","15","innvandrere","0","personer","0_5","25"
"befolkning_alder","2015","15","innvandrere","1","personer","0_5","19"
"befolkning_alder","2015","15","innvandrere","alle","personer","0_5","44"
"befolkning_alder","2015","16","alle","0","personer","0_5","1086"
"befolkning_alder","2015","16","alle","1","personer","0_5","1214"
"befolkning_alder","2015","16","alle","alle","personer","0_5","2300"
"befolkning_alder","2015","16","befolkningen_ellers","0","personer","0_5","1059"
"befolkning_alder","2015","16","befolkningen_ellers","1","personer","0_5","1178"
"befolkning_alder","2015","16","befolkningen_ellers","alle","personer","0_5","2237"
"befolkning_alder","2015","16","innvandrere","0","personer","0_5","27"
"befolkning_alder","2015","16","innvandrere","1","personer","0_5","36"
"befolkning_alder","2015","16","innvandrere","alle","personer","0_5","63"
"befolkning_alder","2015","17","alle","0","personer","0_5","378"
"befolkning_alder","2015","17","alle","1","personer","0_5","394"
"befolkning_alder","2015","17","alle","alle","personer","0_5","772"
"befolkning_alder","2015","17","befolkningen_ellers","0","personer","0_5","362"
"befolkning_alder","2015","17","befolkningen_ellers","1","personer","0_5","385"
"befolkning_alder","2015","17","befolkningen_ellers","alle","personer","0_5","747"
"befolkning_alder","2015","17","innvandrere","0","personer","0_5","16"
"befolkning_alder","2015","17","innvandrere","1","personer","0_5","9"
"befolkning_alder","2015","17","innvandrere","alle","personer","0_5","25"
"befolkning_alder","2015","18","alle","0","personer","0_5","503"
"befolkning_alder","2015","18","alle","1","personer","0_5","528"
"befolkning_alder","2015","18","alle","alle","personer","0_5","1031"
"befolkning_alder","2015","18","befolkningen_ellers","0","personer","0_5","493"
"befolkning_alder","2015","18","befolkningen_ellers","1","personer","0_5","512"
"befolkning_alder","2015","18","befolkningen_ellers","alle","personer","0_5","1005"
"befolkning_alder","2015","18","innvandrere","0","personer","0_5","10"
"befolkning_alder","2015","18","innvandrere","1","personer","0_5","16"
"befolkning_alder","2015","18","innvandrere","alle","personer","0_5","26"
"befolkning_alder","2015","19","alle","0","personer","0_5","480"
"befolkning_alder","2015","19","alle","1","personer","0_5","531"
"befolkning_alder","2015","19","alle","alle","personer","0_5","1011"
"befolkning_alder","2015","19","befolkningen_ellers","0","personer","0_5","461"
"befolkning_alder","2015","19","befolkningen_ellers","1","personer","0_5","516"
"befolkning_alder","2015","19","befolkningen_ellers","alle","personer","0_5","977"
"befolkning_alder","2015","19","innvandrere","0","personer","0_5","19"
"befolkning_alder","2015","19","innvandrere","1","personer","0_5","15"
"befolkning_alder","2015","19","innvandrere","alle","personer","0_5","34"
"befolkning_alder","2015","20","alle","0","personer","0_5","6262"
"befolkning_alder","2015","20","alle","1","personer","0_5","6647"
"befolkning_alder","2015","20","alle","alle","personer","0_5","12909"
"befolkning_alder","2015","20","befolkningen_ellers","0","personer","0_5","5997"
"befolkning_alder","2015","20","befolkningen_ellers","1","personer","0_5","6443"
"befolkning_alder","2015","20","befolkningen_ellers","alle","personer","0_5","12440"
"befolkning_alder","2015","20","innvandrere","0","personer","0_5","265"
"befolkning_alder","2015","20","innvandrere","1","personer","0_5","204"
"befolkning_alder","2015","20","innvandrere","alle","personer","0_5","469"
"befolkning_alder","2015","21","alle","0","personer","0_5","558"
"befolkning_alder","2015","21","alle","1","personer","0_5","576"
"befolkning_alder","2015","21","alle","alle","personer","0_5","1134"
"befolkning_alder","2015","21","befolkningen_ellers","0","personer","0_5","535"
"befolkning_alder","2015","21","befolkningen_ellers","1","personer","0_5","538"
"befolkning_alder","2015","21","befolkningen_ellers","alle","personer","0_5","1073"
"befolkning_alder","2015","21","innvandrere","0","personer","0_5","23"
