"aar","bydel_nr","enhet","tabellvariabel","tabell_navn","vreg_9","fylke_nr","naringsregion_nr","kommune_nr"
2014,"030113","personer","267","befolkning_verdensregion_9","sor_og_mellom_amerika","NULL","NULL","NULL"
2014,"030114","personer","1093","befolkning_verdensregion_9","norden","NULL","NULL","NULL"
2014,"030114","personer","744","befolkning_verdensregion_9","vest_europa","NULL","NULL","NULL"
2014,"030114","personer","1459","befolkning_verdensregion_9","eu_ost_europa","NULL","NULL","NULL"
2014,"030114","personer","458","befolkning_verdensregion_9","ost_europa_ellers","NULL","NULL","NULL"
2014,"030114","personer","157","befolkning_verdensregion_9","nord_amerika_oseania","NULL","NULL","NULL"
2014,"030114","personer","1605","befolkning_verdensregion_9","asia","NULL","NULL","NULL"
2014,"030114","personer","734","befolkning_verdensregion_9","afrika","NULL","NULL","NULL"
2014,"030114","personer","255","befolkning_verdensregion_9","sor_og_mellom_amerika","NULL","NULL","NULL"
2014,"030115","personer","473","befolkning_verdensregion_9","norden","NULL","NULL","NULL"
2014,"030115","personer","550","befolkning_verdensregion_9","vest_europa","NULL","NULL","NULL"
2014,"030115","personer","1514","befolkning_verdensregion_9","eu_ost_europa","NULL","NULL","NULL"
2014,"030115","personer","868","befolkning_verdensregion_9","ost_europa_ellers","NULL","NULL","NULL"
2014,"030115","personer","93","befolkning_verdensregion_9","nord_amerika_oseania","NULL","NULL","NULL"
2014,"030115","personer","6564","befolkning_verdensregion_9","asia","NULL","NULL","NULL"
2014,"030115","personer","1982","befolkning_verdensregion_9","afrika","NULL","NULL","NULL"
2014,"030115","personer","291","befolkning_verdensregion_9","sor_og_mellom_amerika","NULL","NULL","NULL"
2014,"030116","personer","143","befolkning_verdensregion_9","norden","NULL","NULL","NULL"
2014,"030116","personer","47","befolkning_verdensregion_9","vest_europa","NULL","NULL","NULL"
2014,"030116","personer","87","befolkning_verdensregion_9","eu_ost_europa","NULL","NULL","NULL"
2014,"030116","personer","33","befolkning_verdensregion_9","ost_europa_ellers","NULL","NULL","NULL"
2014,"030116","personer","5","befolkning_verdensregion_9","nord_amerika_oseania","NULL","NULL","NULL"
2014,"030116","personer","114","befolkning_verdensregion_9","asia","NULL","NULL","NULL"
2014,"030116","personer","41","befolkning_verdensregion_9","afrika","NULL","NULL","NULL"
2014,"030116","personer","14","befolkning_verdensregion_9","sor_og_mellom_amerika","NULL","NULL","NULL"
2014,"030117","personer","42","befolkning_verdensregion_9","norden","NULL","NULL","NULL"
2014,"030117","personer","25","befolkning_verdensregion_9","vest_europa","NULL","NULL","NULL"
2014,"030117","personer","41","befolkning_verdensregion_9","eu_ost_europa","NULL","NULL","NULL"
2014,"030117","personer","5","befolkning_verdensregion_9","ost_europa_ellers","NULL","NULL","NULL"
2014,"030117","personer","8","befolkning_verdensregion_9","nord_amerika_oseania","NULL","NULL","NULL"
2014,"030117","personer","27","befolkning_verdensregion_9","asia","NULL","NULL","NULL"
2014,"030117","personer","0","befolkning_verdensregion_9","afrika","NULL","NULL","NULL"
2014,"030117","personer","4","befolkning_verdensregion_9","sor_og_mellom_amerika","NULL","NULL","NULL"
2014,"030199","personer","232","befolkning_verdensregion_9","norden","NULL","NULL","NULL"
2014,"030199","personer","313","befolkning_verdensregion_9","vest_europa","NULL","NULL","NULL"
2014,"030199","personer","715","befolkning_verdensregion_9","eu_ost_europa","NULL","NULL","NULL"
2014,"030199","personer","57","befolkning_verdensregion_9","ost_europa_ellers","NULL","NULL","NULL"
2014,"030199","personer","24","befolkning_verdensregion_9","nord_amerika_oseania","NULL","NULL","NULL"
2014,"030199","personer","349","befolkning_verdensregion_9","asia","NULL","NULL","NULL"
2014,"030199","personer","414","befolkning_verdensregion_9","afrika","NULL","NULL","NULL"
2014,"030199","personer","71","befolkning_verdensregion_9","sor_og_mellom_amerika","NULL","NULL","NULL"
2014,"NULL","personer","70282","befolkning_verdensregion_9","norden","00","NULL","NULL"
2014,"NULL","personer","67098","befolkning_verdensregion_9","vest_europa","00","NULL","NULL"
2014,"NULL","personer","157728","befolkning_verdensregion_9","eu_ost_europa","00","NULL","NULL"
2014,"NULL","personer","52071","befolkning_verdensregion_9","ost_europa_ellers","00","NULL","NULL"
2014,"NULL","personer","12010","befolkning_verdensregion_9","nord_amerika_oseania","00","NULL","NULL"
2014,"NULL","personer","179785","befolkning_verdensregion_9","asia","00","NULL","NULL"
2014,"NULL","personer","74171","befolkning_verdensregion_9","afrika","00","NULL","NULL"
2014,"NULL","personer","19853","befolkning_verdensregion_9","sor_og_mellom_amerika","00","NULL","NULL"
2014,"NULL","personer","4154","befolkning_verdensregion_9","norden","01","NULL","NULL"
2014,"NULL","personer","2204","befolkning_verdensregion_9","vest_europa","01","NULL","NULL"
2014,"NULL","personer","8365","befolkning_verdensregion_9","eu_ost_europa","01","NULL","NULL"
2014,"NULL","personer","4811","befolkning_verdensregion_9","ost_europa_ellers","01","NULL","NULL"
2014,"NULL","personer","369","befolkning_verdensregion_9","nord_amerika_oseania","01","NULL","NULL"
2014,"NULL","personer","9697","befolkning_verdensregion_9","asia","01","NULL","NULL"
2014,"NULL","personer","3458","befolkning_verdensregion_9","afrika","01","NULL","NULL"
2014,"NULL","personer","628","befolkning_verdensregion_9","sor_og_mellom_amerika","01","NULL","NULL"
2014,"NULL","personer","10882","befolkning_verdensregion_9","norden","02","NULL","NULL"
2014,"NULL","personer","8117","befolkning_verdensregion_9","vest_europa","02","NULL","NULL"
2014,"NULL","personer","20364","befolkning_verdensregion_9","eu_ost_europa","02","NULL","NULL"
2014,"NULL","personer","5943","befolkning_verdensregion_9","ost_europa_ellers","02","NULL","NULL"
2014,"NULL","personer","1610","befolkning_verdensregion_9","nord_amerika_oseania","02","NULL","NULL"
2014,"NULL","personer","25031","befolkning_verdensregion_9","asia","02","NULL","NULL"
2014,"NULL","personer","6232","befolkning_verdensregion_9","afrika","02","NULL","NULL"
2014,"NULL","personer","2150","befolkning_verdensregion_9","sor_og_mellom_amerika","02","NULL","NULL"
2014,"NULL","personer","18620","befolkning_verdensregion_9","norden","03","NULL","NULL"
2014,"NULL","personer","13230","befolkning_verdensregion_9","vest_europa","03","NULL","NULL"
2014,"NULL","personer","22963","befolkning_verdensregion_9","eu_ost_europa","03","NULL","NULL"
2014,"NULL","personer","11023","befolkning_verdensregion_9","ost_europa_ellers","03","NULL","NULL"
2014,"NULL","personer","2718","befolkning_verdensregion_9","nord_amerika_oseania","03","NULL","NULL"
2014,"NULL","personer","54902","befolkning_verdensregion_9","asia","03","NULL","NULL"
2014,"NULL","personer","22739","befolkning_verdensregion_9","afrika","03","NULL","NULL"
2014,"NULL","personer","5487","befolkning_verdensregion_9","sor_og_mellom_amerika","03","NULL","NULL"
2014,"NULL","personer","2163","befolkning_verdensregion_9","norden","04","NULL","NULL"
2014,"NULL","personer","1491","befolkning_verdensregion_9","vest_europa","04","NULL","NULL"
2014,"NULL","personer","3635","befolkning_verdensregion_9","eu_ost_europa","04","NULL","NULL"
2014,"NULL","personer","1284","befolkning_verdensregion_9","ost_europa_ellers","04","NULL","NULL"
2014,"NULL","personer","209","befolkning_verdensregion_9","nord_amerika_oseania","04","NULL","NULL"
2014,"NULL","personer","3531","befolkning_verdensregion_9","asia","04","NULL","NULL"
2014,"NULL","personer","2166","befolkning_verdensregion_9","afrika","04","NULL","NULL"
2014,"NULL","personer","304","befolkning_verdensregion_9","sor_og_mellom_amerika","04","NULL","NULL"
2014,"NULL","personer","1524","befolkning_verdensregion_9","norden","05","NULL","NULL"
2014,"NULL","personer","1529","befolkning_verdensregion_9","vest_europa","05","NULL","NULL"
2014,"NULL","personer","4065","befolkning_verdensregion_9","eu_ost_europa","05","NULL","NULL"
2014,"NULL","personer","1369","befolkning_verdensregion_9","ost_europa_ellers","05","NULL","NULL"
2014,"NULL","personer","196","befolkning_verdensregion_9","nord_amerika_oseania","05","NULL","NULL"
2014,"NULL","personer","3369","befolkning_verdensregion_9","asia","05","NULL","NULL"
2014,"NULL","personer","2161","befolkning_verdensregion_9","afrika","05","NULL","NULL"
2014,"NULL","personer","233","befolkning_verdensregion_9","sor_og_mellom_amerika","05","NULL","NULL"
2014,"NULL","personer","3971","befolkning_verdensregion_9","norden","06","NULL","NULL"
2014,"NULL","personer","3437","befolkning_verdensregion_9","vest_europa","06","NULL","NULL"
2014,"NULL","personer","10712","befolkning_verdensregion_9","eu_ost_europa","06","NULL","NULL"
2014,"NULL","personer","3190","befolkning_verdensregion_9","ost_europa_ellers","06","NULL","NULL"
2014,"NULL","personer","487","befolkning_verdensregion_9","nord_amerika_oseania","06","NULL","NULL"
2014,"NULL","personer","11365","befolkning_verdensregion_9","asia","06","NULL","NULL"
2014,"NULL","personer","3318","befolkning_verdensregion_9","afrika","06","NULL","NULL"
2014,"NULL","personer","930","befolkning_verdensregion_9","sor_og_mellom_amerika","06","NULL","NULL"
2014,"NULL","personer","2976","befolkning_verdensregion_9","norden","07","NULL","NULL"
2014,"NULL","personer","2689","befolkning_verdensregion_9","vest_europa","07","NULL","NULL"
2014,"NULL","personer","7146","befolkning_verdensregion_9","eu_ost_europa","07","NULL","NULL"
2014,"NULL","personer","2543","befolkning_verdensregion_9","ost_europa_ellers","07","NULL","NULL"
