"kommune_nr","aar","bosetting","enhet","tabellvariabel","tabell_navn"
"1160",2015,"anmodning","personer","20","bosatt_anmodede"
"1201",2015,"anmodning","personer","350","bosatt_anmodede"
"1211",2015,"anmodning","personer","10","bosatt_anmodede"
"1216",2015,"anmodning","personer","15","bosatt_anmodede"
"1219",2015,"anmodning","personer","30","bosatt_anmodede"
"1221",2015,"anmodning","personer","35","bosatt_anmodede"
"1222",2015,"anmodning","personer","10","bosatt_anmodede"
"1223",2015,"anmodning","personer","10","bosatt_anmodede"
"1224",2015,"anmodning","personer","25","bosatt_anmodede"
"1227",2015,"anmodning","personer","10","bosatt_anmodede"
"1228",2015,"anmodning","personer","20","bosatt_anmodede"
"1231",2015,"anmodning","personer","20","bosatt_anmodede"
"1232",2015,"anmodning","personer","10","bosatt_anmodede"
"1233",2015,"anmodning","personer","10","bosatt_anmodede"
"1234",2015,"anmodning","personer","10","bosatt_anmodede"
"1235",2015,"anmodning","personer","30","bosatt_anmodede"
"1238",2015,"anmodning","personer","20","bosatt_anmodede"
"1241",2015,"anmodning","personer","10","bosatt_anmodede"
"1242",2015,"anmodning","personer","10","bosatt_anmodede"
"1243",2015,"anmodning","personer","20","bosatt_anmodede"
"1244",2015,"anmodning","personer","10","bosatt_anmodede"
"1245",2015,"anmodning","personer","15","bosatt_anmodede"
"1246",2015,"anmodning","personer","40","bosatt_anmodede"
"1247",2015,"anmodning","personer","40","bosatt_anmodede"
"1251",2015,"anmodning","personer","15","bosatt_anmodede"
"1252",2015,"anmodning","personer","6","bosatt_anmodede"
"1253",2015,"anmodning","personer","15","bosatt_anmodede"
"1256",2015,"anmodning","personer","20","bosatt_anmodede"
"1259",2015,"anmodning","personer","20","bosatt_anmodede"
"1260",2015,"anmodning","personer","15","bosatt_anmodede"
"1263",2015,"anmodning","personer","20","bosatt_anmodede"
"1264",2015,"anmodning","personer","10","bosatt_anmodede"
"1265",2015,"anmodning","personer","6","bosatt_anmodede"
"1266",2015,"anmodning","personer","10","bosatt_anmodede"
"1401",2015,"anmodning","personer","35","bosatt_anmodede"
"1411",2015,"anmodning","personer","10","bosatt_anmodede"
"1412",2015,"anmodning","personer","6","bosatt_anmodede"
"1413",2015,"anmodning","personer","10","bosatt_anmodede"
"1416",2015,"anmodning","personer","15","bosatt_anmodede"
"1417",2015,"anmodning","personer","10","bosatt_anmodede"
"1418",2015,"anmodning","personer","10","bosatt_anmodede"
"1419",2015,"anmodning","personer","10","bosatt_anmodede"
"1420",2015,"anmodning","personer","30","bosatt_anmodede"
"1421",2015,"anmodning","personer","10","bosatt_anmodede"
"1422",2015,"anmodning","personer","10","bosatt_anmodede"
"1424",2015,"anmodning","personer","10","bosatt_anmodede"
"1426",2015,"anmodning","personer","10","bosatt_anmodede"
"1428",2015,"anmodning","personer","10","bosatt_anmodede"
"1429",2015,"anmodning","personer","10","bosatt_anmodede"
"1430",2015,"anmodning","personer","10","bosatt_anmodede"
"1431",2015,"anmodning","personer","10","bosatt_anmodede"
"1432",2015,"anmodning","personer","35","bosatt_anmodede"
"1433",2015,"anmodning","personer","10","bosatt_anmodede"
"1438",2015,"anmodning","personer","15","bosatt_anmodede"
"1439",2015,"anmodning","personer","10","bosatt_anmodede"
"1441",2015,"anmodning","personer","10","bosatt_anmodede"
"1443",2015,"anmodning","personer","30","bosatt_anmodede"
"1444",2015,"anmodning","personer","6","bosatt_anmodede"
"1445",2015,"anmodning","personer","15","bosatt_anmodede"
"1449",2015,"anmodning","personer","20","bosatt_anmodede"
"1502",2015,"anmodning","personer","60","bosatt_anmodede"
"1504",2015,"anmodning","personer","90","bosatt_anmodede"
"1505",2015,"anmodning","personer","50","bosatt_anmodede"
"1511",2015,"anmodning","personer","15","bosatt_anmodede"
"1514",2015,"anmodning","personer","10","bosatt_anmodede"
"1515",2015,"anmodning","personer","30","bosatt_anmodede"
"1516",2015,"anmodning","personer","20","bosatt_anmodede"
"1517",2015,"anmodning","personer","15","bosatt_anmodede"
"1519",2015,"anmodning","personer","30","bosatt_anmodede"
"1520",2015,"anmodning","personer","30","bosatt_anmodede"
"1523",2015,"anmodning","personer","10","bosatt_anmodede"
"1524",2015,"anmodning","personer","10","bosatt_anmodede"
"1525",2015,"anmodning","personer","17","bosatt_anmodede"
"1526",2015,"anmodning","personer","10","bosatt_anmodede"
"1528",2015,"anmodning","personer","20","bosatt_anmodede"
"1529",2015,"anmodning","personer","10","bosatt_anmodede"
"1531",2015,"anmodning","personer","25","bosatt_anmodede"
"1532",2015,"anmodning","personer","15","bosatt_anmodede"
"1534",2015,"anmodning","personer","30","bosatt_anmodede"
"1535",2015,"anmodning","personer","15","bosatt_anmodede"
"1539",2015,"anmodning","personer","15","bosatt_anmodede"
"1543",2015,"anmodning","personer","10","bosatt_anmodede"
"1545",2015,"anmodning","personer","10","bosatt_anmodede"
"1546",2015,"anmodning","personer","10","bosatt_anmodede"
"1547",2015,"anmodning","personer","15","bosatt_anmodede"
"1548",2015,"anmodning","personer","30","bosatt_anmodede"
"1551",2015,"anmodning","personer","10","bosatt_anmodede"
"1554",2015,"anmodning","personer","15","bosatt_anmodede"
"1557",2015,"anmodning","personer","15","bosatt_anmodede"
"1560",2015,"anmodning","personer","10","bosatt_anmodede"
"1563",2015,"anmodning","personer","25","bosatt_anmodede"
"1566",2015,"anmodning","personer","15","bosatt_anmodede"
"1567",2015,"anmodning","personer","10","bosatt_anmodede"
"1571",2015,"anmodning","personer","17","bosatt_anmodede"
"1573",2015,"anmodning","personer","10","bosatt_anmodede"
"1576",2015,"anmodning","personer","10","bosatt_anmodede"
"1601",2015,"anmodning","personer","300","bosatt_anmodede"
"1612",2015,"anmodning","personer","10","bosatt_anmodede"
"1613",2015,"anmodning","personer","10","bosatt_anmodede"
"1617",2015,"anmodning","personer","15","bosatt_anmodede"
"1620",2015,"anmodning","personer","15","bosatt_anmodede"
"1621",2015,"anmodning","personer","15","bosatt_anmodede"
"1622",2015,"anmodning","personer","10","bosatt_anmodede"
"1624",2015,"anmodning","personer","20","bosatt_anmodede"
"1627",2015,"anmodning","personer","15","bosatt_anmodede"
"1630",2015,"anmodning","personer","10","bosatt_anmodede"
"1632",2015,"anmodning","personer","10","bosatt_anmodede"
"1633",2015,"anmodning","personer","10","bosatt_anmodede"
"1634",2015,"anmodning","personer","20","bosatt_anmodede"
"1635",2015,"anmodning","personer","10","bosatt_anmodede"
"1636",2015,"anmodning","personer","10","bosatt_anmodede"
"1638",2015,"anmodning","personer","30","bosatt_anmodede"
"1640",2015,"anmodning","personer","15","bosatt_anmodede"
"1644",2015,"anmodning","personer","10","bosatt_anmodede"
"1648",2015,"anmodning","personer","15","bosatt_anmodede"
"1653",2015,"anmodning","personer","35","bosatt_anmodede"
"1657",2015,"anmodning","personer","20","bosatt_anmodede"
"1662",2015,"anmodning","personer","15","bosatt_anmodede"
"1663",2015,"anmodning","personer","30","bosatt_anmodede"
"1664",2015,"anmodning","personer","10","bosatt_anmodede"
"1665",2015,"anmodning","personer","10","bosatt_anmodede"
"1702",2015,"anmodning","personer","45","bosatt_anmodede"
"1703",2015,"anmodning","personer","40","bosatt_anmodede"
"1711",2015,"anmodning","personer","15","bosatt_anmodede"
"1714",2015,"anmodning","personer","45","bosatt_anmodede"
"1717",2015,"anmodning","personer","10","bosatt_anmodede"
"1718",2015,"anmodning","personer","10","bosatt_anmodede"
"1719",2015,"anmodning","personer","45","bosatt_anmodede"
"1721",2015,"anmodning","personer","35","bosatt_anmodede"
"1724",2015,"anmodning","personer","10","bosatt_anmodede"
"1725",2015,"anmodning","personer","10","bosatt_anmodede"
"1736",2015,"anmodning","personer","10","bosatt_anmodede"
"1738",2015,"anmodning","personer","10","bosatt_anmodede"
"1739",2015,"anmodning","personer","10","bosatt_anmodede"
"1740",2015,"anmodning","personer","10","bosatt_anmodede"
"1742",2015,"anmodning","personer","10","bosatt_anmodede"
"1743",2015,"anmodning","personer","10","bosatt_anmodede"
"1744",2015,"anmodning","personer","10","bosatt_anmodede"
"1748",2015,"anmodning","personer","10","bosatt_anmodede"
"1749",2015,"anmodning","personer","10","bosatt_anmodede"
"1750",2015,"anmodning","personer","15","bosatt_anmodede"
"1751",2015,"anmodning","personer","20","bosatt_anmodede"
"1755",2015,"anmodning","personer","10","bosatt_anmodede"
"1756",2015,"anmodning","personer","20","bosatt_anmodede"
"1804",2015,"anmodning","personer","90","bosatt_anmodede"
"1805",2015,"anmodning","personer","45","bosatt_anmodede"
"1811",2015,"anmodning","personer","10","bosatt_anmodede"
"1812",2015,"anmodning","personer","15","bosatt_anmodede"
"1813",2015,"anmodning","personer","30","bosatt_anmodede"
"1815",2015,"anmodning","personer","15","bosatt_anmodede"
"1816",2015,"anmodning","personer","10","bosatt_anmodede"
"1818",2015,"anmodning","personer","10","bosatt_anmodede"
