"tabell_navn","aar","naringsregion_nr","vreg_9","enhet","tabellvariabel"
"befolkning_verdensregion_9","2015","18","ost_europa_ellers","person","58"
"befolkning_verdensregion_9","2015","18","nord_amerika_oseania","person","12"
"befolkning_verdensregion_9","2015","18","asia","person","215"
"befolkning_verdensregion_9","2015","18","afrika","person","281"
"befolkning_verdensregion_9","2015","18","sor_og_mellom_amerika","person","28"
"befolkning_verdensregion_9","2015","18","alle","person","1152"
"befolkning_verdensregion_9","2015","19","norden","person","145"
"befolkning_verdensregion_9","2015","19","vest_europa","person","257"
"befolkning_verdensregion_9","2015","19","eu_ost_europa","person","563"
"befolkning_verdensregion_9","2015","19","ost_europa_ellers","person","89"
"befolkning_verdensregion_9","2015","19","nord_amerika_oseania","person","20"
"befolkning_verdensregion_9","2015","19","asia","person","226"
"befolkning_verdensregion_9","2015","19","afrika","person","250"
"befolkning_verdensregion_9","2015","19","sor_og_mellom_amerika","person","43"
"befolkning_verdensregion_9","2015","19","alle","person","1593"
"befolkning_verdensregion_9","2015","20","norden","person","2629"
"befolkning_verdensregion_9","2015","20","vest_europa","person","2205"
"befolkning_verdensregion_9","2015","20","eu_ost_europa","person","8323"
"befolkning_verdensregion_9","2015","20","ost_europa_ellers","person","2344"
"befolkning_verdensregion_9","2015","20","nord_amerika_oseania","person","323"
"befolkning_verdensregion_9","2015","20","asia","person","9335"
"befolkning_verdensregion_9","2015","20","afrika","person","2587"
"befolkning_verdensregion_9","2015","20","sor_og_mellom_amerika","person","588"
"befolkning_verdensregion_9","2015","20","alle","person","28334"
"befolkning_verdensregion_9","2015","21","norden","person","466"
"befolkning_verdensregion_9","2015","21","vest_europa","person","279"
"befolkning_verdensregion_9","2015","21","eu_ost_europa","person","994"
"befolkning_verdensregion_9","2015","21","ost_europa_ellers","person","152"
"befolkning_verdensregion_9","2015","21","nord_amerika_oseania","person","41"
"befolkning_verdensregion_9","2015","21","asia","person","385"
"befolkning_verdensregion_9","2015","21","afrika","person","256"
"befolkning_verdensregion_9","2015","21","sor_og_mellom_amerika","person","39"
"befolkning_verdensregion_9","2015","21","alle","person","2612"
"befolkning_verdensregion_9","2015","22","norden","person","519"
"befolkning_verdensregion_9","2015","22","vest_europa","person","558"
"befolkning_verdensregion_9","2015","22","eu_ost_europa","person","906"
"befolkning_verdensregion_9","2015","22","ost_europa_ellers","person","246"
"befolkning_verdensregion_9","2015","22","nord_amerika_oseania","person","114"
"befolkning_verdensregion_9","2015","22","asia","person","1122"
"befolkning_verdensregion_9","2015","22","afrika","person","449"
"befolkning_verdensregion_9","2015","22","sor_og_mellom_amerika","person","206"
"befolkning_verdensregion_9","2015","22","alle","person","4120"
"befolkning_verdensregion_9","2015","23","norden","person","152"
"befolkning_verdensregion_9","2015","23","vest_europa","person","178"
"befolkning_verdensregion_9","2015","23","eu_ost_europa","person","684"
"befolkning_verdensregion_9","2015","23","ost_europa_ellers","person","138"
"befolkning_verdensregion_9","2015","23","nord_amerika_oseania","person","16"
"befolkning_verdensregion_9","2015","23","asia","person","296"
"befolkning_verdensregion_9","2015","23","afrika","person","137"
"befolkning_verdensregion_9","2015","23","sor_og_mellom_amerika","person","32"
"befolkning_verdensregion_9","2015","23","alle","person","1633"
"befolkning_verdensregion_9","2015","24","norden","person","439"
"befolkning_verdensregion_9","2015","24","vest_europa","person","442"
"befolkning_verdensregion_9","2015","24","eu_ost_europa","person","1271"
"befolkning_verdensregion_9","2015","24","ost_europa_ellers","person","502"
"befolkning_verdensregion_9","2015","24","nord_amerika_oseania","person","53"
"befolkning_verdensregion_9","2015","24","asia","person","925"
"befolkning_verdensregion_9","2015","24","afrika","person","234"
"befolkning_verdensregion_9","2015","24","sor_og_mellom_amerika","person","141"
"befolkning_verdensregion_9","2015","24","alle","person","4007"
"befolkning_verdensregion_9","2015","25","norden","person","1699"
"befolkning_verdensregion_9","2015","25","vest_europa","person","1546"
"befolkning_verdensregion_9","2015","25","eu_ost_europa","person","4294"
"befolkning_verdensregion_9","2015","25","ost_europa_ellers","person","1311"
"befolkning_verdensregion_9","2015","25","nord_amerika_oseania","person","274"
"befolkning_verdensregion_9","2015","25","asia","person","3673"
"befolkning_verdensregion_9","2015","25","afrika","person","1157"
"befolkning_verdensregion_9","2015","25","sor_og_mellom_amerika","person","327"
"befolkning_verdensregion_9","2015","25","alle","person","14281"
"befolkning_verdensregion_9","2015","26","norden","person","1155"
"befolkning_verdensregion_9","2015","26","vest_europa","person","986"
"befolkning_verdensregion_9","2015","26","eu_ost_europa","person","2896"
"befolkning_verdensregion_9","2015","26","ost_europa_ellers","person","1170"
"befolkning_verdensregion_9","2015","26","nord_amerika_oseania","person","176"
"befolkning_verdensregion_9","2015","26","asia","person","2833"
"befolkning_verdensregion_9","2015","26","afrika","person","892"
"befolkning_verdensregion_9","2015","26","sor_og_mellom_amerika","person","296"
"befolkning_verdensregion_9","2015","26","alle","person","10404"
"befolkning_verdensregion_9","2015","27","norden","person","1158"
"befolkning_verdensregion_9","2015","27","vest_europa","person","1167"
"befolkning_verdensregion_9","2015","27","eu_ost_europa","person","2414"
"befolkning_verdensregion_9","2015","27","ost_europa_ellers","person","1227"
"befolkning_verdensregion_9","2015","27","nord_amerika_oseania","person","162"
"befolkning_verdensregion_9","2015","27","asia","person","3605"
"befolkning_verdensregion_9","2015","27","afrika","person","2042"
"befolkning_verdensregion_9","2015","27","sor_og_mellom_amerika","person","469"
"befolkning_verdensregion_9","2015","27","alle","person","12244"
"befolkning_verdensregion_9","2015","28","norden","person","220"
"befolkning_verdensregion_9","2015","28","vest_europa","person","240"
"befolkning_verdensregion_9","2015","28","eu_ost_europa","person","393"
"befolkning_verdensregion_9","2015","28","ost_europa_ellers","person","146"
"befolkning_verdensregion_9","2015","28","nord_amerika_oseania","person","29"
"befolkning_verdensregion_9","2015","28","asia","person","392"
