"fylke_nr","bosetting","enhet","aar","tabellvariabel","tabell_navn"
"04","bosatt","personer","2016",".","bosatt_anmodede"
"05","bosatt","personer","2016",".","bosatt_anmodede"
"06","bosatt","personer","2016",".","bosatt_anmodede"
"07","bosatt","personer","2016",".","bosatt_anmodede"
"08","bosatt","personer","2016",".","bosatt_anmodede"
"09","bosatt","personer","2016",".","bosatt_anmodede"
"10","bosatt","personer","2016",".","bosatt_anmodede"
"11","bosatt","personer","2016",".","bosatt_anmodede"
"12","bosatt","personer","2016",".","bosatt_anmodede"
"14","bosatt","personer","2016",".","bosatt_anmodede"
"15","bosatt","personer","2016",".","bosatt_anmodede"
"16","bosatt","personer","2016",".","bosatt_anmodede"
"17","bosatt","personer","2016",".","bosatt_anmodede"
"18","bosatt","personer","2016",".","bosatt_anmodede"
"19","bosatt","personer","2016",".","bosatt_anmodede"
"20","bosatt","personer","2016",".","bosatt_anmodede"
"99","bosatt","personer","2016",".","bosatt_anmodede"
"00","bosatt","personer","2016",".","bosatt_anmodede"
"01","anmodning","prosent","2015","100","bosatt_anmodede"
"02","anmodning","prosent","2015","100","bosatt_anmodede"
"03","anmodning","prosent","2015","100","bosatt_anmodede"
"04","anmodning","prosent","2015","100","bosatt_anmodede"
"05","anmodning","prosent","2015","100","bosatt_anmodede"
"06","anmodning","prosent","2015","100","bosatt_anmodede"
"07","anmodning","prosent","2015","100","bosatt_anmodede"
"08","anmodning","prosent","2015","100","bosatt_anmodede"
"09","anmodning","prosent","2015","100","bosatt_anmodede"
"10","anmodning","prosent","2015","100","bosatt_anmodede"
"11","anmodning","prosent","2015","100","bosatt_anmodede"
"12","anmodning","prosent","2015","100","bosatt_anmodede"
"14","anmodning","prosent","2015","100","bosatt_anmodede"
"15","anmodning","prosent","2015","100","bosatt_anmodede"
"16","anmodning","prosent","2015","100","bosatt_anmodede"
"17","anmodning","prosent","2015","100","bosatt_anmodede"
"18","anmodning","prosent","2015","100","bosatt_anmodede"
"19","anmodning","prosent","2015","100","bosatt_anmodede"
"20","anmodning","prosent","2015","100","bosatt_anmodede"
"99","anmodning","prosent","2015",".","bosatt_anmodede"
"00","anmodning","prosent","2015","100","bosatt_anmodede"
"01","vedtak","prosent","2015","95.1724137931034","bosatt_anmodede"
"02","vedtak","prosent","2015","117.117117117117","bosatt_anmodede"
"03","vedtak","prosent","2015","112.638888888889","bosatt_anmodede"
"04","vedtak","prosent","2015","84.7191011235955","bosatt_anmodede"
"05","vedtak","prosent","2015","115.677966101695","bosatt_anmodede"
"06","vedtak","prosent","2015","114.893617021277","bosatt_anmodede"
"07","vedtak","prosent","2015","140.712468193384","bosatt_anmodede"
"08","vedtak","prosent","2015","90.5797101449275","bosatt_anmodede"
"09","vedtak","prosent","2015","101.518987341772","bosatt_anmodede"
"10","vedtak","prosent","2015","108.739495798319","bosatt_anmodede"
"11","vedtak","prosent","2015","102.196382428941","bosatt_anmodede"
"12","vedtak","prosent","2015","97.2129319955407","bosatt_anmodede"
"14","vedtak","prosent","2015","129.155313351499","bosatt_anmodede"
"15","vedtak","prosent","2015","92.8281461434371","bosatt_anmodede"
"16","vedtak","prosent","2015","124.179104477612","bosatt_anmodede"
"17","vedtak","prosent","2015","108.809523809524","bosatt_anmodede"
"18","vedtak","prosent","2015","94.1621621621622","bosatt_anmodede"
"19","vedtak","prosent","2015","95.9677419354839","bosatt_anmodede"
"20","vedtak","prosent","2015","78.5882352941177","bosatt_anmodede"
"99","vedtak","prosent","2015",".","bosatt_anmodede"
"00","vedtak","prosent","2015","104.774251229325","bosatt_anmodede"
"01","bosatt","prosent","2015",".","bosatt_anmodede"
"02","bosatt","prosent","2015",".","bosatt_anmodede"
"03","bosatt","prosent","2015",".","bosatt_anmodede"
"04","bosatt","prosent","2015",".","bosatt_anmodede"
"05","bosatt","prosent","2015",".","bosatt_anmodede"
"06","bosatt","prosent","2015",".","bosatt_anmodede"
"07","bosatt","prosent","2015",".","bosatt_anmodede"
"08","bosatt","prosent","2015",".","bosatt_anmodede"
"09","bosatt","prosent","2015",".","bosatt_anmodede"
"10","bosatt","prosent","2015",".","bosatt_anmodede"
"11","bosatt","prosent","2015",".","bosatt_anmodede"
"12","bosatt","prosent","2015",".","bosatt_anmodede"
"14","bosatt","prosent","2015",".","bosatt_anmodede"
"15","bosatt","prosent","2015",".","bosatt_anmodede"
"16","bosatt","prosent","2015",".","bosatt_anmodede"
"17","bosatt","prosent","2015",".","bosatt_anmodede"
"18","bosatt","prosent","2015",".","bosatt_anmodede"
"19","bosatt","prosent","2015",".","bosatt_anmodede"
"20","bosatt","prosent","2015",".","bosatt_anmodede"
"99","bosatt","prosent","2015",".","bosatt_anmodede"
"00","bosatt","prosent","2015",".","bosatt_anmodede"
"01","anmodning","prosent","2016","100","bosatt_anmodede"
"02","anmodning","prosent","2016","100","bosatt_anmodede"
"03","anmodning","prosent","2016","100","bosatt_anmodede"
"04","anmodning","prosent","2016","100","bosatt_anmodede"
"05","anmodning","prosent","2016","100","bosatt_anmodede"
"06","anmodning","prosent","2016","100","bosatt_anmodede"
"07","anmodning","prosent","2016","100","bosatt_anmodede"
"08","anmodning","prosent","2016","100","bosatt_anmodede"
"09","anmodning","prosent","2016","100","bosatt_anmodede"
"10","anmodning","prosent","2016","100","bosatt_anmodede"
"11","anmodning","prosent","2016","100","bosatt_anmodede"
"12","anmodning","prosent","2016","100","bosatt_anmodede"
"14","anmodning","prosent","2016","100","bosatt_anmodede"
"15","anmodning","prosent","2016","100","bosatt_anmodede"
"16","anmodning","prosent","2016","100","bosatt_anmodede"
"17","anmodning","prosent","2016","100","bosatt_anmodede"
"18","anmodning","prosent","2016","100","bosatt_anmodede"
"19","anmodning","prosent","2016","100","bosatt_anmodede"
"20","anmodning","prosent","2016","100","bosatt_anmodede"
"99","anmodning","prosent","2016",".","bosatt_anmodede"
"00","anmodning","prosent","2016","100","bosatt_anmodede"
"01","vedtak","prosent","2016","88.3333333333333","bosatt_anmodede"
"02","vedtak","prosent","2016","79.0070921985816","bosatt_anmodede"
"03","vedtak","prosent","2016","100","bosatt_anmodede"
"04","vedtak","prosent","2016","67.1052631578947","bosatt_anmodede"
"05","vedtak","prosent","2016","79.6129032258064","bosatt_anmodede"
"06","vedtak","prosent","2016","75.3134040501447","bosatt_anmodede"
"07","vedtak","prosent","2016","90.8108108108108","bosatt_anmodede"
"08","vedtak","prosent","2016","92.317880794702","bosatt_anmodede"
"09","vedtak","prosent","2016","86.551724137931","bosatt_anmodede"
"10","vedtak","prosent","2016","85.1461988304094","bosatt_anmodede"
"11","vedtak","prosent","2016","82.3415265200517","bosatt_anmodede"
"12","vedtak","prosent","2016","83.203125","bosatt_anmodede"
"14","vedtak","prosent","2016","81.7518248175183","bosatt_anmodede"
"15","vedtak","prosent","2016","75.3246753246753","bosatt_anmodede"
"16","vedtak","prosent","2016","87.8457669740151","bosatt_anmodede"
"17","vedtak","prosent","2016","82.469512195122","bosatt_anmodede"
"18","vedtak","prosent","2016","60.4833442194644","bosatt_anmodede"
"19","vedtak","prosent","2016","88.7989203778677","bosatt_anmodede"
"20","vedtak","prosent","2016","68.1372549019608","bosatt_anmodede"
"99","vedtak","prosent","2016",".","bosatt_anmodede"
"00","vedtak","prosent","2016","81.1616107092735","bosatt_anmodede"
"01","bosatt","prosent","2016",".","bosatt_anmodede"
"02","bosatt","prosent","2016",".","bosatt_anmodede"
"03","bosatt","prosent","2016",".","bosatt_anmodede"
"04","bosatt","prosent","2016",".","bosatt_anmodede"
"05","bosatt","prosent","2016",".","bosatt_anmodede"
"06","bosatt","prosent","2016",".","bosatt_anmodede"
"07","bosatt","prosent","2016",".","bosatt_anmodede"
"08","bosatt","prosent","2016",".","bosatt_anmodede"
"09","bosatt","prosent","2016",".","bosatt_anmodede"
"10","bosatt","prosent","2016",".","bosatt_anmodede"
"11","bosatt","prosent","2016",".","bosatt_anmodede"
"12","bosatt","prosent","2016",".","bosatt_anmodede"
"14","bosatt","prosent","2016",".","bosatt_anmodede"
"15","bosatt","prosent","2016",".","bosatt_anmodede"
"16","bosatt","prosent","2016",".","bosatt_anmodede"
"17","bosatt","prosent","2016",".","bosatt_anmodede"
"18","bosatt","prosent","2016",".","bosatt_anmodede"
"19","bosatt","prosent","2016",".","bosatt_anmodede"
"20","bosatt","prosent","2016",".","bosatt_anmodede"
"99","bosatt","prosent","2016",".","bosatt_anmodede"
"00","bosatt","prosent","2016",".","bosatt_anmodede"
