"tabell_navn","aar","naringsregion_nr","innvkat_3","kjonn","enhet","alder_grupper","tabellvariabel"
"befolkning_alder","2006","15","innvandrere","1","personer","0_5","14"
"befolkning_alder","2006","15","innvandrere","alle","personer","0_5","26"
"befolkning_alder","2006","16","alle","0","personer","0_5","1152"
"befolkning_alder","2006","16","alle","1","personer","0_5","1214"
"befolkning_alder","2006","16","alle","alle","personer","0_5","2366"
"befolkning_alder","2006","16","befolkningen_ellers","0","personer","0_5","1137"
"befolkning_alder","2006","16","befolkningen_ellers","1","personer","0_5","1193"
"befolkning_alder","2006","16","befolkningen_ellers","alle","personer","0_5","2330"
"befolkning_alder","2006","16","innvandrere","0","personer","0_5","15"
"befolkning_alder","2006","16","innvandrere","1","personer","0_5","21"
"befolkning_alder","2006","16","innvandrere","alle","personer","0_5","36"
"befolkning_alder","2006","17","alle","0","personer","0_5","418"
"befolkning_alder","2006","17","alle","1","personer","0_5","431"
"befolkning_alder","2006","17","alle","alle","personer","0_5","849"
"befolkning_alder","2006","17","befolkningen_ellers","0","personer","0_5","413"
"befolkning_alder","2006","17","befolkningen_ellers","1","personer","0_5","428"
"befolkning_alder","2006","17","befolkningen_ellers","alle","personer","0_5","841"
"befolkning_alder","2006","17","innvandrere","0","personer","0_5","5"
"befolkning_alder","2006","17","innvandrere","1","personer","0_5","3"
"befolkning_alder","2006","17","innvandrere","alle","personer","0_5","8"
"befolkning_alder","2006","18","alle","0","personer","0_5","612"
"befolkning_alder","2006","18","alle","1","personer","0_5","656"
"befolkning_alder","2006","18","alle","alle","personer","0_5","1268"
"befolkning_alder","2006","18","befolkningen_ellers","0","personer","0_5","606"
"befolkning_alder","2006","18","befolkningen_ellers","1","personer","0_5","652"
"befolkning_alder","2006","18","befolkningen_ellers","alle","personer","0_5","1258"
"befolkning_alder","2006","18","innvandrere","0","personer","0_5","6"
"befolkning_alder","2006","18","innvandrere","1","personer","0_5","4"
"befolkning_alder","2006","18","innvandrere","alle","personer","0_5","10"
"befolkning_alder","2006","19","alle","0","personer","0_5","557"
"befolkning_alder","2006","19","alle","1","personer","0_5","568"
"befolkning_alder","2006","19","alle","alle","personer","0_5","1125"
"befolkning_alder","2006","19","befolkningen_ellers","0","personer","0_5","545"
"befolkning_alder","2006","19","befolkningen_ellers","1","personer","0_5","559"
"befolkning_alder","2006","19","befolkningen_ellers","alle","personer","0_5","1104"
"befolkning_alder","2006","19","innvandrere","0","personer","0_5","12"
"befolkning_alder","2006","19","innvandrere","1","personer","0_5","9"
"befolkning_alder","2006","19","innvandrere","alle","personer","0_5","21"
"befolkning_alder","2006","20","alle","0","personer","0_5","5815"
"befolkning_alder","2006","20","alle","1","personer","0_5","6084"
"befolkning_alder","2006","20","alle","alle","personer","0_5","11899"
"befolkning_alder","2006","20","befolkningen_ellers","0","personer","0_5","5715"
"befolkning_alder","2006","20","befolkningen_ellers","1","personer","0_5","5990"
"befolkning_alder","2006","20","befolkningen_ellers","alle","personer","0_5","11705"
"befolkning_alder","2006","20","innvandrere","0","personer","0_5","100"
"befolkning_alder","2006","20","innvandrere","1","personer","0_5","94"
"befolkning_alder","2006","20","innvandrere","alle","personer","0_5","194"
"befolkning_alder","2006","21","alle","0","personer","0_5","677"
"befolkning_alder","2006","21","alle","1","personer","0_5","680"
"befolkning_alder","2006","21","alle","alle","personer","0_5","1357"
"befolkning_alder","2006","21","befolkningen_ellers","0","personer","0_5","651"
"befolkning_alder","2006","21","befolkningen_ellers","1","personer","0_5","664"
"befolkning_alder","2006","21","befolkningen_ellers","alle","personer","0_5","1315"
"befolkning_alder","2006","21","innvandrere","0","personer","0_5","26"
"befolkning_alder","2006","21","innvandrere","1","personer","0_5","16"
"befolkning_alder","2006","21","innvandrere","alle","personer","0_5","42"
"befolkning_alder","2006","22","alle","0","personer","0_5","1017"
"befolkning_alder","2006","22","alle","1","personer","0_5","1041"
"befolkning_alder","2006","22","alle","alle","personer","0_5","2058"
"befolkning_alder","2006","22","befolkningen_ellers","0","personer","0_5","995"
"befolkning_alder","2006","22","befolkningen_ellers","1","personer","0_5","1018"
"befolkning_alder","2006","22","befolkningen_ellers","alle","personer","0_5","2013"
"befolkning_alder","2006","22","innvandrere","0","personer","0_5","22"
"befolkning_alder","2006","22","innvandrere","1","personer","0_5","23"
"befolkning_alder","2006","22","innvandrere","alle","personer","0_5","45"
"befolkning_alder","2006","23","alle","0","personer","0_5","537"
"befolkning_alder","2006","23","alle","1","personer","0_5","633"
"befolkning_alder","2006","23","alle","alle","personer","0_5","1170"
"befolkning_alder","2006","23","befolkningen_ellers","0","personer","0_5","530"
"befolkning_alder","2006","23","befolkningen_ellers","1","personer","0_5","619"
"befolkning_alder","2006","23","befolkningen_ellers","alle","personer","0_5","1149"
"befolkning_alder","2006","23","innvandrere","0","personer","0_5","7"
"befolkning_alder","2006","23","innvandrere","1","personer","0_5","14"
"befolkning_alder","2006","23","innvandrere","alle","personer","0_5","21"
"befolkning_alder","2006","24","alle","0","personer","0_5","1043"
"befolkning_alder","2006","24","alle","1","personer","0_5","1090"
"befolkning_alder","2006","24","alle","alle","personer","0_5","2133"
"befolkning_alder","2006","24","befolkningen_ellers","0","personer","0_5","1032"
"befolkning_alder","2006","24","befolkningen_ellers","1","personer","0_5","1080"
"befolkning_alder","2006","24","befolkningen_ellers","alle","personer","0_5","2112"
"befolkning_alder","2006","24","innvandrere","0","personer","0_5","11"
"befolkning_alder","2006","24","innvandrere","1","personer","0_5","10"
"befolkning_alder","2006","24","innvandrere","alle","personer","0_5","21"
"befolkning_alder","2006","25","alle","0","personer","0_5","4081"
"befolkning_alder","2006","25","alle","1","personer","0_5","4400"
"befolkning_alder","2006","25","alle","alle","personer","0_5","8481"
"befolkning_alder","2006","25","befolkningen_ellers","0","personer","0_5","4035"
"befolkning_alder","2006","25","befolkningen_ellers","1","personer","0_5","4336"
"befolkning_alder","2006","25","befolkningen_ellers","alle","personer","0_5","8371"
"befolkning_alder","2006","25","innvandrere","0","personer","0_5","46"
"befolkning_alder","2006","25","innvandrere","1","personer","0_5","64"
"befolkning_alder","2006","25","innvandrere","alle","personer","0_5","110"
"befolkning_alder","2006","26","alle","0","personer","0_5","2790"
"befolkning_alder","2006","26","alle","1","personer","0_5","2975"
"befolkning_alder","2006","26","alle","alle","personer","0_5","5765"
"befolkning_alder","2006","26","befolkningen_ellers","0","personer","0_5","2750"
"befolkning_alder","2006","26","befolkningen_ellers","1","personer","0_5","2938"
"befolkning_alder","2006","26","befolkningen_ellers","alle","personer","0_5","5688"
"befolkning_alder","2006","26","innvandrere","0","personer","0_5","40"
"befolkning_alder","2006","26","innvandrere","1","personer","0_5","37"
"befolkning_alder","2006","26","innvandrere","alle","personer","0_5","77"
"befolkning_alder","2006","27","alle","0","personer","0_5","3767"
"befolkning_alder","2006","27","alle","1","personer","0_5","3942"
"befolkning_alder","2006","27","alle","alle","personer","0_5","7709"
"befolkning_alder","2006","27","befolkningen_ellers","0","personer","0_5","3699"
"befolkning_alder","2006","27","befolkningen_ellers","1","personer","0_5","3880"
"befolkning_alder","2006","27","befolkningen_ellers","alle","personer","0_5","7579"
"befolkning_alder","2006","27","innvandrere","0","personer","0_5","68"
"befolkning_alder","2006","27","innvandrere","1","personer","0_5","62"
"befolkning_alder","2006","27","innvandrere","alle","personer","0_5","130"
"befolkning_alder","2006","28","alle","0","personer","0_5","543"
"befolkning_alder","2006","28","alle","1","personer","0_5","499"
