"kommune_nr","innvkat_3","vreg_3","enhet","aar","tabellvariabel","tabell_navn"
"1246","alle","alle","kroner","2014","373000","gjennomsnittsinntekt"
"1247","alle","alle","kroner","2014","359100","gjennomsnittsinntekt"
"1251","alle","alle","kroner","2014","328400","gjennomsnittsinntekt"
"1252","alle","alle","kroner","2014","346800","gjennomsnittsinntekt"
"1253","alle","alle","kroner","2014","338400","gjennomsnittsinntekt"
"1256","alle","alle","kroner","2014","353900","gjennomsnittsinntekt"
"1259","alle","alle","kroner","2014","354700","gjennomsnittsinntekt"
"1260","alle","alle","kroner","2014","339000","gjennomsnittsinntekt"
"1263","alle","alle","kroner","2014","360800","gjennomsnittsinntekt"
"1264","alle","alle","kroner","2014","368800","gjennomsnittsinntekt"
"1265","alle","alle","kroner","2014","355800","gjennomsnittsinntekt"
"1266","alle","alle","kroner","2014","364900","gjennomsnittsinntekt"
"1401","alle","alle","kroner","2014","360000","gjennomsnittsinntekt"
"1411","alle","alle","kroner","2014","354400","gjennomsnittsinntekt"
"1412","alle","alle","kroner","2014","343600","gjennomsnittsinntekt"
"1413","alle","alle","kroner","2014","335600","gjennomsnittsinntekt"
"1416","alle","alle","kroner","2014","338600","gjennomsnittsinntekt"
"1417","alle","alle","kroner","2014","332800","gjennomsnittsinntekt"
"1418","alle","alle","kroner","2014","330800","gjennomsnittsinntekt"
"1419","alle","alle","kroner","2014","361300","gjennomsnittsinntekt"
"1420","alle","alle","kroner","2014","340000","gjennomsnittsinntekt"
"1421","alle","alle","kroner","2014","353200","gjennomsnittsinntekt"
"1422","alle","alle","kroner","2014","354700","gjennomsnittsinntekt"
"1424","alle","alle","kroner","2014","366800","gjennomsnittsinntekt"
"1426","alle","alle","kroner","2014","328000","gjennomsnittsinntekt"
"1428","alle","alle","kroner","2014","355500","gjennomsnittsinntekt"
"1429","alle","alle","kroner","2014","330400","gjennomsnittsinntekt"
"1430","alle","alle","kroner","2014","336900","gjennomsnittsinntekt"
"1431","alle","alle","kroner","2014","343800","gjennomsnittsinntekt"
"1432","alle","alle","kroner","2014","357900","gjennomsnittsinntekt"
"1433","alle","alle","kroner","2014","342800","gjennomsnittsinntekt"
"1438","alle","alle","kroner","2014","340400","gjennomsnittsinntekt"
"1439","alle","alle","kroner","2014","338200","gjennomsnittsinntekt"
"1441","alle","alle","kroner","2014","346300","gjennomsnittsinntekt"
"1443","alle","alle","kroner","2014","340000","gjennomsnittsinntekt"
"1444","alle","alle","kroner","2014","330700","gjennomsnittsinntekt"
"1445","alle","alle","kroner","2014","340000","gjennomsnittsinntekt"
"1449","alle","alle","kroner","2014","324600","gjennomsnittsinntekt"
"1502","alle","alle","kroner","2014","360500","gjennomsnittsinntekt"
"1504","alle","alle","kroner","2014","356900","gjennomsnittsinntekt"
"1505","alle","alle","kroner","2014","350000","gjennomsnittsinntekt"
"1511","alle","alle","kroner","2014","342700","gjennomsnittsinntekt"
"1514","alle","alle","kroner","2014","353300","gjennomsnittsinntekt"
"1515","alle","alle","kroner","2014","373200","gjennomsnittsinntekt"
"1516","alle","alle","kroner","2014","369200","gjennomsnittsinntekt"
"1517","alle","alle","kroner","2014","349600","gjennomsnittsinntekt"
"1519","alle","alle","kroner","2014","338200","gjennomsnittsinntekt"
"1520","alle","alle","kroner","2014","342700","gjennomsnittsinntekt"
"1523","alle","alle","kroner","2014","339600","gjennomsnittsinntekt"
"1524","alle","alle","kroner","2014","332600","gjennomsnittsinntekt"
"1525","alle","alle","kroner","2014","342800","gjennomsnittsinntekt"
"1526","alle","alle","kroner","2014","299800","gjennomsnittsinntekt"
"1528","alle","alle","kroner","2014","330000","gjennomsnittsinntekt"
"1529","alle","alle","kroner","2014","346600","gjennomsnittsinntekt"
"1531","alle","alle","kroner","2014","343900","gjennomsnittsinntekt"
"1532","alle","alle","kroner","2014","356200","gjennomsnittsinntekt"
"1534","alle","alle","kroner","2014","347500","gjennomsnittsinntekt"
"1535","alle","alle","kroner","2014","338000","gjennomsnittsinntekt"
"1539","alle","alle","kroner","2014","339700","gjennomsnittsinntekt"
"1543","alle","alle","kroner","2014","348700","gjennomsnittsinntekt"
"1545","alle","alle","kroner","2014","341300","gjennomsnittsinntekt"
"1546","alle","alle","kroner","2014","383300","gjennomsnittsinntekt"
"1547","alle","alle","kroner","2014","359900","gjennomsnittsinntekt"
"1548","alle","alle","kroner","2014","348600","gjennomsnittsinntekt"
"1551","alle","alle","kroner","2014","343100","gjennomsnittsinntekt"
"1554","alle","alle","kroner","2014","355800","gjennomsnittsinntekt"
"1557","alle","alle","kroner","2014","343600","gjennomsnittsinntekt"
"1560","alle","alle","kroner","2014","333600","gjennomsnittsinntekt"
"1563","alle","alle","kroner","2014","342800","gjennomsnittsinntekt"
"1566","alle","alle","kroner","2014","331600","gjennomsnittsinntekt"
"1567","alle","alle","kroner","2014","324200","gjennomsnittsinntekt"
"1571","alle","alle","kroner","2014","321000","gjennomsnittsinntekt"
"1573","alle","alle","kroner","2014","342900","gjennomsnittsinntekt"
"1576","alle","alle","kroner","2014","335300","gjennomsnittsinntekt"
"1601","alle","alle","kroner","2014","355000","gjennomsnittsinntekt"
"1612","alle","alle","kroner","2014","333000","gjennomsnittsinntekt"
"1613","alle","alle","kroner","2014","336800","gjennomsnittsinntekt"
"1617","alle","alle","kroner","2014","329500","gjennomsnittsinntekt"
"1620","alle","alle","kroner","2014","338800","gjennomsnittsinntekt"
"1621","alle","alle","kroner","2014","334300","gjennomsnittsinntekt"
"1622","alle","alle","kroner","2014","321000","gjennomsnittsinntekt"
"1624","alle","alle","kroner","2014","325900","gjennomsnittsinntekt"
"1627","alle","alle","kroner","2014","320100","gjennomsnittsinntekt"
"1630","alle","alle","kroner","2014","331800","gjennomsnittsinntekt"
"1632","alle","alle","kroner","2014","309500","gjennomsnittsinntekt"
"1633","alle","alle","kroner","2014","317900","gjennomsnittsinntekt"
"1634","alle","alle","kroner","2014","326000","gjennomsnittsinntekt"
"1635","alle","alle","kroner","2014","318500","gjennomsnittsinntekt"
"1636","alle","alle","kroner","2014","315200","gjennomsnittsinntekt"
"1638","alle","alle","kroner","2014","337900","gjennomsnittsinntekt"
"1640","alle","alle","kroner","2014","332300","gjennomsnittsinntekt"
"1644","alle","alle","kroner","2014","336300","gjennomsnittsinntekt"
"1648","alle","alle","kroner","2014","324200","gjennomsnittsinntekt"
"1653","alle","alle","kroner","2014","341600","gjennomsnittsinntekt"
"1657","alle","alle","kroner","2014","348500","gjennomsnittsinntekt"
"1662","alle","alle","kroner","2014","347200","gjennomsnittsinntekt"
"1663","alle","alle","kroner","2014","366300","gjennomsnittsinntekt"
"1664","alle","alle","kroner","2014","333600","gjennomsnittsinntekt"
"1665","alle","alle","kroner","2014","331300","gjennomsnittsinntekt"
"1702","alle","alle","kroner","2014","327700","gjennomsnittsinntekt"
"1703","alle","alle","kroner","2014","332100","gjennomsnittsinntekt"
"1711","alle","alle","kroner","2014","308400","gjennomsnittsinntekt"
"1714","alle","alle","kroner","2014","341200","gjennomsnittsinntekt"
"1717","alle","alle","kroner","2014","316300","gjennomsnittsinntekt"
"1718","alle","alle","kroner","2014","323900","gjennomsnittsinntekt"
"1719","alle","alle","kroner","2014","333800","gjennomsnittsinntekt"
"1721","alle","alle","kroner","2014","323800","gjennomsnittsinntekt"
"1724","alle","alle","kroner","2014","306200","gjennomsnittsinntekt"
"1725","alle","alle","kroner","2014","327400","gjennomsnittsinntekt"
"1736","alle","alle","kroner","2014","322800","gjennomsnittsinntekt"
"1738","alle","alle","kroner","2014","324400","gjennomsnittsinntekt"
"1739","alle","alle","kroner","2014","335400","gjennomsnittsinntekt"
"1740","alle","alle","kroner","2014","325700","gjennomsnittsinntekt"
"1742","alle","alle","kroner","2014","324600","gjennomsnittsinntekt"
"1743","alle","alle","kroner","2014","331600","gjennomsnittsinntekt"
"1744","alle","alle","kroner","2014","335500","gjennomsnittsinntekt"
"1748","alle","alle","kroner","2014","316500","gjennomsnittsinntekt"
"1749","alle","alle","kroner","2014","339700","gjennomsnittsinntekt"
"1750","alle","alle","kroner","2014","338300","gjennomsnittsinntekt"
"1751","alle","alle","kroner","2014","321300","gjennomsnittsinntekt"
"1755","alle","alle","kroner","2014","324300","gjennomsnittsinntekt"
"1756","alle","alle","kroner","2014","333800","gjennomsnittsinntekt"
"1804","alle","alle","kroner","2014","359100","gjennomsnittsinntekt"
"1805","alle","alle","kroner","2014","347700","gjennomsnittsinntekt"
"1811","alle","alle","kroner","2014","306200","gjennomsnittsinntekt"
"1812","alle","alle","kroner","2014","321100","gjennomsnittsinntekt"
"1813","alle","alle","kroner","2014","335200","gjennomsnittsinntekt"
"1815","alle","alle","kroner","2014","328800","gjennomsnittsinntekt"
"1816","alle","alle","kroner","2014","325700","gjennomsnittsinntekt"
"1818","alle","alle","kroner","2014","330300","gjennomsnittsinntekt"
"1820","alle","alle","kroner","2014","342100","gjennomsnittsinntekt"
"1822","alle","alle","kroner","2014","321000","gjennomsnittsinntekt"
"1824","alle","alle","kroner","2014","336300","gjennomsnittsinntekt"
"1825","alle","alle","kroner","2014","323100","gjennomsnittsinntekt"
"1826","alle","alle","kroner","2014","310400","gjennomsnittsinntekt"
"1827","alle","alle","kroner","2014","315700","gjennomsnittsinntekt"
"1828","alle","alle","kroner","2014","303200","gjennomsnittsinntekt"
"1832","alle","alle","kroner","2014","321800","gjennomsnittsinntekt"
"1833","alle","alle","kroner","2014","338700","gjennomsnittsinntekt"
"1834","alle","alle","kroner","2014","328800","gjennomsnittsinntekt"
"1835","alle","alle","kroner","2014","305800","gjennomsnittsinntekt"
"1836","alle","alle","kroner","2014","314900","gjennomsnittsinntekt"
"1837","alle","alle","kroner","2014","335100","gjennomsnittsinntekt"
