"naringsregion_nr","bosetting","enhet","aar","tabellvariabel","tabell_navn"
"09","anmodning","prosent","2016","100","bosatt_anmodede"
"10","anmodning","prosent","2016","100","bosatt_anmodede"
"11","anmodning","prosent","2016","100","bosatt_anmodede"
"12","anmodning","prosent","2016","100","bosatt_anmodede"
"13","anmodning","prosent","2016","100","bosatt_anmodede"
"14","anmodning","prosent","2016","100","bosatt_anmodede"
"15","anmodning","prosent","2016","100","bosatt_anmodede"
"16","anmodning","prosent","2016","100","bosatt_anmodede"
"17","anmodning","prosent","2016","100","bosatt_anmodede"
"18","anmodning","prosent","2016","100","bosatt_anmodede"
"19","anmodning","prosent","2016","100","bosatt_anmodede"
"20","anmodning","prosent","2016","100","bosatt_anmodede"
"21","anmodning","prosent","2016","100","bosatt_anmodede"
"22","anmodning","prosent","2016","100","bosatt_anmodede"
"23","anmodning","prosent","2016","100","bosatt_anmodede"
"24","anmodning","prosent","2016","100","bosatt_anmodede"
"25","anmodning","prosent","2016","100","bosatt_anmodede"
"26","anmodning","prosent","2016","100","bosatt_anmodede"
"27","anmodning","prosent","2016","100","bosatt_anmodede"
"28","anmodning","prosent","2016","100","bosatt_anmodede"
"29","anmodning","prosent","2016","100","bosatt_anmodede"
"30","anmodning","prosent","2016","100","bosatt_anmodede"
"31","anmodning","prosent","2016","100","bosatt_anmodede"
"32","anmodning","prosent","2016","100","bosatt_anmodede"
"33","anmodning","prosent","2016","100","bosatt_anmodede"
"34","anmodning","prosent","2016","100","bosatt_anmodede"
"35","anmodning","prosent","2016","100","bosatt_anmodede"
"36","anmodning","prosent","2016","100","bosatt_anmodede"
"37","anmodning","prosent","2016","100","bosatt_anmodede"
"38","anmodning","prosent","2016","100","bosatt_anmodede"
"39","anmodning","prosent","2016","100","bosatt_anmodede"
"40","anmodning","prosent","2016","100","bosatt_anmodede"
"41","anmodning","prosent","2016","100","bosatt_anmodede"
"42","anmodning","prosent","2016","100","bosatt_anmodede"
"43","anmodning","prosent","2016","100","bosatt_anmodede"
"44","anmodning","prosent","2016","100","bosatt_anmodede"
"45","anmodning","prosent","2016","100","bosatt_anmodede"
"46","anmodning","prosent","2016","100","bosatt_anmodede"
"47","anmodning","prosent","2016","100","bosatt_anmodede"
"48","anmodning","prosent","2016","100","bosatt_anmodede"
"49","anmodning","prosent","2016","100","bosatt_anmodede"
"50","anmodning","prosent","2016","100","bosatt_anmodede"
"51","anmodning","prosent","2016","100","bosatt_anmodede"
"52","anmodning","prosent","2016","100","bosatt_anmodede"
"53","anmodning","prosent","2016","100","bosatt_anmodede"
"54","anmodning","prosent","2016","100","bosatt_anmodede"
"55","anmodning","prosent","2016","100","bosatt_anmodede"
"56","anmodning","prosent","2016","100","bosatt_anmodede"
"57","anmodning","prosent","2016","100","bosatt_anmodede"
"58","anmodning","prosent","2016","100","bosatt_anmodede"
"59","anmodning","prosent","2016","100","bosatt_anmodede"
"60","anmodning","prosent","2016","100","bosatt_anmodede"
"61","anmodning","prosent","2016","100","bosatt_anmodede"
"62","anmodning","prosent","2016","100","bosatt_anmodede"
"63","anmodning","prosent","2016","100","bosatt_anmodede"
"64","anmodning","prosent","2016","100","bosatt_anmodede"
"65","anmodning","prosent","2016","100","bosatt_anmodede"
"66","anmodning","prosent","2016","100","bosatt_anmodede"
"67","anmodning","prosent","2016","100","bosatt_anmodede"
"68","anmodning","prosent","2016","100","bosatt_anmodede"
"69","anmodning","prosent","2016","100","bosatt_anmodede"
"70","anmodning","prosent","2016","100","bosatt_anmodede"
"71","anmodning","prosent","2016","100","bosatt_anmodede"
"72","anmodning","prosent","2016","100","bosatt_anmodede"
"73","anmodning","prosent","2016","100","bosatt_anmodede"
"74","anmodning","prosent","2016","100","bosatt_anmodede"
"75","anmodning","prosent","2016","100","bosatt_anmodede"
"76","anmodning","prosent","2016","100","bosatt_anmodede"
"77","anmodning","prosent","2016","100","bosatt_anmodede"
"78","anmodning","prosent","2016","100","bosatt_anmodede"
"79","anmodning","prosent","2016","100","bosatt_anmodede"
"80","anmodning","prosent","2016","100","bosatt_anmodede"
"81","anmodning","prosent","2016","100","bosatt_anmodede"
"82","anmodning","prosent","2016","100","bosatt_anmodede"
"83","anmodning","prosent","2016","100","bosatt_anmodede"
"99","anmodning","prosent","2016",".","bosatt_anmodede"
"01","vedtak","prosent","2016","81.4285714285714","bosatt_anmodede"
"02","vedtak","prosent","2016","73.3333333333333","bosatt_anmodede"
"03","vedtak","prosent","2016","97.9310344827586","bosatt_anmodede"
"04","vedtak","prosent","2016","95.5882352941177","bosatt_anmodede"
"05","vedtak","prosent","2016","100","bosatt_anmodede"
"06","vedtak","prosent","2016","97.0588235294118","bosatt_anmodede"
"07","vedtak","prosent","2016","94.0740740740741","bosatt_anmodede"
"08","vedtak","prosent","2016","81.6","bosatt_anmodede"
"09","vedtak","prosent","2016","100","bosatt_anmodede"
"10","vedtak","prosent","2016","95.1923076923077","bosatt_anmodede"
"11","vedtak","prosent","2016","61.5384615384615","bosatt_anmodede"
"12","vedtak","prosent","2016","59.0625","bosatt_anmodede"
"13","vedtak","prosent","2016","72.3404255319149","bosatt_anmodede"
"14","vedtak","prosent","2016","75.6862745098039","bosatt_anmodede"
"15","vedtak","prosent","2016","95.6521739130435","bosatt_anmodede"
"16","vedtak","prosent","2016","82.7586206896552","bosatt_anmodede"
"17","vedtak","prosent","2016","98.2456140350877","bosatt_anmodede"
"18","vedtak","prosent","2016","84.4660194174757","bosatt_anmodede"
"19","vedtak","prosent","2016","55","bosatt_anmodede"
"20","vedtak","prosent","2016","70","bosatt_anmodede"
"21","vedtak","prosent","2016","88","bosatt_anmodede"
"22","vedtak","prosent","2016","87.8571428571429","bosatt_anmodede"
"23","vedtak","prosent","2016","60.9756097560976","bosatt_anmodede"
"24","vedtak","prosent","2016","96","bosatt_anmodede"
"25","vedtak","prosent","2016","90.3448275862069","bosatt_anmodede"
"26","vedtak","prosent","2016","93.8775510204082","bosatt_anmodede"
"27","vedtak","prosent","2016","101.379310344828","bosatt_anmodede"
"28","vedtak","prosent","2016","100","bosatt_anmodede"
"29","vedtak","prosent","2016","67.8260869565217","bosatt_anmodede"
"30","vedtak","prosent","2016","74.2857142857143","bosatt_anmodede"
"31","vedtak","prosent","2016","82.8571428571429","bosatt_anmodede"
"32","vedtak","prosent","2016","90.3614457831325","bosatt_anmodede"
"33","vedtak","prosent","2016","87.2","bosatt_anmodede"
"34","vedtak","prosent","2016","87.8787878787879","bosatt_anmodede"
"35","vedtak","prosent","2016","82.0560747663551","bosatt_anmodede"
"36","vedtak","prosent","2016","64","bosatt_anmodede"
"37","vedtak","prosent","2016","81.3559322033898","bosatt_anmodede"
"38","vedtak","prosent","2016","75.1724137931034","bosatt_anmodede"
"39","vedtak","prosent","2016","86.8763557483731","bosatt_anmodede"
"40","vedtak","prosent","2016","100","bosatt_anmodede"
"41","vedtak","prosent","2016","70.8333333333333","bosatt_anmodede"
"42","vedtak","prosent","2016","64.5714285714286","bosatt_anmodede"
"43","vedtak","prosent","2016","83.3333333333333","bosatt_anmodede"
"44","vedtak","prosent","2016","57.5949367088608","bosatt_anmodede"
"45","vedtak","prosent","2016","76.9230769230769","bosatt_anmodede"
"46","vedtak","prosent","2016","85.1301115241636","bosatt_anmodede"
"47","vedtak","prosent","2016","68","bosatt_anmodede"
"48","vedtak","prosent","2016","73.6842105263158","bosatt_anmodede"
"49","vedtak","prosent","2016","87.8048780487805","bosatt_anmodede"
"50","vedtak","prosent","2016","86.8292682926829","bosatt_anmodede"
"51","vedtak","prosent","2016","73.3333333333333","bosatt_anmodede"
"52","vedtak","prosent","2016","74.7292418772563","bosatt_anmodede"
"53","vedtak","prosent","2016","84.2553191489362","bosatt_anmodede"
"54","vedtak","prosent","2016","73.0769230769231","bosatt_anmodede"
"55","vedtak","prosent","2016","70.3883495145631","bosatt_anmodede"
"56","vedtak","prosent","2016","72.6950354609929","bosatt_anmodede"
"57","vedtak","prosent","2016","63.8655462184874","bosatt_anmodede"
"58","vedtak","prosent","2016","62.5","bosatt_anmodede"
"59","vedtak","prosent","2016","100","bosatt_anmodede"
"60","vedtak","prosent","2016","54.9019607843137","bosatt_anmodede"
"61","vedtak","prosent","2016","95.3271028037383","bosatt_anmodede"
"62","vedtak","prosent","2016","83.6734693877551","bosatt_anmodede"
"63","vedtak","prosent","2016","70.1754385964912","bosatt_anmodede"
"64","vedtak","prosent","2016","80.0796812749004","bosatt_anmodede"
"65","vedtak","prosent","2016","94.0476190476191","bosatt_anmodede"
"66","vedtak","prosent","2016","84.8837209302326","bosatt_anmodede"
"67","vedtak","prosent","2016","94.2307692307692","bosatt_anmodede"
"68","vedtak","prosent","2016","61.5384615384615","bosatt_anmodede"
"69","vedtak","prosent","2016","72.8571428571428","bosatt_anmodede"
"70","vedtak","prosent","2016","18.1818181818182","bosatt_anmodede"
"71","vedtak","prosent","2016","42.1052631578947","bosatt_anmodede"
"72","vedtak","prosent","2016","60.7142857142857","bosatt_anmodede"
"73","vedtak","prosent","2016","77.6315789473684","bosatt_anmodede"
"74","vedtak","prosent","2016","52.7777777777778","bosatt_anmodede"
"75","vedtak","prosent","2016","64.7368421052632","bosatt_anmodede"
"76","vedtak","prosent","2016","43.4389140271493","bosatt_anmodede"
"77","vedtak","prosent","2016","96.1904761904762","bosatt_anmodede"
"78","vedtak","prosent","2016","89.5287958115183","bosatt_anmodede"
"79","vedtak","prosent","2016","97.8260869565217","bosatt_anmodede"
"80","vedtak","prosent","2016","54.5454545454545","bosatt_anmodede"
"81","vedtak","prosent","2016","57.4898785425101","bosatt_anmodede"
"82","vedtak","prosent","2016","70","bosatt_anmodede"
"83","vedtak","prosent","2016","81.8867924528302","bosatt_anmodede"
"99","vedtak","prosent","2016",".","bosatt_anmodede"
"01","bosatt","prosent","2016",".","bosatt_anmodede"
"02","bosatt","prosent","2016",".","bosatt_anmodede"
"03","bosatt","prosent","2016",".","bosatt_anmodede"
"04","bosatt","prosent","2016",".","bosatt_anmodede"
"05","bosatt","prosent","2016",".","bosatt_anmodede"
"06","bosatt","prosent","2016",".","bosatt_anmodede"
"07","bosatt","prosent","2016",".","bosatt_anmodede"
"08","bosatt","prosent","2016",".","bosatt_anmodede"
"09","bosatt","prosent","2016",".","bosatt_anmodede"
"10","bosatt","prosent","2016",".","bosatt_anmodede"
