"kommune_nr","bosetting","enhet","tabellvariabel","tabell_navn","aar"
"1120","anmodning","personer","35","bosatt_anmodede","2014"
"1121","anmodning","personer","35","bosatt_anmodede","2014"
"1122","anmodning","personer","30","bosatt_anmodede","2014"
"1124","anmodning","personer","40","bosatt_anmodede","2014"
"1127","anmodning","personer","30","bosatt_anmodede","2014"
"1129","anmodning","personer","8","bosatt_anmodede","2014"
"1130","anmodning","personer","30","bosatt_anmodede","2014"
"1133","anmodning","personer","25","bosatt_anmodede","2014"
"1134","anmodning","personer","25","bosatt_anmodede","2014"
"1135","anmodning","personer","25","bosatt_anmodede","2014"
"1141","anmodning","personer","10","bosatt_anmodede","2014"
"1142","anmodning","personer","25","bosatt_anmodede","2014"
"1144","anmodning","personer","8","bosatt_anmodede","2014"
"1145","anmodning","personer","8","bosatt_anmodede","2014"
"1146","anmodning","personer","30","bosatt_anmodede","2014"
"1149","anmodning","personer","60","bosatt_anmodede","2014"
"1151","anmodning","personer","8","bosatt_anmodede","2014"
"1160","anmodning","personer","25","bosatt_anmodede","2014"
"1201","anmodning","personer","350","bosatt_anmodede","2014"
"1211","anmodning","personer","10","bosatt_anmodede","2014"
"1216","anmodning","personer","20","bosatt_anmodede","2014"
"1219","anmodning","personer","30","bosatt_anmodede","2014"
"1221","anmodning","personer","35","bosatt_anmodede","2014"
"1222","anmodning","personer","10","bosatt_anmodede","2014"
"1223","anmodning","personer","10","bosatt_anmodede","2014"
"1224","anmodning","personer","25","bosatt_anmodede","2014"
"1227","anmodning","personer","10","bosatt_anmodede","2014"
"1228","anmodning","personer","20","bosatt_anmodede","2014"
"1231","anmodning","personer","20","bosatt_anmodede","2014"
"1232","anmodning","personer","10","bosatt_anmodede","2014"
"1233","anmodning","personer","10","bosatt_anmodede","2014"
"1234","anmodning","personer","10","bosatt_anmodede","2014"
"1235","anmodning","personer","30","bosatt_anmodede","2014"
"1238","anmodning","personer","20","bosatt_anmodede","2014"
"1241","anmodning","personer","10","bosatt_anmodede","2014"
"1242","anmodning","personer","15","bosatt_anmodede","2014"
"1243","anmodning","personer","25","bosatt_anmodede","2014"
"1244","anmodning","personer","10","bosatt_anmodede","2014"
"1245","anmodning","personer","15","bosatt_anmodede","2014"
"1246","anmodning","personer","40","bosatt_anmodede","2014"
"1247","anmodning","personer","40","bosatt_anmodede","2014"
"1251","anmodning","personer","15","bosatt_anmodede","2014"
"1252","anmodning","personer","8","bosatt_anmodede","2014"
"1253","anmodning","personer","15","bosatt_anmodede","2014"
"1256","anmodning","personer","25","bosatt_anmodede","2014"
"1259","anmodning","personer","20","bosatt_anmodede","2014"
"1260","anmodning","personer","20","bosatt_anmodede","2014"
"1263","anmodning","personer","25","bosatt_anmodede","2014"
"1264","anmodning","personer","15","bosatt_anmodede","2014"
"1265","anmodning","personer","8","bosatt_anmodede","2014"
"1266","anmodning","personer","10","bosatt_anmodede","2014"
"1401","anmodning","personer","35","bosatt_anmodede","2014"
"1411","anmodning","personer","10","bosatt_anmodede","2014"
"1412","anmodning","personer","8","bosatt_anmodede","2014"
"1413","anmodning","personer","10","bosatt_anmodede","2014"
"1416","anmodning","personer","20","bosatt_anmodede","2014"
"1417","anmodning","personer","15","bosatt_anmodede","2014"
"1418","anmodning","personer","10","bosatt_anmodede","2014"
"1419","anmodning","personer","10","bosatt_anmodede","2014"
"1420","anmodning","personer","30","bosatt_anmodede","2014"
"1421","anmodning","personer","10","bosatt_anmodede","2014"
