"kommune_nr","bosetting","aar","enhet","tabellvariabel","tabell_navn"
"1657","bosatt","2015","personer",".","bosetting_anmodede"
"1662","bosatt","2015","personer",".","bosetting_anmodede"
"1663","bosatt","2015","personer",".","bosetting_anmodede"
"1664","bosatt","2015","personer",".","bosetting_anmodede"
"1665","bosatt","2015","personer",".","bosetting_anmodede"
"1702","bosatt","2015","personer",".","bosetting_anmodede"
"1703","bosatt","2015","personer",".","bosetting_anmodede"
"1711","bosatt","2015","personer",".","bosetting_anmodede"
"1714","bosatt","2015","personer",".","bosetting_anmodede"
"1717","bosatt","2015","personer",".","bosetting_anmodede"
"1718","bosatt","2015","personer",".","bosetting_anmodede"
"1719","bosatt","2015","personer",".","bosetting_anmodede"
"1721","bosatt","2015","personer",".","bosetting_anmodede"
"1724","bosatt","2015","personer",".","bosetting_anmodede"
"1725","bosatt","2015","personer",".","bosetting_anmodede"
"1736","bosatt","2015","personer",".","bosetting_anmodede"
"1738","bosatt","2015","personer",".","bosetting_anmodede"
"1739","bosatt","2015","personer",".","bosetting_anmodede"
"1740","bosatt","2015","personer",".","bosetting_anmodede"
"1742","bosatt","2015","personer",".","bosetting_anmodede"
"1743","bosatt","2015","personer",".","bosetting_anmodede"
"1744","bosatt","2015","personer",".","bosetting_anmodede"
"1748","bosatt","2015","personer",".","bosetting_anmodede"
"1749","bosatt","2015","personer",".","bosetting_anmodede"
"1750","bosatt","2015","personer",".","bosetting_anmodede"
"1751","bosatt","2015","personer",".","bosetting_anmodede"
"1755","bosatt","2015","personer",".","bosetting_anmodede"
"1756","bosatt","2015","personer",".","bosetting_anmodede"
"1804","bosatt","2015","personer",".","bosetting_anmodede"
"1805","bosatt","2015","personer",".","bosetting_anmodede"
"1811","bosatt","2015","personer",".","bosetting_anmodede"
"1812","bosatt","2015","personer",".","bosetting_anmodede"
"1813","bosatt","2015","personer",".","bosetting_anmodede"
"1815","bosatt","2015","personer",".","bosetting_anmodede"
"1816","bosatt","2015","personer",".","bosetting_anmodede"
"1818","bosatt","2015","personer",".","bosetting_anmodede"
"1820","bosatt","2015","personer",".","bosetting_anmodede"
"1822","bosatt","2015","personer",".","bosetting_anmodede"
"1824","bosatt","2015","personer",".","bosetting_anmodede"
"1825","bosatt","2015","personer",".","bosetting_anmodede"
"1826","bosatt","2015","personer",".","bosetting_anmodede"
"1827","bosatt","2015","personer",".","bosetting_anmodede"
"1828","bosatt","2015","personer",".","bosetting_anmodede"
"1832","bosatt","2015","personer",".","bosetting_anmodede"
"1833","bosatt","2015","personer",".","bosetting_anmodede"
"1834","bosatt","2015","personer",".","bosetting_anmodede"
"1835","bosatt","2015","personer",".","bosetting_anmodede"
"1836","bosatt","2015","personer",".","bosetting_anmodede"
"1837","bosatt","2015","personer",".","bosetting_anmodede"
"1838","bosatt","2015","personer",".","bosetting_anmodede"
"1839","bosatt","2015","personer",".","bosetting_anmodede"
"1840","bosatt","2015","personer",".","bosetting_anmodede"
"1841","bosatt","2015","personer",".","bosetting_anmodede"
"1845","bosatt","2015","personer",".","bosetting_anmodede"
"1848","bosatt","2015","personer",".","bosetting_anmodede"
"1849","bosatt","2015","personer",".","bosetting_anmodede"
"1850","bosatt","2015","personer",".","bosetting_anmodede"
"1851","bosatt","2015","personer",".","bosetting_anmodede"
"1852","bosatt","2015","personer",".","bosetting_anmodede"
"1853","bosatt","2015","personer",".","bosetting_anmodede"
"1854","bosatt","2015","personer",".","bosetting_anmodede"
"1856","bosatt","2015","personer",".","bosetting_anmodede"
"1857","bosatt","2015","personer",".","bosetting_anmodede"
"1859","bosatt","2015","personer",".","bosetting_anmodede"
"1860","bosatt","2015","personer",".","bosetting_anmodede"
"1865","bosatt","2015","personer",".","bosetting_anmodede"
"1866","bosatt","2015","personer",".","bosetting_anmodede"
"1867","bosatt","2015","personer",".","bosetting_anmodede"
"1868","bosatt","2015","personer",".","bosetting_anmodede"
"1870","bosatt","2015","personer",".","bosetting_anmodede"
"1871","bosatt","2015","personer",".","bosetting_anmodede"
"1874","bosatt","2015","personer",".","bosetting_anmodede"
"1902","bosatt","2015","personer",".","bosetting_anmodede"
"1903","bosatt","2015","personer",".","bosetting_anmodede"
"1911","bosatt","2015","personer",".","bosetting_anmodede"
"1913","bosatt","2015","personer",".","bosetting_anmodede"
"1917","bosatt","2015","personer",".","bosetting_anmodede"
"1919","bosatt","2015","personer",".","bosetting_anmodede"
"1920","bosatt","2015","personer",".","bosetting_anmodede"
"1922","bosatt","2015","personer",".","bosetting_anmodede"
"1923","bosatt","2015","personer",".","bosetting_anmodede"
"1924","bosatt","2015","personer",".","bosetting_anmodede"
"1925","bosatt","2015","personer",".","bosetting_anmodede"
"1926","bosatt","2015","personer",".","bosetting_anmodede"
"1927","bosatt","2015","personer",".","bosetting_anmodede"
"1928","bosatt","2015","personer",".","bosetting_anmodede"
"1929","bosatt","2015","personer",".","bosetting_anmodede"
"1931","bosatt","2015","personer",".","bosetting_anmodede"
"1933","bosatt","2015","personer",".","bosetting_anmodede"
"1936","bosatt","2015","personer",".","bosetting_anmodede"
"1938","bosatt","2015","personer",".","bosetting_anmodede"
"1939","bosatt","2015","personer",".","bosetting_anmodede"
"1940","bosatt","2015","personer",".","bosetting_anmodede"
"1941","bosatt","2015","personer",".","bosetting_anmodede"
"1942","bosatt","2015","personer",".","bosetting_anmodede"
"1943","bosatt","2015","personer",".","bosetting_anmodede"
"2002","bosatt","2015","personer",".","bosetting_anmodede"
"2003","bosatt","2015","personer",".","bosetting_anmodede"
"2004","bosatt","2015","personer",".","bosetting_anmodede"
"2011","bosatt","2015","personer",".","bosetting_anmodede"
"2012","bosatt","2015","personer",".","bosetting_anmodede"
"2014","bosatt","2015","personer",".","bosetting_anmodede"
"2015","bosatt","2015","personer",".","bosetting_anmodede"
"2017","bosatt","2015","personer",".","bosetting_anmodede"
"2018","bosatt","2015","personer",".","bosetting_anmodede"
"2019","bosatt","2015","personer",".","bosetting_anmodede"
"2020","bosatt","2015","personer",".","bosetting_anmodede"
"2021","bosatt","2015","personer",".","bosetting_anmodede"
"2022","bosatt","2015","personer",".","bosetting_anmodede"
"2023","bosatt","2015","personer",".","bosetting_anmodede"
"2024","bosatt","2015","personer",".","bosetting_anmodede"
"2025","bosatt","2015","personer",".","bosetting_anmodede"
"2027","bosatt","2015","personer",".","bosetting_anmodede"
"2028","bosatt","2015","personer",".","bosetting_anmodede"
"2030","bosatt","2015","personer",".","bosetting_anmodede"
"0101","anmodning","2015","personer","30","bosetting_anmodede"
"0104","anmodning","2015","personer","40","bosetting_anmodede"
"0105","anmodning","2015","personer","65","bosetting_anmodede"
"0106","anmodning","2015","personer","90","bosetting_anmodede"
"0111","anmodning","2015","personer","15","bosetting_anmodede"
"0118","anmodning","2015","personer","15","bosetting_anmodede"
"0119","anmodning","2015","personer","10","bosetting_anmodede"
"0121","anmodning","2015","personer","10","bosetting_anmodede"
"0122","anmodning","2015","personer","10","bosetting_anmodede"
"0123","anmodning","2015","personer","15","bosetting_anmodede"
"0124","anmodning","2015","personer","25","bosetting_anmodede"
"0125","anmodning","2015","personer","25","bosetting_anmodede"
"0127","anmodning","2015","personer","10","bosetting_anmodede"
"0128","anmodning","2015","personer","15","bosetting_anmodede"
"0135","anmodning","2015","personer","15","bosetting_anmodede"
"0136","anmodning","2015","personer","20","bosetting_anmodede"
"0137","anmodning","2015","personer","15","bosetting_anmodede"
"0138","anmodning","2015","personer","10","bosetting_anmodede"
"0211","anmodning","2015","personer","18","bosetting_anmodede"
"0213","anmodning","2015","personer","58","bosetting_anmodede"
"0214","anmodning","2015","personer","18","bosetting_anmodede"
"0215","anmodning","2015","personer","18","bosetting_anmodede"
"0216","anmodning","2015","personer","20","bosetting_anmodede"
"0217","anmodning","2015","personer","40","bosetting_anmodede"
"0219","anmodning","2015","personer","155","bosetting_anmodede"
"0220","anmodning","2015","personer","90","bosetting_anmodede"
"0221","anmodning","2015","personer","15","bosetting_anmodede"
"0226","anmodning","2015","personer","15","bosetting_anmodede"
"0227","anmodning","2015","personer","15","bosetting_anmodede"
"0228","anmodning","2015","personer","25","bosetting_anmodede"
"0229","anmodning","2015","personer","15","bosetting_anmodede"
"0230","anmodning","2015","personer","55","bosetting_anmodede"
"0231","anmodning","2015","personer","75","bosetting_anmodede"
"0233","anmodning","2015","personer","20","bosetting_anmodede"
"0234","anmodning","2015","personer","10","bosetting_anmodede"
"0235","anmodning","2015","personer","35","bosetting_anmodede"
"0236","anmodning","2015","personer","30","bosetting_anmodede"
"0237","anmodning","2015","personer","25","bosetting_anmodede"
"0238","anmodning","2015","personer","15","bosetting_anmodede"
"0239","anmodning","2015","personer","10","bosetting_anmodede"
"0301","anmodning","2015","personer","720","bosetting_anmodede"
"0402","anmodning","2015","personer","40","bosetting_anmodede"
"0403","anmodning","2015","personer","60","bosetting_anmodede"
"0412","anmodning","2015","personer","55","bosetting_anmodede"
"0415","anmodning","2015","personer","15","bosetting_anmodede"
"0417","anmodning","2015","personer","30","bosetting_anmodede"
"0418","anmodning","2015","personer","10","bosetting_anmodede"
"0419","anmodning","2015","personer","15","bosetting_anmodede"
"0420","anmodning","2015","personer","10","bosetting_anmodede"
"0423","anmodning","2015","personer","10","bosetting_anmodede"
"0425","anmodning","2015","personer","15","bosetting_anmodede"
"0426","anmodning","2015","personer","10","bosetting_anmodede"
"0427","anmodning","2015","personer","50","bosetting_anmodede"
"0428","anmodning","2015","personer","15","bosetting_anmodede"
"0429","anmodning","2015","personer","10","bosetting_anmodede"
"0430","anmodning","2015","personer","10","bosetting_anmodede"
"0432","anmodning","2015","personer","10","bosetting_anmodede"
"0434","anmodning","2015","personer","10","bosetting_anmodede"
"0436","anmodning","2015","personer","15","bosetting_anmodede"
"0437","anmodning","2015","personer","20","bosetting_anmodede"
"0438","anmodning","2015","personer","15","bosetting_anmodede"
"0439","anmodning","2015","personer","10","bosetting_anmodede"
"0441","anmodning","2015","personer","10","bosetting_anmodede"
"0501","anmodning","2015","personer","55","bosetting_anmodede"
"0502","anmodning","2015","personer","55","bosetting_anmodede"
"0511","anmodning","2015","personer","10","bosetting_anmodede"
"0512","anmodning","2015","personer","10","bosetting_anmodede"
"0513","anmodning","2015","personer","10","bosetting_anmodede"
