"kommune_nr","avslutta","kjonn","avslstat4","aar","enhet","tabellvariabel","tabell_navn"
"1004","ettaar","alle","alle","2014","personer","5","intro_status_arbutd"
"1014","ettaar","alle","alle","2014","personer","12","intro_status_arbutd"
"1017","ettaar","alle","alle","2014","personer","15","intro_status_arbutd"
"1018","ettaar","alle","alle","2014","personer","9","intro_status_arbutd"
"1021","ettaar","alle","alle","2014","personer","4","intro_status_arbutd"
"1026","ettaar","alle","alle","2014","personer","6","intro_status_arbutd"
"1027","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1029","ettaar","alle","alle","2014","personer","7","intro_status_arbutd"
"1032","ettaar","alle","alle","2014","personer","9","intro_status_arbutd"
"1034","ettaar","alle","alle","2014","personer",":","intro_status_arbutd"
"1037","ettaar","alle","alle","2014","personer",":","intro_status_arbutd"
"1046","ettaar","alle","alle","2014","personer",":","intro_status_arbutd"
"1101","ettaar","alle","alle","2014","personer","12","intro_status_arbutd"
"1102","ettaar","alle","alle","2014","personer","38","intro_status_arbutd"
"1103","ettaar","alle","alle","2014","personer","49","intro_status_arbutd"
"1106","ettaar","alle","alle","2014","personer","38","intro_status_arbutd"
"1111","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1112","ettaar","alle","alle","2014","personer","8","intro_status_arbutd"
"1114","ettaar","alle","alle","2014","personer",":","intro_status_arbutd"
"1119","ettaar","alle","alle","2014","personer",":","intro_status_arbutd"
"1120","ettaar","alle","alle","2014","personer","15","intro_status_arbutd"
"1121","ettaar","alle","alle","2014","personer","14","intro_status_arbutd"
"1122","ettaar","alle","alle","2014","personer","9","intro_status_arbutd"
"1124","ettaar","alle","alle","2014","personer","9","intro_status_arbutd"
"1127","ettaar","alle","alle","2014","personer","14","intro_status_arbutd"
"1129","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1130","ettaar","alle","alle","2014","personer","24","intro_status_arbutd"
"1133","ettaar","alle","alle","2014","personer","4","intro_status_arbutd"
"1134","ettaar","alle","alle","2014","personer","11","intro_status_arbutd"
"1135","ettaar","alle","alle","2014","personer","7","intro_status_arbutd"
"1141","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1142","ettaar","alle","alle","2014","personer",":","intro_status_arbutd"
"1144","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1145","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1146","ettaar","alle","alle","2014","personer","13","intro_status_arbutd"
"1149","ettaar","alle","alle","2014","personer","27","intro_status_arbutd"
"1151","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1160","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1201","ettaar","alle","alle","2014","personer","203","intro_status_arbutd"
"1211","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1216","ettaar","alle","alle","2014","personer",":","intro_status_arbutd"
"1219","ettaar","alle","alle","2014","personer","12","intro_status_arbutd"
"1221","ettaar","alle","alle","2014","personer","11","intro_status_arbutd"
"1222","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1223","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1224","ettaar","alle","alle","2014","personer","13","intro_status_arbutd"
"1227","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1228","ettaar","alle","alle","2014","personer",":","intro_status_arbutd"
"1231","ettaar","alle","alle","2014","personer","8","intro_status_arbutd"
"1232","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1233","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1234","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1235","ettaar","alle","alle","2014","personer","12","intro_status_arbutd"
"1238","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1241","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1242","ettaar","alle","alle","2014","personer",":","intro_status_arbutd"
"1243","ettaar","alle","alle","2014","personer","7","intro_status_arbutd"
"1244","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1245","ettaar","alle","alle","2014","personer","4","intro_status_arbutd"
"1246","ettaar","alle","alle","2014","personer","12","intro_status_arbutd"
"1247","ettaar","alle","alle","2014","personer","8","intro_status_arbutd"
"1251","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1252","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1253","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1256","ettaar","alle","alle","2014","personer","14","intro_status_arbutd"
"1259","ettaar","alle","alle","2014","personer","5","intro_status_arbutd"
"1260","ettaar","alle","alle","2014","personer",":","intro_status_arbutd"
"1263","ettaar","alle","alle","2014","personer",":","intro_status_arbutd"
"1264","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1265","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1266","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
"1401","ettaar","alle","alle","2014","personer","17","intro_status_arbutd"
"1411","ettaar","alle","alle","2014","personer","0","intro_status_arbutd"
