Kode;Tittel;Generell.note
0621;Sigdal;
0811;Siljan;Endret navn fra Slemdal i 1919.
1046;Sirdal;
1657;Skaun;
0231;Skedsmo;
0213;Ski;
0806;Skien;
0127;Skiptvet;
0115;Skjeberg (-1991);
1842;Skjerstad (-2004);1. januar 2005 ble kommunene 1804 Bodø og 1842 Skjerstad slått sammen til en kommune 1804 Bodø.
1941;Skjervøy;
0513;Skjåk;
1529;Skodje;
1913;Skånland;
1573;Smøla;
1613;Snillfjord;
1736;Snåase - Snåsa;
1420;Sogndal;
2321;Sokkelen nord for 62° N;
2311;Sokkelen sør for 62° N;
2399;Sokkelen, uspesifisert;
1111;Sokndal;
1124;Sola;
1412;Solund;
1017;Songdalen;
1870;Sortland;
0123;Spydeberg;
0417;Stange;
1103;Stavanger;
0708;Stavern (1944-1987);Endret navn fra Fredriksvern i 1930.
1848;Steigen;
1702;Steinkjer;
1714;Stjørdal;
0720;Stokke;
1221;Stord;
1526;Stordal;
0430;Stor-Elvdal;
1939;Storfjord - Omasvuotna - Omasvuono;
1130;Strand;
1525;Stranda;
1449;Stryn;
1448;Stryn (-1976);
1531;Sula;
1134;Suldal;
1245;Sund;
1563;Sunndal;
1566;Surnadal;
2115;Svea;
1216;Sveio;
0711;Svelvik;
1528;Sykkylven;
1018;Søgne;
1812;Sømna;
0536;Søndre Land;
0540;Sør-Aurdal;
1845;Sørfold;
0519;Sør-Fron;
0419;Sør-Odal;
1925;Sørreisa;
0226;Sørum;
2030;Sør-Varanger;
2016;Sørøysund (-1991);
1121;Time;
1560;Tingvoll;
0826;Tinn;
1852;Tjeldsund;
0725;Tjølling (-1987);
0723;Tjøme;
0833;Tokke;
0436;Tolga;
0435;Tolga-Os (1966-1975);
1928;Torsken;
1927;Tranøy;
1902;Tromsø;
0921;Tromøy (-1991);
1601;Trondheim;
0428;Trysil;
1835;Træna;
0122;Trøgstad;
0130;Tune (-1991);
1572;Tustna (-2005);1. januar 2006 ble kommunene 1569 Aure og 1572 Tustna slått sammen til ny kommune 1576 Aure.
0914;Tvedestrand;
1665;Tydal;
0437;Tynset;
1223;Tysnes;
1146;Tysvær;
0704;Tønsberg;
0705;Tønsberg (-1987);
0235;Ullensaker;
1231;Ullensvang;
1230;Ullensvang (-1976);
1516;Ulstein;
1233;Ulvik;
2027;Unjárga - Nesseby;
2299;Uoppgitt Jan Mayen;
0399;Uoppgitt komm. Oslo;
9999;Uoppgitt kommune;
0299;Uoppgitt kommune Akershus;
0999;Uoppgitt kommune Aust-Agder;
0699;Uoppgitt kommune Buskerud;
2099;Uoppgitt kommune Finnmark;
0499;Uoppgitt kommune Hedmark;
