ID;Kode;Nivånr.;Tittel;Fotnoter;Generell note;Omfatter;Omfatter også;Ekskluderer;Kort tittel;Middels lang tittel
230;808;3;Kokosøyene;;;;;;;
231;809;3;Cookøyene;;;;;;;
232;811;3;Fiji;;;;;;;
233;812;3;Vanuatu;;;;;;;
234;813;3;Tonga;;;;;;;
235;814;3;Fransk Polynesia;;;;;;;
236;815;3;Kiribati;;;;;;;
237;816;3;Tuvalu;;;;;;;
238;817;3;Guam;;;;;;;
239;818;3;Nauru;;;;;;;
240;819;3;USAs ytre småøyer;;;;;;;
241;820;3;New Zealand;;;;;;;
242;821;3;Niue;;;;;;;
243;822;3;Norfolkøya;;;;;;;
244;826;3;Mikronesiaføderasjonen;;;;;;;
245;827;3;Papua Ny-Guinea;;;;;;;
246;828;3;Pitcairn;;;;;;;
247;829;3;Tokelau;;;;;;;
248;830;3;Samoa;;;;;;;
249;832;3;Wallis- og Futunaøyene;;;;;;;
250;833;3;Ny-Caledonia;;;;;;;
251;835;3;Marshalløyene;;;;;;;
252;839;3;Palau;;;;;;;
253;840;3;Nord-Marianene;;;;;;;
254;9;2;Uoppgitt;;;;;;;
255;980;3;Statsløs;;;;;;;
256;990;3;Uoppgitt;;;;;;;
