Nr;kommune_nr;Navn gammel;naringsregion_nr;Region
1232;1232;Eidfjord;42;Hardanger
1233;1233;Ulvik;42;Hardanger
1234;1234;Granvin;42;Hardanger
1235;1235;Voss;43;Voss
1238;1238;Kvam;42;Hardanger
1241;1241;Fusa;41;Bjørnefjorden
1242;1242;Samnanger;41;Bjørnefjorden
1243;1243;Os;41;Bjørnefjorden
1244;1244;Austevoll;46;Sunnhordland
1245;1245;Sund;47;Hordaland Vest
1246;1246;Fjell;47;Hordaland Vest
1247;1247;Askøy;47;Hordaland Vest
1251;1251;Vaksdal;45;Osterfjorden
1252;1252;Modalen;45;Osterfjorden
1253;1253;Osterøy;45;Osterfjorden
1256;1256;Meland;44;Nordhordland
1259;1259;Øygarden;47;Hordaland Vest
1260;1260;Radøy;44;Nordhordland
1263;1263;Lindås;44;Nordhordland
1264;1264;Austrheim;44;Nordhordland
1265;1265;Fedje;44;Nordhordland
1266;1266;Masfjorden;44;Nordhordland
1401;1401;Flora;51;Sunnfjord
1411;1411;Gulen;48;HAFS
1412;1412;Solund;48;HAFS
1413;1413;Hyllestad;48;HAFS
1416;1416;Høyanger;50;Sogn
1417;1417;Vik;50;Sogn
1418;1418;Balestrand;50;Sogn
1419;1419;Leikanger;50;Sogn
1420;1420;Sogndal;50;Sogn
1421;1421;Aurland;50;Sogn
1422;1422;Lærdal;50;Sogn
1424;1424;Årdal;50;Sogn
1426;1426;Luster;50;Sogn
1428;1428;Askvoll;48;HAFS
1429;1429;Fjaler;48;HAFS
1430;1430;Gaular;51;Sunnfjord
1431;1431;Jølster;51;Sunnfjord
1432;1432;Førde;51;Sunnfjord
1433;1433;Naustdal;51;Sunnfjord
1438;1438;Bremanger;49;Nordfjord
1439;1439;Vågsøy;49;Nordfjord
1441;1441;Selje;49;Nordfjord
1443;1443;Eid;49;Nordfjord
1444;1444;Hornindal;49;Nordfjord
1445;1445;Gloppen;49;Nordfjord
1449;1449;Stryn;49;Nordfjord
1502;1502;Molde;53;Romsdal
1503;1503;Kristiansund;52;Nordmøre
1504;1504;Ålesund;56;Ålesundregionen
1505;1505;Kristiansund;52;Nordmøre
1511;1511;Vanylven;55;Søre Sunnmøre
1514;1514;Sande;55;Søre Sunnmøre
1515;1515;Herøy;55;Søre Sunnmøre
1516;1516;Ulstein;55;Søre Sunnmøre
1517;1517;Hareid;55;Søre Sunnmøre
1519;1519;Volda;55;Søre Sunnmøre
1520;1520;Ørsta;55;Søre Sunnmøre
1523;1523;Ørskog;54;Storfjord
1524;1524;Norddal;54;Storfjord
1525;1525;Stranda;54;Storfjord
1526;1526;Stordal;54;Storfjord
1528;1528;Sykkylven;54;Storfjord
1529;1529;Skodje;56;Ålesundregionen
1531;1531;Sula;56;Ålesundregionen
1532;1532;Giske;56;Ålesundregionen
1534;1534;Haram;56;Ålesundregionen
1535;1535;Vestnes;53;Romsdal
1539;1539;Rauma;53;Romsdal
1543;1543;Nesset;53;Romsdal
1545;1545;Midsund;53;Romsdal
1546;1546;Sandøy;56;Ålesundregionen
1547;1547;Aukra;53;Romsdal
1548;1548;Fræna;53;Romsdal
1551;1551;Eide;52;Nordmøre
1554;1554;Averøy;52;Nordmøre
1556;1556;Frei;52;Nordmøre
1557;1557;Gjemnes;52;Nordmøre
1560;1560;Tingvoll;52;Nordmøre
1563;1563;Sunndal;52;Nordmøre
1566;1566;Surnadal;52;Nordmøre
1567;1567;Rindal;52;Nordmøre
1569;1569;Aure;52;Nordmøre
1571;1571;Halsa;52;Nordmøre
1572;1572;Tustna;52;Nordmøre
1573;1573;Smøla;52;Nordmøre
1576;1576;Aure;52;Nordmøre
1601;1601;Trondheim;61;Trondheimsregionen
1612;1612;Hemne;60;Orkdalregionen
1613;1613;Snillfjord;60;Orkdalregionen
1617;1617;Hitra;58;Hitra/Frøya
1620;1620;Frøya;58;Hitra/Frøya
1621;1621;Ørland;57;Fosen
1622;1622;Agdenes;60;Orkdalregionen
1624;1624;Rissa;57;Fosen
1627;1627;Bjugn;57;Fosen
1630;1630;Åfjord;57;Fosen
1632;1632;Roan;57;Fosen
1633;1633;Osen;57;Fosen
1634;1634;Oppdal;59;Oppdal/Rennebu
1635;1635;Rennebu;59;Oppdal/Rennebu
1636;1636;Meldal;60;Orkdalregionen
1638;1638;Orkdal;60;Orkdalregionen
1640;1640;Røros;62;Rørosregionen
1644;1644;Holtålen;62;Rørosregionen
1648;1648;Midtre Gauldal;61;Trondheimsregionen
1653;1653;Melhus;61;Trondheimsregionen
1657;1657;Skaun;61;Trondheimsregionen
1662;1662;Klæbu;61;Trondheimsregionen
1663;1663;Malvik;61;Trondheimsregionen
1664;1664;Selbu;61;Trondheimsregionen
1665;1665;Tydal;62;Rørosregionen
1702;1702;Steinkjer;64;Innherred
1703;1703;Namsos;67;Midtre Namdal
1711;1711;Meråker;63;Stjørdalsregionen
1714;1714;Stjørdal;63;Stjørdalsregionen
1717;1717;Frosta;63;Stjørdalsregionen
1718;1718;Leksvik;57;Fosen
1719;1719;Levanger;64;Innherred
1721;1721;Verdal;64;Innherred
1723;1723;Mosvik;64;Innherred
1724;1724;Verran;64;Innherred
1725;1725;Namdalseid;67;Midtre Namdal
1729;1729;Inderøy;64;Innherred
1736;1736;Snåsa;65;Indre Namdal
1738;1738;Lierne;65;Indre Namdal
1739;1739;Røyrvik;65;Indre Namdal
1740;1740;Namsskogan;65;Indre Namdal
1742;1742;Grong;65;Indre Namdal
1743;1743;Høylandet;65;Indre Namdal
1744;1744;Overhalla;67;Midtre Namdal
1748;1748;Fosnes;67;Midtre Namdal
1749;1749;Flatanger;67;Midtre Namdal
1750;1750;Vikna;66;Kystgruppen
1751;1751;Nærøy;66;Kystgruppen
1755;1755;Leka;66;Kystgruppen
1756;1756;Inderøy;64;Innherred
1804;1804;Bodø;73;Salten
1805;1805;Narvik;74;Ofoten
1811;1811;Bindal;68;Sør-Helgeland
1812;1812;Sømna;68;Sør-Helgeland
1813;1813;Brønnøy;68;Sør-Helgeland
1815;1815;Vega;68;Sør-Helgeland
1816;1816;Vevelstad;68;Sør-Helgeland
1818;1818;Herøy;69;HALD
1820;1820;Alstahaug;69;HALD
1822;1822;Leirfjord;69;HALD
1824;1824;Vefsn;71;Mosjøregionen
1825;1825;Grane;71;Mosjøregionen
1826;1826;Hattfjelldal;71;Mosjøregionen
1827;1827;Dønna;69;HALD
1828;1828;Nesna;72;Ranaregionen
1832;1832;Hemnes;72;Ranaregionen
1833;1833;Rana;72;Ranaregionen
1834;1834;Lurøy;70;Ytre Helgeland
1835;1835;Træna;70;Ytre Helgeland
1836;1836;Rødøy;70;Ytre Helgeland
1837;1837;Meløy;73;Salten
1838;1838;Gildeskål;73;Salten
1839;1839;Beiarn;73;Salten
1840;1840;Saltdal;73;Salten
1841;1841;Fauske;73;Salten
1842;1842;Skjerstad;73;Salten
1845;1845;Sørfold;73;Salten
1848;1848;Steigen;73;Salten
1849;1849;Hamarøy;73;Salten
1850;1850;Tysfjord;74;Ofoten
1851;1851;Lødingen;76;Vesterålen
1852;1852;Tjeldsund;74;Ofoten
1853;1853;Evenes;74;Ofoten
1854;1854;Ballangen;74;Ofoten
1856;1856;Røst;75;Lofoten
1857;1857;Værøy;75;Lofoten
1859;1859;Flakstad;75;Lofoten
1860;1860;Vestvågøy;75;Lofoten
1865;1865;Vågan;75;Lofoten
1866;1866;Hadsel;76;Vesterålen
1867;1867;Bø;76;Vesterålen
1868;1868;Øksnes;76;Vesterålen
1870;1870;Sortland;76;Vesterålen
1871;1871;Andøy;76;Vesterålen
1874;1874;Moskenes;75;Lofoten
1901;1901;Harstad;77;Sør-Troms
1902;1902;Tromsø;79;Tromsøregionen
1903;1903;Harstad;77;Sør-Troms
1911;1911;Kvæfjord;77;Sør-Troms
1913;1913;Skånland;77;Sør-Troms
1915;1915;Bjarkøy;77;Sør-Troms
1917;1917;Ibestad;77;Sør-Troms
1919;1919;Gratangen;77;Sør-Troms
1920;1920;Lavangen;77;Sør-Troms
1922;1922;Bardu;78;Midt-Troms
1923;1923;Salangen;77;Sør-Troms
1924;1924;Målselv;78;Midt-Troms
1925;1925;Sørreisa;78;Midt-Troms
1926;1926;Dyrøy;78;Midt-Troms
1927;1927;Tranøy;78;Midt-Troms
1928;1928;Torsken;78;Midt-Troms
1929;1929;Berg;78;Midt-Troms
1931;1931;Lenvik;78;Midt-Troms
1933;1933;Balsfjord;79;Tromsøregionen
1936;1936;Karlsøy;79;Tromsøregionen
1938;1938;Lyngen;80;Nord-Troms
1939;1939;Storfjord;80;Nord-Troms
1940;1940;Kåfjord;80;Nord-Troms
1941;1941;Skjervøy;80;Nord-Troms
1942;1942;Nordreisa;80;Nord-Troms
1943;1943;Kvænangen;80;Nord-Troms
2002;2002;Vardø;83;Øst-Finnmark
2003;2003;Vadsø;83;Øst-Finnmark
2004;2004;Hammerfest;81;Vest-Finnmark
2011;2011;Kautokeino;82;Midt-Finnmark
2012;2012;Alta;81;Vest-Finnmark
2014;2014;Loppa;81;Vest-Finnmark
2015;2015;Hasvik;81;Vest-Finnmark
2017;2017;Kvalsund;81;Vest-Finnmark
2018;2018;Måsøy;81;Vest-Finnmark
2019;2019;Nordkapp;81;Vest-Finnmark
2020;2020;Porsanger;82;Midt-Finnmark
2021;2021;Karasjok;82;Midt-Finnmark
2022;2022;Lebesby;82;Midt-Finnmark
2023;2023;Gamvik;83;Øst-Finnmark
2024;2024;Berlevåg;83;Øst-Finnmark
2025;2025;Tana;82;Midt-Finnmark
2027;2027;Nesseby;83;Øst-Finnmark
2028;2028;Båtsfjord;83;Øst-Finnmark
2030;2030;Sør-Varanger;83;Øst-Finnmark
