"kommune_nr","kommune_navn","standard_utgave","kommune_note","fylke_nr","fylke_navn","fylke_note","naringsregion_nr","naringsregion_navn"
"0135","Råde","komplett_2016","","01","Østfold","","03","Mosseregionen"
"0135","Råde","2014","","01","Østfold","","03","Mosseregionen"
"0136","Rygge","2014","","01","Østfold","","03","Mosseregionen"
"0136","Rygge","2005","","01","Østfold","","03","Mosseregionen"
"0136","Rygge","2003","","01","Østfold","","03","Mosseregionen"
"0136","Rygge","2013","","01","Østfold","","03","Mosseregionen"
"0136","Rygge","2012","","01","Østfold","","03","Mosseregionen"
"0136","Rygge","komplett_2016","","01","Østfold","","03","Mosseregionen"
"0136","Rygge","2008","","01","Østfold","","03","Mosseregionen"
"0136","Rygge","2002","","01","Østfold","","03","Mosseregionen"
"0136","Rygge","2006","","01","Østfold","","03","Mosseregionen"
"0137","Våler","2014","","01","Østfold","","03","Mosseregionen"
"0137","Våler (Østf.)","komplett_2016","","01","Østfold","","03","Mosseregionen"
"0137","Våler","2013","","01","Østfold","","03","Mosseregionen"
"0137","Våler","2008","","01","Østfold","","03","Mosseregionen"
"0137","Våler","2005","","01","Østfold","","03","Mosseregionen"
"0137","Våler","2003","","01","Østfold","","03","Mosseregionen"
"0137","Våler","2002","","01","Østfold","","03","Mosseregionen"
"0137","Våler","2006","","01","Østfold","","03","Mosseregionen"
"0137","Våler","2012","","01","Østfold","","03","Mosseregionen"
"0138","Hobøl","2013","","01","Østfold","","02","Indre Østfold"
"0138","Hobøl","2014","","01","Østfold","","02","Indre Østfold"
"0138","Hobøl","2003","","01","Østfold","","02","Indre Østfold"
"0138","Hobøl","komplett_2016","","01","Østfold","","02","Indre Østfold"
"0138","Hobøl","2006","","01","Østfold","","02","Indre Østfold"
"0138","Hobøl","2008","","01","Østfold","","02","Indre Østfold"
"0138","Hobøl","2002","","01","Østfold","","02","Indre Østfold"
"0138","Hobøl","2012","","01","Østfold","","02","Indre Østfold"
"0138","Hobøl","2005","","01","Østfold","","02","Indre Østfold"
"0199","Uoppgitt kommune Østfold","komplett_2016","","01","Østfold","",NA,NA
"0211","Vestby","2006","","02","Akershus","","06","Follo"
"0211","Vestby","2002","","02","Akershus","","06","Follo"
"0211","Vestby","2012","","02","Akershus","","06","Follo"
"0211","Vestby","2013","","02","Akershus","","06","Follo"
"0211","Vestby","2005","","02","Akershus","","06","Follo"
"0211","Vestby","2003","","02","Akershus","","06","Follo"
"0211","Vestby","2008","","02","Akershus","","06","Follo"
"0211","Vestby","komplett_2016","","02","Akershus","","06","Follo"
"0211","Vestby","2014","","02","Akershus","","06","Follo"
"0213","Ski","2003","","02","Akershus","","06","Follo"
"0213","Ski","2013","","02","Akershus","","06","Follo"
"0213","Ski","2008","","02","Akershus","","06","Follo"
"0213","Ski","komplett_2016","","02","Akershus","","06","Follo"
"0213","Ski","2012","","02","Akershus","","06","Follo"
"0213","Ski","2006","","02","Akershus","","06","Follo"
"0213","Ski","2002","","02","Akershus","","06","Follo"
"0213","Ski","2014","","02","Akershus","","06","Follo"
"0213","Ski","2005","","02","Akershus","","06","Follo"
"0214","Ås","komplett_2016","","02","Akershus","","06","Follo"
"0214","Ås","2002","","02","Akershus","","06","Follo"
"0214","Ås","2005","","02","Akershus","","06","Follo"
"0214","Ås","2006","","02","Akershus","","06","Follo"
"0214","Ås","2012","","02","Akershus","","06","Follo"
"0214","Ås","2008","","02","Akershus","","06","Follo"
"0214","Ås","2013","","02","Akershus","","06","Follo"
"0214","Ås","2003","","02","Akershus","","06","Follo"
