Nr;Kommune;Fylke;Fylkenr;IMDireg;IMDiregnr;Naringregnr;Naringreg;Sentralnr_2008;Sentral_2008
1142;1142 Rennesøy;Rogaland;11;IMDi Vest;4;39;Stavangerregionen;3;Sentrale kommuner
1144;1144 Kvitsøy;Rogaland;11;IMDi Vest;4;39;Stavangerregionen;3;Sentrale kommuner
1145;1145 Bokn;Rogaland;11;IMDi Vest;4;37;Haugesundregionen;3;Sentrale kommuner
1146;1146 Tysvær;Rogaland;11;IMDi Vest;4;37;Haugesundregionen;2;Noe sentrale kommuner
1149;1149 Karmøy;Rogaland;11;IMDi Vest;4;37;Haugesundregionen;2;Noe sentrale kommuner
1151;1151 Utsira;Rogaland;11;IMDi Vest;4;37;Haugesundregionen;0;Minst sentrale kommuner
1160;1160 Vindafjord;Rogaland;11;IMDi Vest;4;37;Haugesundregionen;2;Noe sentrale kommuner
1201;1201 Bergen;Hordaland;12;IMDi Vest;4;40;Bergen;3;Sentrale kommuner
1211;1211 Etne;Hordaland;12;IMDi Vest;4;46;Sunnhordland;0;Minst sentrale kommuner
1216;1216 Sveio;Hordaland;12;IMDi Vest;4;46;Sunnhordland;2;Noe sentrale kommuner
1219;1219 Bømlo;Hordaland;12;IMDi Vest;4;46;Sunnhordland;1;Mindre sentrale kommuner
1221;1221 Stord;Hordaland;12;IMDi Vest;4;46;Sunnhordland;1;Mindre sentrale kommuner
1222;1222 Fitjar;Hordaland;12;IMDi Vest;4;46;Sunnhordland;1;Mindre sentrale kommuner
1223;1223 Tysnes;Hordaland;12;IMDi Vest;4;46;Sunnhordland;1;Mindre sentrale kommuner
1224;1224 Kvinnherad;Hordaland;12;IMDi Vest;4;46;Sunnhordland;0;Minst sentrale kommuner
1227;1227 Jondal;Hordaland;12;IMDi Vest;4;42;Hardanger;0;Minst sentrale kommuner
1228;1228 Odda;Hordaland;12;IMDi Vest;4;42;Hardanger;1;Mindre sentrale kommuner
1231;1231 Ullensvang;Hordaland;12;IMDi Vest;4;42;Hardanger;1;Mindre sentrale kommuner
1232;1232 Eidfjord;Hordaland;12;IMDi Vest;4;42;Hardanger;0;Minst sentrale kommuner
1233;1233 Ulvik;Hordaland;12;IMDi Vest;4;42;Hardanger;1;Mindre sentrale kommuner
1234;1234 Granvin;Hordaland;12;IMDi Vest;4;42;Hardanger;1;Mindre sentrale kommuner
1235;1235 Voss;Hordaland;12;IMDi Vest;4;43;Voss;1;Mindre sentrale kommuner
1238;1238 Kvam;Hordaland;12;IMDi Vest;4;42;Hardanger;3;Sentrale kommuner
1241;1241 Fusa;Hordaland;12;IMDi Vest;4;41;Bjørnefjorden;3;Sentrale kommuner
1242;1242 Samnanger;Hordaland;12;IMDi Vest;4;41;Bjørnefjorden;3;Sentrale kommuner
1243;1243 Os (Hord.);Hordaland;12;IMDi Vest;4;41;Bjørnefjorden;3;Sentrale kommuner
1244;1244 Austevoll;Hordaland;12;IMDi Vest;4;46;Sunnhordland;3;Sentrale kommuner
1245;1245 Sund;Hordaland;12;IMDi Vest;4;47;Hordaland Vest;3;Sentrale kommuner
1246;1246 Fjell;Hordaland;12;IMDi Vest;4;47;Hordaland Vest;3;Sentrale kommuner
1247;1247 Askøy;Hordaland;12;IMDi Vest;4;47;Hordaland Vest;3;Sentrale kommuner
1251;1251 Vaksdal;Hordaland;12;IMDi Vest;4;45;Osterfjorden;3;Sentrale kommuner
1252;1252 Modalen;Hordaland;12;IMDi Vest;4;45;Osterfjorden;3;Sentrale kommuner
1253;1253 Osterøy;Hordaland;12;IMDi Vest;4;45;Osterfjorden;3;Sentrale kommuner
1256;1256 Meland;Hordaland;12;IMDi Vest;4;44;Nordhordland;3;Sentrale kommuner
1259;1259 Øygarden;Hordaland;12;IMDi Vest;4;47;Hordaland Vest;3;Sentrale kommuner
1260;1260 Radøy;Hordaland;12;IMDi Vest;4;44;Nordhordland;3;Sentrale kommuner
1263;1263 Lindås;Hordaland;12;IMDi Vest;4;44;Nordhordland;3;Sentrale kommuner
1264;1264 Austrheim;Hordaland;12;IMDi Vest;4;44;Nordhordland;3;Sentrale kommuner
1265;1265 Fedje;Hordaland;12;IMDi Vest;4;44;Nordhordland;0;Minst sentrale kommuner
1266;1266 Masfjorden;Hordaland;12;IMDi Vest;4;44;Nordhordland;3;Sentrale kommuner
1401;1401 Flora;Sogn og Fjordane;14;IMDi Vest;4;51;Sunnfjord;1;Mindre sentrale kommuner
1411;1411 Gulen;Sogn og Fjordane;14;IMDi Vest;4;48;HAFS;0;Minst sentrale kommuner
1412;1412 Solund;Sogn og Fjordane;14;IMDi Vest;4;48;HAFS;0;Minst sentrale kommuner
1413;1413 Hyllestad;Sogn og Fjordane;14;IMDi Vest;4;48;HAFS;0;Minst sentrale kommuner
