Kommune nr & navn;kommune_nr;"Kommune
navn"
Nedbrytninger;;
;;
1214 Ølen (-2001);1214;Ølen (-2001)
1216 Sveio;1216;Sveio
1219 Bømlo;1219;Bømlo
1221 Stord;1221;Stord
1222 Fitjar;1222;Fitjar
1223 Tysnes;1223;Tysnes
1224 Kvinnherad;1224;Kvinnherad
1227 Jondal;1227;Jondal
1228 Odda;1228;Odda
1230 Ullensvang (-1976);1230;Ullensvang (-1976)
1231 Ullensvang;1231;Ullensvang
1232 Eidfjord;1232;Eidfjord
1233 Ulvik;1233;Ulvik
1234 Granvin;1234;Granvin
1235 Voss;1235;Voss
1238 Kvam;1238;Kvam
1241 Fusa;1241;Fusa
1242 Samnanger;1242;Samnanger
1243 Os (Hord.);1243;Os (Hord.)
1244 Austevoll;1244;Austevoll
1245 Sund;1245;Sund
1246 Fjell;1246;Fjell
1247 Askøy;1247;Askøy
1248 Laksevåg (1918-1971);1248;Laksevåg (1918-1971)
1249 Fana (-1971);1249;Fana (-1971)
1250 Arna (1964-1971);1250;Arna (1964-1971)
1251 Vaksdal;1251;Vaksdal
1252 Modalen;1252;Modalen
1253 Osterøy;1253;Osterøy
1255 Åsane (-1971);1255;Åsane (-1971)
1256 Meland;1256;Meland
1259 Øygarden;1259;Øygarden
1260 Radøy;1260;Radøy
1263 Lindås;1263;Lindås
1264 Austrheim;1264;Austrheim
1265 Fedje;1265;Fedje
1266 Masfjorden;1266;Masfjorden
1299 Uoppgitt kommune Hordaland;1299;Uoppgitt kommune Hordaland
1301 Bergen (-1971);1301;Bergen (-1971)
1401 Flora;1401;Flora
1411 Gulen;1411;Gulen
1412 Solund;1412;Solund
1413 Hyllestad;1413;Hyllestad
1416 Høyanger;1416;Høyanger
1417 Vik;1417;Vik
1418 Balestrand;1418;Balestrand
1419 Leikanger;1419;Leikanger
1420 Sogndal;1420;Sogndal
1421 Aurland;1421;Aurland
1422 Lærdal;1422;Lærdal
1424 Årdal;1424;Årdal
1426 Luster;1426;Luster
1428 Askvoll;1428;Askvoll
1429 Fjaler;1429;Fjaler
1430 Gaular;1430;Gaular
1431 Jølster;1431;Jølster
1432 Førde;1432;Førde
1433 Naustdal;1433;Naustdal
1438 Bremanger;1438;Bremanger
1439 Vågsøy;1439;Vågsøy
1441 Selje;1441;Selje
1443 Eid;1443;Eid
1444 Hornindal;1444;Hornindal
1445 Gloppen;1445;Gloppen
1448 Stryn (-1976);1448;Stryn (-1976)
1449 Stryn;1449;Stryn
1499 Uoppgitt kommune Sogn og Fjordane;1499;Uoppgitt kommune Sogn og Fjordane
1501 Ålesund (-1976);1501;Ålesund (-1976)
1502 Molde;1502;Molde
1503 Kristiansund  (-2007);1503;Kristiansund  (-2007)
1504 Ålesund;1504;Ålesund
1505 Kristiansund;1505;Kristiansund
1511 Vanylven;1511;Vanylven
1514 Sande (M. og R.);1514;Sande (M. og R.)
1515 Herøy (M. og R.);1515;Herøy (M. og R.)
1516 Ulstein;1516;Ulstein
1517 Hareid;1517;Hareid
1519 Volda;1519;Volda
1520 Ørsta;1520;Ørsta
1523 Ørskog;1523;Ørskog
1524 Norddal;1524;Norddal
1525 Stranda;1525;Stranda
1526 Stordal;1526;Stordal
1527 Ørskog (-1976);1527;Ørskog (-1976)
1528 Sykkylven;1528;Sykkylven
1529 Skodje;1529;Skodje
1531 Sula;1531;Sula
1532 Giske;1532;Giske
1534 Haram;1534;Haram
1535 Vestnes;1535;Vestnes
1539 Rauma;1539;Rauma
1543 Nesset;1543;Nesset
1545 Midsund;1545;Midsund
1546 Sandøy;1546;Sandøy
1547 Aukra;1547;Aukra
1548 Fræna;1548;Fræna
1551 Eide;1551;Eide
1554 Averøy;1554;Averøy
1556 Frei (-2007);1556;Frei (-2007)
1557 Gjemnes;1557;Gjemnes
1560 Tingvoll;1560;Tingvoll
1563 Sunndal;1563;Sunndal
1566 Surnadal;1566;Surnadal
1567 Rindal;1567;Rindal
