Identifikasjon (rad nr.);Kode;Nivånr.;Tittel;Fotnoter;Generell note;Omfatter;Omfatter også;Ekskluderer;Kort tittel;Middels lang tittel
230;1264;1;Austrheim;;;;;;;
231;1265;1;Fedje;;;;;;;
232;1266;1;Masfjorden;;;;;;;
233;1401;1;Flora;;;;;;;
234;1411;1;Gulen;;;;;;;
235;1412;1;Solund;;;;;;;
236;1413;1;Hyllestad;;;;;;;
237;1416;1;Høyanger;;;;;;;
238;1417;1;Vik;;;;;;;
239;1418;1;Balestrand;;;;;;;
240;1419;1;Leikanger;;;;;;;
241;1420;1;Sogndal;;;;;;;
242;1421;1;Aurland;;;;;;;
243;1422;1;Lærdal;;;;;;;
244;1424;1;Årdal;;;;;;;
245;1426;1;Luster;;;;;;;
246;1428;1;Askvoll;;;;;;;
247;1429;1;Fjaler;;;;;;;
248;1430;1;Gaular;;;;;;;
249;1431;1;Jølster;;;;;;;
250;1432;1;Førde;;;;;;;
251;1433;1;Naustdal;;;;;;;
252;1438;1;Bremanger;;;;;;;
253;1439;1;Vågsøy;;;;;;;
254;1441;1;Selje;;;;;;;
255;1443;1;Eid;;;;;;;
256;1444;1;Hornindal;;;;;;;
257;1445;1;Gloppen;;;;;;;
258;1449;1;Stryn;;;;;;;
259;1502;1;Molde;;;;;;;
260;1503;1;Kristiansund;;;;;;;
261;1504;1;Ålesund;;;;;;;
262;1511;1;Vanylven;;;;;;;
263;1514;1;Sande;;;;;;;
264;1515;1;Herøy;;;;;;;
265;1516;1;Ulstein;;;;;;;
266;1517;1;Hareid;;;;;;;
267;1519;1;Volda;;;;;;;
268;1520;1;Ørsta;;;;;;;
269;1523;1;Ørskog;;;;;;;
270;1524;1;Norddal;;;;;;;
271;1525;1;Stranda;;;;;;;
272;1526;1;Stordal;;;;;;;
273;1528;1;Sykkylven;;;;;;;
274;1529;1;Skodje;;;;;;;
275;1531;1;Sula;;;;;;;
276;1532;1;Giske;;;;;;;
277;1534;1;Haram;;;;;;;
278;1535;1;Vestnes;;;;;;;
279;1539;1;Rauma;;;;;;;
280;1543;1;Nesset;;;;;;;
281;1545;1;Midsund;;;;;;;
282;1546;1;Sandøy;;;;;;;
283;1547;1;Aukra;;;;;;;
284;1548;1;Fræna;;;;;;;
285;1551;1;Eide;;;;;;;
286;1554;1;Averøy;;;;;;;
287;1556;1;Frei;;;;;;;
288;1557;1;Gjemnes;;;;;;;
289;1560;1;Tingvoll;;;;;;;
290;1563;1;Sunndal;;;;;;;
291;1566;1;Surnadal;;;;;;;
292;1567;1;Rindal;;;;;;;
293;1569;1;Aure;;;;;;;
294;1571;1;Halsa;;;;;;;
295;1572;1;Tustna;;;;;;;
296;1573;1;Smøla;;;;;;;
297;1601;1;Trondheim;;;;;;;
298;1612;1;Hemne;;;;;;;
299;1613;1;Snillfjord;;;;;;;
300;1617;1;Hitra;;;;;;;
301;1620;1;Frøya;;;;;;;
302;1621;1;Ørland;;;;;;;
303;1622;1;Agdenes;;;;;;;
304;1624;1;Rissa;;;;;;;
305;1627;1;Bjugn;;;;;;;
306;1630;1;Åfjord;;;;;;;
307;1632;1;Roan;;;;;;;
308;1633;1;Osen;;;;;;;
309;1634;1;Oppdal;;;;;;;
310;1635;1;Rennebu;;;;;;;
311;1636;1;Meldal;;;;;;;
312;1638;1;Orkdal;;;;;;;
313;1640;1;Røros;;;;;;;
314;1644;1;Holtålen;;;;;;;
315;1648;1;Midtre Gauldal;;;;;;;
316;1653;1;Melhus;;;;;;;
317;1657;1;Skaun;;;;;;;
