aar,bydel_nr,innvkat_3,vreg_3,tabellvariabel,tabell_navn,enhet
2007,030113,innvandrere,1,18,arbledige_innvkat_land,personer
2007,030113,innvandrere,2,193,arbledige_innvkat_land,personer
2007,030113,innvandrere,alle,211,arbledige_innvkat_land,personer
2007,030114,alle,1,5,arbledige_innvkat_land,personer
2007,030114,alle,2,95,arbledige_innvkat_land,personer
2007,030114,alle,alle,100,arbledige_innvkat_land,personer
2007,030114,innvandrere,1,5,arbledige_innvkat_land,personer
2007,030114,innvandrere,2,95,arbledige_innvkat_land,personer
2007,030114,innvandrere,alle,100,arbledige_innvkat_land,personer
2007,030115,alle,1,6,arbledige_innvkat_land,personer
2007,030115,alle,2,96,arbledige_innvkat_land,personer
2007,030115,alle,alle,102,arbledige_innvkat_land,personer
2007,030115,innvandrere,1,6,arbledige_innvkat_land,personer
2007,030115,innvandrere,2,96,arbledige_innvkat_land,personer
2007,030115,innvandrere,alle,102,arbledige_innvkat_land,personer
2007,030116,alle,1,3,arbledige_innvkat_land,personer
2007,030116,alle,2,77,arbledige_innvkat_land,personer
2007,030116,alle,alle,80,arbledige_innvkat_land,personer
2007,030116,innvandrere,1,3,arbledige_innvkat_land,personer
2007,030116,innvandrere,2,77,arbledige_innvkat_land,personer
2007,030116,innvandrere,alle,80,arbledige_innvkat_land,personer
2007,030117,alle,1,11,arbledige_innvkat_land,personer
2007,030117,alle,2,187,arbledige_innvkat_land,personer
2007,030117,alle,alle,198,arbledige_innvkat_land,personer
2007,030117,innvandrere,1,11,arbledige_innvkat_land,personer
2007,030117,innvandrere,2,187,arbledige_innvkat_land,personer
2007,030117,innvandrere,alle,198,arbledige_innvkat_land,personer
2007,030199,alle,1,5,arbledige_innvkat_land,personer
2007,030199,alle,2,25,arbledige_innvkat_land,personer
2007,030199,alle,alle,30,arbledige_innvkat_land,personer
2007,030199,innvandrere,1,5,arbledige_innvkat_land,personer
2007,030199,innvandrere,2,25,arbledige_innvkat_land,personer
2007,030199,innvandrere,alle,30,arbledige_innvkat_land,personer
2008,00,alle,1,3591,arbledige_innvkat_land,personer
2008,00,alle,2,13000,arbledige_innvkat_land,personer
2008,00,alle,alle,16591,arbledige_innvkat_land,personer
2008,00,innvandrere,1,3591,arbledige_innvkat_land,personer
2008,00,innvandrere,2,13000,arbledige_innvkat_land,personer
2008,00,innvandrere,alle,16591,arbledige_innvkat_land,personer
2008,030101,alle,1,113,arbledige_innvkat_land,personer
2008,030101,alle,2,432,arbledige_innvkat_land,personer
2008,030101,alle,alle,545,arbledige_innvkat_land,personer
2008,030101,innvandrere,1,113,arbledige_innvkat_land,personer
2008,030101,innvandrere,2,432,arbledige_innvkat_land,personer
2008,030101,innvandrere,alle,545,arbledige_innvkat_land,personer
2008,030102,alle,1,73,arbledige_innvkat_land,personer
2008,030102,alle,2,278,arbledige_innvkat_land,personer
2008,030102,alle,alle,351,arbledige_innvkat_land,personer
2008,030102,innvandrere,1,73,arbledige_innvkat_land,personer
2008,030102,innvandrere,2,278,arbledige_innvkat_land,personer
2008,030102,innvandrere,alle,351,arbledige_innvkat_land,personer
2008,030103,alle,1,75,arbledige_innvkat_land,personer
2008,030103,alle,2,330,arbledige_innvkat_land,personer
2008,030103,alle,alle,405,arbledige_innvkat_land,personer
2008,030103,innvandrere,1,75,arbledige_innvkat_land,personer
2008,030103,innvandrere,2,330,arbledige_innvkat_land,personer
2008,030103,innvandrere,alle,405,arbledige_innvkat_land,personer
2008,030104,alle,1,91,arbledige_innvkat_land,personer
2008,030104,alle,2,365,arbledige_innvkat_land,personer
2008,030104,alle,alle,456,arbledige_innvkat_land,personer
2008,030104,innvandrere,1,91,arbledige_innvkat_land,personer
2008,030104,innvandrere,2,365,arbledige_innvkat_land,personer
2008,030104,innvandrere,alle,456,arbledige_innvkat_land,personer
2008,030105,alle,1,58,arbledige_innvkat_land,personer
2008,030105,alle,2,310,arbledige_innvkat_land,personer
2008,030105,alle,alle,368,arbledige_innvkat_land,personer
2008,030105,innvandrere,1,58,arbledige_innvkat_land,personer
2008,030105,innvandrere,2,310,arbledige_innvkat_land,personer
2008,030105,innvandrere,alle,368,arbledige_innvkat_land,personer
2008,030106,alle,1,66,arbledige_innvkat_land,personer
2008,030106,alle,2,301,arbledige_innvkat_land,personer
2008,030106,alle,alle,367,arbledige_innvkat_land,personer
2008,030106,innvandrere,1,66,arbledige_innvkat_land,personer
2008,030106,innvandrere,2,301,arbledige_innvkat_land,personer
2008,030106,innvandrere,alle,367,arbledige_innvkat_land,personer
2008,030107,alle,1,54,arbledige_innvkat_land,personer
2008,030107,alle,2,347,arbledige_innvkat_land,personer
2008,030107,alle,alle,401,arbledige_innvkat_land,personer
2008,030107,innvandrere,1,54,arbledige_innvkat_land,personer
