aar,naringsregion_nr,innvkat_3,vreg_3,kjonn,tabellvariabel,tabell_navn,enhet
2006,12,alle,2,0,50,ikke_arbutd_innvkat_land,personer
2006,12,alle,2,1,53,ikke_arbutd_innvkat_land,personer
2006,12,alle,2,alle,103,ikke_arbutd_innvkat_land,personer
2006,12,alle,alle,0,88,ikke_arbutd_innvkat_land,personer
2006,12,alle,alle,1,74,ikke_arbutd_innvkat_land,personer
2006,12,alle,alle,alle,162,ikke_arbutd_innvkat_land,personer
2006,12,innvandrere,1,0,38,ikke_arbutd_innvkat_land,personer
2006,12,innvandrere,1,1,21,ikke_arbutd_innvkat_land,personer
2006,12,innvandrere,1,alle,59,ikke_arbutd_innvkat_land,personer
2006,12,innvandrere,2,0,50,ikke_arbutd_innvkat_land,personer
2006,12,innvandrere,2,1,53,ikke_arbutd_innvkat_land,personer
2006,12,innvandrere,2,alle,103,ikke_arbutd_innvkat_land,personer
2006,12,innvandrere,alle,0,88,ikke_arbutd_innvkat_land,personer
2006,12,innvandrere,alle,1,74,ikke_arbutd_innvkat_land,personer
2006,12,innvandrere,alle,alle,162,ikke_arbutd_innvkat_land,personer
2006,13,alle,1,0,22,ikke_arbutd_innvkat_land,personer
2006,13,alle,1,1,11,ikke_arbutd_innvkat_land,personer
2006,13,alle,1,alle,33,ikke_arbutd_innvkat_land,personer
2006,13,alle,2,0,22,ikke_arbutd_innvkat_land,personer
2006,13,alle,2,1,17,ikke_arbutd_innvkat_land,personer
2006,13,alle,2,alle,39,ikke_arbutd_innvkat_land,personer
2006,13,alle,alle,0,44,ikke_arbutd_innvkat_land,personer
2006,13,alle,alle,1,28,ikke_arbutd_innvkat_land,personer
2006,13,alle,alle,alle,72,ikke_arbutd_innvkat_land,personer
2006,13,innvandrere,1,0,22,ikke_arbutd_innvkat_land,personer
2006,13,innvandrere,1,1,11,ikke_arbutd_innvkat_land,personer
2006,13,innvandrere,1,alle,33,ikke_arbutd_innvkat_land,personer
