fylke_nr,vreg_3,kjonn,aar,tabellvariabel,tabellnavn,enhet
15,1,1,2007,3592,sysselsatte_kjonn_land,personer
15,1,alle,2007,6048,sysselsatte_kjonn_land,personer
15,2,0,2007,2264,sysselsatte_kjonn_land,personer
15,2,1,2007,1778,sysselsatte_kjonn_land,personer
15,2,alle,2007,4042,sysselsatte_kjonn_land,personer
15,alle,0,2007,4720,sysselsatte_kjonn_land,personer
15,alle,1,2007,5370,sysselsatte_kjonn_land,personer
15,alle,alle,2007,10090,sysselsatte_kjonn_land,personer
16,1,0,2007,3408,sysselsatte_kjonn_land,personer
16,1,1,2007,4662,sysselsatte_kjonn_land,personer
16,1,alle,2007,8070,sysselsatte_kjonn_land,personer
16,2,0,2007,2795,sysselsatte_kjonn_land,personer
16,2,1,2007,2872,sysselsatte_kjonn_land,personer
16,2,alle,2007,5667,sysselsatte_kjonn_land,personer
16,alle,0,2007,6203,sysselsatte_kjonn_land,personer
16,alle,1,2007,7534,sysselsatte_kjonn_land,personer
16,alle,alle,2007,13737,sysselsatte_kjonn_land,personer
17,1,0,2007,1021,sysselsatte_kjonn_land,personer
17,1,1,2007,1534,sysselsatte_kjonn_land,personer
17,1,alle,2007,2555,sysselsatte_kjonn_land,personer
17,2,0,2007,671,sysselsatte_kjonn_land,personer
17,2,1,2007,590,sysselsatte_kjonn_land,personer
17,2,alle,2007,1261,sysselsatte_kjonn_land,personer
17,alle,0,2007,1692,sysselsatte_kjonn_land,personer
17,alle,1,2007,2124,sysselsatte_kjonn_land,personer
17,alle,alle,2007,3816,sysselsatte_kjonn_land,personer
18,1,0,2007,2129,sysselsatte_kjonn_land,personer
18,1,1,2007,2459,sysselsatte_kjonn_land,personer
18,1,alle,2007,4588,sysselsatte_kjonn_land,personer
18,2,0,2007,1601,sysselsatte_kjonn_land,personer
18,2,1,2007,1388,sysselsatte_kjonn_land,personer
18,2,alle,2007,2989,sysselsatte_kjonn_land,personer
18,alle,0,2007,3730,sysselsatte_kjonn_land,personer
18,alle,1,2007,3847,sysselsatte_kjonn_land,personer
18,alle,alle,2007,7577,sysselsatte_kjonn_land,personer
19,1,0,2007,2047,sysselsatte_kjonn_land,personer
19,1,1,2007,2342,sysselsatte_kjonn_land,personer
19,1,alle,2007,4389,sysselsatte_kjonn_land,personer
19,2,0,2007,1303,sysselsatte_kjonn_land,personer
19,2,1,2007,1141,sysselsatte_kjonn_land,personer
19,2,alle,2007,2444,sysselsatte_kjonn_land,personer
19,alle,0,2007,3350,sysselsatte_kjonn_land,personer
19,alle,1,2007,3483,sysselsatte_kjonn_land,personer
19,alle,alle,2007,6833,sysselsatte_kjonn_land,personer
20,1,0,2007,1270,sysselsatte_kjonn_land,personer
20,1,1,2007,1222,sysselsatte_kjonn_land,personer
20,1,alle,2007,2492,sysselsatte_kjonn_land,personer
20,2,0,2007,942,sysselsatte_kjonn_land,personer
20,2,1,2007,666,sysselsatte_kjonn_land,personer
20,2,alle,2007,1608,sysselsatte_kjonn_land,personer
20,alle,0,2007,2212,sysselsatte_kjonn_land,personer
20,alle,1,2007,1888,sysselsatte_kjonn_land,personer
20,alle,alle,2007,4100,sysselsatte_kjonn_land,personer
alle,1,0,2007,84751,sysselsatte_kjonn_land,personer
alle,1,1,2007,108378,sysselsatte_kjonn_land,personer
alle,1,alle,2007,193129,sysselsatte_kjonn_land,personer
alle,2,0,2007,69694,sysselsatte_kjonn_land,personer
alle,2,1,2007,75878,sysselsatte_kjonn_land,personer
alle,2,alle,2007,145572,sysselsatte_kjonn_land,personer
alle,alle,0,2007,154445,sysselsatte_kjonn_land,personer
alle,alle,1,2007,184256,sysselsatte_kjonn_land,personer
alle,alle,alle,2007,338701,sysselsatte_kjonn_land,personer
01,1,0,2008,5116,sysselsatte_kjonn_land,personer
01,1,1,2008,6816,sysselsatte_kjonn_land,personer
01,1,alle,2008,11932,sysselsatte_kjonn_land,personer
01,2,0,2008,3901,sysselsatte_kjonn_land,personer
01,2,1,2008,4027,sysselsatte_kjonn_land,personer
01,2,alle,2008,7928,sysselsatte_kjonn_land,personer
01,alle,0,2008,9017,sysselsatte_kjonn_land,personer
01,alle,1,2008,10843,sysselsatte_kjonn_land,personer
01,alle,alle,2008,19860,sysselsatte_kjonn_land,personer
02,1,0,2008,14292,sysselsatte_kjonn_land,personer
02,1,1,2008,17444,sysselsatte_kjonn_land,personer
02,1,alle,2008,31736,sysselsatte_kjonn_land,personer
02,2,0,2008,10042,sysselsatte_kjonn_land,personer
02,2,1,2008,10319,sysselsatte_kjonn_land,personer
02,2,alle,2008,20361,sysselsatte_kjonn_land,personer
02,alle,0,2008,24334,sysselsatte_kjonn_land,personer
02,alle,1,2008,27763,sysselsatte_kjonn_land,personer
02,alle,alle,2008,52097,sysselsatte_kjonn_land,personer
03,1,0,2008,19828,sysselsatte_kjonn_land,personer
03,1,1,2008,24480,sysselsatte_kjonn_land,personer
03,1,alle,2008,44308,sysselsatte_kjonn_land,personer
03,2,0,2008,23301,sysselsatte_kjonn_land,personer
03,2,1,2008,28242,sysselsatte_kjonn_land,personer
03,2,alle,2008,51543,sysselsatte_kjonn_land,personer
03,alle,0,2008,43129,sysselsatte_kjonn_land,personer
03,alle,1,2008,52722,sysselsatte_kjonn_land,personer
03,alle,alle,2008,95851,sysselsatte_kjonn_land,personer
04,1,0,2008,2563,sysselsatte_kjonn_land,personer
04,1,1,2008,2962,sysselsatte_kjonn_land,personer
04,1,alle,2008,5525,sysselsatte_kjonn_land,personer
04,2,0,2008,1433,sysselsatte_kjonn_land,personer
04,2,1,2008,1284,sysselsatte_kjonn_land,personer
04,2,alle,2008,2717,sysselsatte_kjonn_land,personer
04,alle,0,2008,3996,sysselsatte_kjonn_land,personer
04,alle,1,2008,4246,sysselsatte_kjonn_land,personer
04,alle,alle,2008,8242,sysselsatte_kjonn_land,personer
05,1,0,2008,2228,sysselsatte_kjonn_land,personer
05,1,1,2008,2721,sysselsatte_kjonn_land,personer
05,1,alle,2008,4949,sysselsatte_kjonn_land,personer
05,2,0,2008,1440,sysselsatte_kjonn_land,personer
05,2,1,2008,1380,sysselsatte_kjonn_land,personer
05,2,alle,2008,2820,sysselsatte_kjonn_land,personer
05,alle,0,2008,3668,sysselsatte_kjonn_land,personer
05,alle,1,2008,4101,sysselsatte_kjonn_land,personer
05,alle,alle,2008,7769,sysselsatte_kjonn_land,personer
06,1,0,2008,5238,sysselsatte_kjonn_land,personer
06,1,1,2008,6889,sysselsatte_kjonn_land,personer
06,1,alle,2008,12127,sysselsatte_kjonn_land,personer
06,2,0,2008,4384,sysselsatte_kjonn_land,personer
06,2,1,2008,4653,sysselsatte_kjonn_land,personer
