aar,bydel_nr,innvkat_3,vreg_3,kjonn,tabellvariabel,tabell_navn,enhet
2006,030106,alle,1,1,36,ikke_arbutd_innvkat_land,personer
2006,030106,alle,1,alle,115,ikke_arbutd_innvkat_land,personer
2006,030106,alle,2,0,128,ikke_arbutd_innvkat_land,personer
2006,030106,alle,2,1,122,ikke_arbutd_innvkat_land,personer
2006,030106,alle,2,alle,250,ikke_arbutd_innvkat_land,personer
2006,030106,alle,alle,0,207,ikke_arbutd_innvkat_land,personer
2006,030106,alle,alle,1,158,ikke_arbutd_innvkat_land,personer
2006,030106,alle,alle,alle,365,ikke_arbutd_innvkat_land,personer
2006,030106,innvandrere,1,0,79,ikke_arbutd_innvkat_land,personer
2006,030106,innvandrere,1,1,36,ikke_arbutd_innvkat_land,personer
2006,030106,innvandrere,1,alle,115,ikke_arbutd_innvkat_land,personer
2006,030106,innvandrere,2,0,128,ikke_arbutd_innvkat_land,personer
2006,030106,innvandrere,2,1,122,ikke_arbutd_innvkat_land,personer
2006,030106,innvandrere,2,alle,250,ikke_arbutd_innvkat_land,personer
2006,030106,innvandrere,alle,0,207,ikke_arbutd_innvkat_land,personer
2006,030106,innvandrere,alle,1,158,ikke_arbutd_innvkat_land,personer
2006,030106,innvandrere,alle,alle,365,ikke_arbutd_innvkat_land,personer
2006,030107,alle,1,0,46,ikke_arbutd_innvkat_land,personer
2006,030107,alle,1,1,17,ikke_arbutd_innvkat_land,personer
2006,030107,alle,1,alle,63,ikke_arbutd_innvkat_land,personer
2006,030107,alle,2,0,101,ikke_arbutd_innvkat_land,personer
2006,030107,alle,2,1,98,ikke_arbutd_innvkat_land,personer
2006,030107,alle,2,alle,199,ikke_arbutd_innvkat_land,personer
2006,030107,alle,alle,0,147,ikke_arbutd_innvkat_land,personer
2006,030107,alle,alle,1,115,ikke_arbutd_innvkat_land,personer
2006,030107,alle,alle,alle,262,ikke_arbutd_innvkat_land,personer
2006,030107,innvandrere,1,0,46,ikke_arbutd_innvkat_land,personer
2006,030107,innvandrere,1,1,17,ikke_arbutd_innvkat_land,personer
2006,030107,innvandrere,1,alle,63,ikke_arbutd_innvkat_land,personer
2006,030107,innvandrere,2,0,101,ikke_arbutd_innvkat_land,personer
2006,030107,innvandrere,2,1,98,ikke_arbutd_innvkat_land,personer
2006,030107,innvandrere,2,alle,199,ikke_arbutd_innvkat_land,personer
2006,030107,innvandrere,alle,0,147,ikke_arbutd_innvkat_land,personer
2006,030107,innvandrere,alle,1,115,ikke_arbutd_innvkat_land,personer
2006,030107,innvandrere,alle,alle,262,ikke_arbutd_innvkat_land,personer
2006,030108,alle,1,0,117,ikke_arbutd_innvkat_land,personer
2006,030108,alle,1,1,34,ikke_arbutd_innvkat_land,personer
2006,030108,alle,1,alle,151,ikke_arbutd_innvkat_land,personer
2006,030108,alle,2,0,203,ikke_arbutd_innvkat_land,personer
2006,030108,alle,2,1,218,ikke_arbutd_innvkat_land,personer
2006,030108,alle,2,alle,421,ikke_arbutd_innvkat_land,personer
2006,030108,alle,alle,0,320,ikke_arbutd_innvkat_land,personer
2006,030108,alle,alle,1,252,ikke_arbutd_innvkat_land,personer
2006,030108,alle,alle,alle,572,ikke_arbutd_innvkat_land,personer
2006,030108,innvandrere,1,0,117,ikke_arbutd_innvkat_land,personer
2006,030108,innvandrere,1,1,34,ikke_arbutd_innvkat_land,personer
2006,030108,innvandrere,1,alle,151,ikke_arbutd_innvkat_land,personer
2006,030108,innvandrere,2,0,203,ikke_arbutd_innvkat_land,personer
2006,030108,innvandrere,2,1,218,ikke_arbutd_innvkat_land,personer
2006,030108,innvandrere,2,alle,421,ikke_arbutd_innvkat_land,personer
2006,030108,innvandrere,alle,0,320,ikke_arbutd_innvkat_land,personer
2006,030108,innvandrere,alle,1,252,ikke_arbutd_innvkat_land,personer
2006,030108,innvandrere,alle,alle,572,ikke_arbutd_innvkat_land,personer
2006,030109,alle,1,0,37,ikke_arbutd_innvkat_land,personer
2006,030109,alle,1,1,15,ikke_arbutd_innvkat_land,personer
2006,030109,alle,1,alle,52,ikke_arbutd_innvkat_land,personer
2006,030109,alle,2,0,89,ikke_arbutd_innvkat_land,personer
2006,030109,alle,2,1,84,ikke_arbutd_innvkat_land,personer
2006,030109,alle,2,alle,173,ikke_arbutd_innvkat_land,personer
2006,030109,alle,alle,0,126,ikke_arbutd_innvkat_land,personer
2006,030109,alle,alle,1,99,ikke_arbutd_innvkat_land,personer
2006,030109,alle,alle,alle,225,ikke_arbutd_innvkat_land,personer
2006,030109,innvandrere,1,0,37,ikke_arbutd_innvkat_land,personer
2006,030109,innvandrere,1,1,15,ikke_arbutd_innvkat_land,personer
2006,030109,innvandrere,1,alle,52,ikke_arbutd_innvkat_land,personer
2006,030109,innvandrere,2,0,89,ikke_arbutd_innvkat_land,personer
2006,030109,innvandrere,2,1,84,ikke_arbutd_innvkat_land,personer
2006,030109,innvandrere,2,alle,173,ikke_arbutd_innvkat_land,personer
2006,030109,innvandrere,alle,0,126,ikke_arbutd_innvkat_land,personer
2006,030109,innvandrere,alle,1,99,ikke_arbutd_innvkat_land,personer
2006,030109,innvandrere,alle,alle,225,ikke_arbutd_innvkat_land,personer
2006,030110,alle,1,0,28,ikke_arbutd_innvkat_land,personer
2006,030110,alle,1,1,17,ikke_arbutd_innvkat_land,personer
2006,030110,alle,1,alle,45,ikke_arbutd_innvkat_land,personer
2006,030110,alle,2,0,118,ikke_arbutd_innvkat_land,personer
2006,030110,alle,2,1,123,ikke_arbutd_innvkat_land,personer
2006,030110,alle,2,alle,241,ikke_arbutd_innvkat_land,personer
2006,030110,alle,alle,0,146,ikke_arbutd_innvkat_land,personer
2006,030110,alle,alle,1,140,ikke_arbutd_innvkat_land,personer
2006,030110,alle,alle,alle,286,ikke_arbutd_innvkat_land,personer
2006,030110,innvandrere,1,0,28,ikke_arbutd_innvkat_land,personer
2006,030110,innvandrere,1,1,17,ikke_arbutd_innvkat_land,personer
2006,030110,innvandrere,1,alle,45,ikke_arbutd_innvkat_land,personer
2006,030110,innvandrere,2,0,118,ikke_arbutd_innvkat_land,personer
