aar,naringsregion_nr,innvkat_3,vreg_3,tabellvariabel,tabell_navn,enhet
2006,33,alle,alle,101,arbledige_innvkat_land,personer
2006,33,innvandrere,1,13,arbledige_innvkat_land,personer
2006,33,innvandrere,2,88,arbledige_innvkat_land,personer
2006,33,innvandrere,alle,101,arbledige_innvkat_land,personer
2006,34,alle,1,13,arbledige_innvkat_land,personer
2006,34,alle,2,49,arbledige_innvkat_land,personer
2006,34,alle,alle,62,arbledige_innvkat_land,personer
2006,34,innvandrere,1,13,arbledige_innvkat_land,personer
2006,34,innvandrere,2,49,arbledige_innvkat_land,personer
2006,34,innvandrere,alle,62,arbledige_innvkat_land,personer
2006,35,alle,1,62,arbledige_innvkat_land,personer
2006,35,alle,2,363,arbledige_innvkat_land,personer
2006,35,alle,alle,425,arbledige_innvkat_land,personer
2006,35,innvandrere,1,62,arbledige_innvkat_land,personer
2006,35,innvandrere,2,363,arbledige_innvkat_land,personer
2006,35,innvandrere,alle,425,arbledige_innvkat_land,personer
2006,36,alle,1,6,arbledige_innvkat_land,personer
2006,36,alle,2,23,arbledige_innvkat_land,personer
2006,36,alle,alle,29,arbledige_innvkat_land,personer
2006,36,innvandrere,1,6,arbledige_innvkat_land,personer
2006,36,innvandrere,2,23,arbledige_innvkat_land,personer
2006,36,innvandrere,alle,29,arbledige_innvkat_land,personer
2006,37,alle,1,19,arbledige_innvkat_land,personer
2006,37,alle,2,158,arbledige_innvkat_land,personer
2006,37,alle,alle,177,arbledige_innvkat_land,personer
2006,37,innvandrere,1,19,arbledige_innvkat_land,personer
2006,37,innvandrere,2,158,arbledige_innvkat_land,personer
2006,37,innvandrere,alle,177,arbledige_innvkat_land,personer
2006,38,alle,1,9,arbledige_innvkat_land,personer
2006,38,alle,2,21,arbledige_innvkat_land,personer
2006,38,alle,alle,30,arbledige_innvkat_land,personer
2006,38,innvandrere,1,9,arbledige_innvkat_land,personer
2006,38,innvandrere,2,21,arbledige_innvkat_land,personer
2006,38,innvandrere,alle,30,arbledige_innvkat_land,personer
2006,39,alle,1,122,arbledige_innvkat_land,personer
2006,39,alle,2,706,arbledige_innvkat_land,personer
2006,39,alle,alle,828,arbledige_innvkat_land,personer
2006,39,innvandrere,1,122,arbledige_innvkat_land,personer
2006,39,innvandrere,2,706,arbledige_innvkat_land,personer
2006,39,innvandrere,alle,828,arbledige_innvkat_land,personer
2006,40,alle,1,112,arbledige_innvkat_land,personer
2006,40,alle,2,723,arbledige_innvkat_land,personer
2006,40,alle,alle,835,arbledige_innvkat_land,personer
2006,40,innvandrere,1,112,arbledige_innvkat_land,personer
2006,40,innvandrere,2,723,arbledige_innvkat_land,personer
2006,40,innvandrere,alle,835,arbledige_innvkat_land,personer
2006,41,alle,1,5,arbledige_innvkat_land,personer
2006,41,alle,2,23,arbledige_innvkat_land,personer
2006,41,alle,alle,28,arbledige_innvkat_land,personer
2006,41,innvandrere,1,5,arbledige_innvkat_land,personer
2006,41,innvandrere,2,23,arbledige_innvkat_land,personer
2006,41,innvandrere,alle,28,arbledige_innvkat_land,personer
2006,42,alle,1,7,arbledige_innvkat_land,personer
2006,42,alle,2,27,arbledige_innvkat_land,personer
2006,42,alle,alle,34,arbledige_innvkat_land,personer
2006,42,innvandrere,1,7,arbledige_innvkat_land,personer
2006,42,innvandrere,2,27,arbledige_innvkat_land,personer
2006,42,innvandrere,alle,34,arbledige_innvkat_land,personer
2006,43,alle,1,7,arbledige_innvkat_land,personer
2006,43,alle,2,11,arbledige_innvkat_land,personer
2006,43,alle,alle,18,arbledige_innvkat_land,personer
2006,43,innvandrere,1,7,arbledige_innvkat_land,personer
2006,43,innvandrere,2,11,arbledige_innvkat_land,personer
2006,43,innvandrere,alle,18,arbledige_innvkat_land,personer
2006,44,alle,1,3,arbledige_innvkat_land,personer
2006,44,alle,2,23,arbledige_innvkat_land,personer
2006,44,alle,alle,26,arbledige_innvkat_land,personer
2006,44,innvandrere,1,3,arbledige_innvkat_land,personer
2006,44,innvandrere,2,23,arbledige_innvkat_land,personer
2006,44,innvandrere,alle,26,arbledige_innvkat_land,personer
2006,45,alle,1,0,arbledige_innvkat_land,personer
2006,45,alle,2,12,arbledige_innvkat_land,personer
2006,45,alle,alle,14,arbledige_innvkat_land,personer
2006,45,innvandrere,1,0,arbledige_innvkat_land,personer
2006,45,innvandrere,2,12,arbledige_innvkat_land,personer
2006,45,innvandrere,alle,14,arbledige_innvkat_land,personer
2006,46,alle,1,16,arbledige_innvkat_land,personer
2006,46,alle,2,75,arbledige_innvkat_land,personer
2006,46,alle,alle,91,arbledige_innvkat_land,personer
2006,46,innvandrere,1,16,arbledige_innvkat_land,personer
2006,46,innvandrere,2,75,arbledige_innvkat_land,personer
2006,46,innvandrere,alle,91,arbledige_innvkat_land,personer
2006,47,alle,1,15,arbledige_innvkat_land,personer
2006,47,alle,2,75,arbledige_innvkat_land,personer
2006,47,alle,alle,90,arbledige_innvkat_land,personer
2006,47,innvandrere,1,15,arbledige_innvkat_land,personer
2006,47,innvandrere,2,75,arbledige_innvkat_land,personer
2006,47,innvandrere,alle,90,arbledige_innvkat_land,personer
2006,48,alle,1,0,arbledige_innvkat_land,personer
2006,48,alle,2,4,arbledige_innvkat_land,personer
2006,48,alle,alle,6,arbledige_innvkat_land,personer
2006,48,innvandrere,1,0,arbledige_innvkat_land,personer
2006,48,innvandrere,2,4,arbledige_innvkat_land,personer
2006,48,innvandrere,alle,6,arbledige_innvkat_land,personer
2006,49,alle,1,13,arbledige_innvkat_land,personer
2006,49,alle,2,48,arbledige_innvkat_land,personer
2006,49,alle,alle,61,arbledige_innvkat_land,personer
2006,49,innvandrere,1,13,arbledige_innvkat_land,personer
2006,49,innvandrere,2,48,arbledige_innvkat_land,personer
2006,49,innvandrere,alle,61,arbledige_innvkat_land,personer
2006,50,alle,1,7,arbledige_innvkat_land,personer
2006,50,alle,2,14,arbledige_innvkat_land,personer
2006,50,alle,alle,21,arbledige_innvkat_land,personer
2006,50,innvandrere,1,7,arbledige_innvkat_land,personer
2006,50,innvandrere,2,14,arbledige_innvkat_land,personer
2006,50,innvandrere,alle,21,arbledige_innvkat_land,personer
2006,51,alle,1,10,arbledige_innvkat_land,personer
2006,51,alle,2,55,arbledige_innvkat_land,personer
2006,51,alle,alle,65,arbledige_innvkat_land,personer
2006,51,innvandrere,1,10,arbledige_innvkat_land,personer
2006,51,innvandrere,2,55,arbledige_innvkat_land,personer
2006,51,innvandrere,alle,65,arbledige_innvkat_land,personer
2006,52,alle,1,16,arbledige_innvkat_land,personer
2006,52,alle,2,85,arbledige_innvkat_land,personer
2006,52,alle,alle,101,arbledige_innvkat_land,personer
2006,52,innvandrere,1,16,arbledige_innvkat_land,personer
2006,52,innvandrere,2,85,arbledige_innvkat_land,personer
2006,52,innvandrere,alle,101,arbledige_innvkat_land,personer
2006,53,alle,1,15,arbledige_innvkat_land,personer
2006,53,alle,2,26,arbledige_innvkat_land,personer
2006,53,alle,alle,41,arbledige_innvkat_land,personer
2006,53,innvandrere,1,15,arbledige_innvkat_land,personer
2006,53,innvandrere,2,26,arbledige_innvkat_land,personer
2006,53,innvandrere,alle,41,arbledige_innvkat_land,personer
2006,54,alle,1,7,arbledige_innvkat_land,personer
2006,54,alle,2,12,arbledige_innvkat_land,personer
2006,54,alle,alle,19,arbledige_innvkat_land,personer
2006,54,innvandrere,1,7,arbledige_innvkat_land,personer
2006,54,innvandrere,2,12,arbledige_innvkat_land,personer
2006,54,innvandrere,alle,19,arbledige_innvkat_land,personer
2006,55,alle,1,10,arbledige_innvkat_land,personer
2006,55,alle,2,74,arbledige_innvkat_land,personer
2006,55,alle,alle,84,arbledige_innvkat_land,personer
2006,55,innvandrere,1,10,arbledige_innvkat_land,personer
2006,55,innvandrere,2,74,arbledige_innvkat_land,personer
2006,55,innvandrere,alle,84,arbledige_innvkat_land,personer
2006,56,alle,1,30,arbledige_innvkat_land,personer
2006,56,alle,2,107,arbledige_innvkat_land,personer
2006,56,alle,alle,137,arbledige_innvkat_land,personer
2006,56,innvandrere,1,30,arbledige_innvkat_land,personer
2006,56,innvandrere,2,107,arbledige_innvkat_land,personer
2006,56,innvandrere,alle,137,arbledige_innvkat_land,personer
2006,57,alle,1,10,arbledige_innvkat_land,personer
2006,57,alle,2,17,arbledige_innvkat_land,personer
2006,57,alle,alle,27,arbledige_innvkat_land,personer
2006,57,innvandrere,1,10,arbledige_innvkat_land,personer
2006,57,innvandrere,2,17,arbledige_innvkat_land,personer
2006,57,innvandrere,alle,27,arbledige_innvkat_land,personer
2006,58,alle,1,3,arbledige_innvkat_land,personer
2006,58,alle,2,4,arbledige_innvkat_land,personer
2006,58,alle,alle,7,arbledige_innvkat_land,personer
2006,58,innvandrere,1,3,arbledige_innvkat_land,personer
2006,58,innvandrere,2,4,arbledige_innvkat_land,personer
2006,58,innvandrere,alle,7,arbledige_innvkat_land,personer
2006,59,alle,1,7,arbledige_innvkat_land,personer
2006,59,alle,2,8,arbledige_innvkat_land,personer
2006,59,alle,alle,15,arbledige_innvkat_land,personer
2006,59,innvandrere,1,7,arbledige_innvkat_land,personer
2006,59,innvandrere,2,8,arbledige_innvkat_land,personer
2006,59,innvandrere,alle,15,arbledige_innvkat_land,personer
2006,60,alle,1,9,arbledige_innvkat_land,personer
2006,60,alle,2,27,arbledige_innvkat_land,personer
2006,60,alle,alle,36,arbledige_innvkat_land,personer
2006,60,innvandrere,1,9,arbledige_innvkat_land,personer
2006,60,innvandrere,2,27,arbledige_innvkat_land,personer
2006,60,innvandrere,alle,36,arbledige_innvkat_land,personer
2006,61,alle,1,92,arbledige_innvkat_land,personer
2006,61,alle,2,415,arbledige_innvkat_land,personer
2006,61,alle,alle,507,arbledige_innvkat_land,personer
2006,61,innvandrere,1,92,arbledige_innvkat_land,personer
2006,61,innvandrere,2,415,arbledige_innvkat_land,personer
2006,61,innvandrere,alle,507,arbledige_innvkat_land,personer
2006,62,alle,1,3,arbledige_innvkat_land,personer
2006,62,alle,2,6,arbledige_innvkat_land,personer
2006,62,alle,alle,9,arbledige_innvkat_land,personer
2006,62,innvandrere,1,3,arbledige_innvkat_land,personer
2006,62,innvandrere,2,6,arbledige_innvkat_land,personer
2006,62,innvandrere,alle,9,arbledige_innvkat_land,personer
2006,63,alle,1,9,arbledige_innvkat_land,personer
2006,63,alle,2,23,arbledige_innvkat_land,personer
2006,63,alle,alle,32,arbledige_innvkat_land,personer
2006,63,innvandrere,1,9,arbledige_innvkat_land,personer
2006,63,innvandrere,2,23,arbledige_innvkat_land,personer
2006,63,innvandrere,alle,32,arbledige_innvkat_land,personer
2006,64,alle,1,20,arbledige_innvkat_land,personer
