aar,fylke_nr,innvkat_3,vreg_3,tabellvariabel,tabell_navn,enhet
2008,16,alle,1,231,arbledige_innvkat_land,personer
2008,16,alle,2,573,arbledige_innvkat_land,personer
2008,16,alle,alle,804,arbledige_innvkat_land,personer
2008,16,innvandrere,1,231,arbledige_innvkat_land,personer
2008,16,innvandrere,2,573,arbledige_innvkat_land,personer
2008,16,innvandrere,alle,804,arbledige_innvkat_land,personer
2008,17,alle,1,45,arbledige_innvkat_land,personer
2008,17,alle,2,169,arbledige_innvkat_land,personer
2008,17,alle,alle,214,arbledige_innvkat_land,personer
2008,17,innvandrere,1,45,arbledige_innvkat_land,personer
2008,17,innvandrere,2,169,arbledige_innvkat_land,personer
2008,17,innvandrere,alle,214,arbledige_innvkat_land,personer
2008,18,alle,1,93,arbledige_innvkat_land,personer
2008,18,alle,2,330,arbledige_innvkat_land,personer
2008,18,alle,alle,423,arbledige_innvkat_land,personer
2008,18,innvandrere,1,93,arbledige_innvkat_land,personer
2008,18,innvandrere,2,330,arbledige_innvkat_land,personer
2008,18,innvandrere,alle,423,arbledige_innvkat_land,personer
2008,19,alle,1,94,arbledige_innvkat_land,personer
2008,19,alle,2,174,arbledige_innvkat_land,personer
2008,19,alle,alle,268,arbledige_innvkat_land,personer
2008,19,innvandrere,1,94,arbledige_innvkat_land,personer
2008,19,innvandrere,2,174,arbledige_innvkat_land,personer
2008,19,innvandrere,alle,268,arbledige_innvkat_land,personer
2008,20,alle,1,70,arbledige_innvkat_land,personer
2008,20,alle,2,134,arbledige_innvkat_land,personer
2008,20,alle,alle,204,arbledige_innvkat_land,personer
2008,20,innvandrere,1,70,arbledige_innvkat_land,personer
2008,20,innvandrere,2,134,arbledige_innvkat_land,personer
2008,20,innvandrere,alle,204,arbledige_innvkat_land,personer
2009,00,alle,1,7879,arbledige_innvkat_land,personer
2009,00,alle,2,17768,arbledige_innvkat_land,personer
2009,00,alle,alle,25647,arbledige_innvkat_land,personer
2009,00,innvandrere,1,7879,arbledige_innvkat_land,personer
2009,00,innvandrere,2,17768,arbledige_innvkat_land,personer
2009,00,innvandrere,alle,25647,arbledige_innvkat_land,personer
2009,01,alle,1,459,arbledige_innvkat_land,personer
2009,01,alle,2,1310,arbledige_innvkat_land,personer
2009,01,alle,alle,1769,arbledige_innvkat_land,personer
2009,01,innvandrere,1,459,arbledige_innvkat_land,personer
2009,01,innvandrere,2,1310,arbledige_innvkat_land,personer
2009,01,innvandrere,alle,1769,arbledige_innvkat_land,personer
2009,02,alle,1,970,arbledige_innvkat_land,personer
2009,02,alle,2,1806,arbledige_innvkat_land,personer
2009,02,alle,alle,2776,arbledige_innvkat_land,personer
2009,02,innvandrere,1,970,arbledige_innvkat_land,personer
