aar,naringsregion_nr,vreg_3,kjonn,tabellvariabel,tabell_navn,enhet
2006,26,2,0,755,sysselsatte_kjonn_land,personer
2006,26,2,1,799,sysselsatte_kjonn_land,personer
2006,26,2,alle,1554,sysselsatte_kjonn_land,personer
2006,26,alle,0,19620,sysselsatte_kjonn_land,personer
2006,26,alle,1,21912,sysselsatte_kjonn_land,personer
2006,26,alle,alle,41532,sysselsatte_kjonn_land,personer
2006,27,1,0,583,sysselsatte_kjonn_land,personer
2006,27,1,1,709,sysselsatte_kjonn_land,personer
2006,27,1,alle,1292,sysselsatte_kjonn_land,personer
2006,27,2,0,897,sysselsatte_kjonn_land,personer
2006,27,2,1,975,sysselsatte_kjonn_land,personer
2006,27,2,alle,1872,sysselsatte_kjonn_land,personer
2006,27,alle,0,26239,sysselsatte_kjonn_land,personer
2006,27,alle,1,29679,sysselsatte_kjonn_land,personer
2006,27,alle,alle,55918,sysselsatte_kjonn_land,personer
2006,28,1,0,73,sysselsatte_kjonn_land,personer
2006,28,1,1,77,sysselsatte_kjonn_land,personer
2006,28,1,alle,150,sysselsatte_kjonn_land,personer
2006,28,2,0,109,sysselsatte_kjonn_land,personer
2006,28,2,1,88,sysselsatte_kjonn_land,personer
2006,28,2,alle,197,sysselsatte_kjonn_land,personer
2006,28,alle,0,3657,sysselsatte_kjonn_land,personer
2006,28,alle,1,4243,sysselsatte_kjonn_land,personer
2006,28,alle,alle,7900,sysselsatte_kjonn_land,personer
2006,29,1,0,94,sysselsatte_kjonn_land,personer
2006,29,1,1,138,sysselsatte_kjonn_land,personer
2006,29,1,alle,232,sysselsatte_kjonn_land,personer
2006,29,2,0,144,sysselsatte_kjonn_land,personer
2006,29,2,1,137,sysselsatte_kjonn_land,personer
2006,29,2,alle,281,sysselsatte_kjonn_land,personer
2006,29,alle,0,4651,sysselsatte_kjonn_land,personer
2006,29,alle,1,5093,sysselsatte_kjonn_land,personer
2006,29,alle,alle,9744,sysselsatte_kjonn_land,personer
2006,30,1,0,91,sysselsatte_kjonn_land,personer
2006,30,1,1,120,sysselsatte_kjonn_land,personer
2006,30,1,alle,211,sysselsatte_kjonn_land,personer
2006,30,2,0,61,sysselsatte_kjonn_land,personer
2006,30,2,1,41,sysselsatte_kjonn_land,personer
2006,30,2,alle,102,sysselsatte_kjonn_land,personer
2006,30,alle,0,3447,sysselsatte_kjonn_land,personer
2006,30,alle,1,4089,sysselsatte_kjonn_land,personer
2006,30,alle,alle,7536,sysselsatte_kjonn_land,personer
2006,31,1,0,45,sysselsatte_kjonn_land,personer
2006,31,1,1,61,sysselsatte_kjonn_land,personer
2006,31,1,alle,106,sysselsatte_kjonn_land,personer
2006,31,2,0,28,sysselsatte_kjonn_land,personer
2006,31,2,1,47,sysselsatte_kjonn_land,personer
2006,31,2,alle,75,sysselsatte_kjonn_land,personer
2006,31,alle,0,1630,sysselsatte_kjonn_land,personer
2006,31,alle,1,1945,sysselsatte_kjonn_land,personer
2006,31,alle,alle,3575,sysselsatte_kjonn_land,personer
2006,32,1,0,475,sysselsatte_kjonn_land,personer
2006,32,1,1,579,sysselsatte_kjonn_land,personer
2006,32,1,alle,1054,sysselsatte_kjonn_land,personer
2006,32,2,0,453,sysselsatte_kjonn_land,personer
2006,32,2,1,520,sysselsatte_kjonn_land,personer
2006,32,2,alle,973,sysselsatte_kjonn_land,personer
2006,32,alle,0,18724,sysselsatte_kjonn_land,personer
2006,32,alle,1,21245,sysselsatte_kjonn_land,personer
2006,32,alle,alle,39969,sysselsatte_kjonn_land,personer
2006,33,1,0,186,sysselsatte_kjonn_land,personer
2006,33,1,1,256,sysselsatte_kjonn_land,personer
2006,33,1,alle,442,sysselsatte_kjonn_land,personer
2006,33,2,0,221,sysselsatte_kjonn_land,personer
2006,33,2,1,205,sysselsatte_kjonn_land,personer
2006,33,2,alle,426,sysselsatte_kjonn_land,personer
2006,33,alle,0,7911,sysselsatte_kjonn_land,personer
