tabell_navn;aar;kommune_nr;botid_5;vreg_3;enhet;tabellvariabel
Befolkning_botid;2015;0420;0_4;alle;person;113
Befolkning_botid;2015;0420;5_9;alle;person;76
Befolkning_botid;2015;0420;10+;alle;person;218
Befolkning_botid;2015;0423;0_4;alle;person;107
Befolkning_botid;2015;0423;5_9;alle;person;72
Befolkning_botid;2015;0423;10+;alle;person;151
Befolkning_botid;2015;0425;0_4;alle;person;281
Befolkning_botid;2015;0425;5_9;alle;person;80
Befolkning_botid;2015;0425;10+;alle;person;157
Befolkning_botid;2015;0426;0_4;alle;person;103
Befolkning_botid;2015;0426;5_9;alle;person;65
Befolkning_botid;2015;0426;10+;alle;person;68
Befolkning_botid;2015;0427;0_4;alle;person;668
Befolkning_botid;2015;0427;5_9;alle;person;377
Befolkning_botid;2015;0427;10+;alle;person;690
Befolkning_botid;2015;0428;0_4;alle;person;261
Befolkning_botid;2015;0428;5_9;alle;person;130
Befolkning_botid;2015;0428;10+;alle;person;180
Befolkning_botid;2015;0429;0_4;alle;person;125
Befolkning_botid;2015;0429;5_9;alle;person;73
Befolkning_botid;2015;0429;10+;alle;person;108
Befolkning_botid;2015;0430;0_4;alle;person;211
Befolkning_botid;2015;0430;5_9;alle;person;47
Befolkning_botid;2015;0430;10+;alle;person;56
Befolkning_botid;2015;0432;0_4;alle;person;54
Befolkning_botid;2015;0432;5_9;alle;person;20
Befolkning_botid;2015;0432;10+;alle;person;25
Befolkning_botid;2015;0434;0_4;alle;person;92
Befolkning_botid;2015;0434;5_9;alle;person;12
Befolkning_botid;2015;0434;10+;alle;person;42
Befolkning_botid;2015;0436;0_4;alle;person;81
Befolkning_botid;2015;0436;5_9;alle;person;46
Befolkning_botid;2015;0436;10+;alle;person;47
Befolkning_botid;2015;0437;0_4;alle;person;276
Befolkning_botid;2015;0437;5_9;alle;person;134
Befolkning_botid;2015;0437;10+;alle;person;120
Befolkning_botid;2015;0438;0_4;alle;person;56
Befolkning_botid;2015;0438;5_9;alle;person;39
Befolkning_botid;2015;0438;10+;alle;person;37
Befolkning_botid;2015;0439;0_4;alle;person;26
Befolkning_botid;2015;0439;5_9;alle;person;17
Befolkning_botid;2015;0439;10+;alle;person;22
Befolkning_botid;2015;0441;0_4;alle;person;63
Befolkning_botid;2015;0441;5_9;alle;person;42
Befolkning_botid;2015;0441;10+;alle;person;63
Befolkning_botid;2015;0501;0_4;alle;person;888
Befolkning_botid;2015;0501;5_9;alle;person;657
Befolkning_botid;2015;0501;10+;alle;person;1087
Befolkning_botid;2015;0502;0_4;alle;person;1214
Befolkning_botid;2015;0502;5_9;alle;person;657
Befolkning_botid;2015;0502;10+;alle;person;1330
Befolkning_botid;2015;0511;0_4;alle;person;154
Befolkning_botid;2015;0511;5_9;alle;person;60
Befolkning_botid;2015;0511;10+;alle;person;35
Befolkning_botid;2015;0512;0_4;alle;person;60
Befolkning_botid;2015;0512;5_9;alle;person;48
Befolkning_botid;2015;0512;10+;alle;person;26
Befolkning_botid;2015;0513;0_4;alle;person;84
Befolkning_botid;2015;0513;5_9;alle;person;25
Befolkning_botid;2015;0513;10+;alle;person;26
Befolkning_botid;2015;0514;0_4;alle;person;61
Befolkning_botid;2015;0514;5_9;alle;person;27
Befolkning_botid;2015;0514;10+;alle;person;28
Befolkning_botid;2015;0515;0_4;alle;person;89
Befolkning_botid;2015;0515;5_9;alle;person;41
Befolkning_botid;2015;0515;10+;alle;person;40
Befolkning_botid;2015;0516;0_4;alle;person;180
Befolkning_botid;2015;0516;5_9;alle;person;82
Befolkning_botid;2015;0516;10+;alle;person;81
Befolkning_botid;2015;0517;0_4;alle;person;216
Befolkning_botid;2015;0517;5_9;alle;person;75
Befolkning_botid;2015;0517;10+;alle;person;57
Befolkning_botid;2015;0519;0_4;alle;person;105
Befolkning_botid;2015;0519;5_9;alle;person;66
Befolkning_botid;2015;0519;10+;alle;person;66
Befolkning_botid;2015;0520;0_4;alle;person;163
Befolkning_botid;2015;0520;5_9;alle;person;145
Befolkning_botid;2015;0520;10+;alle;person;68
Befolkning_botid;2015;0521;0_4;alle;person;281
Befolkning_botid;2015;0521;5_9;alle;person;135
Befolkning_botid;2015;0521;10+;alle;person;122
Befolkning_botid;2015;0522;0_4;alle;person;129
Befolkning_botid;2015;0522;5_9;alle;person;110
Befolkning_botid;2015;0522;10+;alle;person;101
Befolkning_botid;2015;0528;0_4;alle;person;529
Befolkning_botid;2015;0528;5_9;alle;person;269
Befolkning_botid;2015;0528;10+;alle;person;311
Befolkning_botid;2015;0529;0_4;alle;person;385
Befolkning_botid;2015;0529;5_9;alle;person;225
Befolkning_botid;2015;0529;10+;alle;person;293
Befolkning_botid;2015;0532;0_4;alle;person;180
Befolkning_botid;2015;0532;5_9;alle;person;129
Befolkning_botid;2015;0532;10+;alle;person;198
Befolkning_botid;2015;0533;0_4;alle;person;381
Befolkning_botid;2015;0533;5_9;alle;person;180
Befolkning_botid;2015;0533;10+;alle;person;256
Befolkning_botid;2015;0534;0_4;alle;person;522
Befolkning_botid;2015;0534;5_9;alle;person;255
Befolkning_botid;2015;0534;10+;alle;person;292
Befolkning_botid;2015;0536;0_4;alle;person;202
Befolkning_botid;2015;0536;5_9;alle;person;98
Befolkning_botid;2015;0536;10+;alle;person;131
Befolkning_botid;2015;0538;0_4;alle;person;222
Befolkning_botid;2015;0538;5_9;alle;person;84
Befolkning_botid;2015;0538;10+;alle;person;78
Befolkning_botid;2015;0540;0_4;alle;person;83
Befolkning_botid;2015;0540;5_9;alle;person;64
Befolkning_botid;2015;0540;10+;alle;person;47
Befolkning_botid;2015;0541;0_4;alle;person;135
Befolkning_botid;2015;0541;5_9;alle;person;20
Befolkning_botid;2015;0541;10+;alle;person;19
Befolkning_botid;2015;0542;0_4;alle;person;254
Befolkning_botid;2015;0542;5_9;alle;person;144
Befolkning_botid;2015;0542;10+;alle;person;157
Befolkning_botid;2015;0543;0_4;alle;person;80
Befolkning_botid;2015;0543;5_9;alle;person;58
Befolkning_botid;2015;0543;10+;alle;person;25
Befolkning_botid;2015;0544;0_4;alle;person;111
Befolkning_botid;2015;0544;5_9;alle;person;69
Befolkning_botid;2015;0544;10+;alle;person;82
Befolkning_botid;2015;0545;0_4;alle;person;156
Befolkning_botid;2015;0545;5_9;alle;person;56
Befolkning_botid;2015;0545;10+;alle;person;33
Befolkning_botid;2015;0602;0_4;alle;person;4096
Befolkning_botid;2015;0602;5_9;alle;person;2598
Befolkning_botid;2015;0602;10+;alle;person;6965
Befolkning_botid;2015;0604;0_4;alle;person;1568
Befolkning_botid;2015;0604;5_9;alle;person;833
Befolkning_botid;2015;0604;10+;alle;person;1192
Befolkning_botid;2015;0605;0_4;alle;person;1067
Befolkning_botid;2015;0605;5_9;alle;person;828
Befolkning_botid;2015;0605;10+;alle;person;1252
Befolkning_botid;2015;0612;0_4;alle;person;352
Befolkning_botid;2015;0612;5_9;alle;person;223
Befolkning_botid;2015;0612;10+;alle;person;287
Befolkning_botid;2015;0615;0_4;alle;person;63
Befolkning_botid;2015;0615;5_9;alle;person;15
Befolkning_botid;2015;0615;10+;alle;person;20
Befolkning_botid;2015;0616;0_4;alle;person;177
Befolkning_botid;2015;0616;5_9;alle;person;89
Befolkning_botid;2015;0616;10+;alle;person;87
Befolkning_botid;2015;0617;0_4;alle;person;283
Befolkning_botid;2015;0617;5_9;alle;person;181
Befolkning_botid;2015;0617;10+;alle;person;182
Befolkning_botid;2015;0618;0_4;alle;person;246
Befolkning_botid;2015;0618;5_9;alle;person;115
Befolkning_botid;2015;0618;10+;alle;person;93
Befolkning_botid;2015;0619;0_4;alle;person;171
Befolkning_botid;2015;0619;5_9;alle;person;139
Befolkning_botid;2015;0619;10+;alle;person;108
Befolkning_botid;2015;0620;0_4;alle;person;306
Befolkning_botid;2015;0620;5_9;alle;person;156
Befolkning_botid;2015;0620;10+;alle;person;183
Befolkning_botid;2015;0621;0_4;alle;person;95
Befolkning_botid;2015;0621;5_9;alle;person;78
Befolkning_botid;2015;0621;10+;alle;person;31
Befolkning_botid;2015;0622;0_4;alle;person;138
Befolkning_botid;2015;0622;5_9;alle;person;58
Befolkning_botid;2015;0622;10+;alle;person;31
Befolkning_botid;2015;0623;0_4;alle;person;414
Befolkning_botid;2015;0623;5_9;alle;person;388
Befolkning_botid;2015;0623;10+;alle;person;400
Befolkning_botid;2015;0624;0_4;alle;person;826
Befolkning_botid;2015;0624;5_9;alle;person;561
Befolkning_botid;2015;0624;10+;alle;person;668
Befolkning_botid;2015;0625;0_4;alle;person;1002
Befolkning_botid;2015;0625;5_9;alle;person;786
Befolkning_botid;2015;0625;10+;alle;person;1755
Befolkning_botid;2015;0626;0_4;alle;person;1343
