tabell_navn;aar;fylke_id;landbakgrunn;kjonn;enhet;tabellvariabel;
befolkning_opprinnelsesland;2015;01;393;alle;person;.;
befolkning_opprinnelsesland;2015;01;404;alle;person;490;
befolkning_opprinnelsesland;2015;01;406;alle;person;5;
befolkning_opprinnelsesland;2015;01;407;alle;person;25;
befolkning_opprinnelsesland;2015;01;409;alle;person;.;
befolkning_opprinnelsesland;2015;01;410;alle;person;6;
befolkning_opprinnelsesland;2015;01;412;alle;person;:;
befolkning_opprinnelsesland;2015;01;416;alle;person;.;
befolkning_opprinnelsesland;2015;01;420;alle;person;81;
befolkning_opprinnelsesland;2015;01;424;alle;person;94;
befolkning_opprinnelsesland;2015;01;426;alle;person;9;
befolkning_opprinnelsesland;2015;01;428;alle;person;812;
befolkning_opprinnelsesland;2015;01;430;alle;person;24;
befolkning_opprinnelsesland;2015;01;432;alle;person;6;
befolkning_opprinnelsesland;2015;01;436;alle;person;17;
befolkning_opprinnelsesland;2015;01;444;alle;person;183;
befolkning_opprinnelsesland;2015;01;448;alle;person;41;
befolkning_opprinnelsesland;2015;01;452;alle;person;2911;
befolkning_opprinnelsesland;2015;01;456;alle;person;961;
befolkning_opprinnelsesland;2015;01;460;alle;person;24;
befolkning_opprinnelsesland;2015;01;464;alle;person;30;
befolkning_opprinnelsesland;2015;01;476;alle;person;26;
befolkning_opprinnelsesland;2015;01;478;alle;person;5;
befolkning_opprinnelsesland;2015;01;480;alle;person;43;
befolkning_opprinnelsesland;2015;01;484;alle;person;323;
befolkning_opprinnelsesland;2015;01;488;alle;person;:;
befolkning_opprinnelsesland;2015;01;492;alle;person;24;
befolkning_opprinnelsesland;2015;01;496;alle;person;50;
befolkning_opprinnelsesland;2015;01;500;alle;person;12;
befolkning_opprinnelsesland;2015;01;502;alle;person;4;
befolkning_opprinnelsesland;2015;01;504;alle;person;4;
befolkning_opprinnelsesland;2015;01;508;alle;person;102;
befolkning_opprinnelsesland;2015;01;510;alle;person;:;
befolkning_opprinnelsesland;2015;01;512;alle;person;15;
befolkning_opprinnelsesland;2015;01;513;alle;person;.;
befolkning_opprinnelsesland;2015;01;516;alle;person;4;
befolkning_opprinnelsesland;2015;01;520;alle;person;.;
befolkning_opprinnelsesland;2015;01;524;alle;person;186;
befolkning_opprinnelsesland;2015;01;528;alle;person;21;
befolkning_opprinnelsesland;2015;01;534;alle;person;639;
befolkning_opprinnelsesland;2015;01;537;alle;person;.;
befolkning_opprinnelsesland;2015;01;540;alle;person;:;
befolkning_opprinnelsesland;2015;01;544;alle;person;10;
befolkning_opprinnelsesland;2015;01;548;alle;person;7;
befolkning_opprinnelsesland;2015;01;550;alle;person;:;
befolkning_opprinnelsesland;2015;01;552;alle;person;11;
befolkning_opprinnelsesland;2015;01;554;alle;person;17;
befolkning_opprinnelsesland;2015;01;564;alle;person;367;
befolkning_opprinnelsesland;2015;01;568;alle;person;863;
befolkning_opprinnelsesland;2015;01;575;alle;person;1111;
befolkning_opprinnelsesland;2015;01;578;alle;person;12;
befolkning_opprinnelsesland;2015;01;601;alle;person;.;
befolkning_opprinnelsesland;2015;01;602;alle;person;:;
befolkning_opprinnelsesland;2015;01;603;alle;person;.;
befolkning_opprinnelsesland;2015;01;604;alle;person;:;
befolkning_opprinnelsesland;2015;01;605;alle;person;.;
befolkning_opprinnelsesland;2015;01;606;alle;person;.;
befolkning_opprinnelsesland;2015;01;608;alle;person;.;
befolkning_opprinnelsesland;2015;01;612;alle;person;55;
befolkning_opprinnelsesland;2015;01;613;alle;person;.;
befolkning_opprinnelsesland;2015;01;616;alle;person;:;
befolkning_opprinnelsesland;2015;01;620;alle;person;43;
befolkning_opprinnelsesland;2015;01;622;alle;person;.;
befolkning_opprinnelsesland;2015;01;624;alle;person;15;
befolkning_opprinnelsesland;2015;01;629;alle;person;.;
befolkning_opprinnelsesland;2015;01;631;alle;person;.;
befolkning_opprinnelsesland;2015;01;632;alle;person;8;
befolkning_opprinnelsesland;2015;01;636;alle;person;:;
befolkning_opprinnelsesland;2015;01;644;alle;person;:;
befolkning_opprinnelsesland;2015;01;648;alle;person;5;
befolkning_opprinnelsesland;2015;01;650;alle;person;.;
befolkning_opprinnelsesland;2015;01;652;alle;person;29;
befolkning_opprinnelsesland;2015;01;654;alle;person;.;
befolkning_opprinnelsesland;2015;01;657;alle;person;.;
befolkning_opprinnelsesland;2015;01;658;alle;person;.;
befolkning_opprinnelsesland;2015;01;659;alle;person;.;
befolkning_opprinnelsesland;2015;01;660;alle;person;.;
befolkning_opprinnelsesland;2015;01;661;alle;person;.;
befolkning_opprinnelsesland;2015;01;664;alle;person;10;
befolkning_opprinnelsesland;2015;01;668;alle;person;:;
befolkning_opprinnelsesland;2015;01;672;alle;person;:;
befolkning_opprinnelsesland;2015;01;676;alle;person;.;
befolkning_opprinnelsesland;2015;01;677;alle;person;.;
befolkning_opprinnelsesland;2015;01;678;alle;person;:;
befolkning_opprinnelsesland;2015;01;679;alle;person;.;
befolkning_opprinnelsesland;2015;01;680;alle;person;11;
befolkning_opprinnelsesland;2015;01;681;alle;person;.;
befolkning_opprinnelsesland;2015;01;684;alle;person;278;
befolkning_opprinnelsesland;2015;01;685;alle;person;:;
befolkning_opprinnelsesland;2015;01;686;alle;person;.;
befolkning_opprinnelsesland;2015;01;687;alle;person;.;
befolkning_opprinnelsesland;2015;01;705;alle;person;23;
befolkning_opprinnelsesland;2015;01;710;alle;person;11;
befolkning_opprinnelsesland;2015;01;715;alle;person;140;
befolkning_opprinnelsesland;2015;01;720;alle;person;10;
befolkning_opprinnelsesland;2015;01;725;alle;person;190;
befolkning_opprinnelsesland;2015;01;730;alle;person;49;
befolkning_opprinnelsesland;2015;01;735;alle;person;24;
befolkning_opprinnelsesland;2015;01;740;alle;person;.;
befolkning_opprinnelsesland;2015;01;745;alle;person;.;
befolkning_opprinnelsesland;2015;01;755;alle;person;9;
befolkning_opprinnelsesland;2015;01;760;alle;person;38;
befolkning_opprinnelsesland;2015;01;765;alle;person;:;
befolkning_opprinnelsesland;2015;01;770;alle;person;8;
befolkning_opprinnelsesland;2015;01;775;alle;person;11;
befolkning_opprinnelsesland;2015;01;802;alle;person;.;
befolkning_opprinnelsesland;2015;01;805;alle;person;29;
befolkning_opprinnelsesland;2015;01;806;alle;person;.;
befolkning_opprinnelsesland;2015;01;807;alle;person;.;
befolkning_opprinnelsesland;2015;01;808;alle;person;.;
befolkning_opprinnelsesland;2015;01;809;alle;person;.;
befolkning_opprinnelsesland;2015;01;811;alle;person;:;
befolkning_opprinnelsesland;2015;01;812;alle;person;.;
befolkning_opprinnelsesland;2015;01;813;alle;person;.;
befolkning_opprinnelsesland;2015;01;814;alle;person;.;
befolkning_opprinnelsesland;2015;01;815;alle;person;.;
befolkning_opprinnelsesland;2015;01;816;alle;person;.;
befolkning_opprinnelsesland;2015;01;817;alle;person;.;
befolkning_opprinnelsesland;2015;01;818;alle;person;.;
befolkning_opprinnelsesland;2015;01;819;alle;person;.;
befolkning_opprinnelsesland;2015;01;820;alle;person;13;
befolkning_opprinnelsesland;2015;01;821;alle;person;.;
befolkning_opprinnelsesland;2015;01;822;alle;person;.;
befolkning_opprinnelsesland;2015;01;826;alle;person;.;
befolkning_opprinnelsesland;2015;01;827;alle;person;.;
befolkning_opprinnelsesland;2015;01;828;alle;person;.;
befolkning_opprinnelsesland;2015;01;829;alle;person;.;
befolkning_opprinnelsesland;2015;01;830;alle;person;.;
befolkning_opprinnelsesland;2015;01;832;alle;person;.;
befolkning_opprinnelsesland;2015;01;833;alle;person;.;
befolkning_opprinnelsesland;2015;01;835;alle;person;.;
befolkning_opprinnelsesland;2015;01;839;alle;person;:;
befolkning_opprinnelsesland;2015;01;840;alle;person;.;
befolkning_opprinnelsesland;2015;01;970;alle;person;51;
befolkning_opprinnelsesland;2015;01;980;alle;person;.;
befolkning_opprinnelsesland;2015;01;990;alle;person;.;
befolkning_opprinnelsesland;2015;02;101;alle;person;3357;
befolkning_opprinnelsesland;2015;02;102;alle;person;18;
befolkning_opprinnelsesland;2015;02;103;alle;person;884;
befolkning_opprinnelsesland;2015;02;104;alle;person;42;
befolkning_opprinnelsesland;2015;02;105;alle;person;1116;
befolkning_opprinnelsesland;2015;02;106;alle;person;5933;
befolkning_opprinnelsesland;2015;02;111;alle;person;120;
befolkning_opprinnelsesland;2015;02;112;alle;person;133;
befolkning_opprinnelsesland;2015;02;113;alle;person;458;
befolkning_opprinnelsesland;2015;02;114;alle;person;.;
befolkning_opprinnelsesland;2015;02;115;alle;person;709;
befolkning_opprinnelsesland;2015;02;117;alle;person;543;
befolkning_opprinnelsesland;2015;02;118;alle;person;.;
befolkning_opprinnelsesland;2015;02;119;alle;person;251;
befolkning_opprinnelsesland;2015;02;120;alle;person;123;
befolkning_opprinnelsesland;2015;02;121;alle;person;161;
befolkning_opprinnelsesland;2015;02;122;alle;person;421;
befolkning_opprinnelsesland;2015;02;123;alle;person;378;
