kommune_nr,aar,enhet,tabell_navn,tilskudd_til_kommuner,tabellvariabel
1017,2015,kroner,tilskudd,barnehage_tilsk,48800
1018,2015,kroner,tilskudd,barnehage_tilsk,24400
1021,2015,kroner,tilskudd,barnehage_tilsk,47800
1026,2015,kroner,tilskudd,barnehage_tilsk,0
1027,2015,kroner,tilskudd,barnehage_tilsk,24400
1029,2015,kroner,tilskudd,barnehage_tilsk,24400
1032,2015,kroner,tilskudd,barnehage_tilsk,243000
1034,2015,kroner,tilskudd,barnehage_tilsk,24400
1037,2015,kroner,tilskudd,barnehage_tilsk,71200
1046,2015,kroner,tilskudd,barnehage_tilsk,0
1101,2015,kroner,tilskudd,barnehage_tilsk,194200
1102,2015,kroner,tilskudd,barnehage_tilsk,120000
1103,2015,kroner,tilskudd,barnehage_tilsk,267400
1106,2015,kroner,tilskudd,barnehage_tilsk,241000
1111,2015,kroner,tilskudd,barnehage_tilsk,0
1112,2015,kroner,tilskudd,barnehage_tilsk,24400
1114,2015,kroner,tilskudd,barnehage_tilsk,0
1119,2015,kroner,tilskudd,barnehage_tilsk,191700
1120,2015,kroner,tilskudd,barnehage_tilsk,72200
1121,2015,kroner,tilskudd,barnehage_tilsk,120000
1122,2015,kroner,tilskudd,barnehage_tilsk,73200
1124,2015,kroner,tilskudd,barnehage_tilsk,24400
1127,2015,kroner,tilskudd,barnehage_tilsk,195200
1129,2015,kroner,tilskudd,barnehage_tilsk,0
1130,2015,kroner,tilskudd,barnehage_tilsk,0
1133,2015,kroner,tilskudd,barnehage_tilsk,48800
1134,2015,kroner,tilskudd,barnehage_tilsk,73200
1135,2015,kroner,tilskudd,barnehage_tilsk,72200
1141,2015,kroner,tilskudd,barnehage_tilsk,0
1142,2015,kroner,tilskudd,barnehage_tilsk,24400
1144,2015,kroner,tilskudd,barnehage_tilsk,23400
1145,2015,kroner,tilskudd,barnehage_tilsk,0
1146,2015,kroner,tilskudd,barnehage_tilsk,24400
1149,2015,kroner,tilskudd,barnehage_tilsk,217600
1151,2015,kroner,tilskudd,barnehage_tilsk,24400
1160,2015,kroner,tilskudd,barnehage_tilsk,122000
1201,2015,kroner,tilskudd,barnehage_tilsk,964000
1211,2015,kroner,tilskudd,barnehage_tilsk,24400
1216,2015,kroner,tilskudd,barnehage_tilsk,73200
1219,2015,kroner,tilskudd,barnehage_tilsk,95600
1221,2015,kroner,tilskudd,barnehage_tilsk,145400
1222,2015,kroner,tilskudd,barnehage_tilsk,73200
1223,2015,kroner,tilskudd,barnehage_tilsk,23400
1224,2015,kroner,tilskudd,barnehage_tilsk,73200
1227,2015,kroner,tilskudd,barnehage_tilsk,0
1228,2015,kroner,tilskudd,barnehage_tilsk,122000
1231,2015,kroner,tilskudd,barnehage_tilsk,24400
1232,2015,kroner,tilskudd,barnehage_tilsk,0
1233,2015,kroner,tilskudd,barnehage_tilsk,0
1234,2015,kroner,tilskudd,barnehage_tilsk,0
1235,2015,kroner,tilskudd,barnehage_tilsk,0
1238,2015,kroner,tilskudd,barnehage_tilsk,48800
1241,2015,kroner,tilskudd,barnehage_tilsk,73200
1242,2015,kroner,tilskudd,barnehage_tilsk,0
1243,2015,kroner,tilskudd,barnehage_tilsk,48800
1244,2015,kroner,tilskudd,barnehage_tilsk,0
1245,2015,kroner,tilskudd,barnehage_tilsk,48800
1246,2015,kroner,tilskudd,barnehage_tilsk,181900
1247,2015,kroner,tilskudd,barnehage_tilsk,167800
1251,2015,kroner,tilskudd,barnehage_tilsk,24400
1252,2015,kroner,tilskudd,barnehage_tilsk,0
1253,2015,kroner,tilskudd,barnehage_tilsk,47800
1256,2015,kroner,tilskudd,barnehage_tilsk,48800
1259,2015,kroner,tilskudd,barnehage_tilsk,73200
1260,2015,kroner,tilskudd,barnehage_tilsk,24400
1263,2015,kroner,tilskudd,barnehage_tilsk,24400
1264,2015,kroner,tilskudd,barnehage_tilsk,24400
1265,2015,kroner,tilskudd,barnehage_tilsk,0
1266,2015,kroner,tilskudd,barnehage_tilsk,73200
1401,2015,kroner,tilskudd,barnehage_tilsk,170800
1411,2015,kroner,tilskudd,barnehage_tilsk,0
1412,2015,kroner,tilskudd,barnehage_tilsk,0
1413,2015,kroner,tilskudd,barnehage_tilsk,0
1416,2015,kroner,tilskudd,barnehage_tilsk,24400
1417,2015,kroner,tilskudd,barnehage_tilsk,48800
1418,2015,kroner,tilskudd,barnehage_tilsk,24400
1419,2015,kroner,tilskudd,barnehage_tilsk,122000
1420,2015,kroner,tilskudd,barnehage_tilsk,47800
1421,2015,kroner,tilskudd,barnehage_tilsk,0
1422,2015,kroner,tilskudd,barnehage_tilsk,24400
1424,2015,kroner,tilskudd,barnehage_tilsk,24400
1426,2015,kroner,tilskudd,barnehage_tilsk,48800
1428,2015,kroner,tilskudd,barnehage_tilsk,0
1429,2015,kroner,tilskudd,barnehage_tilsk,24400
1430,2015,kroner,tilskudd,barnehage_tilsk,0
1431,2015,kroner,tilskudd,barnehage_tilsk,24400
1432,2015,kroner,tilskudd,barnehage_tilsk,23400
1433,2015,kroner,tilskudd,barnehage_tilsk,24400
1438,2015,kroner,tilskudd,barnehage_tilsk,23400
1439,2015,kroner,tilskudd,barnehage_tilsk,72200
1441,2015,kroner,tilskudd,barnehage_tilsk,48800
1443,2015,kroner,tilskudd,barnehage_tilsk,48800
1444,2015,kroner,tilskudd,barnehage_tilsk,0
1445,2015,kroner,tilskudd,barnehage_tilsk,48800
1449,2015,kroner,tilskudd,barnehage_tilsk,71700
1502,2015,kroner,tilskudd,barnehage_tilsk,708100
1504,2015,kroner,tilskudd,barnehage_tilsk,290800
1505,2015,kroner,tilskudd,barnehage_tilsk,72200
1511,2015,kroner,tilskudd,barnehage_tilsk,0
1514,2015,kroner,tilskudd,barnehage_tilsk,24400
1515,2015,kroner,tilskudd,barnehage_tilsk,48800
1516,2015,kroner,tilskudd,barnehage_tilsk,48800
1517,2015,kroner,tilskudd,barnehage_tilsk,0
1519,2015,kroner,tilskudd,barnehage_tilsk,48800
