tabell_navn;aar;naringsregion_id;landbakgrunn;kjonn;enhet;tabellvariabel;
befolkning_opprinnelsesland;2015;01;250;alle;person;.;
befolkning_opprinnelsesland;2015;01;254;alle;person;.;
befolkning_opprinnelsesland;2015;01;256;alle;person;.;
befolkning_opprinnelsesland;2015;01;260;alle;person;.;
befolkning_opprinnelsesland;2015;01;264;alle;person;.;
befolkning_opprinnelsesland;2015;01;266;alle;person;.;
befolkning_opprinnelsesland;2015;01;270;alle;person;:;
befolkning_opprinnelsesland;2015;01;273;alle;person;.;
befolkning_opprinnelsesland;2015;01;276;alle;person;:;
befolkning_opprinnelsesland;2015;01;278;alle;person;:;
befolkning_opprinnelsesland;2015;01;279;alle;person;22;
befolkning_opprinnelsesland;2015;01;281;alle;person;.;
befolkning_opprinnelsesland;2015;01;283;alle;person;4;
befolkning_opprinnelsesland;2015;01;286;alle;person;.;
befolkning_opprinnelsesland;2015;01;289;alle;person;.;
befolkning_opprinnelsesland;2015;01;296;alle;person;.;
befolkning_opprinnelsesland;2015;01;299;alle;person;.;
befolkning_opprinnelsesland;2015;01;303;alle;person;21;
befolkning_opprinnelsesland;2015;01;304;alle;person;.;
befolkning_opprinnelsesland;2015;01;306;alle;person;.;
befolkning_opprinnelsesland;2015;01;307;alle;person;.;
befolkning_opprinnelsesland;2015;01;308;alle;person;:;
befolkning_opprinnelsesland;2015;01;309;alle;person;.;
befolkning_opprinnelsesland;2015;01;313;alle;person;5;
befolkning_opprinnelsesland;2015;01;319;alle;person;.;
befolkning_opprinnelsesland;2015;01;322;alle;person;.;
befolkning_opprinnelsesland;2015;01;323;alle;person;.;
befolkning_opprinnelsesland;2015;01;326;alle;person;:;
befolkning_opprinnelsesland;2015;01;329;alle;person;16;
befolkning_opprinnelsesland;2015;01;333;alle;person;.;
befolkning_opprinnelsesland;2015;01;336;alle;person;:;
befolkning_opprinnelsesland;2015;01;337;alle;person;.;
befolkning_opprinnelsesland;2015;01;338;alle;person;.;
befolkning_opprinnelsesland;2015;01;339;alle;person;:;
befolkning_opprinnelsesland;2015;01;346;alle;person;256;
befolkning_opprinnelsesland;2015;01;355;alle;person;.;
befolkning_opprinnelsesland;2015;01;356;alle;person;:;
befolkning_opprinnelsesland;2015;01;357;alle;person;.;
befolkning_opprinnelsesland;2015;01;359;alle;person;4;
befolkning_opprinnelsesland;2015;01;369;alle;person;:;
befolkning_opprinnelsesland;2015;01;373;alle;person;.;
befolkning_opprinnelsesland;2015;01;376;alle;person;.;
befolkning_opprinnelsesland;2015;01;379;alle;person;:;
befolkning_opprinnelsesland;2015;01;386;alle;person;11;
befolkning_opprinnelsesland;2015;01;389;alle;person;.;
befolkning_opprinnelsesland;2015;01;393;alle;person;.;
befolkning_opprinnelsesland;2015;01;404;alle;person;34;
befolkning_opprinnelsesland;2015;01;406;alle;person;.;
befolkning_opprinnelsesland;2015;01;407;alle;person;4;
befolkning_opprinnelsesland;2015;01;409;alle;person;.;
befolkning_opprinnelsesland;2015;01;410;alle;person;.;
befolkning_opprinnelsesland;2015;01;412;alle;person;.;
befolkning_opprinnelsesland;2015;01;416;alle;person;.;
befolkning_opprinnelsesland;2015;01;420;alle;person;.;
befolkning_opprinnelsesland;2015;01;424;alle;person;12;
befolkning_opprinnelsesland;2015;01;426;alle;person;.;
befolkning_opprinnelsesland;2015;01;428;alle;person;52;
befolkning_opprinnelsesland;2015;01;430;alle;person;9;
befolkning_opprinnelsesland;2015;01;432;alle;person;.;
befolkning_opprinnelsesland;2015;01;436;alle;person;:;
befolkning_opprinnelsesland;2015;01;444;alle;person;17;
befolkning_opprinnelsesland;2015;01;448;alle;person;11;
befolkning_opprinnelsesland;2015;01;452;alle;person;124;
befolkning_opprinnelsesland;2015;01;456;alle;person;72;
befolkning_opprinnelsesland;2015;01;460;alle;person;:;
befolkning_opprinnelsesland;2015;01;464;alle;person;10;
