tabell_navn;aar;naringsregion_nr;vreg_3;botid_5;enhet;tabellvariabel
Befolkning_botid;2015;64; ;0_4;person;2049
Befolkning_botid;2015;64; ;5_9;person;1123
Befolkning_botid;2015;64; ;10+;person;1061
Befolkning_botid;2015;65; ;0_4;person;311
Befolkning_botid;2015;65; ;5_9;person;111
Befolkning_botid;2015;65; ;10+;person;152
Befolkning_botid;2015;66; ;0_4;person;417
Befolkning_botid;2015;66; ;5_9;person;173
Befolkning_botid;2015;66; ;10+;person;120
Befolkning_botid;2015;67; ;0_4;person;673
Befolkning_botid;2015;67; ;5_9;person;287
Befolkning_botid;2015;67; ;10+;person;335
Befolkning_botid;2015;68; ;0_4;person;412
Befolkning_botid;2015;68; ;5_9;person;180
Befolkning_botid;2015;68; ;10+;person;185
Befolkning_botid;2015;69; ;0_4;person;767
Befolkning_botid;2015;69; ;5_9;person;213
Befolkning_botid;2015;69; ;10+;person;249
Befolkning_botid;2015;70; ;0_4;person;144
Befolkning_botid;2015;70; ;5_9;person;81
Befolkning_botid;2015;70; ;10+;person;39
Befolkning_botid;2015;71; ;0_4;person;575
Befolkning_botid;2015;71; ;5_9;person;183
Befolkning_botid;2015;71; ;10+;person;268
Befolkning_botid;2015;72; ;0_4;person;1081
Befolkning_botid;2015;72; ;5_9;person;465
Befolkning_botid;2015;72; ;10+;person;521
Befolkning_botid;2015;73; ;0_4;person;3111
Befolkning_botid;2015;73; ;5_9;person;1354
Befolkning_botid;2015;73; ;10+;person;1647
Befolkning_botid;2015;74; ;0_4;person;1351
Befolkning_botid;2015;74; ;5_9;person;456
Befolkning_botid;2015;74; ;10+;person;595
Befolkning_botid;2015;75; ;0_4;person;1284
Befolkning_botid;2015;75; ;5_9;person;574
Befolkning_botid;2015;75; ;10+;person;470
Befolkning_botid;2015;76; ;0_4;person;1579
Befolkning_botid;2015;76; ;5_9;person;582
Befolkning_botid;2015;76; ;10+;person;632
Befolkning_botid;2015;77; ;0_4;person;1568
Befolkning_botid;2015;77; ;5_9;person;822
Befolkning_botid;2015;77; ;10+;person;721
Befolkning_botid;2015;78; ;0_4;person;1338
Befolkning_botid;2015;78; ;5_9;person;403
Befolkning_botid;2015;78; ;10+;person;469
Befolkning_botid;2015;79; ;0_4;person;4347
Befolkning_botid;2015;79; ;5_9;person;1869
Befolkning_botid;2015;79; ;10+;person;2544
Befolkning_botid;2015;80; ;0_4;person;534
Befolkning_botid;2015;80; ;5_9;person;215
Befolkning_botid;2015;80; ;10+;person;252
Befolkning_botid;2015;81; ;0_4;person;2259
Befolkning_botid;2015;81; ;5_9;person;1048
Befolkning_botid;2015;81; ;10+;person;942
Befolkning_botid;2015;82; ;0_4;person;418
Befolkning_botid;2015;82; ;5_9;person;163
Befolkning_botid;2015;82; ;10+;person;446
Befolkning_botid;2015;83; ;0_4;person;2021
Befolkning_botid;2015;83; ;5_9;person;599
Befolkning_botid;2015;83; ;10+;person;1094
Befolkning_botid;2015;01;1;0_4;person;522
Befolkning_botid;2015;01;2;0_4;person;270
Befolkning_botid;2015;01;1;5_9;person;273
Befolkning_botid;2015;01;2;5_9;person;314
Befolkning_botid;2015;01;1;10+;person;672
Befolkning_botid;2015;01;2;10+;person;1045
Befolkning_botid;2015;02;1;0_4;person;1500
Befolkning_botid;2015;02;2;0_4;person;751
Befolkning_botid;2015;02;1;5_9;person;1090
Befolkning_botid;2015;02;2;5_9;person;738
Befolkning_botid;2015;02;1;10+;person;1199
Befolkning_botid;2015;02;2;10+;person;1987
Befolkning_botid;2015;03;1;0_4;person;1449
Befolkning_botid;2015;03;2;0_4;person;829
Befolkning_botid;2015;03;1;5_9;person;1019
Befolkning_botid;2015;03;2;5_9;person;681
Befolkning_botid;2015;03;1;10+;person;1284
Befolkning_botid;2015;03;2;10+;person;2369
Befolkning_botid;2015;04;1;0_4;person;2571
Befolkning_botid;2015;04;2;0_4;person;1681
Befolkning_botid;2015;04;1;5_9;person;1708
Befolkning_botid;2015;04;2;5_9;person;2127
Befolkning_botid;2015;04;1;10+;person;2428
Befolkning_botid;2015;04;2;10+;person;6520
Befolkning_botid;2015;05;1;0_4;person;5998
Befolkning_botid;2015;05;2;0_4;person;4048
Befolkning_botid;2015;05;1;5_9;person;3839
Befolkning_botid;2015;05;2;5_9;person;2673
Befolkning_botid;2015;05;1;10+;person;5922
Befolkning_botid;2015;05;2;10+;person;6896
Befolkning_botid;2015;06;1;0_4;person;3314
Befolkning_botid;2015;06;2;0_4;person;2163
Befolkning_botid;2015;06;1;5_9;person;2013
Befolkning_botid;2015;06;2;5_9;person;1538
Befolkning_botid;2015;06;1;10+;person;3849
Befolkning_botid;2015;06;2;10+;person;4269
Befolkning_botid;2015;07;1;0_4;person;5273
Befolkning_botid;2015;07;2;0_4;person;2526
Befolkning_botid;2015;07;1;5_9;person;3020
Befolkning_botid;2015;07;2;5_9;person;2551
Befolkning_botid;2015;07;1;10+;person;3536
Befolkning_botid;2015;07;2;10+;person;9492
Befolkning_botid;2015;08;1;0_4;person;3357
Befolkning_botid;2015;08;2;0_4;person;1323
Befolkning_botid;2015;08;1;5_9;person;1825
Befolkning_botid;2015;08;2;5_9;person;1096
Befolkning_botid;2015;08;1;10+;person;1863
Befolkning_botid;2015;08;2;10+;person;3127
Befolkning_botid;2015;09;1;0_4;person;30342
Befolkning_botid;2015;09;2;0_4;person;21072
Befolkning_botid;2015;09;1;5_9;person;13614
Befolkning_botid;2015;09;2;5_9;person;15608
Befolkning_botid;2015;09;1;10+;person;17195
Befolkning_botid;2015;09;2;10+;person;61004
Befolkning_botid;2015;10;1;0_4;person;321
Befolkning_botid;2015;10;2;0_4;person;235
Befolkning_botid;2015;10;1;5_9;person;203
Befolkning_botid;2015;10;2;5_9;person;95
Befolkning_botid;2015;10;1;10+;person;182
Befolkning_botid;2015;10;2;10+;person;132
Befolkning_botid;2015;11;1;0_4;person;684
Befolkning_botid;2015;11;2;0_4;person;712
Befolkning_botid;2015;11;1;5_9;person;430
