"naringsregion_nr","bosetting","enhet","tabellvariabel","tabell_navn","aar"
"30","vedtak","personer","38","bosatt_anmodede","2014"
"31","vedtak","personer","30","bosatt_anmodede","2014"
"32","vedtak","personer","213","bosatt_anmodede","2014"
"33","vedtak","personer","100","bosatt_anmodede","2014"
"34","vedtak","personer","75","bosatt_anmodede","2014"
"35","vedtak","personer","332","bosatt_anmodede","2014"
"36","vedtak","personer","65","bosatt_anmodede","2014"
"37","vedtak","personer","128","bosatt_anmodede","2014"
"38","vedtak","personer","44","bosatt_anmodede","2014"
"39","vedtak","personer","345","bosatt_anmodede","2014"
"40","vedtak","personer","350","bosatt_anmodede","2014"
"41","vedtak","personer","20","bosatt_anmodede","2014"
"42","vedtak","personer","50","bosatt_anmodede","2014"
"43","vedtak","personer","30","bosatt_anmodede","2014"
"44","vedtak","personer","52","bosatt_anmodede","2014"
"45","vedtak","personer","13","bosatt_anmodede","2014"
"46","vedtak","personer","101","bosatt_anmodede","2014"
"47","vedtak","personer","70","bosatt_anmodede","2014"
"48","vedtak","personer","27","bosatt_anmodede","2014"
"49","vedtak","personer","92","bosatt_anmodede","2014"
"50","vedtak","personer","110","bosatt_anmodede","2014"
"51","vedtak","personer","72","bosatt_anmodede","2014"
"52","vedtak","personer","147","bosatt_anmodede","2014"
"53","vedtak","personer","80","bosatt_anmodede","2014"
"54","vedtak","personer","19","bosatt_anmodede","2014"
"55","vedtak","personer","91","bosatt_anmodede","2014"
"56","vedtak","personer","106","bosatt_anmodede","2014"
"57","vedtak","personer","59","bosatt_anmodede","2014"
"58","vedtak","personer","25","bosatt_anmodede","2014"
"59","vedtak","personer","30","bosatt_anmodede","2014"
"60","vedtak","personer","35","bosatt_anmodede","2014"
"61","vedtak","personer","364","bosatt_anmodede","2014"
"62","vedtak","personer","15","bosatt_anmodede","2014"
"63","vedtak","personer","65","bosatt_anmodede","2014"
"64","vedtak","personer","138","bosatt_anmodede","2014"
"65","vedtak","personer","35","bosatt_anmodede","2014"
"66","vedtak","personer","35","bosatt_anmodede","2014"
"67","vedtak","personer","50","bosatt_anmodede","2014"
"68","vedtak","personer","37","bosatt_anmodede","2014"
"69","vedtak","personer","50","bosatt_anmodede","2014"
"70","vedtak","personer","0","bosatt_anmodede","2014"
"71","vedtak","personer","45","bosatt_anmodede","2014"
"72","vedtak","personer","70","bosatt_anmodede","2014"
"73","vedtak","personer","196","bosatt_anmodede","2014"
"74","vedtak","personer","65","bosatt_anmodede","2014"
"75","vedtak","personer","92","bosatt_anmodede","2014"
"76","vedtak","personer","95","bosatt_anmodede","2014"
"77","vedtak","personer","118","bosatt_anmodede","2014"
"78","vedtak","personer","118","bosatt_anmodede","2014"
"79","vedtak","personer","140","bosatt_anmodede","2014"
"80","vedtak","personer","32","bosatt_anmodede","2014"
"81","vedtak","personer","82","bosatt_anmodede","2014"
"82","vedtak","personer","30","bosatt_anmodede","2014"
