"aar","bydel_nr","vreg_2","kjonn","enhet","tabellvariabel","tabell_navn","vreg_5","vreg_9","fylke_nr","naringsregion_nr","kommune_nr"
"2014","030104","NULL","alle","personer","233","befolkning_verdensregion","NULL","nord_amerika_oseania","NULL","NULL","NULL"
"2014","030104","NULL","alle","personer","1708","befolkning_verdensregion","NULL","asia","NULL","NULL","NULL"
"2014","030104","NULL","alle","personer","1022","befolkning_verdensregion","NULL","afrika","NULL","NULL","NULL"
"2014","030104","NULL","alle","personer","397","befolkning_verdensregion","NULL","sor_og_mellom_amerika","NULL","NULL","NULL"
"2014","030105","1","0","personer","3813","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030105","1","1","personer","4366","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030105","1","alle","personer","8179","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030105","2","0","personer","2659","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030105","2","1","personer","2358","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030105","2","alle","personer","5017","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030105","NULL","alle","personer","8535","befolkning_verdensregion","europa","NULL","NULL","NULL","NULL"
"2014","030105","NULL","alle","personer","2642","befolkning_verdensregion","asia","NULL","NULL","NULL","NULL"
"2014","030105","NULL","alle","personer","797","befolkning_verdensregion","afrika","NULL","NULL","NULL","NULL"
"2014","030105","NULL","alle","personer","567","befolkning_verdensregion","nord_amerika_oseania","NULL","NULL","NULL","NULL"
"2014","030105","NULL","alle","personer","655","befolkning_verdensregion","sor_og_mellom_amerika","NULL","NULL","NULL","NULL"
"2014","030105","NULL","alle","personer","3366","befolkning_verdensregion","NULL","norden","NULL","NULL","NULL"
"2014","030105","NULL","alle","personer","2524","befolkning_verdensregion","NULL","vest_europa","NULL","NULL","NULL"
"2014","030105","NULL","alle","personer","1723","befolkning_verdensregion","NULL","eu_ost_europa","NULL","NULL","NULL"
"2014","030105","NULL","alle","personer","922","befolkning_verdensregion","NULL","ost_europa_ellers","NULL","NULL","NULL"
"2014","030105","NULL","alle","personer","567","befolkning_verdensregion","NULL","nord_amerika_oseania","NULL","NULL","NULL"
"2014","030105","NULL","alle","personer","2642","befolkning_verdensregion","NULL","asia","NULL","NULL","NULL"
"2014","030105","NULL","alle","personer","797","befolkning_verdensregion","NULL","afrika","NULL","NULL","NULL"
"2014","030105","NULL","alle","personer","655","befolkning_verdensregion","NULL","sor_og_mellom_amerika","NULL","NULL","NULL"
"2014","030106","1","0","personer","1377","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030106","1","1","personer","1419","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030106","1","alle","personer","2796","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030106","2","0","personer","1162","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030106","2","1","personer","811","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030106","2","alle","personer","1973","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030106","NULL","alle","personer","2970","befolkning_verdensregion","europa","NULL","NULL","NULL","NULL"
"2014","030106","NULL","alle","personer","1158","befolkning_verdensregion","asia","NULL","NULL","NULL","NULL"
"2014","030106","NULL","alle","personer","306","befolkning_verdensregion","afrika","NULL","NULL","NULL","NULL"
"2014","030106","NULL","alle","personer","151","befolkning_verdensregion","nord_amerika_oseania","NULL","NULL","NULL","NULL"
"2014","030106","NULL","alle","personer","183","befolkning_verdensregion","sor_og_mellom_amerika","NULL","NULL","NULL","NULL"
"2014","030106","NULL","alle","personer","839","befolkning_verdensregion","NULL","norden","NULL","NULL","NULL"
"2014","030106","NULL","alle","personer","837","befolkning_verdensregion","NULL","vest_europa","NULL","NULL","NULL"
"2014","030106","NULL","alle","personer","967","befolkning_verdensregion","NULL","eu_ost_europa","NULL","NULL","NULL"
"2014","030106","NULL","alle","personer","327","befolkning_verdensregion","NULL","ost_europa_ellers","NULL","NULL","NULL"
"2014","030106","NULL","alle","personer","151","befolkning_verdensregion","NULL","nord_amerika_oseania","NULL","NULL","NULL"
"2014","030106","NULL","alle","personer","1158","befolkning_verdensregion","NULL","asia","NULL","NULL","NULL"
"2014","030106","NULL","alle","personer","306","befolkning_verdensregion","NULL","afrika","NULL","NULL","NULL"
"2014","030106","NULL","alle","personer","183","befolkning_verdensregion","NULL","sor_og_mellom_amerika","NULL","NULL","NULL"
"2014","030107","1","0","personer","1931","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030107","1","1","personer","2077","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030107","1","alle","personer","4008","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030107","2","0","personer","1792","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030107","2","1","personer","936","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030107","2","alle","personer","2728","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030107","NULL","alle","personer","4110","befolkning_verdensregion","europa","NULL","NULL","NULL","NULL"
"2014","030107","NULL","alle","personer","1650","befolkning_verdensregion","asia","NULL","NULL","NULL","NULL"
"2014","030107","NULL","alle","personer","471","befolkning_verdensregion","afrika","NULL","NULL","NULL","NULL"
"2014","030107","NULL","alle","personer","274","befolkning_verdensregion","nord_amerika_oseania","NULL","NULL","NULL","NULL"
"2014","030107","NULL","alle","personer","231","befolkning_verdensregion","sor_og_mellom_amerika","NULL","NULL","NULL","NULL"
"2014","030107","NULL","alle","personer","1181","befolkning_verdensregion","NULL","norden","NULL","NULL","NULL"
"2014","030107","NULL","alle","personer","1064","befolkning_verdensregion","NULL","vest_europa","NULL","NULL","NULL"
"2014","030107","NULL","alle","personer","1487","befolkning_verdensregion","NULL","eu_ost_europa","NULL","NULL","NULL"
"2014","030107","NULL","alle","personer","378","befolkning_verdensregion","NULL","ost_europa_ellers","NULL","NULL","NULL"
"2014","030107","NULL","alle","personer","274","befolkning_verdensregion","NULL","nord_amerika_oseania","NULL","NULL","NULL"
"2014","030107","NULL","alle","personer","1650","befolkning_verdensregion","NULL","asia","NULL","NULL","NULL"
"2014","030107","NULL","alle","personer","471","befolkning_verdensregion","NULL","afrika","NULL","NULL","NULL"
"2014","030107","NULL","alle","personer","231","befolkning_verdensregion","NULL","sor_og_mellom_amerika","NULL","NULL","NULL"
"2014","030108","1","0","personer","1771","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030108","1","1","personer","1871","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030108","1","alle","personer","3642","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030108","2","0","personer","1787","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030108","2","1","personer","1724","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030108","2","alle","personer","3511","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030108","NULL","alle","personer","3943","befolkning_verdensregion","europa","NULL","NULL","NULL","NULL"
"2014","030108","NULL","alle","personer","1738","befolkning_verdensregion","asia","NULL","NULL","NULL","NULL"
"2014","030108","NULL","alle","personer","1019","befolkning_verdensregion","afrika","NULL","NULL","NULL","NULL"
"2014","030108","NULL","alle","personer","211","befolkning_verdensregion","nord_amerika_oseania","NULL","NULL","NULL","NULL"
"2014","030108","NULL","alle","personer","240","befolkning_verdensregion","sor_og_mellom_amerika","NULL","NULL","NULL","NULL"
"2014","030108","NULL","alle","personer","1151","befolkning_verdensregion","NULL","norden","NULL","NULL","NULL"
"2014","030108","NULL","alle","personer","961","befolkning_verdensregion","NULL","vest_europa","NULL","NULL","NULL"
"2014","030108","NULL","alle","personer","1320","befolkning_verdensregion","NULL","eu_ost_europa","NULL","NULL","NULL"
"2014","030108","NULL","alle","personer","511","befolkning_verdensregion","NULL","ost_europa_ellers","NULL","NULL","NULL"
"2014","030108","NULL","alle","personer","211","befolkning_verdensregion","NULL","nord_amerika_oseania","NULL","NULL","NULL"
"2014","030108","NULL","alle","personer","1738","befolkning_verdensregion","NULL","asia","NULL","NULL","NULL"
"2014","030108","NULL","alle","personer","1019","befolkning_verdensregion","NULL","afrika","NULL","NULL","NULL"
"2014","030108","NULL","alle","personer","240","befolkning_verdensregion","NULL","sor_og_mellom_amerika","NULL","NULL","NULL"
"2014","030109","1","0","personer","1028","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030109","1","1","personer","1619","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030109","1","alle","personer","2647","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030109","2","0","personer","3213","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030109","2","1","personer","3426","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030109","2","alle","personer","6639","befolkning_verdensregion","NULL","NULL","NULL","NULL","NULL"
"2014","030109","NULL","alle","personer","3218","befolkning_verdensregion","europa","NULL","NULL","NULL","NULL"
"2014","030109","NULL","alle","personer","4283","befolkning_verdensregion","asia","NULL","NULL","NULL","NULL"
"2014","030109","NULL","alle","personer","1481","befolkning_verdensregion","afrika","NULL","NULL","NULL","NULL"
"2014","030109","NULL","alle","personer","53","befolkning_verdensregion","nord_amerika_oseania","NULL","NULL","NULL","NULL"
"2014","030109","NULL","alle","personer","248","befolkning_verdensregion","sor_og_mellom_amerika","NULL","NULL","NULL","NULL"
"2014","030109","NULL","alle","personer","521","befolkning_verdensregion","NULL","norden","NULL","NULL","NULL"
"2014","030109","NULL","alle","personer","437","befolkning_verdensregion","NULL","vest_europa","NULL","NULL","NULL"
"2014","030109","NULL","alle","personer","1633","befolkning_verdensregion","NULL","eu_ost_europa","NULL","NULL","NULL"
"2014","030109","NULL","alle","personer","627","befolkning_verdensregion","NULL","ost_europa_ellers","NULL","NULL","NULL"
"2014","030109","NULL","alle","personer","53","befolkning_verdensregion","NULL","nord_amerika_oseania","NULL","NULL","NULL"
"2014","030109","NULL","alle","personer","4283","befolkning_verdensregion","NULL","asia","NULL","NULL","NULL"
