tabell_navn;aar;fylke_id;landbakgrunn;kjonn;enhet;tabellvariabel;
befolkning_opprinnelsesland;2015;00;528;alle;person;1465;
befolkning_opprinnelsesland;2015;00;534;alle;person;19219;
befolkning_opprinnelsesland;2015;00;537;alle;person;15;
befolkning_opprinnelsesland;2015;00;540;alle;person;32;
befolkning_opprinnelsesland;2015;00;544;alle;person;407;
befolkning_opprinnelsesland;2015;00;548;alle;person;397;
befolkning_opprinnelsesland;2015;00;550;alle;person;104;
befolkning_opprinnelsesland;2015;00;552;alle;person;74;
befolkning_opprinnelsesland;2015;00;554;alle;person;474;
befolkning_opprinnelsesland;2015;00;564;alle;person;5450;
befolkning_opprinnelsesland;2015;00;568;alle;person;16555;
befolkning_opprinnelsesland;2015;00;575;alle;person;13701;
befolkning_opprinnelsesland;2015;00;578;alle;person;337;
befolkning_opprinnelsesland;2015;00;601;alle;person;:;
befolkning_opprinnelsesland;2015;00;602;alle;person;20;
befolkning_opprinnelsesland;2015;00;603;alle;person;4;
befolkning_opprinnelsesland;2015;00;604;alle;person;12;
befolkning_opprinnelsesland;2015;00;605;alle;person;10;
befolkning_opprinnelsesland;2015;00;606;alle;person;4;
befolkning_opprinnelsesland;2015;00;608;alle;person;:;
befolkning_opprinnelsesland;2015;00;612;alle;person;1751;
befolkning_opprinnelsesland;2015;00;613;alle;person;5;
befolkning_opprinnelsesland;2015;00;616;alle;person;138;
befolkning_opprinnelsesland;2015;00;620;alle;person;929;
befolkning_opprinnelsesland;2015;00;622;alle;person;18;
befolkning_opprinnelsesland;2015;00;624;alle;person;751;
befolkning_opprinnelsesland;2015;00;629;alle;person;15;
befolkning_opprinnelsesland;2015;00;631;alle;person;:;
befolkning_opprinnelsesland;2015;00;632;alle;person;180;
befolkning_opprinnelsesland;2015;00;636;alle;person;33;
befolkning_opprinnelsesland;2015;00;644;alle;person;101;
befolkning_opprinnelsesland;2015;00;648;alle;person;138;
befolkning_opprinnelsesland;2015;00;650;alle;person;7;
befolkning_opprinnelsesland;2015;00;652;alle;person;1104;
befolkning_opprinnelsesland;2015;00;654;alle;person;:;
befolkning_opprinnelsesland;2015;00;657;alle;person;10;
befolkning_opprinnelsesland;2015;00;658;alle;person;:;
befolkning_opprinnelsesland;2015;00;659;alle;person;.;
befolkning_opprinnelsesland;2015;00;660;alle;person;.;
befolkning_opprinnelsesland;2015;00;661;alle;person;26;
befolkning_opprinnelsesland;2015;00;664;alle;person;156;
befolkning_opprinnelsesland;2015;00;668;alle;person;54;
befolkning_opprinnelsesland;2015;00;672;alle;person;199;
befolkning_opprinnelsesland;2015;00;676;alle;person;.;
befolkning_opprinnelsesland;2015;00;677;alle;person;.;
befolkning_opprinnelsesland;2015;00;678;alle;person;12;
befolkning_opprinnelsesland;2015;00;679;alle;person;5;
befolkning_opprinnelsesland;2015;00;680;alle;person;262;
befolkning_opprinnelsesland;2015;00;681;alle;person;:;
befolkning_opprinnelsesland;2015;00;684;alle;person;8379;
befolkning_opprinnelsesland;2015;00;685;alle;person;23;
befolkning_opprinnelsesland;2015;00;686;alle;person;:;
befolkning_opprinnelsesland;2015;00;687;alle;person;.;
befolkning_opprinnelsesland;2015;00;705;alle;person;872;
befolkning_opprinnelsesland;2015;00;710;alle;person;292;
befolkning_opprinnelsesland;2015;00;715;alle;person;4169;
befolkning_opprinnelsesland;2015;00;720;alle;person;78;
befolkning_opprinnelsesland;2015;00;725;alle;person;6241;
befolkning_opprinnelsesland;2015;00;730;alle;person;1820;
befolkning_opprinnelsesland;2015;00;735;alle;person;488;
befolkning_opprinnelsesland;2015;00;740;alle;person;:;
befolkning_opprinnelsesland;2015;00;745;alle;person;4;
befolkning_opprinnelsesland;2015;00;755;alle;person;103;
befolkning_opprinnelsesland;2015;00;760;alle;person;1237;
befolkning_opprinnelsesland;2015;00;765;alle;person;36;
befolkning_opprinnelsesland;2015;00;770;alle;person;212;
befolkning_opprinnelsesland;2015;00;775;alle;person;997;
befolkning_opprinnelsesland;2015;00;802;alle;person;.;
befolkning_opprinnelsesland;2015;00;805;alle;person;1489;
befolkning_opprinnelsesland;2015;00;806;alle;person;6;
befolkning_opprinnelsesland;2015;00;807;alle;person;.;
befolkning_opprinnelsesland;2015;00;808;alle;person;.;
befolkning_opprinnelsesland;2015;00;809;alle;person;:;
befolkning_opprinnelsesland;2015;00;811;alle;person;34;
befolkning_opprinnelsesland;2015;00;812;alle;person;:;
befolkning_opprinnelsesland;2015;00;813;alle;person;5;
befolkning_opprinnelsesland;2015;00;814;alle;person;6;
befolkning_opprinnelsesland;2015;00;815;alle;person;:;
befolkning_opprinnelsesland;2015;00;816;alle;person;:;
befolkning_opprinnelsesland;2015;00;817;alle;person;.;
befolkning_opprinnelsesland;2015;00;818;alle;person;.;
befolkning_opprinnelsesland;2015;00;819;alle;person;.;
befolkning_opprinnelsesland;2015;00;820;alle;person;512;
befolkning_opprinnelsesland;2015;00;821;alle;person;.;
befolkning_opprinnelsesland;2015;00;822;alle;person;.;
befolkning_opprinnelsesland;2015;00;826;alle;person;:;
befolkning_opprinnelsesland;2015;00;827;alle;person;4;
befolkning_opprinnelsesland;2015;00;828;alle;person;.;
befolkning_opprinnelsesland;2015;00;829;alle;person;.;
befolkning_opprinnelsesland;2015;00;830;alle;person;:;
befolkning_opprinnelsesland;2015;00;832;alle;person;.;
befolkning_opprinnelsesland;2015;00;833;alle;person;4;
befolkning_opprinnelsesland;2015;00;835;alle;person;:;
befolkning_opprinnelsesland;2015;00;839;alle;person;:;
befolkning_opprinnelsesland;2015;00;840;alle;person;.;
befolkning_opprinnelsesland;2015;00;970;alle;person;33;
befolkning_opprinnelsesland;2015;00;980;alle;person;.;
befolkning_opprinnelsesland;2015;00;990;alle;person;.;
