tabell_navn;aar;kommune_id;vreg_2;kjonn;enhet;tabellvariabel;
befolkning_verdensregion;2015;0301;1;alle;person;61151;
befolkning_verdensregion;2015;0301;2;alle;person;97684;
befolkning_verdensregion;2015;0301;1;1;person;34471;
befolkning_verdensregion;2015;0301;2;1;person;48659;
befolkning_verdensregion;2015;0301;1;0;person;26680;
befolkning_verdensregion;2015;0301;2;0;person;49025;
befolkning_verdensregion;2015;0402;1;alle;person;695;
befolkning_verdensregion;2015;0402;2;alle;person;1081;
befolkning_verdensregion;2015;0402;1;1;person;375;
befolkning_verdensregion;2015;0402;2;1;person;537;
befolkning_verdensregion;2015;0402;1;0;person;320;
befolkning_verdensregion;2015;0402;2;0;person;544;
befolkning_verdensregion;2015;0403;1;alle;person;1204;
befolkning_verdensregion;2015;0403;2;alle;person;1770;
befolkning_verdensregion;2015;0403;1;1;person;658;
befolkning_verdensregion;2015;0403;2;1;person;863;
befolkning_verdensregion;2015;0403;1;0;person;546;
befolkning_verdensregion;2015;0403;2;0;person;907;
befolkning_verdensregion;2015;0412;1;alle;person;1583;
befolkning_verdensregion;2015;0412;2;alle;person;916;
befolkning_verdensregion;2015;0412;1;1;person;943;
befolkning_verdensregion;2015;0412;2;1;person;396;
befolkning_verdensregion;2015;0412;1;0;person;640;
befolkning_verdensregion;2015;0412;2;0;person;520;
befolkning_verdensregion;2015;0415;1;alle;person;290;
befolkning_verdensregion;2015;0415;2;alle;person;244;
befolkning_verdensregion;2015;0415;1;1;person;171;
befolkning_verdensregion;2015;0415;2;1;person;104;
befolkning_verdensregion;2015;0415;1;0;person;119;
befolkning_verdensregion;2015;0415;2;0;person;140;
befolkning_verdensregion;2015;0417;1;alle;person;818;
befolkning_verdensregion;2015;0417;2;alle;person;805;
befolkning_verdensregion;2015;0417;1;1;person;424;
befolkning_verdensregion;2015;0417;2;1;person;412;
befolkning_verdensregion;2015;0417;1;0;person;394;
befolkning_verdensregion;2015;0417;2;0;person;393;
befolkning_verdensregion;2015;0418;1;alle;person;125;
befolkning_verdensregion;2015;0418;2;alle;person;72;
befolkning_verdensregion;2015;0418;1;1;person;71;
befolkning_verdensregion;2015;0418;2;1;person;24;
befolkning_verdensregion;2015;0418;1;0;person;54;
befolkning_verdensregion;2015;0418;2;0;person;48;
