tabell_navn;aar;naringsregion_id;vreg_9;kjonn;enhet;tabellvariabel;
befolkning_verdensregion;2015;21;alle;alle;person;2612;
befolkning_verdensregion;2015;22;norden;alle;person;519;
befolkning_verdensregion;2015;22;vest_europa;alle;person;558;
befolkning_verdensregion;2015;22;eu_ost_europa;alle;person;906;
befolkning_verdensregion;2015;22;ost_europa_ellers;alle;person;246;
befolkning_verdensregion;2015;22;nord_amerika_oseania;alle;person;114;
befolkning_verdensregion;2015;22;asia;alle;person;1122;
befolkning_verdensregion;2015;22;afrika;alle;person;449;
befolkning_verdensregion;2015;22;sor_og_mellom_amerika;alle;person;206;
befolkning_verdensregion;2015;22;alle;alle;person;4120;
befolkning_verdensregion;2015;23;norden;alle;person;152;
befolkning_verdensregion;2015;23;vest_europa;alle;person;178;
befolkning_verdensregion;2015;23;eu_ost_europa;alle;person;684;
befolkning_verdensregion;2015;23;ost_europa_ellers;alle;person;138;
befolkning_verdensregion;2015;23;nord_amerika_oseania;alle;person;16;
befolkning_verdensregion;2015;23;asia;alle;person;296;
befolkning_verdensregion;2015;23;afrika;alle;person;137;
befolkning_verdensregion;2015;23;sor_og_mellom_amerika;alle;person;32;
befolkning_verdensregion;2015;23;alle;alle;person;1633;
befolkning_verdensregion;2015;24;norden;alle;person;439;
befolkning_verdensregion;2015;24;vest_europa;alle;person;442;
befolkning_verdensregion;2015;24;eu_ost_europa;alle;person;1271;
befolkning_verdensregion;2015;24;ost_europa_ellers;alle;person;502;
befolkning_verdensregion;2015;24;nord_amerika_oseania;alle;person;53;
befolkning_verdensregion;2015;24;asia;alle;person;925;
befolkning_verdensregion;2015;24;afrika;alle;person;234;
befolkning_verdensregion;2015;24;sor_og_mellom_amerika;alle;person;141;
befolkning_verdensregion;2015;24;alle;alle;person;4007;
befolkning_verdensregion;2015;25;norden;alle;person;1699;
befolkning_verdensregion;2015;25;vest_europa;alle;person;1546;
befolkning_verdensregion;2015;25;eu_ost_europa;alle;person;4294;
befolkning_verdensregion;2015;25;ost_europa_ellers;alle;person;1311;
befolkning_verdensregion;2015;25;nord_amerika_oseania;alle;person;274;
befolkning_verdensregion;2015;25;asia;alle;person;3673;
befolkning_verdensregion;2015;25;afrika;alle;person;1157;
befolkning_verdensregion;2015;25;sor_og_mellom_amerika;alle;person;327;
befolkning_verdensregion;2015;25;alle;alle;person;14281;
befolkning_verdensregion;2015;26;norden;alle;person;1155;
befolkning_verdensregion;2015;26;vest_europa;alle;person;986;
befolkning_verdensregion;2015;26;eu_ost_europa;alle;person;2896;
befolkning_verdensregion;2015;26;ost_europa_ellers;alle;person;1170;
befolkning_verdensregion;2015;26;nord_amerika_oseania;alle;person;176;
befolkning_verdensregion;2015;26;asia;alle;person;2833;
befolkning_verdensregion;2015;26;afrika;alle;person;892;
befolkning_verdensregion;2015;26;sor_og_mellom_amerika;alle;person;296;
befolkning_verdensregion;2015;26;alle;alle;person;10404;
befolkning_verdensregion;2015;27;norden;alle;person;1158;
befolkning_verdensregion;2015;27;vest_europa;alle;person;1167;
befolkning_verdensregion;2015;27;eu_ost_europa;alle;person;2414;
befolkning_verdensregion;2015;27;ost_europa_ellers;alle;person;1227;
befolkning_verdensregion;2015;27;nord_amerika_oseania;alle;person;162;
befolkning_verdensregion;2015;27;asia;alle;person;3605;
befolkning_verdensregion;2015;27;afrika;alle;person;2042;
befolkning_verdensregion;2015;27;sor_og_mellom_amerika;alle;person;469;
befolkning_verdensregion;2015;27;alle;alle;person;12244;
befolkning_verdensregion;2015;28;norden;alle;person;220;
