kom;komnr;navn;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;fylkenr;naregnr
0128 Rakkestad;0128;Rakkestad;6704200,00;2320000,00;1000000,00;1320000,00;0,00;1460600,00;523600,00;45800,00;0,00;34200,00;1;2
0135 Råde;0135;Råde;12327315,00;5273400,00;310000,00;4963400,00;27815,00;1650000,00;0,00;22900,00;0,00;79800,00;1;3
0136 Rygge;0136;Rygge;8730404,00;2167200,00;330000,00;1837200,00;761191,00;1978100,00;1656713,00;0,00;0,00;0,00;1;3
0137 Våler (Østfold);0137;Våler (Østf.);2016500,00;0,00;0,00;0,00;0,00;2016500,00;0,00;0,00;0,00;0,00;1;3
0138 Hobøl;0138;Hobøl;4675100,00;475000,00;475000,00;0,00;0,00;3702200,00;0,00;22900,00;0,00;0,00;1;2
0211 Vestby;0211;Vestby;31330850,00;12007100,00;4666500,00;7340600,00;0,00;6021800,00;1112650,00;45800,00;0,00;136400,00;2;6
0213 Ski;0213;Ski;63075340,00;27733300,00;10244500,00;17488800,00;0,00;6376100,00;675640,00;91600,00;0,00;465400,00;2;6
0214 Ås;0214;Ås;33482500,00;12592200,00;5443000,00;7149200,00;340000,00;6826100,00;916300,00;68700,00;0,00;147000,00;2;6
0215 Frogn;0215;Frogn;28298029,00;10070800,00;4105000,00;5965800,00;2729537,00;3826500,00;1428992,00;91600,00;0,00;79800,00;2;6
0216 Nesodden;0216;Nesodden;28076268,00;10951600,00;1578000,00;9373600,00;993618,00;3075800,00;1767150,00;86100,00;0,00;250400,00;2;6
0217 Oppegård;0217;Oppegård;52205100,00;23075400,00;4116500,00;18958900,00;0,00;3880200,00;1570800,00;91600,00;0,00;511700,00;2;6
0219 Bærum;0219;Bærum;204440108,00;78871300,00;25679000,00;53192300,00;11466102,00;25192100,00;7895306,00;272600,00;438200,00;1433200,00;2;5
0220 Asker;0220;Asker;93392308,00;36505000,00;7907000,00;28598000,00;1024044,00;12794700,00;5847364,00;113400,00;147600,00;455200,00;2;5
0221 Aurskog Høland;0221;Aurskog-Høland;17206648,00;6981200,00;2360000,00;4621200,00;623848,00;2437700,00;0,00;68700,00;0,00;114000,00;2;7
0226 Sørum;0226;Sørum;17925300,00;7496200,00;1480000,00;6016200,00;0,00;2750300,00;0,00;45800,00;0,00;136800,00;2;7
0227 Fet;0227;Fet;16121600,00;6827400,00;3454000,00;3373400,00;0,00;2321300,00;0,00;66500,00;0,00;79000,00;2;7
0228 Rælingen;0228;Rælingen;33061900,00;13646000,00;2675000,00;10971000,00;0,00;4722300,00;785400,00;0,00;0,00;262200,00;2;7
0229 Enebakk;0229;Enebakk;11971825,00;4621500,00;1245000,00;3376500,00;0,00;2417000,00;163625,00;0,00;0,00;148200,00;2;6
0230 Lørenskog;0230;Lørenskog;46914442,00;17620100,00;5131500,00;12488600,00;0,00;8201200,00;3301842,00;45800,00;0,00;125400,00;2;7
0231 Skedsmo;0231;Skedsmo;118052757,00;47482500,00;15283500,00;32199000,00;4374965,00;15147600,00;2476192,00;229000,00;143000,00;717000,00;2;7
0233 Nittedal;0233;Nittedal;19823825,00;8356300,00;3756500,00;4599800,00;0,00;2896900,00;32725,00;67600,00;0,00;114000,00;2;7
0234 Gjerdrum;0234;Gjerdrum;8256100,00;3374000,00;1380000,00;1994000,00;0,00;1360900,00;0,00;45800,00;0,00;101400,00;2;8
0235 Ullensaker;0235;Ullensaker;24745399,00;8549100,00;2642500,00;5906600,00;0,00;5872800,00;1502299,00;44700,00;147600,00;79800,00;2;8
0236 Nes (Akershus);0236;Nes (Ak.);34590675,00;14146000,00;3785000,00;10361000,00;0,00;4179200,00;1799875,00;91600,00;0,00;228000,00;2;8
0237 Eidsvoll;0237;Eidsvoll;16346100,00;5876200,00;0,00;5876200,00;400000,00;3942900,00;0,00;0,00;0,00;250800,00;2;8
0238 Nannestad;0238;Nannestad;13454900,00;5370400,00;1166000,00;4204400,00;0,00;2555300,00;0,00;0,00;0,00;158800,00;2;8
0239 Hurdal;0239;Hurdal;2429900,00;725000,00;165000,00;560000,00;0,00;849000,00;130900,00;0,00;0,00;0,00;2;8
0301 Oslo;0301;Oslo kommune;1117568891,00;427991800,00;122889850,00;305101950,00;9494093,00;212375900,00;30896098,00;1660700,00;1914200,00;5244300,00;3;9
0402 Kongsvinger;0402;Kongsvinger;37138006,00;13172900,00;2355500,00;10817400,00;4326006,00;6040200,00;130900,00;44700,00;0,00;250400,00;4;11
0403 Hamar;0403;Hamar;80323772,00;32224200,00;10182500,00;22041700,00;3374348,00;9145700,00;2650724,00;181000,00;0,00;523600,00;4;12
0412 Ringsaker;0412;Ringsaker;42966110,00;17182300,00;4731500,00;12450800,00;0,00;6731500,00;1209810,00;91600,00;147600,00;421000,00;4;12
0415 Løten;0415;Løten;20706002,00;9000400,00;3043000,00;5957400,00;555502,00;1588400,00;130900,00;111200,00;0,00;319200,00;4;12
0417 Stange;0417;Stange;55073085,00;24017100,00;6954500,00;17062600,00;1239985,00;4306900,00;1047200,00;45800,00;0,00;399000,00;4;12
0418 Nord-Odal;0418;Nord-Odal;2486800,00;815550,00;215000,00;600550,00;0,00;821500,00;0,00;0,00;0,00;34200,00;4;11
0419 Sør-Odal;0419;Sør-Odal;10839500,00;4650800,00;2260000,00;2390800,00;0,00;1470400,00;0,00;44700,00;0,00;22800,00;4;11
0420 Eidskog;0420;Eidskog;9497000,00;3803600,00;835000,00;2968600,00;490000,00;1320000,00;0,00;0,00;0,00;79800,00;4;11
0423 Grue;0423;Grue;10635350,00;4337600,00;330000,00;4007600,00;0,00;1137600,00;719950,00;0,00;0,00;102600,00;4;11
0425 Åsnes;0425;Åsnes;26184880,00;8841300,00;2212500,00;6628800,00;0,00;7949600,00;304080,00;21800,00;0,00;226800,00;4;11
0426 Våler (Hedm.);0426;Våler (Hedm.);4838400,00;0,00;0,00;0,00;0,00;4838400,00;0,00;0,00;0,00;0,00;4;11
0427 Elverum;0427;Elverum;62256591,00;26233900,00;8099500,00;18134400,00;1027425,00;4794100,00;3228866,00;248600,00;0,00;489800,00;4;13
0428 Trysil;0428;Trysil;20097492,00;8648000,00;2655000,00;5993000,00;0,00;2009700,00;643592,00;0,00;0,00;148200,00;4;13
0429 Åmot;0429;Åmot;3430675,00;935000,00;545000,00;390000,00;0,00;808000,00;752675,00;0,00;0,00;0,00;4;13
0430 Stor-Elvdal;0430;Stor-Elvdal;15937700,00;4315900,00;1501500,00;2814400,00;0,00;7238300,00;0,00;0,00;0,00;67600,00;4;13
0432 Rendalen;0432;Rendalen;3079400,00;1075000,00;1075000,00;0,00;0,00;883700,00;0,00;22900,00;0,00;22800,00;4;10
0434 Engerdal;0434;Engerdal;14030672,00;5172000,00;3033000,00;2139000,00;445872,00;2747100,00;0,00;112300,00;290600,00;90800,00;4;13
0436 Tolga;0436;Tolga;11953350,00;5357700,00;2171500,00;3186200,00;0,00;1013800,00;65450,00;44700,00;0,00;114000,00;4;10
0437 Tynset;0437;Tynset;29644615,00;11971900,00;3839500,00;8132400,00;1050673,00;2020300,00;2279842,00;43600,00;147600,00;158800,00;4;10
0438 Alvdal;0438;Alvdal;13834200,00;6209200,00;2948000,00;3261200,00;0,00;1172000,00;0,00;21800,00;143000,00;79000,00;4;10
0439 Folldal;0439;Folldal;3585400,00;1480000,00;620000,00;860000,00;0,00;568200,00;0,00;45800,00;0,00;11400,00;4;10
0441 Os (Hedm.);0441;Os (Hedm.);8387480,00;3325200,00;1203000,00;2122200,00;0,00;927500,00;696780,00;67600,00;0,00;45200,00;4;10
0501 Lillehammer;0501;Lillehammer;85454685,00;32198500,00;7249500,00;24949000,00;11638766,00;6162200,00;2563119,00;260800,00;0,00;432800,00;5;16
0502 Gjøvik;0502;Gjøvik;83788588,00;31995600,00;7575500,00;24420100,00;9197078,00;5898600,00;3752210,00;22900,00;290600,00;636000,00;5;14
0511 Dovre;0511;Dovre;10899500,00;3334400,00;815000,00;2519400,00;0,00;4150700,00;0,00;45800,00;0,00;34200,00;5;18
0512 Lesja;0512;Lesja;568200,00;0,00;0,00;0,00;0,00;568200,00;0,00;0,00;0,00;0,00;5;18
0513 Skjåk;0513;Skjåk;7835900,00;3410400,00;1030000,00;2380400,00;0,00;946600,00;0,00;22900,00;0,00;45600,00;5;18
0514 Lom;0514;Lom;10375300,00;4521800,00;1775000,00;2746800,00;0,00;1240500,00;0,00;0,00;0,00;91200,00;5;18
0515 Vågå;0515;Vågå;17748900,00;8081000,00;3498000,00;4583000,00;0,00;1360500,00;0,00;67600,00;0,00;158800,00;5;18
0516 Nord-Fron;0516;Nord-Fron;12067600,00;5163900,00;156500,00;5007400,00;0,00;1614400,00;0,00;0,00;0,00;125400,00;5;17
0517 Sel;0517;Sel;27727600,00;9564200,00;4145000,00;5419200,00;0,00;7039900,00;1309000,00;136300,00;0,00;114000,00;5;18
0519 Sør-Fron;0519;Sør-Fron;1624600,00;406800,00;0,00;406800,00;0,00;811000,00;0,00;0,00;0,00;0,00;5;17
0520 Ringebu;0520;Ringebu;8167700,00;2488000,00;0,00;2488000,00;160000,00;2963300,00;0,00;0,00;0,00;68400,00;5;17
0521 Øyer;0521;Øyer;27277098,00;11211800,00;3218000,00;7993800,00;2443098,00;1853000,00;261800,00;67600,00;0,00;228000,00;5;16
0522 Gausdal;0522;Gausdal;6823600,00;2747000,00;728000,00;2019000,00;155400,00;1095700,00;0,00;44700,00;0,00;33800,00;5;16
0528 Østre Toten;0528;Østre Toten;27530700,00;10852000,00;2825000,00;8027000,00;0,00;5541600,00;0,00;22900,00;0,00;262200,00;5;14
0529 Vestre Toten;0529;Vestre Toten;32836900,00;13516100,00;4489100,00;9027000,00;0,00;5310000,00;130900,00;113400,00;0,00;250400,00;5;14
0532 Jevnaker;0532;Jevnaker;7762700,00;3277000,00;1123000,00;2154000,00;0,00;1174500,00;0,00;0,00;0,00;34200,00;5;15
0533 Lunner;0533;Lunner;45785000,00;20563800,00;7036500,00;13527300,00;0,00;3120000,00;1047200,00;91600,00;0,00;398600,00;5;15
0534 Gran;0534;Gran;62104533,00;28370700,00;10511500,00;17859200,00;223833,00;3491500,00;1047200,00;89400,00;147600,00;363600,00;5;15
0536 Søndre Land;0536;Søndre Land;11237450,00;3137600,00;1350000,00;1787600,00;0,00;4680700,00;65450,00;22900,00;147600,00;45600,00;5;14
0538 Nordre Land;0538;Nordre Land;26281512,00;10666000,00;2840000,00;7826000,00;686387,00;2010600,00;1865325,00;45800,00;147600,00;193800,00;5;14
0540 Sør-Aurdal;0540;Sør-Aurdal;9563900,00;4199400,00;1505000,00;2694400,00;0,00;1039500,00;0,00;45800,00;0,00;79800,00;5;19
0541 Etnedal;0541;Etnedal;10403600,00;1838600,00;215000,00;1623600,00;0,00;6715000,00;0,00;0,00;0,00;11400,00;5;19
0542 Nord-Aurdal;0542;Nord-Aurdal;15377300,00;6942000,00;1935000,00;5007000,00;0,00;1459100,00;0,00;0,00;0,00;34200,00;5;19
0543 Vestre Slidre;0543;Vestre Slidre;7815500,00;2590000,00;0,00;2590000,00;0,00;2447600,00;130900,00;0,00;0,00;57000,00;5;19
0544 Øystre Slidre;0544;Øystre Slidre;4363300,00;1670400,00;430000,00;1240400,00;0,00;891600,00;130900,00;0,00;0,00;0,00;5;19
0545 Vang;0545;Vang;7045900,00;1640400,00;165000,00;1475400,00;0,00;3742300,00;0,00;0,00;0,00;22800,00;5;19
0602 Drammen;0602;Drammen;199039974,00;80100712,00;24796000,00;55304712,00;3772862,00;26028450,00;6911838,00;612800,00;0,00;1512600,00;6;20
0604 Kongsberg;0604;Kongsberg;58762422,00;23193200,00;5833000,00;17360200,00;628235,00;9386200,00;1839787,00;89400,00;0,00;432400,00;6;22
0605 Ringerike;0605;Ringerike;52709277,00;20596900,00;6222500,00;14374400,00;748335,00;9684000,00;447242,00;90500,00;147600,00;397800,00;6;24
0612 Hole;0612;Hole;7390097,00;2832200,00;1365000,00;1467200,00;410597,00;1166600,00;0,00;68700,00;0,00;79800,00;6;24
0615 Flå;0615;Flå;369100,00;0,00;0,00;0,00;0,00;238200,00;130900,00;0,00;0,00;0,00;6;21
0616 Nes (Busk.);0616;Nes (Busk.);13753800,00;4443000,00;1545000,00;2898000,00;0,00;4833500,00;0,00;22900,00;0,00;11400,00;6;21
0617 Gol;0617;Gol;9031000,00;3909800,00;0,00;3909800,00;0,00;1086000,00;0,00;0,00;0,00;125400,00;6;21
0618 Hemsedal;0618;Hemsedal;13438199,00;3940900,00;651500,00;3289400,00;957309,00;4144000,00;204890,00;0,00;147600,00;102600,00;6;21
0619 Ål;0619;Ål;13223200,00;4361600,00;1505000,00;2856600,00;0,00;3606600,00;654500,00;22900,00;147600,00;68400,00;6;21
0620 Hol;0620;Hol;9572200,00;3822600,00;835000,00;2987600,00;0,00;1585200,00;261800,00;45800,00;0,00;34200,00;6;21
0621 Sigdal;0621;Sigdal;6893110,00;2770200,00;1013000,00;1757200,00;612610,00;662300,00;0,00;43600,00;0,00;34200,00;6;23
0622 Krødsherad;0622;Krødsherad;1995200,00;620000,00;620000,00;0,00;0,00;709400,00;0,00;45800,00;0,00;0,00;6;23
0623 Modum;0623;Modum;28970092,00;11802650,00;2395000,00;9407650,00;0,00;3190300,00;1821692,00;0,00;147600,00;205200,00;6;23
0624 Øvre Eiker;0624;Øvre Eiker;29428900,00;12667050,00;3001500,00;9665550,00;0,00;3251600,00;523600,00;91600,00;0,00;228000,00;6;20
0625 Nedre Eiker;0625;Nedre Eiker;30137525,00;12189900,00;3956500,00;8233400,00;0,00;4910800,00;425425,00;68700,00;147600,00;205200,00;6;20
0626 Lier;0626;Lier;42112700,00;17266800,00;4380000,00;12886800,00;0,00;5427800,00;1570800,00;68700,00;295200,00;216600,00;6;20
0627 Røyken;0627;Røyken;38414725,00;16778100,00;6014000,00;10764100,00;0,00;4252400,00;32725,00;154800,00;0,00;418600,00;6;20
0628 Hurum;0628;Hurum;33889212,00;14773000,00;5016000,00;9757000,00;160000,00;2706000,00;1112312,00;114500,00;0,00;250400,00;6;20
0631 Flesberg;0631;Flesberg;22659200,00;10438400,00;4226000,00;6212400,00;0,00;1387700,00;0,00;201700,00;0,00;193000,00;6;22
0632 Rollag;0632;Rollag;9002800,00;3990400,00;2005000,00;1985400,00;0,00;965000,00;0,00;0,00;0,00;57000,00;6;22
0633 Nore og Uvdal;0633;Nore og Uvdal;16579980,00;6884900,00;1751500,00;5133400,00;1254780,00;1198700,00;130900,00;21800,00;0,00;204000,00;6;22
0701 Horten;0701;Horten;47988812,00;19084100,00;7158000,00;11926100,00;467269,00;5127400,00;3770643,00;114500,00;0,00;340800,00;7;25
0702 Holmestrand;0702;Holmestrand;17088120,00;6265800,00;1936000,00;4329800,00;795000,00;2298300,00;1372420,00;0,00;0,00;90800,00;7;25
0704 Tønsberg;0704;Tønsberg;46888703,00;17309500,00;4106500,00;13203000,00;0,00;9564700,00;2397803,00;113400,00;0,00;193800,00;7;25
0706 Sandefjord;0706;Sandefjord;55748588,00;22577700,00;8432500,00;14145200,00;712221,00;7698300,00;1527167,00;223500,00;0,00;432000,00;7;26
0709 Larvik;0709;Larvik;76055687,00;29594400,00;8330500,00;21263900,00;1603613,00;9716900,00;4726774,00;250800,00;0,00;568800,00;7;26
0711 Svelvik;0711;Svelvik;6707700,00;2659000,00;1050000,00;1609000,00;0,00;1389700,00;0,00;0,00;0,00;0,00;7;20
0713 Sande (Vestf.);0713;Sande (Vestf.);17692356,00;7784800,00;2910000,00;4874800,00;-27044,00;1910200,00;0,00;45800,00;0,00;193800,00;7;20
0714 Hof;0714;Hof;746100,00;0,00;0,00;0,00;0,00;746100,00;0,00;0,00;0,00;0,00;7;25
0716 Re;0716;Re (f.o.m. 2002);13664400,00;5916200,00;2200000,00;3716200,00;0,00;1683600,00;0,00;45800,00;0,00;102600,00;7;25
0719 Andebu;0719;Andebu;6992720,00;2463300,00;1086500,00;1376800,00;0,00;1028600,00;992320,00;0,00;0,00;45200,00;7;25
0720 Stokke;0720;Stokke;35934860,00;13473700,00;3185000,00;10288700,00;0,00;7398000,00;1144360,00;114500,00;0,00;330600,00;7;25
0722 Nøtterøy;0722;Nøtterøy;34534692,00;13147900,00;4551500,00;8596400,00;1740587,00;3431200,00;2693005,00;112300,00;0,00;261800,00;7;25
0723 Tjøme;0723;Tjøme;10879700,00;4645500,00;2241500,00;2404000,00;0,00;1441200,00;0,00;90500,00;0,00;57000,00;7;25
0728 Lardal;0728;Lardal;4377100,00;1574000,00;0,00;1574000,00;0,00;876100,00;261800,00;0,00;0,00;91200,00;7;26
0805 Porsgrunn;0805;Porsgrunn;75553110,00;31679100,00;11841500,00;19837600,00;521710,00;9375200,00;1570800,00;196200,00;0,00;531000,00;8;27
0806 Skien;0806;Skien;186655599,00;77071100,00;16718000,00;60353100,00;5265490,00;17257900,00;8409309,00;293300,00;0,00;1287400,00;8;27
0807 Notodden;0807;Notodden;55107833,00;23203050,00;7633000,00;15570050,00;800100,00;4526600,00;2661633,00;178800,00;295200,00;239400,00;8;29
0811 Siljan;0811;Siljan;13098500,00;5762000,00;1655000,00;4107000,00;0,00;1335000,00;0,00;22900,00;0,00;216600,00;8;27
0814 Bamble;0814;Bamble;73087898,00;31923400,00;10230000,00;21693400,00;1200500,00;4571500,00;2715498,00;176600,00;0,00;577000,00;8;27
0815 Kragerø;0815;Kragerø;59379962,00;24761400,00;6565000,00;18196400,00;3075679,00;4401000,00;1810783,00;68700,00;147600,00;353400,00;8;27
0817 Drangedal;0817;Drangedal;14376000,00;6354000,00;1725000,00;4629000,00;0,00;1451200,00;0,00;45800,00;0,00;171000,00;8;27
0819 Nome;0819;Nome;24817122,00;8372000,00;2630000,00;5742000,00;1847622,00;6020300,00;0,00;0,00;0,00;205200,00;8;28
0821 Bø (Telemark);0821;Bø (Telem.);25669200,00;9249100,00;3035000,00;6214100,00;2346000,00;2236300,00;2225300,00;67600,00;147600,00;148200,00;8;28
0822 Sauherad;0822;Sauherad;28697096,00;11592600,00;2133000,00;9459600,00;2004496,00;1956000,00;1178100,00;112300,00;0,00;261000,00;8;28
0826 Tinn;0826;Tinn;35542662,00;12643700,00;6194500,00;6449200,00;2162755,00;6086000,00;1602507,00;67600,00;143000,00;193400,00;8;29
0827 Hjartdal;0827;Hjartdal;3220132,00;1155000,00;1155000,00;0,00;0,00;701400,00;174532,00;0,00;0,00;34200,00;8;29
0828 Seljord;0828;Seljord;10732000,00;4751800,00;2010000,00;2741800,00;0,00;1091500,00;0,00;22900,00;0,00;114000,00;8;30
0829 Kviteseid;0829;Kviteseid;631200,00;0,00;0,00;0,00;0,00;631200,00;0,00;0,00;0,00;0,00;8;30
0830 Nissedal;0830;Nissedal;291600,00;0,00;0,00;0,00;0,00;291600,00;0,00;0,00;0,00;0,00;8;30
0831 Fyresdal;0831;Fyresdal;8279900,00;3579000,00;475000,00;3104000,00;0,00;973600,00;0,00;22900,00;0,00;125400,00;8;30
0833 Tokke;0833;Tokke;175000,00;0,00;0,00;0,00;0,00;175000,00;0,00;0,00;0,00;0,00;8;30
0834 Vinje;0834;Vinje;6475900,00;2590800,00;0,00;2590800,00;0,00;1117800,00;130900,00;0,00;0,00;45600,00;8;30
0901 Risør;0901;Risør;32604963,00;13294200,00;5340000,00;7954200,00;1029680,00;2663100,00;2072583,00;91600,00;0,00;159600,00;9;32
0904 Grimstad;0904;Grimstad;63776135,00;27533400,00;8944000,00;18589400,00;-43900,00;5056700,00;3206035,00;68700,00;0,00;421800,00;9;32
0906 Arendal;0906;Arendal;110902894,00;46480300,00;10340500,00;36139800,00;2189144,00;9799600,00;4646950,00;135200,00;295200,00;876200,00;9;32
0911 Gjerstad;0911;Gjerstad;18001978,00;7564800,00;2075000,00;5489800,00;1330778,00;1268600,00;0,00;0,00;147600,00;125400,00;9;32
0912 Vegårshei;0912;Vegårshei;2803700,00;670000,00;0,00;670000,00;713000,00;693700,00;0,00;0,00;0,00;57000,00;9;32
0914 Tvedestrand;0914;Tvedestrand;14815700,00;6464000,00;2200000,00;4264000,00;0,00;1716600,00;0,00;22900,00;0,00;148200,00;9;32
0919 Froland;0919;Froland;8116400,00;2889800,00;580000,00;2309800,00;800100,00;1217900,00;261800,00;0,00;0,00;57000,00;9;32
0926 Lillesand;0926;Lillesand;24548700,00;10059300,00;2351500,00;7707800,00;0,00;3550200,00;654500,00;21800,00;0,00;203600,00;9;35
0928 Birkenes;0928;Birkenes;13540700,00;4853800,00;1803000,00;3050800,00;0,00;3685700,00;0,00;67600,00;0,00;79800,00;9;35
0929 Åmli;0929;Åmli;6868700,00;2897600,00;765000,00;2132600,00;0,00;970900,00;0,00;0,00;0,00;102600,00;9;32
0935 Iveland;0935;Iveland;5853400,00;2392600,00;835000,00;1557600,00;0,00;1011100,00;0,00;22900,00;0,00;34200,00;9;35
0937 Evje og Hornnes;0937;Evje og Hornnes;9945100,00;4066100,00;1100000,00;2966100,00;0,00;1328900,00;392700,00;22900,00;0,00;68400,00;9;31
0938 Bygland;0938;Bygland;1764000,00;0,00;0,00;0,00;0,00;1633100,00;130900,00;0,00;0,00;0,00;9;31
0940 Valle;0940;Valle;9762500,00;4318600,00;1550000,00;2768600,00;0,00;919900,00;0,00;45800,00;0,00;159600,00;9;31
0941 Bykle;0941;Bykle;5815500,00;2370500,00;861500,00;1509000,00;0,00;826500,00;0,00;21800,00;147600,00;78600,00;9;31
1001 Kristiansand;1001;Kristiansand;265562095,00;110535100,00;36159000,00;74376100,00;4622467,00;27326200,00;9891828,00;604000,00;147600,00;1899800,00;10;35
1002 Mandal;1002;Mandal;57818174,00;23151700,00;6946500,00;16205200,00;1796616,00;7391300,00;1647158,00;134100,00;0,00;545600,00;10;34
1003 Farsund;1003;Farsund;26279800,00;10281000,00;2953000,00;7328000,00;320000,00;4463600,00;392700,00;22900,00;290600,00;228000,00;10;33
1004 Flekkefjord;1004;Flekkefjord;21582127,00;7149000,00;1840000,00;5309000,00;1371927,00;5610100,00;130900,00;45800,00;0,00;125400,00;10;33
1014 Vennesla;1014;Vennesla;29500810,00;12052900,00;3091500,00;8961400,00;1891910,00;3059000,00;0,00;22900,00;147600,00;273600,00;10;35
1017 Songdalen;1017;Songdalen;31037670,00;13104200,00;4529500,00;8574700,00;1771072,00;2235000,00;350098,00;136300,00;143000,00;193800,00;10;35
1018 Søgne;1018;Søgne;28881195,00;11825000,00;2050000,00;9775000,00;1179895,00;3094800,00;785400,00;22900,00;0,00;148200,00;10;35
1021 Marnardal;1021;Marnardal;8590400,00;3810500,00;1261500,00;2549000,00;0,00;878600,00;0,00;0,00;0,00;90800,00;10;34
1026 Åseral;1026;Åseral;2821200,00;1060000,00;0,00;1060000,00;0,00;678400,00;0,00;0,00;0,00;22800,00;10;34
1027 Audnedal;1027;Audnedal;3000800,00;1155000,00;1155000,00;0,00;0,00;690800,00;0,00;0,00;0,00;0,00;10;34
1029 Lindesnes;1029;Lindesnes;13663200,00;5960800,00;2405000,00;3555800,00;0,00;1473800,00;130900,00;22900,00;0,00;114000,00;10;34
1032 Lyngdal;1032;Lyngdal;30237200,00;11939300,00;3336500,00;8602800,00;0,00;5839900,00;130900,00;22900,00;0,00;364900,00;10;33
1034 Hægebostad;1034;Hægebostad;4689800,00;1843600,00;0,00;1843600,00;0,00;979800,00;0,00;0,00;0,00;22800,00;10;33
1037 Kvinesdal;1037;Kvinesdal;27881400,00;10753500,00;4881500,00;5872000,00;0,00;5527700,00;392700,00;45800,00;147600,00;260600,00;10;33
1046 Sirdal;1046;Sirdal;4000800,00;1544000,00;430000,00;1114000,00;0,00;901400,00;0,00;0,00;0,00;11400,00;10;33
1101 Eigersund;1101;Eigersund;41753208,00;17718600,00;6690000,00;11028600,00;487000,00;4115800,00;1450808,00;45800,00;0,00;216600,00;11;36
1102 Sandnes;1102;Sandnes;120812207,00;45459400,00;11115500,00;34343900,00;1493000,00;23574700,00;3642707,00;181000,00;295200,00;706800,00;11;39
1103 Stavanger;1103;Stavanger;177108834,00;64393200,00;16431000,00;47962200,00;5327700,00;34549200,00;6909434,00;363100,00;295200,00;877800,00;11;39
1106 Haugesund;1106;Haugesund;84722456,00;32924250,00;9447000,00;23477250,00;3653356,00;14328200,00;130900,00;249700,00;0,00;511800,00;11;37
1111 Sokndal;1111;Sokndal;1371200,00;0,00;0,00;0,00;0,00;1371200,00;0,00;0,00;0,00;0,00;11;36
1112 Lund;1112;Lund;15218600,00;5458700,00;1675000,00;3783700,00;0,00;3902200,00;261800,00;91600,00;0,00;45600,00;11;36
1114 Bjerkreim;1114;Bjerkreim;1018900,00;135000,00;0,00;135000,00;0,00;748900,00;0,00;0,00;0,00;0,00;11;36
1119 Hå;1119;Hå;17788500,00;5386600,00;1480000,00;3906600,00;0,00;6360800,00;392700,00;45800,00;147600,00;68400,00;11;39
1120 Klepp;1120;Klepp;35015000,00;15228100,00;3959500,00;11268600,00;0,00;3986400,00;130900,00;90500,00;0,00;351000,00;11;39
1121 Time;1121;Time;31648433,00;13494200,00;3580000,00;9914200,00;0,00;4228400,00;43633,00;91600,00;0,00;296400,00;11;39
1122 Gjesdal;1122;Gjesdal;24327700,00;10716000,00;3225000,00;7491000,00;0,00;2297500,00;392700,00;68700,00;0,00;136800,00;11;39
1124 Sola;1124;Sola;29310800,00;11930500,00;3699500,00;8231000,00;0,00;5034900,00;130900,00;113400,00;0,00;170600,00;11;39
1127 Randaberg;1127;Randaberg;36066915,00;15598800,00;3329000,00;12269800,00;0,00;2842100,00;1690115,00;131900,00;0,00;205200,00;11;39
1129 Forsand;1129;Forsand;637100,00;0,00;0,00;0,00;0,00;637100,00;0,00;0,00;0,00;0,00;11;38
