kom;komnr;navn;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;fylkenr;naregnr
0833 Tokke;0833;Tokke;180000,00;0,00;0,00;0,00;0,00;180000,00;0,00;0,00;0,00;0,00;8;30
0834 Vinje;0834;Vinje;7783600,00;3343600,00;2268000,00;1075600,00;0,00;874000,00;0,00;70200,00;152200,00;0,00;8;30
0901 Risør;0901;Risør;42198661,00;15869400,00;4360000,00;11509400,00;2869961,00;4881800,00;2626500,00;70200,00;0,00;11400,00;9;32
0904 Grimstad;0904;Grimstad;83170053,00;33532800,00;11207000,00;22325800,00;6648545,00;5624500,00;3749808,00;70200,00;0,00;11400,00;9;32
0906 Arendal;0906;Arendal;123401825,00;51649300,00;16570700,00;35078600,00;5673367,00;8685700,00;5205758,00;234000,00;304400,00;0,00;9;32
0911 Gjerstad;0911;Gjerstad;23968000,00;10382100,00;4326000,00;6056100,00;1812900,00;1390900,00;0,00;0,00;0,00;0,00;9;32
0912 Vegårshei;0912;Vegårshei;5349400,00;2530000,00;2250000,00;280000,00;0,00;289400,00;0,00;0,00;0,00;0,00;9;32
0914 Tvedestrand;0914;Tvedestrand;13222700,00;5824000,00;981000,00;4843000,00;0,00;1551300,00;0,00;23400,00;0,00;0,00;9;32
0919 Froland;0919;Froland;8683429,00;3031200,00;0,00;3031200,00;1220629,00;1215000,00;185400,00;0,00;0,00;0,00;9;32
0926 Lillesand;0926;Lillesand;31859900,00;13049400,00;5880000,00;7169400,00;800100,00;3825400,00;1019700,00;93100,00;0,00;22800,00;9;35
0928 Birkenes;0928;Birkenes;15854650,00;6048000,00;1723000,00;4325000,00;0,00;3512600,00;200850,00;45200,00;0,00;0,00;9;35
0929 Åmli;0929;Åmli;7422400,00;3300200,00;1062000,00;2238200,00;0,00;822000,00;0,00;0,00;0,00;0,00;9;32
0935 Iveland;0935;Iveland;9253100,00;4144200,00;1866000,00;2278200,00;0,00;917900,00;0,00;46800,00;0,00;0,00;9;35
0937 Evje og Hornnes;0937;Evje og Hornnes;12011300,00;5230200,00;2145000,00;3085200,00;0,00;1133800,00;370800,00;46300,00;0,00;0,00;9;31
0938 Bygland;0938;Bygland;354000,00;177000,00;177000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9;31
0940 Valle;0940;Valle;11386300,00;5195200,00;2460000,00;2735200,00;0,00;949100,00;0,00;46800,00;0,00;0,00;9;31
0941 Bykle;0941;Bykle;7301200,00;3227000,00;1914000,00;1313000,00;0,00;800400,00;0,00;46800,00;0,00;0,00;9;31
1001 Kristiansand;1001;Kristiansand;338019875,00;143481000,00;54750000,00;88731000,00;14569688,00;24743800,00;10166287,00;741900,00;756400,00;79800,00;10;35
1002 Mandal;1002;Mandal;75610644,00;29804500,00;8986000,00;20818500,00;2095254,00;10888400,00;2818790,00;115400,00;0,00;83800,00;10;34
1003 Farsund;1003;Farsund;29845400,00;11586800,00;2647000,00;8939800,00;0,00;6451600,00;185400,00;23400,00;0,00;11400,00;10;33
1004 Flekkefjord;1004;Flekkefjord;26881900,00;10979400,00;5707000,00;5272400,00;0,00;4644100,00;185400,00;93600,00;0,00;0,00;10;33
1014 Vennesla;1014;Vennesla;39087450,00;17196400,00;6674000,00;10522400,00;1507050,00;2846200,00;61800,00;116000,00;152200,00;11400,00;10;35
1017 Songdalen;1017;Songdalen;36892397,00;15244800,00;4625000,00;10619800,00;3829797,00;2076900,00;370800,00;93600,00;0,00;31700,00;10;35
1018 Søgne;1018;Søgne;35596115,00;15419800,00;5220000,00;10199800,00;1107815,00;2385600,00;1112400,00;116500,00;0,00;34200,00;10;35
1021 Marnardal;1021;Marnardal;11345200,00;5186000,00;2001000,00;3185000,00;0,00;857800,00;0,00;115400,00;0,00;0,00;10;34
1026 Åseral;1026;Åseral;1865800,00;778000,00;708000,00;70000,00;0,00;309800,00;0,00;0,00;0,00;0,00;10;34
1027 Audnedal;1027;Audnedal;7815300,00;2905000,00;1105000,00;1800000,00;852900,00;1152400,00;0,00;0,00;0,00;0,00;10;34
1029 Lindesnes;1029;Lindesnes;20098270,00;6842000,00;1689000,00;5153000,00;4925570,00;1418500,00;0,00;70200,00;0,00;0,00;10;34
1032 Lyngdal;1032;Lyngdal;34271258,00;13549600,00;3255000,00;10294600,00;960000,00;5599600,00;261758,00;46300,00;304400,00;0,00;10;33
1034 Hægebostad;1034;Hægebostad;4844600,00;1930200,00;675000,00;1255200,00;0,00;984200,00;0,00;0,00;0,00;0,00;10;33
1037 Kvinesdal;1037;Kvinesdal;32639200,00;13800000,00;4901000,00;8899000,00;0,00;4621600,00;370800,00;46800,00;0,00;0,00;10;33
1046 Sirdal;1046;Sirdal;7885800,00;3476000,00;1683000,00;1793000,00;0,00;887500,00;0,00;46300,00;0,00;0,00;10;33
1101 Eigersund;1101;Eigersund;58756750,00;26188200,00;10408000,00;15780200,00;165100,00;4328100,00;1653150,00;234000,00;0,00;0,00;11;36
1102 Sandnes;1102;Sandnes;119047541,00;46283700,00;12207000,00;34076700,00;2249741,00;20898900,00;3120900,00;210600,00;0,00;0,00;11;39
1103 Stavanger;1103;Stavanger;191558927,00;74118700,00;21459000,00;52659700,00;5385103,00;28496000,00;9148224,00;280800,00;0,00;11400,00;11;39
1106 Haugesund;1106;Haugesund;84400134,00;34839100,00;11179000,00;23660100,00;3026934,00;11076800,00;185400,00;117000,00;304400,00;11400,00;11;37
1111 Sokndal;1111;Sokndal;1067300,00;0,00;0,00;0,00;0,00;1067300,00;0,00;0,00;0,00;0,00;11;36
1112 Lund;1112;Lund;15814500,00;6293400,00;1770000,00;4523400,00;0,00;2810100,00;370800,00;46800,00;0,00;0,00;11;36
1114 Bjerkreim;1114;Bjerkreim;3741000,00;1544000,00;1464000,00;80000,00;0,00;653000,00;0,00;0,00;0,00;0,00;11;36
1119 Hå;1119;Hå;25265700,00;8915600,00;4747000,00;4168600,00;0,00;7364800,00;0,00;69700,00;0,00;0,00;11;39
1120 Klepp;1120;Klepp;39052036,00;17612800,00;5130000,00;12482800,00;60836,00;3195300,00;185400,00;46300,00;304400,00;34200,00;11;39
1121 Time;1121;Time;38179800,00;16713400,00;6184000,00;10529400,00;0,00;4148700,00;370800,00;233500,00;0,00;0,00;11;39
1122 Gjesdal;1122;Gjesdal;28225000,00;12868500,00;3849000,00;9019500,00;0,00;2070900,00;370800,00;46300,00;0,00;0,00;11;39
1124 Sola;1124;Sola;37284806,00;15717600,00;5239500,00;10478100,00;0,00;4536100,00;1174106,00;117000,00;0,00;22400,00;11;39
1127 Randaberg;1127;Randaberg;41691234,00;18324950,00;6970000,00;11354950,00;0,00;2602700,00;1866734,00;69700,00;456600,00;45600,00;11;39
1129 Forsand;1129;Forsand;266100,00;0,00;0,00;0,00;0,00;266100,00;0,00;0,00;0,00;0,00;11;38
1130 Strand;1130;Strand;49130050,00;20003100,00;7083000,00;12920100,00;1129100,00;7381200,00;417150,00;139400,00;0,00;57000,00;11;38
