kom;komnr;navn;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10
0713 Sande (Vestf.);0713;Sande (Vestf.);15925278;7793000;2399500;5393500;-144264;0;263942;43600;0;176000
0714 Hof;0714;Hof;0;0;0;0;0;0;0;0;0;0
0716 Re;0716;Re (f.o.m. 2002);11783800;5848000;1904500;3943500;0;0;0;21800;0;66000
0719 Andebu;0719;Andebu;3989040;1614000;0;1614000;0;0;761040;0;0;0
0720 Stokke;0720;Stokke;28571860;13316500;4342500;8974000;0;0;1141560;152600;424700;220000
0722 Nøtterøy;0722;Nøtterøy;27956267;12173000;4703500;7469500;910415;0;2515352;42500;0;142000
0723 Tjøme;0723;Tjøme;7875000;3899000;570000;3329000;0;0;0;0;0;77000
0728 Lardal;0728;Lardal;3542800;1716500;696500;1020000;0;0;0;21800;0;88000
0805 Porsgrunn;0805;Porsgrunn;41526978;19301000;3624000;15677000;800100;0;1721678;63200;143000;197000
0806 Skien;0806;Skien;165617237;75179500;18915000;56264500;5682527;0;8104110;239800;143000;1088800
0807 Notodden;0807;Notodden;40968564;18892200;7676500;11215700;776800;0;2102764;43600;0;261000
0811 Siljan;0811;Siljan;11166600;5462500;2197000;3265500;0;0;0;43600;0;198000
0814 Bamble;0814;Bamble;50796063;23207188;6239000;16968188;1163900;0;2833887;65400;0;318500
0815 Kragerø;0815;Kragerø;50733716;23384500;7289500;16095000;1083356;0;2409960;174400;0;297000
0817 Drangedal;0817;Drangedal;13328800;6604000;793000;5811000;0;0;0;21800;0;99000
0819 Nome;0819;Nome;16349700;7287000;2524000;4763000;1589200;0;0;0;0;186500
0821 Bø (Telemark);0821;Bø (Telem.);22294886;9310500;1816000;7494500;150900;0;3413186;21800;0;88000
0822 Sauherad;0822;Sauherad;25811581;10234000;2593000;7641000;3144981;0;1902600;109000;0;187000
0826 Tinn;0826;Tinn;10938200;4813000;961000;3852000;0;0;1268400;21800;0;22000
0827 Hjartdal;0827;Hjartdal;0;0;0;0;0;0;0;0;0;0
0828 Seljord;0828;Seljord;11247561;5226500;1090000;4136500;718061;0;0;0;0;76500
0829 Kviteseid;0829;Kviteseid;0;0;0;0;0;0;0;0;0;0
0830 Nissedal;0830;Nissedal;0;0;0;0;0;0;0;0;0;0
0831 Fyresdal;0831;Fyresdal;10245500;5020000;1798000;3222000;0;0;0;42500;0;163000
0833 Tokke;0833;Tokke;0;0;0;0;0;0;0;0;0;0
0834 Vinje;0834;Vinje;6834840;3332000;1260000;2072000;0;0;126840;0;0;44000
0901 Risør;0901;Risør;24884071;10999000;3221500;7777500;836941;0;1786330;130800;0;132000
0904 Grimstad;0904;Grimstad;56681490;24906000;6876000;18030000;3386100;0;2822190;85000;138700;437500
0906 Arendal;0906;Arendal;102441567;45770000;13438000;32332000;3876127;0;5623240;172200;429000;801000
0911 Gjerstad;0911;Gjerstad;17192520;7771500;2461000;5310500;800100;0;380520;83900;286000;99000
0912 Vegårshei;0912;Vegårshei;2657000;1290000;0;1290000;0;0;0;0;0;77000
0914 Tvedestrand;0914;Tvedestrand;12265000;6088500;1321500;4767000;0;0;0;11000;0;77000
0919 Froland;0919;Froland;4948600;2325000;1635500;689500;0;0;211400;87200;0;0
0926 Lillesand;0926;Lillesand;22647400;10471500;3586000;6885500;776800;0;634200;41400;0;252000
0928 Birkenes;0928;Birkenes;8974700;4444000;593000;3851000;0;0;0;20700;0;66000
0929 Åmli;0929;Åmli;4468800;2119000;1009500;1109500;0;0;0;21800;143000;66000
0935 Iveland;0935;Iveland;5062600;2471000;1031000;1440000;0;0;0;43600;0;77000
0937 Evje og Hornnes;0937;Evje og Hornnes;11441400;5031500;270000;4761500;0;0;1268400;0;0;110000
0938 Bygland;0938;Bygland;0;0;0;0;0;0;0;0;0;0
0940 Valle;0940;Valle;8148540;3934500;700000;3234500;0;0;126840;20700;0;132000
0941 Bykle;0941;Bykle;1576000;782500;0;782500;0;0;0;0;0;11000
1001 Kristiansand;1001;Kristiansand;206331497;93835000;20079500;73755500;4415113;0;11963084;348800;429000;1505500
1002 Mandal;1002;Mandal;45754057;20615000;6013500;14601500;2353543;0;1633114;65400;0;472000
1003 Farsund;1003;Farsund;18438210;8933500;3272000;5661500;0;0;243110;86100;0;242000
1004 Flekkefjord;1004;Flekkefjord;33196024;12684900;4371500;8313400;6572454;0;558670;85000;269400;340700
1014 Vennesla;1014;Vennesla;23597600;11450000;3097000;8353000;401000;0;0;43600;0;253000
1017 Songdalen;1017;Songdalen;19783800;9771000;2833500;6937500;0;0;0;21800;0;220000
1018 Søgne;1018;Søgne;29358010;13779500;5038000;8741500;820070;0;761040;107900;0;110000
1021 Marnardal;1021;Marnardal;6652640;3219000;426500;2792500;0;0;126840;21800;0;66000
1026 Åseral;1026;Åseral;3405000;1675000;0;1675000;0;0;0;0;0;55000
1027 Audnedal;1027;Audnedal;0;0;0;0;0;0;0;0;0;0
1029 Lindesnes;1029;Lindesnes;11649560;5201000;874500;4326500;978120;0;126840;43600;0;99000
1032 Lyngdal;1032;Lyngdal;23254990;10780500;2850500;7930000;0;0;1342390;43600;0;308000
1034 Hægebostad;1034;Hægebostad;6187000;3077000;313000;2764000;0;0;0;0;0;33000
1037 Kvinesdal;1037;Kvinesdal;14951580;6955500;1881000;5074500;0;0;887880;20700;0;132000
1046 Sirdal;1046;Sirdal;3333000;1650000;1050000;600000;0;0;0;0;0;33000
1101 Eigersund;1101;Eigersund;29158022;13719000;4214000;9505000;0;0;1468922;86100;0;165000
1102 Sandnes;1102;Sandnes;90177086;42018400;10747000;31271400;1297000;0;3683386;301900;286000;572000
1103 Stavanger;1103;Stavanger;144226467;65276750;19000500;46276250;5722495;0;6509272;366200;143000;932000
1106 Haugesund;1106;Haugesund;62607926;29839500;7782000;22057500;2020396;0;306530;151500;0;450500
1111 Sokndal;1111;Sokndal;0;0;0;0;0;0;0;0;0;0
1112 Lund;1112;Lund;10423980;5036500;1472500;3564000;0;0;253680;64300;0;33000
1114 Bjerkreim;1114;Bjerkreim;313000;156500;0;156500;0;0;0;0;0;0
1119 Hå;1119;Hå;10830400;5312000;2341000;2971000;0;0;0;107900;0;98500
1120 Klepp;1120;Klepp;24292270;11623000;3109500;8513500;391350;0;380520;65400;0;209000
1121 Time;1121;Time;32425800;15982000;3572500;12409500;0;0;0;21800;0;440000
1122 Gjesdal;1122;Gjesdal;22127220;10715000;3612500;7102500;0;0;380520;109000;0;207700
1124 Sola;1124;Sola;19152680;9389000;2368500;7020500;0;0;253680;0;0;121000
1127 Randaberg;1127;Randaberg;29584010;13862500;4423000;9439500;0;0;1617210;21800;0;220000
1129 Forsand;1129;Forsand;0;0;0;0;0;0;0;0;0;0
1130 Strand;1130;Strand;25196120;11898750;3602500;8296250;892340;0;253680;43600;0;209000
1133 Hjelmeland;1133;Hjelmeland;9967840;4865500;1564500;3301000;0;0;126840;0;0;110000
1134 Suldal;1134;Suldal;25171075;9845000;3570000;6275000;5120525;0;178150;41400;0;141000
1135 Sauda;1135;Sauda;25654140;12538250;4858000;7680250;0;0;126840;234300;0;216500
1141 Finnøy;1141;Finnøy;126840;0;0;0;0;0;126840;0;0;0
1142 Rennesøy;1142;Rennesøy;9833300;4441000;2076000;2365000;0;0;951300;0;0;0
1144 Kvitsøy;1144;Kvitsøy;0;0;0;0;0;0;0;0;0;0
1145 Bokn;1145;Bokn;0;0;0;0;0;0;0;0;0;0
1146 Tysvær;1146;Tysvær;24665820;11215000;3108000;8107000;1470700;0;380520;43600;143000;198000
1149 Karmøy;1149;Karmøy;54121994;25627000;9842500;15784500;1474754;0;761040;214700;0;417500
1151 Utsira;1151;Utsira;0;0;0;0;0;0;0;0;0;0
1160 Vindafjord;1160;Vindafjord;15682400;7654500;3463500;4191000;0;0;0;65400;143000;165000
1201 Bergen;1201;Bergen;435027588;207270775;65447875;141822900;768770;0;15137168;756400;286000;3537700
1211 Etne;1211;Etne;0;0;0;0;0;0;0;0;0;0
1216 Sveio;1216;Sveio;15100600;7446000;1789500;5656500;0;0;0;43600;0;165000
1219 Bømlo;1219;Bømlo;35580558;16920500;4135000;12785500;0;0;1235458;43600;0;460500
1221 Stord;1221;Stord;18302240;8875500;2427500;6448000;150900;0;126840;109000;0;164500
1222 Fitjar;1222;Fitjar;0;0;0;0;0;0;0;0;0;0
1223 Tysnes;1223;Tysnes;0;0;0;0;0;0;0;0;0;0
1224 Kvinnherad;1224;Kvinnherad;21935240;10433500;3373000;7060500;0;0;761040;87200;0;220000
1227 Jondal;1227;Jondal;0;0;0;0;0;0;0;0;0;0
1228 Odda;1228;Odda;175000;87500;0;87500;0;0;0;0;0;0
1231 Ullensvang;1231;Ullensvang;13556920;6500500;1661000;4839500;0;0;380520;65400;0;110000
1232 Eidfjord;1232;Eidfjord;320000;160000;0;160000;0;0;0;0;0;0
1233 Ulvik;1233;Ulvik;0;0;0;0;0;0;0;0;0;0
1234 Granvin;1234;Granvin;126840;0;0;0;0;0;126840;0;0;0
1235 Voss;1235;Voss;16513040;7843000;0;7843000;0;0;761040;0;0;66000
1238 Kvam;1238;Kvam;18402440;8678000;291500;8386500;776800;0;126840;21800;0;121000
1241 Fusa;1241;Fusa;0;0;0;0;0;0;0;0;0;0
1242 Samnanger;1242;Samnanger;7279795;2311500;135000;2176500;2590795;0;0;0;0;66000
1243 Os (Hord.);1243;Os (Hord.);12963480;6222500;1711000;4511500;155400;0;253680;65400;0;44000
1244 Austevoll;1244;Austevoll;430000;215000;0;215000;0;0;0;0;0;0
1245 Sund;1245;Sund;7490640;3632500;718000;2914500;0;0;126840;21800;0;77000
1246 Fjell;1246;Fjell;25266600;12485000;2422000;10063000;0;0;0;43600;0;253000
1247 Askøy;1247;Askøy;34805823;15655000;4208500;11446500;1258097;0;1426026;87200;428000;296500
1251 Vaksdal;1251;Vaksdal;15226800;7554000;2331500;5222500;0;0;0;64300;0;54500
1252 Modalen;1252;Modalen;126840;0;0;0;0;0;126840;0;0;0
1253 Osterøy;1253;Osterøy;0;0;0;0;0;0;0;0;0;0
1256 Meland;1256;Meland;12430680;6050000;1205000;4845000;0;0;253680;0;0;77000
1259 Øygarden;1259;Øygarden;14155400;6974000;3881000;3093000;0;0;0;65400;0;142000
1260 Radøy;1260;Radøy;5341750;2643375;1138000;1505375;0;0;0;0;0;55000
1263 Lindås;1263;Lindås;11310900;5273000;1930500;3342500;0;0;634200;0;0;130700
1264 Austrheim;1264;Austrheim;410000;205000;0;205000;0;0;0;0;0;0
1265 Fedje;1265;Fedje;0;0;0;0;0;0;0;0;0;0
1266 Masfjorden;1266;Masfjorden;0;0;0;0;0;0;0;0;0;0
1401 Flora;1401;Flora;55044741;25754500;8544000;17210500;558381;0;2409960;259400;0;308000
1411 Gulen;1411;Gulen;0;0;0;0;0;0;0;0;0;0
1412 Solund;1412;Solund;0;0;0;0;0;0;0;0;0;0
1413 Hyllestad;1413;Hyllestad;0;0;0;0;0;0;0;0;0;0
1416 Høyanger;1416;Høyanger;9742840;4742000;210000;4532000;0;0;126840;0;0;132000
1417 Vik;1417;Vik;2668750;1317875;135000;1182875;0;0;0;0;0;33000
1418 Balestrand;1418;Balestrand;8028700;3976500;1148000;2828500;0;0;0;20700;0;55000
1419 Leikanger;1419;Leikanger;5359800;2636000;691500;1944500;0;0;0;21800;0;66000
1420 Sogndal;1420;Sogndal;24452500;12149500;2649500;9500000;0;0;0;44000;0;109500
1421 Aurland;1421;Aurland;0;0;0;0;0;0;0;0;0;0
1422 Lærdal;1422;Lærdal;0;0;0;0;0;0;0;0;0;0
1424 Årdal;1424;Årdal;160000;80000;0;80000;0;0;0;0;0;0
1426 Luster;1426;Luster;7024000;3495500;1185000;2310500;0;0;0;0;0;33000
1428 Askvoll;1428;Askvoll;0;0;0;0;0;0;0;0;0;0
1429 Fjaler;1429;Fjaler;0;0;0;0;0;0;0;0;0;0
1430 Gaular;1430;Gaular;0;0;0;0;0;0;0;0;0;0
1431 Jølster;1431;Jølster;10670500;5303000;1696500;3606500;0;0;0;42500;0;22000
1432 Førde;1432;Førde;21740020;10484500;3665500;6819000;0;0;380520;127500;0;263000
1433 Naustdal;1433;Naustdal;0;0;0;0;0;0;0;0;0;0
1438 Bremanger;1438;Bremanger;13549980;6485500;4601500;1884000;0;0;253680;43600;138700;143000
1439 Vågsøy;1439;Vågsøy;0;0;0;0;0;0;0;0;0;0
1441 Selje;1441;Selje;0;0;0;0;0;0;0;0;0;0
1443 Eid;1443;Eid;13830176;6155500;1823000;4332500;0;0;1326276;41400;0;151500
1444 Hornindal;1444;Hornindal;0;0;0;0;0;0;0;0;0;0
1445 Gloppen;1445;Gloppen;21591484;9589000;2274000;7315000;754200;0;1373484;21800;143000;121000
1449 Stryn;1449;Stryn;21290200;10223500;1899000;8324500;0;0;634200;0;0;209000
1502 Molde;1502;Molde;66792352;31071900;11535500;19536400;328472;0;3741780;149300;0;429000
1504 Ålesund;1504;Ålesund;43865130;20486500;4867500;15619000;0;0;2420530;152600;0;319000
1505 Kristiansund;1505;Kristiansund;65318020;31987250;12788000;19199250;0;0;380520;146000;143000;674000
1511 Vanylven;1511;Vanylven;0;0;0;0;0;0;0;0;0;0
1514 Sande (M. og R.);1514;Sande (M. og R.);0;0;0;0;0;0;0;0;0;0
1515 Herøy (M. og R.);1515;Herøy (M. og R.);11757840;5707500;1723000;3984500;0;0;126840;85000;0;131000
1516 Ulstein;1516;Ulstein;18012680;8775000;1376000;7399000;0;0;253680;0;0;209000
1517 Hareid;1517;Hareid;11584912;5060000;1874000;3186000;155400;0;1178912;43600;0;87000
1519 Volda;1519;Volda;45321228;19380500;4934000;14446500;3554376;0;2621052;21800;0;363000
1520 Ørsta;1520;Ørsta;29469324;13662500;4806500;8856000;0;0;1817424;107900;0;219000
1523 Ørskog;1523;Ørskog;0;0;0;0;0;0;0;0;0;0
1524 Norddal;1524;Norddal;0;0;0;0;0;0;0;0;0;0
1525 Stranda;1525;Stranda;140000;70000;0;70000;0;0;0;0;0;0
1526 Stordal;1526;Stordal;0;0;0;0;0;0;0;0;0;0
1528 Sykkylven;1528;Sykkylven;17535240;8499000;2548000;5951000;0;0;126840;63200;138700;208500
1529 Skodje;1529;Skodje;140000;70000;0;70000;0;0;0;0;0;0
1531 Sula;1531;Sula;1274000;626000;0;626000;0;0;0;0;0;22000
1532 Giske;1532;Giske;12192500;6031000;2822500;3208500;0;0;0;42500;0;88000
1534 Haram;1534;Haram;19479600;9635500;2510000;7125500;0;0;0;43600;0;165000
1535 Vestnes;1535;Vestnes;648000;313000;313000;0;0;0;0;0;0;22000
1539 Rauma;1539;Rauma;0;0;0;0;0;0;0;0;0;0
1543 Nesset;1543;Nesset;0;0;0;0;0;0;0;0;0;0
1545 Midsund;1545;Midsund;0;0;0;0;0;0;0;0;0;0
1546 Sandøy;1546;Sandøy;0;0;0;0;0;0;0;0;0;0
1547 Aukra;1547;Aukra;2353800;1166000;761000;405000;0;0;0;21800;0;0
1548 Fræna;1548;Fræna;7774000;3832000;696500;3135500;0;0;0;0;0;110000
1551 Eide;1551;Eide;4772520;2179500;900000;1279500;0;0;380520;0;0;33000
1554 Averøy;1554;Averøy;0;0;0;0;0;0;0;0;0;0
1557 Gjemnes;1557;Gjemnes;0;0;0;0;0;0;0;0;0;0
1560 Tingvoll;1560;Tingvoll;8656207;3410500;313000;3097500;734207;0;1057000;0;0;44000
1563 Sunndal;1563;Sunndal;44695700;19968000;6305500;13662500;1826400;0;2431100;129700;0;372500
1566 Surnadal;1566;Surnadal;0;0;0;0;0;0;0;0;0;0
1567 Rindal;1567;Rindal;0;0;0;0;0;0;0;0;0;0
1571 Halsa;1571;Halsa;0;0;0;0;0;0;0;0;0;0
1573 Smøla;1573;Smøla;0;0;0;0;0;0;0;0;0;0
1576 Aure;1576;Aure;11935142;5562500;901500;4661000;595302;0;126840;0;0;88000
1601 Trondheim;1601;Trondheim;377723071;168980300;53665000;115315300;23952977;0;11775694;949300;563400;2521100
1612 Hemne;1612;Hemne;5007880;2060000;1050000;1010000;0;0;887880;0;0;0
1613 Snillfjord;1613;Snillfjord;0;0;0;0;0;0;0;0;0;0
1617 Hitra;1617;Hitra;9988600;4951000;978000;3973000;0;0;0;43600;0;43000
1620 Frøya;1620;Frøya;0;0;0;0;0;0;0;0;0;0
1621 Ørland;1621;Ørland;0;0;0;0;0;0;0;0;0;0
1622 Agdenes;1622;Agdenes;0;0;0;0;0;0;0;0;0;0
