"";"naregnr";"x1";"x2";"x3";"x4";"x5";"x6";"x7";"x8";"x9";"x10"
"71";"71";40868250;22711000;8067000;14644000;0;14608100;3186350;210600;152200;0
"72";"72";72898217;47882900;12838000;35044900;1125060;16909200;6688957;139900;152200;0
"73";"73";187032201;131842700;45466000;86376700;4544560;40810000;9046441;561100;147600;79800
"74";"74";63497900;48624300;17157000;31467300;575100;13598100;185400;253400;147600;114000
"75";"75";83042866;56170200;17664000;38506200;4619900;14960500;6989766;256900;0;45600
"76";"76";109968510;83290000;25045000;58245000;2694544;21232300;2045766;580500;0;125400
"77";"77";122761836;84542800;25627000;58915800;4424727;23205500;10227009;327600;0;34200
"78";"78";102611490;74219000;25675000;48544000;3430590;24253300;370800;280800;0;57000
"79";"79";124925983;94820200;29588000;65232200;1600200;21836300;5925583;370900;304400;68400
"80";"80";23095500;13933600;3793000;10140600;0;8962900;0;46800;152200;0
"81";"81";70244427;42320450;11904000;30416450;1132136;17852100;8647741;117000;152200;22800
"82";"82";18831200;13249800;7016000;6233800;0;5256600;185400;139400;0;0
"83";"83";120754272;84492900;28764500;55728400;3083142;21849400;10537830;536200;152200;102600
